"","mean","sd","2.5%","50%","97.5%","Rhat","n.eff"
"b[1]",3.28460680666667,0.0690841598397428,3.15293775,3.284655,3.416975,1.01,207
"b[2]",-0.0752058487253333,0.0546977309439387,-0.18046865,-0.07584035,0.0318807775,1,340
"b[3]",0.01580127315168,0.0391102632442059,-0.05953736,0.01468745,0.0929903449999998,1.03,296
"b[4]",0.258653591266667,0.0544496135294381,0.14995615,0.2607595,0.363549475,1.01,317
"b[5]",0.0487975855601333,0.0307374562085965,-0.01100365,0.04941775,0.106553575,1.02,213
"b[6]",0.132650486246667,0.0761398253175448,-0.00623192375,0.130956,0.282917,1.03,192
"sigma",0.125176666666667,0.0024058135846788,0.12069225,0.1250845,0.130172,1.01,1463
"mu.phi",0.221669563333333,0.0308566449993039,0.16537495,0.219987,0.287947425,1,1500
"sigma.phi",0.607174596666667,0.153854145559706,0.382025025,0.5811855,0.967167,1,1500
"mu",4.09031262666667,0.00335982678987984,4.08346425,4.09029,4.096881,1,1190
"delta_wd[1]",16.4096533333333,1.66957348915405,13.28193,16.3817,19.86499,1,267
"delta_wd[2]",16.7534596,1.65582506174754,13.635045,16.7226,20.216915,1,266
"delta_wd[3]",17.1046542,1.64121799110251,14.0013375,17.0783,20.538185,1,265
"delta_wd[4]",17.4634017333333,1.62577311569998,14.382185,17.44135,20.83064,1,264
"delta_wd[5]",17.8298678666667,1.60951515057405,14.785475,17.82275,21.149325,1,263
"delta_wd[6]",18.204222,1.59248039122002,15.1977,18.18895,21.47334,1,263
"delta_wd[7]",18.5866412666667,1.57471637086053,15.5976925,18.5515,21.83852,1,262
"delta_wd[8]",18.9772989333333,1.55628431365721,15.990705,18.91755,22.1733775,1,262
"delta_wd[9]",19.3763818666667,1.53725708114601,16.417275,19.339,22.5414075,1,262
"delta_wd[10]",19.7840724,1.51772869730968,16.8628875,19.7614,22.8868125,1.01,262
"delta_wd[11]",20.2005606,1.49780977215289,17.3496825,20.1879,23.2348225,1.01,262
"delta_wd[12]",20.6260447333333,1.47763716734673,17.82569,20.59415,23.5948475,1.01,262
"delta_wd[13]",21.0607216,1.45737482552756,18.3046,21.0128,23.96295,1.01,263
"delta_wd[14]",21.5047948,1.43721406800256,18.7733825,21.45645,24.322165,1.01,264
"delta_wd[15]",21.9584720666667,1.41738245987387,19.2602525,21.91125,24.7455,1.01,266
"delta_wd[16]",22.4219665333333,1.398146294587,19.7709075,22.3614,25.182385,1.01,268
"delta_wd[17]",22.8954962,1.3798120741435,20.3075375,22.85195,25.6706475,1.01,260
"delta_wd[18]",23.3792835333333,1.36273721444719,20.8198325,23.3319,26.1012975,1.01,262
"delta_wd[19]",23.8735569333333,1.34732717383994,21.3278825,23.82775,26.54045,1.01,266
"delta_wd[20]",24.3785475333333,1.33403274708711,21.8633325,24.35375,27.01019,1.01,270
"delta_wd[21]",24.8944945333333,1.32336306000124,22.432795,24.8662,27.5561175,1.01,276
"delta_wd[22]",25.4216400666667,1.31586604085154,22.9548275,25.40245,28.12799,1.01,282
"delta_wd[23]",25.9602362,1.3121351430545,23.4884425,25.92695,28.60631,1.01,290
"delta_wd[24]",26.5105358,1.31279078471577,24.018765,26.49005,29.1409325,1.01,299
"delta_wd[25]",27.0727988,1.31846841237659,24.5601425,27.04205,29.6779275,1.01,309
"delta_wd[26]",27.6472913333333,1.32979611670846,25.0858775,27.6291,30.2711475,1.01,321
