"","mean","sd","2.5%","50%","97.5%","Rhat","n.eff"
"b[1]",3.35982136,0.062719330360086,3.240844,3.357825,3.48839,1,555
"b[2]",0.598550186666667,0.101907540601604,0.395732375,0.5963135,0.8015011,1,357
"b[3]",-0.0152651878457333,0.0625427533444568,-0.1348938,-0.01500845,0.104650825,1.01,518
"b[4]",-0.152220578209067,0.111802746850225,-0.372587475,-0.15171,0.0744886674999999,1,301
"b[5]",-0.073619188972,0.0492110087820118,-0.169592375,-0.0730704,0.0240612425,1.01,437
"b[6]",-0.46741765312,0.159777507618903,-0.77134985,-0.4682875,-0.145509675,1.01,276
"sigma",0.1087889458,0.00349071404212065,0.1022108,0.1087555,0.115939125,1,1500
"mu.phi",0.282625628,0.0243087186093776,0.234716425,0.282836,0.33123965,1.01,1601
"sigma.phi",0.3704633622,0.109737593782282,0.205301125,0.3561385,0.63381355,1,1344
"mu",4.10488314,0.00496258573513033,4.0954995,4.104805,4.1142205,1,1488
"delta_wd[1]",3.15246565333333,0.143737874672092,2.875191,3.156465,3.43916475,1.01,403
"delta_wd[2]",3.15156231333333,0.140668157668215,2.881447,3.15593,3.43397125,1.01,402
"delta_wd[3]",3.150659,0.13762977941003,2.88560875,3.15557,3.4277275,1.01,401
"delta_wd[4]",3.14975547333333,0.134624486421325,2.8907475,3.15546,3.418055,1.01,400
"delta_wd[5]",3.14885204666667,0.131654784613722,2.894052,3.153475,3.41106825,1.01,399
"delta_wd[6]",3.14794872666667,0.128722975629898,2.89735125,3.151305,3.404766,1.01,398
"delta_wd[7]",3.14704534,0.125831783932821,2.90204475,3.15002,3.39439525,1.01,397
"delta_wd[8]",3.14614213333333,0.122983987588023,2.90967075,3.149115,3.38649975,1.01,397
"delta_wd[9]",3.14523843333333,0.120182695189286,2.91548325,3.148595,3.38321125,1.01,376
"delta_wd[10]",3.14433518,0.117431131068939,2.9184735,3.14715,3.37889225,1.01,374
"delta_wd[11]",3.14343162,0.114733149476375,2.92182875,3.14488,3.37196775,1.01,372
"delta_wd[12]",3.14252821333333,0.112092427816767,2.92592675,3.14365,3.364438,1.01,384
"delta_wd[13]",3.14162491333333,0.109513261766148,2.9294055,3.143025,3.35773525,1.01,383
"delta_wd[14]",3.14072154,0.106999818959348,2.93240325,3.14142,3.3515175,1.01,382
"delta_wd[15]",3.13981796666667,0.104556906425734,2.93776925,3.1405,3.34560275,1.01,381
