"","mean","sd","2.5%","50%","97.5%","Rhat","n.eff"
"b[1]",4.12306174,0.111012377363627,3.9107765,4.11944,4.33340075,1,181
"b[2]",0.164077895453333,0.0599185100855152,0.050802335,0.163362,0.29146615,1.01,367
"b[3]",0.2052054244,0.0550634069747421,0.095719625,0.2050565,0.31158815,1,458
"b[4]",0.03839253144292,0.0509240998397362,-0.0663997225,0.03986125,0.135527075,1.01,260
"b[5]",0.409213962666667,0.0494810996987423,0.31324935,0.4099695,0.505603125,1,614
"b[6]",-0.951235664,0.126792524803093,-1.19699475,-0.948477,-0.70168985,1.01,199
"sigma",0.128938174,0.0040141425492037,0.12139375,0.1286735,0.1375433,1,1493
"mu.phi",0.307541625333333,0.0258704284502549,0.257421025,0.307921,0.35856815,1,1283
"sigma.phi",0.3686096288,0.11518586155681,0.18847355,0.353919,0.6343983,1.01,1418
"mu",4.08756734666667,0.00565116523136043,4.07693475,4.087675,4.099355,1,1500
