"","Stream","indID","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14"
"1","Indian","a0900043000125097  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,NA,62
"2","Indian","a0900043000125099  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,NA,78
"3","Indian","a0900043000125106  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,NA,NA
"4","Indian","a0900043000125108  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,NA,NA
"5","Indian","a0900043000125119  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,83
"6","Indian","a0900043000125123  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,NA,NA
"7","Indian","a0900043000125138  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,NA
"8","Indian","a0900043000125142  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,NA,NA
"9","Indian","a0900043000125146  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,NA,NA
"10","Indian","a0900043000125151  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA
"11","Indian","a0900043000125174  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA
"12","Indian","a0900043000125175  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,NA,NA
"13","Indian","a0900043000125177  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,NA,NA
"14","Indian","a0900043000125181  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA
"15","Indian","a0900043000125184  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA
"16","Indian","a0900043000134432  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152,NA
"17","Indian","a0900043000134452  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,NA
"18","Indian","a0900043000134463  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,NA
"19","Indian","a0900043000134485  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA
"20","Indian","a0900043000134494  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,NA
"21","Indian","a0900043000134506  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,NA
"22","Indian","a0900043000134558  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,NA
"23","Indian","a0900043000134592  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA
"24","Indian","a0900043000135014  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA
"25","Indian","a0900043000135016  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,84,99,100,NA,103
"26","Indian","a0900043000135024  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,71,80,88,NA,NA
"27","Indian","a0900043000135031  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,77,81,82,80,NA
"28","Indian","a0900043000135072  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA
"29","Indian","a0900043000135091  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,91,100,NA,NA,105
"30","Indian","a0900043000135092  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA
"31","Indian","a0900043000135105  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,76,86,NA,87,NA
"32","Indian","a0900043000135110  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,85,NA,NA,NA,NA
"33","Indian","a0900043000135127  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,73,NA,NA,NA,NA
"34","Indian","a0900043000135144  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,NA
"35","Indian","a0900043000135148  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,101,107,110,107,NA
"36","Indian","a0900043000135155  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,59,NA,NA,NA,NA
"37","Indian","a0900043000135157  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,72,NA,NA,NA,NA
"38","Indian","a0900043000135158  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,65,NA,NA,NA,NA
"39","Indian","a0900043000135160  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,84,104,107,NA,NA
"40","Indian","a0900043000135172  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,86,NA,NA
"41","Indian","a0900043000135175  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA
"42","Indian","a0900043000135195  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,64,NA,NA,NA,NA
"43","Indian","a0900043000135206  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,64,NA,NA,NA,NA
"44","Indian","a0900043000135241  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,73,87,96,NA,94
"45","Indian","a0900043000135268  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,73,87,NA,NA,NA
"46","Indian","a0900043000135289  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,77,NA,93,NA,NA
"47","Indian","a0900043000135290  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,77,84,NA,NA,NA
"48","Indian","a0900043000135328  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,68,88,NA,NA,NA
"49","Indian","a0900043000135336  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,82,NA,NA,NA,NA
"50","Indian","a0900043000135337  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,63,NA,NA,NA,NA
"51","Indian","a0900043000135342  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,65,74,NA,NA,NA
"52","Indian","a0900043000135357  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,63,67,NA,NA,NA
"53","Indian","a0900043000135389  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,93,105,NA,107,108
"54","Indian","a0900043000135400  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,82,NA,NA,NA,NA
"55","Indian","a0900043000135406  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,66,NA,91,NA,87
"56","Indian","a0900043000135418  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,74,NA,NA,NA,NA
"57","Indian","a0900043000135446  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,70,82,NA,88,NA
"58","Indian","a0900043000135448  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,103,NA,NA,NA,NA
