"","Stream","indID","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14"
"1","Indian","a0900043000125088  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,23,NA
"2","Indian","a0900043000125089  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA
"3","Indian","a0900043000125092  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,31
"4","Indian","a0900043000125098  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA
"5","Indian","a0900043000125102  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA
"6","Indian","a0900043000125103  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA
"7","Indian","a0900043000125104  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,NA
"8","Indian","a0900043000125110  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,31
"9","Indian","a0900043000125111  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,NA
"10","Indian","a0900043000125114  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,NA
"11","Indian","a0900043000125115  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA
"12","Indian","a0900043000125116  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,NA
"13","Indian","a0900043000125124  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA
"14","Indian","a0900043000125126  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,NA
"15","Indian","a0900043000125128  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,29,NA
"16","Indian","a0900043000125131  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA
"17","Indian","a0900043000125135  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,NA
