"","Stream","indID","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14"
"1","Indian","a0900043000125090  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17475,NA,17594
"2","Indian","a0900043000125094  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17475,NA,NA
"3","Indian","a0900043000125120  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17475,NA,NA
"4","Indian","a0900043000125139  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17475,17545,NA
"5","Indian","a0900043000125140  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17475,NA,17594
"6","Indian","a0900043000125145  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17475,NA,NA
"7","Indian","a0900043000125160  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17475,NA,17594
"8","Indian","a0900043000125168  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17475,NA,NA
"9","Indian","a0900043000125183  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17473,NA,NA
"10","Indian","a0900043000125187  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17475,NA,NA
"11","Indian","a0900043000134400  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17549,NA
"12","Indian","a0900043000134403  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17543,NA
"13","Indian","a0900043000134404  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17543,NA
"14","Indian","a0900043000134407  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17549,17594
"15","Indian","a0900043000134422  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17549,17594
"16","Indian","a0900043000134425  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17545,NA
"17","Indian","a0900043000134438  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17543,NA
"18","Indian","a0900043000134455  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17549,17594
"19","Indian","a0900043000134464  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17549,NA
"20","Indian","a0900043000134467  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17549,NA
"21","Indian","a0900043000134470  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17545,NA
"22","Indian","a0900043000134566  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17543,17592
"23","Indian","a0900043000134568  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17545,NA
"24","Indian","a0900043000135013  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,17352,NA,NA,NA,NA
"25","Indian","a0900043000135015  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,17352,NA,NA,NA,NA
"26","Indian","a0900043000135029  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,17352,17417,NA,NA,NA
"27","Indian","a0900043000135046  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,17352,17417,NA,NA,17592
"28","Indian","a0900043000135068  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,17352,NA,NA,NA,NA
"29","Indian","a0900043000135098  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,17353,NA,NA,NA,NA
"30","Indian","a0900043000135119  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,17352,NA,NA,NA,NA
"31","Indian","a0900043000135123  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,17352,NA,NA,NA,NA
