Stream,Date,Section,Transcet,Width,Depth1,Depth2,Depth3,Substrate1,Substrate2,Substrate3,Veg_Left_UP,Veg_Left_DN,Veg_Rig_UP,Veg_Rig_DN,Deepest_Point,Section_Len,Pool,Riffle,Run,Undercut_length,Undercut_depth
Todd,20171027,1,1,4.5,34,24,30,B,S,S,1,1,1,1,52,19,10,0,9,4,0.4
Todd,20171027,1,2,3.1,20,21,19,C,C,C,1,1,1,1,52,19,10,0,9,4,0.4
Todd,20171027,1,3,5.4,49,35,39,S,S,S,1,1,1,1,52,19,10,0,9,4,0.4
Todd,20171027,2,1,3.2,32,37,41,BR,BR,G,1,1,1,0,50,20,4,10,6,2,0.4
Todd,20171027,2,2,4,39,50,23,BR,BR,BR,1,1,1,1,50,20,4,10,6,2,0.4
Todd,20171027,2,3,4,6,13,16,BR,BR,BR,0,0,1,0,50,20,4,10,6,2,0.4
Todd,20171027,3,1,5.4,39,42,22,G,G,BR,0,0,0,0,69,16,8,8,0,0,0
Todd,20171027,3,2,5.1,44,65,24,B,BR,BR,0,1,0,0,69,16,8,8,0,0,0
Todd,20171027,3,3,6.2,5,7,7,BR,BR,BR,0,0,0,0,69,16,8,8,0,0,0
Todd,20171027,4,1,5.1,10,20,12,BR,BR,BR,0,0,1,0,75,27,20,3,4,0,0
Todd,20171027,4,2,4.3,42,60,45,C,G,C,0,1,0,0,75,27,20,3,4,0,0
Todd,20171027,4,3,4.1,25,45,42,S,BR,BR,1,1,1,1,75,27,20,3,4,0,0
Todd,20171027,5,1,5.2,27,22,18,C,BR,BR,0,0,0,0,42,20,11,6,3,0,0
Todd,20171027,5,2,3.4,17,22,18,C,BR,BR,1,1,1,1,42,20,11,6,3,0,0
Todd,20171027,5,3,3,20,14,16,C,C,C,1,0,0,0,42,20,11,6,3,0,0
Todd,20171027,6,1,4.3,30,37,19,BR,G,S,1,1,0,1,54,26,22,0,4,0,0
Todd,20171027,6,2,4.4,42,48,42,G,G,SL,1,1,1,1,54,26,22,0,4,0,0
Todd,20171027,6,3,5,42,52,17,BR,BR,SL,1,1,1,1,54,26,22,0,4,0,0
Todd,20171027,7,1,4.2,28,43,40,B,BR,C,0,0,1,1,85,28,22,6,0,4,0.7
Todd,20171027,7,2,3,46,33,22,BR,BR,S,1,0,1,1,85,28,22,6,0,4,0.7
Todd,20171027,7,3,7,50,84,44,BR,BR,G,1,0,1,0,85,28,22,6,0,4,0.7
Todd,20171027,8,1,4.4,5,19,13,BR,BR,BR,0,0,0,0,29,16,0,12,4,0,0
Todd,20171027,8,2,4.2,19,25,23,BR,BR,BR,0,1,0,0,29,16,0,12,4,0,0
Todd,20171027,8,3,6,8,8,14,BR,BR,BR,0,0,0,0,29,16,0,12,4,0,0
Todd,20171027,9,1,5,54,35,11,C,BR,BR,1,1,0,0,42,25,11,5,9,1.7,0.5
Todd,20171027,9,2,4,15,30,21,G,BR,BR,1,1,1,0,42,25,11,5,9,1.7,0.5
Todd,20171027,9,3,4.4,43,39,34,C,BR,C,1,1,1,0,42,25,11,5,9,1.7,0.5
Todd,20171027,10,1,3.2,25,19,17,BR,BR,BR,1,1,0,1,30,20,4,14,2,3,0.8
Todd,20171027,10,2,3.2,19,25,18,BR,BR,C,1,1,1,1,30,20,4,14,2,3,0.8
Todd,20171027,10,3,2,6,16,24,BR,BR,BR,1,1,1,0,30,20,4,14,2,3,0.8
Todd,20171027,11,1,1.4,21,20,19,C,C,C,1,1,1,1,26,20,0,20,0,0,0
Todd,20171027,11,2,1.4,15,24,21,C,C,C,1,1,1,1,26,20,0,20,0,0,0
Todd,20171027,11,3,1.4,23,23,19,C,C,C,1,1,1,1,26,20,0,20,0,0,0
Todd,20171027,12,1,3,25,27,23,G,G,G,1,1,0,0,25,23,0,18,5,0,0
