"","ID","IND_ID","Y","Yrecap","Sec_cap","Sec_recap","St_Size","End_Size","Period","Interval","St_Date","St_Month","St_Year","End_Date","End_Month","End_Year"
"117",117,"a0900067000076568  ",NA,0,20,NA,129,NA,1,NA,16821,1,2016,NA,NA,NA
"123",123,"a0900067000076713  ",NA,0,20,NA,114,NA,1,NA,16821,1,2016,NA,NA,NA
"124",124,"a0900067000076735  ",NA,0,16,NA,103,NA,1,NA,16818,1,2016,NA,NA,NA
"126",126,"a0900067000076780  ",NA,0,19,NA,117,NA,1,NA,16818,1,2016,NA,NA,NA
"127",127,"a0900067000076782  ",NA,0,20,NA,135,NA,1,NA,16821,1,2016,NA,NA,NA
"129",129,"a0900067000076786  ",-1,1,23,22,147,144,1,62,16821,1,2016,16883,3,2016
"131",131,"a0900067000076818  ",12,1,11,23,136,138,1,65,16818,1,2016,16883,3,2016
"134",134,"a0900067000076993  ",NA,0,22,NA,110,NA,1,NA,16821,1,2016,NA,NA,NA
"135",135,"a0900067000077030",NA,0,7,NA,180,NA,1,NA,16814,1,2016,NA,NA,NA
"137",137,"a0900067000077076",NA,0,7,NA,178,NA,1,NA,16814,1,2016,NA,NA,NA
"145",145,"a0900067000077337  ",NA,0,14,NA,169,NA,1,NA,16818,1,2016,NA,NA,NA
"151",151,"a0900067000077468",NA,0,7,NA,142,NA,1,NA,16814,1,2016,NA,NA,NA
"153",153,"a0900067000080000  ",0,1,23,23,133,134,1,62,16821,1,2016,16883,3,2016
"155",155,"a0900067000080013  ",NA,0,9,NA,66,NA,1,NA,16818,1,2016,NA,NA,NA
"158",158,"a0900067000080057  ",NA,0,11,NA,142,NA,1,NA,16818,1,2016,NA,NA,NA
"159",159,"a0900067000080078",NA,0,7,NA,215,NA,1,NA,16814,1,2016,NA,NA,NA
"160",160,"a0900067000080081",NA,0,4,NA,69,NA,1,NA,16814,1,2016,NA,NA,NA
"162",162,"a0900067000080093",NA,0,7,NA,115,NA,1,NA,16814,1,2016,NA,NA,NA
"164",164,"a0900067000080095",NA,0,6,NA,56,NA,1,NA,16814,1,2016,NA,NA,NA
"166",166,"a0900067000080103",NA,0,7,NA,179,NA,1,NA,16814,1,2016,NA,NA,NA
"169",169,"a0900067000080123",NA,0,7,NA,176,NA,1,NA,16814,1,2016,NA,NA,NA
"170",170,"a0900067000080132",NA,0,7,NA,180,NA,1,NA,16814,1,2016,NA,NA,NA
"172",172,"a0900067000080159  ",NA,0,9,NA,50,NA,1,NA,16818,1,2016,NA,NA,NA
"173",173,"a0900067000080162",NA,0,7,NA,120,NA,1,NA,16814,1,2016,NA,NA,NA
"175",175,"a0900067000080189",NA,0,5,NA,64,NA,1,NA,16814,1,2016,NA,NA,NA
"176",176,"a0900067000080201",NA,0,5,NA,77,NA,1,NA,16814,1,2016,NA,NA,NA
"178",178,"a0900067000080224  ",NA,0,22,NA,117,NA,1,NA,16821,1,2016,NA,NA,NA
"179",179,"a0900067000080284",NA,0,7,NA,114,NA,1,NA,16814,1,2016,NA,NA,NA
"180",180,"a0900067000080337",NA,0,7,NA,107,NA,1,NA,16814,1,2016,NA,NA,NA
"182",182,"a0900067000080352",NA,0,7,NA,205,NA,1,NA,16814,1,2016,NA,NA,NA
"184",184,"a0900067000080406  ",NA,0,10,NA,81,NA,1,NA,16818,1,2016,NA,NA,NA
"185",185,"a0900067000080413  ",1,1,22,23,123,126,1,62,16821,1,2016,16883,3,2016
"186",186,"a0900067000080443  ",-3,1,10,7,121,122,1,66,16818,1,2016,16884,3,2016
"187",187,"a0900067000080468  ",NA,0,23,NA,176,NA,1,NA,16821,1,2016,NA,NA,NA
