"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17475,NA,17594
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17475,NA,17594
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17475,NA,NA
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17475,NA,NA
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17475,NA,17592
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17473,NA,NA
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17473,NA,NA
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17473,NA,NA
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17473,NA,NA
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17475,NA,NA
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17475,NA,NA
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17475,NA,NA
"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17473,NA,NA
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17475,NA,NA
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17475,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17545,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17545,NA
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17543,NA
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17545,NA
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17545,NA
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17545,NA
"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17549,NA
"23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17545,NA
"24",NA,NA,NA,NA,NA,NA,NA,NA,NA,17354,NA,NA,NA,NA
"25",NA,NA,NA,NA,NA,NA,NA,NA,NA,17352,17417,17475,NA,17592
"26",NA,NA,NA,NA,NA,NA,NA,NA,NA,17354,17422,17475,NA,NA
"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,17353,17419,17475,17545,NA
"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,17352,NA,NA,NA,NA
