Stream,Date,Section,Transcet,Width,Depth1,Depth2,Depth3,Substrate1,Substrate2,Substrate3,Veg_Left_UP,Veg_Left_DN,Veg_Rig_UP,Veg_Rig_DN,Deepest_Point,Section_Len,Pool,Riffle,Run,Undercut_length,Undercut_depth
Indian,20171018,1,1,3,4,6,15,SL,SL,S,0,0,0,1,37,21,9,4,8,2,0.5
Indian,20171018,1,2,2.6,10,14,8,P,SL,S,0,0,1,0,37,21,9,4,8,2,0.5
Indian,20171018,1,3,1.8,4,13,20,P,P,P,0,0,1,0,37,21,9,4,8,2,0.5
Indian,20171018,2,1,2.1,65,35,12,SL,SL,SL,0,0,0,0,65,22,15,5,2,1.5,0.78
Indian,20171018,2,2,1.9,21,24,9,SL,S,S,0,0,1,1,65,22,15,5,2,1.5,0.78
Indian,20171018,2,3,1.3,10,11,4,G,P,G,0,0,1,1,65,22,15,5,2,1.5,0.78
Indian,20171018,3,1,2,10,8,4,G,SL,S,0,0,1,0,13,21,0,0,21,0,0
Indian,20171018,3,2,3,5,4,6,SL,SL,S,0,0,0,0,13,21,0,0,21,0,0
Indian,20171018,3,3,2.7,8,9,5,SL,SL,S,0,0,0,0,13,21,0,0,21,0,0
Indian,20171018,4,1,2.2,7,10,10,S,G,S,0,0,0,0,19,18,0,12,6,0,0
Indian,20171018,4,2,2,16,11,6,P,G,S,0,1,0,0,19,18,0,12,6,0,0
Indian,20171018,4,3,3.1,5,6,10,P,C,P,1,0,0,0,19,18,0,12,6,0,0
Indian,20171018,5,1,3.1,8,12,12,P,G,S,0,0,0,0,14,19,0,16,3,0,0
Indian,20171018,5,2,3.5,7,10,9,C,P,G,0,0,0,0,14,19,0,16,3,0,0
Indian,20171018,5,3,3,5,6,10,P,C,C,0,0,0,1,14,19,0,16,3,0,0
Indian,20171018,6,1,3.2,4,8,14,C,C,S,0,0,1,1,19,20,0,3,17,0,0
Indian,20171018,6,2,3.9,9,5,4,G,C,C,1,1,1,1,19,20,0,3,17,0,0
Indian,20171018,6,3,2.1,10,12,8,P,C,C,0,0,1,1,19,20,0,3,17,0,0
Indian,20171018,7,1,1.9,30,22,12,SL,S,S,1,1,0,0,41,15,5,4,6,0,0
Indian,20171018,7,2,1.8,14,12,16,G,SL,S,0,0,0,0,41,15,5,4,6,0,0
Indian,20171018,7,3,2.5,22,34,21,SL,SL,SL,0,0,0,0,41,15,5,4,6,0,0
Indian,20171018,8,1,3,7,7,9,C,B,C,0,0,0,0,22,24,5,16,3,0,0
Indian,20171018,8,2,2.1,11,9,5,G,C,C,0,0,0,0,22,24,5,16,3,0,0
Indian,20171018,8,3,2.1,11,15,14,P,P,B,0,0,0,0,22,24,5,16,3,0,0
Indian,20171018,9,1,2.2,8,8,6,B,C,B,0,0,0,0,11,22,0,22,0,0,0
Indian,20171018,9,2,2,10,7,6,C,C,G,0,0,0,0,11,22,0,22,0,0,0
Indian,20171018,9,3,2.3,8,9,7,B,C,C,0,0,0,0,11,22,0,22,0,0,0
Indian,20171018,10,1,3,15,7,7,SL,SL,SL,0,0,0,0,51,22,10,0,12,2,0.4
Indian,20171018,10,2,4.2,7,10,7,SL,S,SL,0,0,0,0,51,22,10,0,12,2,0.4
Indian,20171018,10,3,2.1,11,18,30,S,S,S,0,0,0,0,51,22,10,0,12,2,0.4
Indian,20171018,11,1,2.9,10,12,1,C,P,C,0,0,0,0,36,18,6,4,8,1.1,0.5
Indian,20171018,11,2,2.5,21,19,12,P,G,C,0,1,0,0,36,18,6,4,8,1.1,0.5
Indian,20171018,11,3,3,11,16,19,C,G,S,0,0,0,0,36,18,6,4,8,1.1,0.5
Indian,20171018,12,1,6.2,19,17,4,C,G,BR,0,0,0,0,42,24,7,12,5,0,0
Indian,20171018,12,2,5.7,29,15,4,B,P,P,0,0,0,0,42,24,7,12,5,0,0
Indian,20171018,12,3,2.2,10,12,4,BR,BR,BR,0,0,0,0,42,24,7,12,5,0,0
Indian,20171018,13,1,3,11,12,5,C,C,B,0,0,0,0,34,20,5,7,8,0,0
Indian,20171018,13,2,2,14,18,10,P,P,BR,0,0,0,0,34,20,5,7,8,0,0
