"","Y","Yrecap","DL","UL","Size","IND_ID","Period","St_occ","End_occ"
"108",0,1,-17,9,60,108,1,3,4
"110",NA,0,-14,12,135,110,1,3,4
"111",NA,0,-15,11,119,111,1,3,4
"114",0,1,-14,12,120,114,1,3,4
"115",0,1,-26,0,125,115,1,3,4
"117",NA,0,-14,12,96,117,1,3,4
"121",NA,0,-6,20,60,121,1,3,4
"122",NA,0,-29,-3,65,122,1,3,4
"123",NA,0,-28,-2,120,123,1,3,4
"124",NA,0,-21,5,86,124,1,3,4
"125",NA,0,-24,2,67,125,1,3,4
"126",NA,0,-8,18,101,126,1,3,4
"127",0,1,-29,-3,76,127,1,3,4
"129",1,1,-22,4,139,129,1,3,4
"130",-7,1,-9,17,102,130,1,3,4
"131",NA,0,-20,6,130,131,1,3,4
"132",NA,0,-7,19,153,132,1,3,4
"133",NA,0,-16,10,70,133,1,3,4
"134",NA,0,-30,-4,58,134,1,3,4
"135",0,1,-34,-8,68,135,1,3,4
"136",0,1,-29,-3,71,136,1,3,4
"137",NA,0,-12,14,57,137,1,3,4
"138",NA,0,-22,4,79,138,1,3,4
"139",0,1,-31,-5,65,139,1,3,4
"141",NA,0,-11,15,95,141,1,3,4
"142",NA,0,-14,12,100,142,1,3,4
"143",2,1,-6,20,82,143,1,3,4
"144",NA,0,-12,14,73,144,1,3,4
"145",NA,0,-28,-2,54,145,1,3,4
"146",NA,0,-13,13,102,146,1,3,4
"147",NA,0,-6,20,75,147,1,3,4
"148",NA,0,-12,14,151,148,1,3,4
"149",NA,0,-11,15,108,149,1,3,4
"150",NA,0,-6,20,63,150,1,3,4
"151",NA,0,-11,15,110,151,1,3,4
"152",NA,0,-8,18,94,152,1,3,4
"153",NA,0,-31,-5,63,153,1,3,4
"154",NA,0,-20,6,67,154,1,3,4
"155",NA,0,-23,3,137,155,1,3,4
"156",13,1,-21,5,142,156,1,3,4
"178",0,1,-16,10,69,178,1,3,4
"180",NA,0,-34,-8,117,180,1,3,4
"182",NA,0,-28,-2,65,182,1,3,4
"184",0,1,-23,3,138,184,1,3,4
"185",NA,0,-21,5,82,185,1,3,4
"186",NA,0,-29,-3,113,186,1,3,4
"190",-2,1,-32,-6,131,190,1,3,4
"194",NA,0,-34,-8,130,194,1,3,4
"196",NA,0,-24,2,65,196,1,3,4
"197",NA,0,-31,-5,97,197,1,3,4
"198",NA,0,-21,5,89,198,1,3,4
