"","ID","Y","Yrecap","DL","UL","Size","IND_ID","Period","St_occ","End_occ"
"108",108,0,1,-17,20,60,"a0900067000077156  ",1,3,4
"110",110,NA,0,-14,23,135,"a0900067000077191  ",1,3,4
"111",111,NA,0,-15,22,119,"a0900067000077221  ",1,3,4
"114",114,0,1,-14,23,120,"a0900067000077268  ",1,3,4
"115",115,0,1,-26,11,125,"a0900067000077281  ",1,3,4
"117",117,NA,0,-14,23,96,"a0900067000077300  ",1,3,4
"121",121,NA,0,-6,31,60,"a0900067000080010  ",1,3,4
"122",122,NA,0,-29,8,65,"a0900067000080089  ",1,3,4
"123",123,NA,0,-28,9,120,"a0900067000080098  ",1,3,4
"124",124,NA,0,-21,16,86,"a0900067000080126  ",1,3,4
"125",125,NA,0,-24,13,67,"a0900067000080133  ",1,3,4
"126",126,NA,0,-8,29,101,"a0900067000080144  ",1,3,4
"127",127,0,1,-29,8,76,"a0900067000080146  ",1,3,4
"129",129,1,1,-22,15,139,"a0900067000080175  ",1,3,4
"130",130,-7,1,-9,28,102,"a0900067000080225  ",1,3,4
"131",131,NA,0,-20,17,130,"a0900067000080230  ",1,3,4
"132",132,NA,0,-7,30,153,"a0900067000080243  ",1,3,4
"133",133,NA,0,-16,21,70,"a0900067000080264  ",1,3,4
"134",134,NA,0,-30,7,58,"a0900067000080294  ",1,3,4
"135",135,0,1,-34,3,68,"a0900067000080300  ",1,3,4
"136",136,0,1,-29,8,71,"a0900067000080301  ",1,3,4
"137",137,NA,0,-12,25,57,"a0900067000080308  ",1,3,4
"138",138,NA,0,-22,15,79,"a0900067000080329  ",1,3,4
"139",139,0,1,-31,6,65,"a0900067000080338  ",1,3,4
"141",141,NA,0,-11,26,95,"a0900067000080353  ",1,3,4
"142",142,NA,0,-14,23,100,"a0900067000080372  ",1,3,4
"143",143,2,1,-6,31,82,"a0900067000080387  ",1,3,4
"144",144,NA,0,-12,25,73,"a0900067000080396  ",1,3,4
"145",145,NA,0,-28,9,54,"a0900067000080411  ",1,3,4
"146",146,NA,0,-13,24,102,"a0900067000080428  ",1,3,4
"147",147,NA,0,-6,31,75,"a0900067000080432  ",1,3,4
"148",148,NA,0,-12,25,151,"a0900067000080434  ",1,3,4
"149",149,NA,0,-11,26,108,"a0900067000080435  ",1,3,4
"150",150,NA,0,-6,31,63,"a0900067000080436  ",1,3,4
