"","ID","IND_ID","Y","Yrecap","DL","UL","St_Size","End_Size","Period","Interval","St_Date","St_Month","St_Year","End_Date","End_Month","End_Year"
"108",108,"a0900067000077156  ",0,1,-0.5,0.5,60,59,1,56,16810,1,2016,16866,3,2016
"110",110,"a0900067000077191  ",NA,0,-14,23,135,NA,1,NA,16810,1,2016,NA,NA,NA
"111",111,"a0900067000077221  ",NA,0,-15,22,119,NA,1,NA,16810,1,2016,NA,NA,NA
"114",114,"a0900067000077268  ",0,1,-0.5,0.5,120,115,1,56,16810,1,2016,16866,3,2016
"115",115,"a0900067000077281  ",0,1,-0.5,0.5,125,126,1,56,16810,1,2016,16866,3,2016
"117",117,"a0900067000077300  ",NA,0,-14,23,96,NA,1,NA,16810,1,2016,NA,NA,NA
"121",121,"a0900067000080010  ",NA,0,-6,31,60,NA,1,NA,16808,1,2016,NA,NA,NA
"122",122,"a0900067000080089  ",NA,0,-29,8,65,NA,1,NA,16810,1,2016,NA,NA,NA
"123",123,"a0900067000080098  ",NA,0,-28,9,120,NA,1,NA,16810,1,2016,NA,NA,NA
"124",124,"a0900067000080126  ",NA,0,-21,16,86,NA,1,NA,16810,1,2016,NA,NA,NA
"125",125,"a0900067000080133  ",NA,0,-24,13,67,NA,1,NA,16810,1,2016,NA,NA,NA
"126",126,"a0900067000080144  ",NA,0,-8,29,101,NA,1,NA,16808,1,2016,NA,NA,NA
"127",127,"a0900067000080146  ",0,1,-0.5,0.5,76,77,1,56,16810,1,2016,16866,3,2016
"129",129,"a0900067000080175  ",1,1,0.5,1.5,139,136,1,56,16810,1,2016,16866,3,2016
"130",130,"a0900067000080225  ",-7,1,-7.5,-6.5,102,102,1,56,16808,1,2016,16864,3,2016
"131",131,"a0900067000080230  ",NA,0,-20,17,130,NA,1,NA,16810,1,2016,NA,NA,NA
"132",132,"a0900067000080243  ",NA,0,-7,30,153,NA,1,NA,16808,1,2016,NA,NA,NA
"133",133,"a0900067000080264  ",NA,0,-16,21,70,NA,1,NA,16810,1,2016,NA,NA,NA
"134",134,"a0900067000080294  ",NA,0,-30,7,58,NA,1,NA,16810,1,2016,NA,NA,NA
"135",135,"a0900067000080300  ",0,1,-0.5,0.5,68,68,1,60,16810,1,2016,16870,3,2016
"136",136,"a0900067000080301  ",0,1,-0.5,0.5,71,70,1,56,16810,1,2016,16866,3,2016
"137",137,"a0900067000080308  ",NA,0,-12,25,57,NA,1,NA,16810,1,2016,NA,NA,NA
"138",138,"a0900067000080329  ",NA,0,-22,15,79,NA,1,NA,16810,1,2016,NA,NA,NA
"139",139,"a0900067000080338  ",0,1,-0.5,0.5,65,63,1,56,16810,1,2016,16866,3,2016
"141",141,"a0900067000080353  ",NA,0,-11,26,95,NA,1,NA,16810,1,2016,NA,NA,NA
"142",142,"a0900067000080372  ",NA,0,-14,23,100,NA,1,NA,16810,1,2016,NA,NA,NA
"143",143,"a0900067000080387  ",2,1,1.5,2.5,82,82,1,56,16808,1,2016,16864,3,2016
"144",144,"a0900067000080396  ",NA,0,-12,25,73,NA,1,NA,16810,1,2016,NA,NA,NA
"145",145,"a0900067000080411  ",NA,0,-28,9,54,NA,1,NA,16810,1,2016,NA,NA,NA
"146",146,"a0900067000080428  ",NA,0,-13,24,102,NA,1,NA,16810,1,2016,NA,NA,NA
"147",147,"a0900067000080432  ",NA,0,-6,31,75,NA,1,NA,16808,1,2016,NA,NA,NA
"148",148,"a0900067000080434  ",NA,0,-12,25,151,NA,1,NA,16810,1,2016,NA,NA,NA
"149",149,"a0900067000080435  ",NA,0,-11,26,108,NA,1,NA,16810,1,2016,NA,NA,NA
"150",150,"a0900067000080436  ",NA,0,-6,31,63,NA,1,NA,16808,1,2016,NA,NA,NA
"151",151,"a0900067000080448  ",NA,0,-11,26,110,NA,1,NA,16810,1,2016,NA,NA,NA
"152",152,"a0900067000080462  ",NA,0,-8,29,94,NA,1,NA,16808,1,2016,NA,NA,NA
"153",153,"a0900067000080487  ",NA,0,-31,6,63,NA,1,NA,16810,1,2016,NA,NA,NA
"154",154,"a0900067000080489  ",NA,0,-20,17,67,NA,1,NA,16810,1,2016,NA,NA,NA
"155",155,"a0900067000080490  ",NA,0,-23,14,137,NA,1,NA,16810,1,2016,NA,NA,NA
"156",156,"a0900067000080499  ",13,1,12.5,13.5,142,142,1,60,16810,1,2016,16870,3,2016
"178",178,"a0900067000085014  ",0,1,-0.5,0.5,69,69,1,56,16810,1,2016,16866,3,2016
"180",180,"a0900067000085036  ",NA,0,-34,3,117,NA,1,NA,16810,1,2016,NA,NA,NA
"182",182,"a0900067000085069  ",NA,0,-28,9,65,NA,1,NA,16810,1,2016,NA,NA,NA
"184",184,"a0900067000085085  ",0,1,-0.5,0.5,138,140,1,56,16810,1,2016,16866,3,2016
"185",185,"a0900067000085113  ",NA,0,-21,16,82,NA,1,NA,16810,1,2016,NA,NA,NA
"186",186,"a0900067000085117  ",NA,0,-29,8,113,NA,1,NA,16810,1,2016,NA,NA,NA
"190",190,"a0900067000085180  ",-2,1,-2.5,-1.5,131,131,1,56,16810,1,2016,16866,3,2016
"194",194,"a0900067000085243  ",NA,0,-34,3,130,NA,1,NA,16810,1,2016,NA,NA,NA
"196",196,"a0900067000085279  ",NA,0,-24,13,65,NA,1,NA,16810,1,2016,NA,NA,NA
"197",197,"a0900067000085284  ",NA,0,-31,6,97,NA,1,NA,16810,1,2016,NA,NA,NA
"198",198,"a0900067000085370  ",NA,0,-21,16,89,NA,1,NA,16810,1,2016,NA,NA,NA
"199",199,"a0900067000085373  ",NA,0,-24,13,110,NA,1,NA,16810,1,2016,NA,NA,NA
"201",201,"a0900067000085390  ",NA,0,-23,14,70,NA,1,NA,16810,1,2016,NA,NA,NA
"202",202,"a0900067000085392  ",0,1,-0.5,0.5,142,137,1,60,16810,1,2016,16870,3,2016
"209",209,"a0900067000085479  ",0,1,-0.5,0.5,116,118,1,56,16810,1,2016,16866,3,2016
"210",210,"a0900067000085489  ",0,1,-0.5,0.5,123,121,1,56,16810,1,2016,16866,3,2016
