"","Y","Yrecap","DL","UL","IND_ID","Period","St_occ","End_occ"
"196",NA,0,-22,15,196,1,3,4
"198",NA,0,-29,8,198,1,3,4
"200",NA,0,-25,12,200,1,3,4
"205",NA,0,-20,17,205,1,3,4
"210",NA,0,-23,14,210,1,3,4
"211",NA,0,-26,11,211,1,3,4
"212",NA,0,-12,25,212,1,3,4
"213",NA,0,-23,14,213,1,3,4
"214",-1,1,-30,7,214,1,3,4
"215",NA,0,-33,4,215,1,3,4
"216",NA,0,-34,3,216,1,3,4
"217",NA,0,-34,3,217,1,3,4
"218",NA,0,-12,25,218,1,3,4
"219",3,1,-15,22,219,1,3,4
"220",NA,0,-34,3,220,1,3,4
"221",NA,0,-31,6,221,1,3,4
"222",0,1,-29,8,222,1,3,4
"223",NA,0,-20,17,223,1,3,4
"224",1,1,-28,9,224,1,3,4
"225",NA,0,-33,4,225,1,3,4
"226",0,1,-29,8,226,1,3,4
"227",NA,0,-29,8,227,1,3,4
"228",0,1,-33,4,228,1,3,4
"229",NA,0,-29,8,229,1,3,4
"230",0,1,-31,6,230,1,3,4
"231",0,1,-27,10,231,1,3,4
"232",0,1,-29,8,232,1,3,4
"233",-12,1,-24,13,233,1,3,4
"234",NA,0,-23,14,234,1,3,4
"235",NA,0,-28,9,235,1,3,4
"236",NA,0,-25,12,236,1,3,4
"237",NA,0,-12,25,237,1,3,4
"238",NA,0,-34,3,238,1,3,4
"239",NA,0,-25,12,239,1,3,4
"240",NA,0,-23,14,240,1,3,4
"241",NA,0,-33,4,241,1,3,4
"242",NA,0,-25,12,242,1,3,4
"243",0,1,-29,8,243,1,3,4
"244",NA,0,-29,8,244,1,3,4
"268",NA,0,-34,3,268,1,3,4
"274",NA,0,-24,13,274,1,3,4
"275",NA,0,-27,10,275,1,3,4
"282",0,1,-19,18,282,1,3,4
"283",NA,0,-29,8,283,1,3,4
"285",NA,0,-34,3,285,1,3,4
"286",NA,0,-24,13,286,1,3,4
"288",-1,1,-28,9,288,1,3,4
"292",NA,0,-29,8,292,1,3,4
"293",0,1,-26,11,293,1,3,4
"294",NA,0,-19,18,294,1,3,4
"295",0,1,-29,8,295,1,3,4
"296",NA,0,-29,8,296,1,3,4
"298",NA,0,-28,9,298,1,3,4
"299",NA,0,-27,10,299,1,3,4
"302",NA,0,-23,14,302,1,3,4
"304",NA,0,-34,3,304,1,3,4
"305",NA,0,-27,10,305,1,3,4
"549",0,1,-12,25,549,1,3,4
"925",NA,0,-20,17,197,2,4,5
"927",NA,0,-18,19,199,2,4,5
"931",NA,0,-37,0,203,2,4,5
"934",NA,0,-12,25,206,2,4,5
"942",1,1,-29,8,214,2,4,5
"947",NA,0,-18,19,219,2,4,5
"950",NA,0,-29,8,222,2,4,5
"952",NA,0,-29,8,224,2,4,5
"954",NA,0,-29,8,226,2,4,5
"956",-2,1,-33,4,228,2,4,5
"958",NA,0,-31,6,230,2,4,5
"959",NA,0,-27,10,231,2,4,5
"960",0,1,-29,8,232,2,4,5
"961",2,1,-12,25,233,2,4,5
"971",1,1,-29,8,243,2,4,5
"973",NA,0,-20,17,245,2,4,5
"974",NA,0,-17,20,246,2,4,5
"975",NA,0,-11,26,247,2,4,5
"976",NA,0,-27,10,248,2,4,5
"977",NA,0,-13,24,249,2,4,5
"978",-2,1,-16,21,250,2,4,5
"979",3,1,-12,25,251,2,4,5
"980",NA,0,-5,32,252,2,4,5
"981",NA,0,-5,32,253,2,4,5
"982",NA,0,-24,13,254,2,4,5
"983",NA,0,-26,11,255,2,4,5
"984",NA,0,-15,22,256,2,4,5
"985",NA,0,-23,14,257,2,4,5
"986",NA,0,-15,22,258,2,4,5
"987",NA,0,-24,13,259,2,4,5
"988",2,1,-24,13,260,2,4,5
"989",NA,0,-5,32,261,2,4,5
"990",NA,0,-13,24,262,2,4,5
"991",NA,0,-11,26,263,2,4,5
"992",NA,0,-6,31,264,2,4,5
"993",NA,0,-5,32,265,2,4,5
