"","ID","Y","Yrecap","DL","UL","Size","IND_ID","Period","St_occ","End_occ"
"196",196,NA,0,-22,15,146,"a0900067000077026  ",1,3,4
"198",198,NA,0,-29,8,96,"a0900067000077028  ",1,3,4
"200",200,NA,0,-25,12,122,"a0900067000077085  ",1,3,4
"205",205,NA,0,-20,17,115,"a0900067000077354  ",1,3,4
"210",210,NA,0,-23,14,140,"a0900067000077494  ",1,3,4
"211",211,NA,0,-26,11,50,"a0900067000080002  ",1,3,4
"212",212,NA,0,-12,25,117,"a0900067000080018  ",1,3,4
"213",213,NA,0,-23,14,95,"a0900067000080044  ",1,3,4
"214",214,-1,1,-30,7,71,"a0900067000080047  ",1,3,4
"215",215,NA,0,-33,4,102,"a0900067000080053  ",1,3,4
"216",216,NA,0,-34,3,90,"a0900067000080055  ",1,3,4
"217",217,NA,0,-34,3,139,"a0900067000080101  ",1,3,4
"218",218,NA,0,-12,25,61,"a0900067000080109  ",1,3,4
"219",219,3,1,-15,22,137,"a0900067000080112  ",1,3,4
"220",220,NA,0,-34,3,121,"a0900067000080118  ",1,3,4
"221",221,NA,0,-31,6,100,"a0900067000080128  ",1,3,4
"222",222,0,1,-29,8,75,"a0900067000080153  ",1,3,4
"223",223,NA,0,-20,17,147,"a0900067000080172  ",1,3,4
"224",224,1,1,-28,9,128,"a0900067000080187  ",1,3,4
"225",225,NA,0,-33,4,134,"a0900067000080197  ",1,3,4
"226",226,0,1,-29,8,84,"a0900067000080200  ",1,3,4
"227",227,NA,0,-29,8,85,"a0900067000080216  ",1,3,4
"228",228,0,1,-33,4,100,"a0900067000080218  ",1,3,4
"229",229,NA,0,-29,8,84,"a0900067000080231  ",1,3,4
"230",230,0,1,-31,6,83,"a0900067000080267  ",1,3,4
"231",231,0,1,-27,10,93,"a0900067000080291  ",1,3,4
"232",232,0,1,-29,8,88,"a0900067000080302  ",1,3,4
"233",233,-12,1,-24,13,96,"a0900067000080312  ",1,3,4
"234",234,NA,0,-23,14,85,"a0900067000080320  ",1,3,4
"235",235,NA,0,-28,9,167,"a0900067000080331  ",1,3,4
"236",236,NA,0,-25,12,71,"a0900067000080346  ",1,3,4
"237",237,NA,0,-12,25,129,"a0900067000080358  ",1,3,4
"238",238,NA,0,-34,3,56,"a0900067000080365  ",1,3,4
"239",239,NA,0,-25,12,103,"a0900067000080370  ",1,3,4
"240",240,NA,0,-23,14,154,"a0900067000080391  ",1,3,4
"241",241,NA,0,-33,4,92,"a0900067000080442  ",1,3,4
"242",242,NA,0,-25,12,94,"a0900067000080455  ",1,3,4
"243",243,0,1,-29,8,82,"a0900067000080457  ",1,3,4
"244",244,NA,0,-29,8,75,"a0900067000080460  ",1,3,4
"268",268,NA,0,-34,3,106,"a0900067000085011  ",1,3,4
"274",274,NA,0,-24,13,86,"a0900067000085060  ",1,3,4
"275",275,NA,0,-27,10,121,"a0900067000085075  ",1,3,4
"282",282,0,1,-19,18,81,"a0900067000085197  ",1,3,4
"283",283,NA,0,-29,8,85,"a0900067000085199  ",1,3,4
"285",285,NA,0,-34,3,80,"a0900067000085211  ",1,3,4
"286",286,NA,0,-24,13,142,"a0900067000085212  ",1,3,4
"288",288,-1,1,-28,9,151,"a0900067000085250  ",1,3,4
"292",292,NA,0,-29,8,100,"a0900067000085328  ",1,3,4
"293",293,0,1,-26,11,90,"a0900067000085343  ",1,3,4
"294",294,NA,0,-19,18,113,"a0900067000085348  ",1,3,4
"295",295,0,1,-29,8,81,"a0900067000085349  ",1,3,4
"296",296,NA,0,-29,8,97,"a0900067000085360  ",1,3,4
"298",298,NA,0,-28,9,124,"a0900067000085374  ",1,3,4
"299",299,NA,0,-27,10,132,"a0900067000085377  ",1,3,4
"302",302,NA,0,-23,14,110,"a0900067000085413  ",1,3,4
"304",304,NA,0,-34,3,161,"a0900067000085437  ",1,3,4
"305",305,NA,0,-27,10,127,"a0900067000085440  ",1,3,4
"549",549,0,1,-12,25,147,"a0982000403060049  ",1,3,4
"925",197,NA,0,-20,17,81,"a0900067000077027  ",2,4,5
"927",199,NA,0,-18,19,126,"a0900067000077029  ",2,4,5
"931",203,NA,0,-37,0,101,"a0900067000077209  ",2,4,5
"934",206,NA,0,-12,25,117,"a0900067000077380  ",2,4,5
"942",214,1,1,-29,8,67,"a0900067000080047  ",2,4,5
"947",219,NA,0,-18,19,137,"a0900067000080112  ",2,4,5
"950",222,NA,0,-29,8,75,"a0900067000080153  ",2,4,5
"952",224,NA,0,-29,8,125,"a0900067000080187  ",2,4,5
"954",226,NA,0,-29,8,82,"a0900067000080200  ",2,4,5
"956",228,-2,1,-33,4,99,"a0900067000080218  ",2,4,5
"958",230,NA,0,-31,6,80,"a0900067000080267  ",2,4,5
"959",231,NA,0,-27,10,91,"a0900067000080291  ",2,4,5
"960",232,0,1,-29,8,88,"a0900067000080302  ",2,4,5
"961",233,2,1,-12,25,97,"a0900067000080312  ",2,4,5
"971",243,1,1,-29,8,81,"a0900067000080457  ",2,4,5
"973",245,NA,0,-20,17,130,"a0900067000080511  ",2,4,5
"974",246,NA,0,-17,20,84,"a0900067000080519  ",2,4,5
"975",247,NA,0,-11,26,102,"a0900067000080534  ",2,4,5
"976",248,NA,0,-27,10,142,"a0900067000080587  ",2,4,5
"977",249,NA,0,-13,24,51,"a0900067000080618  ",2,4,5
"978",250,-2,1,-16,21,45,"a0900067000080634  ",2,4,5
"979",251,3,1,-12,25,62,"a0900067000080650  ",2,4,5
