"","ID","IND_ID","Y","Yrecap","DL","UL","St_Size","End_Size","Period","Interval","St_Month","St_Year","End_Month","End_Year"
"196",196,"a0900067000077026  ",NA,0,-22,15,146,NA,1,NA,1,2016,NA,NA
"198",198,"a0900067000077028  ",NA,0,-29,8,96,NA,1,NA,1,2016,NA,NA
"200",200,"a0900067000077085  ",NA,0,-25,12,122,NA,1,NA,1,2016,NA,NA
"205",205,"a0900067000077354  ",NA,0,-20,17,115,NA,1,NA,1,2016,NA,NA
"210",210,"a0900067000077494  ",NA,0,-23,14,140,NA,1,NA,1,2016,NA,NA
"211",211,"a0900067000080002  ",NA,0,-26,11,50,NA,1,NA,1,2016,NA,NA
"212",212,"a0900067000080018  ",NA,0,-12,25,117,NA,1,NA,1,2016,NA,NA
"213",213,"a0900067000080044  ",NA,0,-23,14,95,NA,1,NA,1,2016,NA,NA
"214",214,"a0900067000080047  ",-1,1,-1.5,-0.5,71,67,1,56,1,2016,3,2016
"215",215,"a0900067000080053  ",NA,0,-33,4,102,NA,1,NA,1,2016,NA,NA
"216",216,"a0900067000080055  ",NA,0,-34,3,90,NA,1,NA,1,2016,NA,NA
"217",217,"a0900067000080101  ",NA,0,-34,3,139,NA,1,NA,1,2016,NA,NA
"218",218,"a0900067000080109  ",NA,0,-12,25,61,NA,1,NA,1,2016,NA,NA
"219",219,"a0900067000080112  ",3,1,2.5,3.5,137,137,1,56,1,2016,3,2016
"220",220,"a0900067000080118  ",NA,0,-34,3,121,NA,1,NA,1,2016,NA,NA
"221",221,"a0900067000080128  ",NA,0,-31,6,100,NA,1,NA,1,2016,NA,NA
"222",222,"a0900067000080153  ",0,1,-0.5,0.5,75,75,1,56,1,2016,3,2016
"223",223,"a0900067000080172  ",NA,0,-20,17,147,NA,1,NA,1,2016,NA,NA
"224",224,"a0900067000080187  ",1,1,0.5,1.5,128,125,1,56,1,2016,3,2016
"225",225,"a0900067000080197  ",NA,0,-33,4,134,NA,1,NA,1,2016,NA,NA
"226",226,"a0900067000080200  ",0,1,-0.5,0.5,84,82,1,56,1,2016,3,2016
"227",227,"a0900067000080216  ",NA,0,-29,8,85,NA,1,NA,1,2016,NA,NA
"228",228,"a0900067000080218  ",0,1,-0.5,0.5,100,99,1,60,1,2016,3,2016
"229",229,"a0900067000080231  ",NA,0,-29,8,84,NA,1,NA,1,2016,NA,NA
"230",230,"a0900067000080267  ",0,1,-0.5,0.5,83,80,1,56,1,2016,3,2016
"231",231,"a0900067000080291  ",0,1,-0.5,0.5,93,91,1,56,1,2016,3,2016
"232",232,"a0900067000080302  ",0,1,-0.5,0.5,88,88,1,56,1,2016,3,2016
"233",233,"a0900067000080312  ",-12,1,-12.5,-11.5,96,97,1,54,1,2016,3,2016
"234",234,"a0900067000080320  ",NA,0,-23,14,85,NA,1,NA,1,2016,NA,NA
"235",235,"a0900067000080331  ",NA,0,-28,9,167,NA,1,NA,1,2016,NA,NA
"236",236,"a0900067000080346  ",NA,0,-25,12,71,NA,1,NA,1,2016,NA,NA
"237",237,"a0900067000080358  ",NA,0,-12,25,129,NA,1,NA,1,2016,NA,NA
"238",238,"a0900067000080365  ",NA,0,-34,3,56,NA,1,NA,1,2016,NA,NA
"239",239,"a0900067000080370  ",NA,0,-25,12,103,NA,1,NA,1,2016,NA,NA
"240",240,"a0900067000080391  ",NA,0,-23,14,154,NA,1,NA,1,2016,NA,NA
"241",241,"a0900067000080442  ",NA,0,-33,4,92,NA,1,NA,1,2016,NA,NA
"242",242,"a0900067000080455  ",NA,0,-25,12,94,NA,1,NA,1,2016,NA,NA
"243",243,"a0900067000080457  ",0,1,-0.5,0.5,82,81,1,56,1,2016,3,2016
"244",244,"a0900067000080460  ",NA,0,-29,8,75,NA,1,NA,1,2016,NA,NA
"268",268,"a0900067000085011  ",NA,0,-34,3,106,NA,1,NA,1,2016,NA,NA
"274",274,"a0900067000085060  ",NA,0,-24,13,86,NA,1,NA,1,2016,NA,NA
"275",275,"a0900067000085075  ",NA,0,-27,10,121,NA,1,NA,1,2016,NA,NA
"282",282,"a0900067000085197  ",0,1,-0.5,0.5,81,89,1,56,1,2016,3,2016
"283",283,"a0900067000085199  ",NA,0,-29,8,85,NA,1,NA,1,2016,NA,NA
"285",285,"a0900067000085211  ",NA,0,-34,3,80,NA,1,NA,1,2016,NA,NA
"286",286,"a0900067000085212  ",NA,0,-24,13,142,NA,1,NA,1,2016,NA,NA
"288",288,"a0900067000085250  ",-1,1,-1.5,-0.5,151,157,1,56,1,2016,3,2016
"292",292,"a0900067000085328  ",NA,0,-29,8,100,NA,1,NA,1,2016,NA,NA
"293",293,"a0900067000085343  ",0,1,-0.5,0.5,90,92,1,56,1,2016,3,2016
"294",294,"a0900067000085348  ",NA,0,-19,18,113,NA,1,NA,1,2016,NA,NA
"295",295,"a0900067000085349  ",0,1,-0.5,0.5,81,80,1,56,1,2016,3,2016
"296",296,"a0900067000085360  ",NA,0,-29,8,97,NA,1,NA,1,2016,NA,NA
"298",298,"a0900067000085374  ",NA,0,-28,9,124,NA,1,NA,1,2016,NA,NA
"299",299,"a0900067000085377  ",NA,0,-27,10,132,NA,1,NA,1,2016,NA,NA
