"","Y","Yrecap","DL","UL","IND_ID","Period","St_occ","End_occ"
"194",0,1,-22,15,194,1,3,4
"196",13,1,-20,17,196,1,3,4
"200",0,1,-14,23,200,1,3,4
"202",0,1,-14,23,202,1,3,4
"203",NA,0,-18,19,203,1,3,4
"204",NA,0,-23,14,204,1,3,4
"205",NA,0,-14,23,205,1,3,4
"206",0,1,-16,21,206,1,3,4
"207",0,1,-22,15,207,1,3,4
"208",NA,0,-26,11,208,1,3,4
"209",0,1,-14,23,209,1,3,4
"210",NA,0,-14,23,210,1,3,4
"212",NA,0,-14,23,212,1,3,4
"213",2,1,-17,20,213,1,3,4
"215",NA,0,-17,20,215,1,3,4
"216",NA,0,-22,15,216,1,3,4
"217",NA,0,-13,24,217,1,3,4
"220",0,1,-21,16,220,1,3,4
"221",0,1,-17,20,221,1,3,4
"222",NA,0,-28,9,222,1,3,4
"223",NA,0,-33,4,223,1,3,4
"224",NA,0,-22,15,224,1,3,4
"225",1,1,-31,6,225,1,3,4
"226",NA,0,-8,29,226,1,3,4
"227",NA,0,-20,17,227,1,3,4
"228",NA,0,-19,18,228,1,3,4
"229",NA,0,-26,11,229,1,3,4
"230",0,1,-21,16,230,1,3,4
"231",NA,0,-19,18,231,1,3,4
"232",NA,0,-18,19,232,1,3,4
"233",NA,0,-11,26,233,1,3,4
"234",0,1,-25,12,234,1,3,4
"235",4,1,-21,16,235,1,3,4
"236",NA,0,-5,32,236,1,3,4
"237",NA,0,-22,15,237,1,3,4
"239",NA,0,-26,11,239,1,3,4
"240",NA,0,-5,32,240,1,3,4
"241",1,1,-11,26,241,1,3,4
"242",0,1,-8,29,242,1,3,4
"243",NA,0,-24,13,243,1,3,4
"244",NA,0,-12,25,244,1,3,4
"245",NA,0,-5,32,245,1,3,4
"246",NA,0,-21,16,246,1,3,4
"248",NA,0,-30,7,248,1,3,4
"249",NA,0,-23,14,249,1,3,4
"250",NA,0,-21,16,250,1,3,4
"251",NA,0,-22,15,251,1,3,4
"252",NA,0,-6,31,252,1,3,4
"253",NA,0,-14,23,253,1,3,4
"254",NA,0,-6,31,254,1,3,4
"255",NA,0,-26,11,255,1,3,4
"256",NA,0,-21,16,256,1,3,4
"257",0,1,-26,11,257,1,3,4
"258",NA,0,-18,19,258,1,3,4
"259",NA,0,-33,4,259,1,3,4
"260",-1,1,-8,29,260,1,3,4
"261",-2,1,-26,11,261,1,3,4
"262",NA,0,-8,29,262,1,3,4
"263",NA,0,-22,15,263,1,3,4
"264",-2,1,-4,33,264,1,3,4
"265",NA,0,-8,29,265,1,3,4
"266",-1,1,-11,26,266,1,3,4
"267",NA,0,-21,16,267,1,3,4
"268",NA,0,-26,11,268,1,3,4
"269",NA,0,-6,31,269,1,3,4
"270",2,1,-7,30,270,1,3,4
"272",NA,0,-8,29,272,1,3,4
"273",NA,0,-8,29,273,1,3,4
"274",1,1,-13,24,274,1,3,4
"275",NA,0,-25,12,275,1,3,4
"276",NA,0,-18,19,276,1,3,4
"277",NA,0,-7,30,277,1,3,4
"278",NA,0,-28,9,278,1,3,4
"279",NA,0,-18,19,279,1,3,4
"280",NA,0,-14,23,280,1,3,4
"281",NA,0,-18,19,281,1,3,4
"282",NA,0,-28,9,282,1,3,4
"284",2,1,-23,14,284,1,3,4
"285",NA,0,-12,25,285,1,3,4
"286",NA,0,-21,16,286,1,3,4
"287",NA,0,-31,6,287,1,3,4
"288",NA,0,-8,29,288,1,3,4
"290",NA,0,-21,16,290,1,3,4
"292",NA,0,-17,20,292,1,3,4
"293",0,1,-8,29,293,1,3,4
"294",NA,0,-31,6,294,1,3,4
"295",NA,0,-21,16,295,1,3,4
"296",NA,0,-6,31,296,1,3,4
"297",NA,0,-9,28,297,1,3,4
"298",NA,0,-4,33,298,1,3,4
"299",NA,0,-14,23,299,1,3,4
"300",NA,0,-23,14,300,1,3,4
"301",NA,0,-11,26,301,1,3,4
"302",1,1,-21,16,302,1,3,4
"303",NA,0,-7,30,303,1,3,4
"304",NA,0,-15,22,304,1,3,4
"305",NA,0,-6,31,305,1,3,4
"306",NA,0,-19,18,306,1,3,4
"307",NA,0,-9,28,307,1,3,4
"308",NA,0,-4,33,308,1,3,4
"309",NA,0,-22,15,309,1,3,4
"310",1,1,-22,15,310,1,3,4
"311",NA,0,-9,28,311,1,3,4
"312",NA,0,-23,14,312,1,3,4
"313",NA,0,-21,16,313,1,3,4
"315",NA,0,-9,28,315,1,3,4
"316",0,1,-8,29,316,1,3,4
"317",NA,0,-32,5,317,1,3,4
"318",NA,0,-25,12,318,1,3,4
"321",NA,0,-14,23,321,1,3,4
"322",NA,0,-11,26,322,1,3,4
"323",1,1,-4,33,323,1,3,4
"324",NA,0,-18,19,324,1,3,4
"326",NA,0,-8,29,326,1,3,4
"327",NA,0,-26,11,327,1,3,4
"328",5,1,-21,16,328,1,3,4
"329",NA,0,-11,26,329,1,3,4
"330",NA,0,-26,11,330,1,3,4
"376",0,1,-18,19,376,1,3,4
"377",NA,0,-13,24,377,1,3,4
"378",-1,1,-17,20,378,1,3,4
"380",0,1,-14,23,380,1,3,4
"390",NA,0,-17,20,390,1,3,4
"391",0,1,-36,1,391,1,3,4
"392",0,1,-19,18,392,1,3,4
"393",NA,0,-33,4,393,1,3,4
"396",0,1,-30,7,396,1,3,4
"402",NA,0,-32,5,402,1,3,4
"404",0,1,-17,20,404,1,3,4
"408",NA,0,-31,6,408,1,3,4
"409",NA,0,-32,5,409,1,3,4
"410",NA,0,-22,15,410,1,3,4
"411",0,1,-19,18,411,1,3,4
"412",NA,0,-33,4,412,1,3,4
"413",2,1,-26,11,413,1,3,4
"414",NA,0,-32,5,414,1,3,4
"416",NA,0,-17,20,416,1,3,4
"418",NA,0,-26,11,418,1,3,4
"421",0,1,-19,18,421,1,3,4
"422",NA,0,-26,11,422,1,3,4
