"","ID","IND_ID","Y","Yrecap","DL","UL","St_Size","End_Size","Period","Interval","St_Month","St_Year","End_Month","End_Year"
"194",194,"a0900067000077002  ",0,1,-22,15,75,76,1,56,1,2016,3,2016
"196",196,"a0900067000077047  ",13,1,-20,17,78,77,1,60,1,2016,3,2016
"200",200,"a0900067000077122  ",0,1,-14,23,83,82,1,56,1,2016,3,2016
"202",202,"a0900067000077159  ",0,1,-14,23,74,73,1,56,1,2016,3,2016
"203",203,"a0900067000077189  ",NA,0,-18,19,72,NA,1,NA,1,2016,NA,NA
"204",204,"a0900067000077197  ",NA,0,-23,14,74,NA,1,NA,1,2016,NA,NA
"205",205,"a0900067000077218  ",NA,0,-14,23,81,NA,1,NA,1,2016,NA,NA
"206",206,"a0900067000077238  ",0,1,-16,21,76,75,1,56,1,2016,3,2016
"207",207,"a0900067000077283  ",0,1,-22,15,67,68,1,56,1,2016,3,2016
"208",208,"a0900067000077288  ",NA,0,-26,11,62,NA,1,NA,1,2016,NA,NA
"209",209,"a0900067000077293  ",0,1,-14,23,80,78,1,56,1,2016,3,2016
"210",210,"a0900067000077302  ",NA,0,-14,23,74,NA,1,NA,1,2016,NA,NA
"212",212,"a0900067000077331  ",NA,0,-14,23,72,NA,1,NA,1,2016,NA,NA
"213",213,"a0900067000077347  ",2,1,-17,20,73,74,1,56,1,2016,3,2016
"215",215,"a0900067000077360  ",NA,0,-17,20,70,NA,1,NA,1,2016,NA,NA
"216",216,"a0900067000077371  ",NA,0,-22,15,78,NA,1,NA,1,2016,NA,NA
"217",217,"a0900067000077390  ",NA,0,-13,24,68,NA,1,NA,1,2016,NA,NA
"220",220,"a0900067000077459  ",0,1,-21,16,69,69,1,56,1,2016,3,2016
"221",221,"a0900067000077497  ",0,1,-17,20,71,71,1,56,1,2016,3,2016
"222",222,"a0900067000080003  ",NA,0,-28,9,84,NA,1,NA,1,2016,NA,NA
"223",223,"a0900067000080005  ",NA,0,-33,4,65,NA,1,NA,1,2016,NA,NA
"224",224,"a0900067000080007  ",NA,0,-22,15,59,NA,1,NA,1,2016,NA,NA
"225",225,"a0900067000080008  ",1,1,-31,6,74,74,1,56,1,2016,3,2016
"226",226,"a0900067000080009  ",NA,0,-8,29,62,NA,1,NA,1,2016,NA,NA
"227",227,"a0900067000080011  ",NA,0,-20,17,71,NA,1,NA,1,2016,NA,NA
"228",228,"a0900067000080017  ",NA,0,-19,18,66,NA,1,NA,1,2016,NA,NA
"229",229,"a0900067000080023  ",NA,0,-26,11,59,NA,1,NA,1,2016,NA,NA
"230",230,"a0900067000080026  ",0,1,-21,16,73,74,1,56,1,2016,3,2016
"231",231,"a0900067000080028  ",NA,0,-19,18,67,NA,1,NA,1,2016,NA,NA
"232",232,"a0900067000080030  ",NA,0,-18,19,55,NA,1,NA,1,2016,NA,NA
"233",233,"a0900067000080036  ",NA,0,-11,26,60,NA,1,NA,1,2016,NA,NA
"234",234,"a0900067000080037  ",0,1,-25,12,79,77,1,56,1,2016,3,2016
