"","Y","Yrecap","DL","UL","IND_ID","Period","St_occ","End_occ"
"86",-1,1,-17,20,86,1,3,4
"88",0,1,-34,3,88,1,3,4
"89",NA,0,-25,12,89,1,3,4
"90",1,1,-16,21,90,1,3,4
"91",NA,0,-31,6,91,1,3,4
"92",NA,0,-28,9,92,1,3,4
"93",NA,0,-34,3,93,1,3,4
"94",NA,0,-12,25,94,1,3,4
"95",NA,0,-29,8,95,1,3,4
"96",25,1,-12,25,96,1,3,4
"97",NA,0,-18,19,97,1,3,4
"98",NA,0,-12,25,98,1,3,4
"99",NA,0,-23,14,99,1,3,4
"100",NA,0,-31,6,100,1,3,4
"101",NA,0,-18,19,101,1,3,4
"102",-1,1,-19,18,102,1,3,4
"103",NA,0,-23,14,103,1,3,4
"104",NA,0,-27,10,104,1,3,4
"114",1,1,-21,16,114,1,3,4
"115",NA,0,-20,17,115,1,3,4
"116",NA,0,-29,8,116,1,3,4
"117",NA,0,-22,15,117,1,3,4
"122",0,1,-20,17,122,1,3,4
"235",0,1,-14,23,235,1,3,4
"236",NA,0,-12,25,236,1,3,4
"352",NA,0,-19,18,85,2,4,5
"353",NA,0,-16,21,86,2,4,5
"355",NA,0,-34,3,88,2,4,5
"357",NA,0,-17,20,90,2,4,5
"363",NA,0,-37,0,96,2,4,5
"369",NA,0,-18,19,102,2,4,5
"372",NA,0,-25,12,105,2,4,5
"373",NA,0,-15,22,106,2,4,5
"374",NA,0,-22,15,107,2,4,5
"375",NA,0,-19,18,108,2,4,5
"376",NA,0,-19,18,109,2,4,5
"377",NA,0,-22,15,110,2,4,5
"378",NA,0,-12,25,111,2,4,5
"379",NA,0,-18,19,112,2,4,5
"380",NA,0,-20,17,113,2,4,5
"381",NA,0,-22,15,114,2,4,5
"386",NA,0,-16,21,119,2,4,5
"388",NA,0,-26,11,121,2,4,5
"389",NA,0,-20,17,122,2,4,5
"502",NA,0,-14,23,235,2,4,5
"521",-2,1,-33,4,254,2,4,5
"522",NA,0,-34,3,255,2,4,5
"523",NA,0,-31,6,256,2,4,5
"524",NA,0,-28,9,257,2,4,5
"526",NA,0,-32,5,259,2,4,5
"621",NA,0,-12,25,87,3,5,6
"626",0,1,-28,9,92,3,5,6
"628",NA,0,-18,19,94,3,5,6
"632",0,1,-12,25,98,3,5,6
"634",0,1,-31,6,100,3,5,6
"652",NA,0,-24,13,118,3,5,6
"775",NA,0,-28,9,241,3,5,6
"776",NA,0,-31,6,242,3,5,6
"777",NA,0,-21,16,243,3,5,6
"788",NA,0,-31,6,254,3,5,6
"792",NA,0,-29,8,258,3,5,6
"801",NA,0,-16,21,267,3,5,6
"884",0,1,-27,10,83,4,6,7
"890",NA,0,-28,9,89,4,6,7
"893",NA,0,-28,9,92,4,6,7
"899",3,1,-12,25,98,4,6,7
"901",NA,0,-31,6,100,4,6,7
"918",4,1,-23,14,117,4,6,7
"1036",NA,0,-13,24,235,4,6,7
"1038",NA,0,-31,6,237,4,6,7
"1039",NA,0,-31,6,238,4,6,7
"1040",NA,0,-31,6,239,4,6,7
"1041",NA,0,-33,4,240,4,6,7
"1045",0,1,-12,25,244,4,6,7
"1046",NA,0,-6,31,245,4,6,7
"1047",2,1,-4,33,246,4,6,7
"1048",NA,0,-20,17,247,4,6,7
"1049",NA,0,-30,7,248,4,6,7
"1050",0,1,-28,9,249,4,6,7
"1051",NA,0,-27,10,250,4,6,7
"1052",10,1,-27,10,251,4,6,7
"1053",-1,1,-24,13,252,4,6,7
"1054",NA,0,-28,9,253,4,6,7
"1058",NA,0,-28,9,257,4,6,7
"1151",3,1,-27,10,83,5,7,8
"1152",NA,0,-22,15,84,5,7,8
"1166",0,1,-15,22,98,5,7,8
"1185",-4,1,-27,10,117,5,7,8
"1188",-4,1,-27,10,120,5,7,8
"1205",NA,0,-28,9,137,5,7,8
"1304",NA,0,-11,26,236,5,7,8
"1311",NA,0,-13,24,243,5,7,8
"1312",1,1,-12,25,244,5,7,8
"1314",3,1,-6,31,246,5,7,8
"1317",0,1,-28,9,249,5,7,8
"1319",NA,0,-37,0,251,5,7,8
"1320",1,1,-23,14,252,5,7,8
"1322",NA,0,-34,3,254,5,7,8
"1323",NA,0,-34,3,255,5,7,8
"1328",0,1,-10,27,260,5,7,8
"1329",0,1,-10,27,261,5,7,8
"1330",NA,0,-19,18,262,5,7,8
"1331",NA,0,-13,24,263,5,7,8
"1332",NA,0,-18,19,264,5,7,8
"1333",NA,0,-23,14,265,5,7,8
"1334",0,1,-19,18,266,5,7,8
"1418",NA,0,-30,7,83,6,8,9
"1428",NA,0,-34,3,93,6,8,9
"1433",NA,0,-15,22,98,6,8,9
"1447",15,1,-19,18,112,6,8,9
"1448",NA,0,-20,17,113,6,8,9
"1450",NA,0,-23,14,115,6,8,9
"1452",NA,0,-23,14,117,6,8,9
"1455",5,1,-23,14,120,6,8,9
"1458",NA,0,-12,25,123,6,8,9
"1459",0,1,-11,26,124,6,8,9
"1460",NA,0,-13,24,125,6,8,9
"1461",NA,0,-23,14,126,6,8,9
"1462",2,1,-16,21,127,6,8,9
"1463",NA,0,-10,27,128,6,8,9
"1464",NA,0,-21,16,129,6,8,9
"1465",NA,0,-10,27,130,6,8,9
"1466",-1,1,-16,21,131,6,8,9
"1467",0,1,-16,21,132,6,8,9
"1468",4,1,-8,29,133,6,8,9
"1469",1,1,-25,12,134,6,8,9
"1470",-4,1,-33,4,135,6,8,9
"1471",NA,0,-30,7,136,6,8,9
"1473",NA,0,-16,21,138,6,8,9
"1474",NA,0,-22,15,139,6,8,9
"1475",NA,0,-25,12,140,6,8,9
"1476",NA,0,-22,15,141,6,8,9
"1477",NA,0,-25,12,142,6,8,9
"1478",NA,0,-24,13,143,6,8,9
"1479",NA,0,-25,12,144,6,8,9
"1480",NA,0,-25,12,145,6,8,9
"1481",-1,1,-19,18,146,6,8,9
"1482",-1,1,-16,21,147,6,8,9
"1483",NA,0,-22,15,148,6,8,9
"1484",0,1,-12,25,149,6,8,9
"1574",5,1,-31,6,239,6,8,9
"1579",NA,0,-13,24,244,6,8,9
"1581",-1,1,-9,28,246,6,8,9
"1584",0,1,-28,9,249,6,8,9
"1585",0,1,-10,27,250,6,8,9
"1587",-1,1,-24,13,252,6,8,9
