"","Y","Yrecap","DL","UL","Size","IND_ID","Period","St_occ","End_occ"
"86",-1,1,-17,9,91,86,1,3,4
"88",0,1,-34,-8,84,88,1,3,4
"89",NA,0,-25,1,53,89,1,3,4
"90",1,1,-16,10,58,90,1,3,4
"91",NA,0,-31,-5,53,91,1,3,4
"92",NA,0,-28,-2,87,92,1,3,4
"93",NA,0,-34,-8,82,93,1,3,4
"94",NA,0,-12,14,179,94,1,3,4
"95",NA,0,-29,-3,54,95,1,3,4
"96",25,1,-12,14,203,96,1,3,4
"97",NA,0,-18,8,207,97,1,3,4
"98",NA,0,-12,14,97,98,1,3,4
"99",NA,0,-23,3,52,99,1,3,4
"100",NA,0,-31,-5,93,100,1,3,4
"101",NA,0,-18,8,94,101,1,3,4
"102",-1,1,-19,7,58,102,1,3,4
"103",NA,0,-23,3,53,103,1,3,4
"104",NA,0,-27,-1,167,104,1,3,4
"114",1,1,-21,5,80,114,1,3,4
"115",NA,0,-20,6,92,115,1,3,4
"116",NA,0,-29,-3,81,116,1,3,4
"117",NA,0,-22,4,94,117,1,3,4
"122",0,1,-20,6,58,122,1,3,4
"235",0,1,-14,12,95,235,1,3,4
"236",NA,0,-12,14,96,236,1,3,4
"352",NA,0,-19,7,185,85,2,4,5
"353",NA,0,-16,10,91,86,2,4,5
"355",NA,0,-34,-8,83,88,2,4,5
"357",NA,0,-17,9,58,90,2,4,5
"363",NA,0,-37,-11,199,96,2,4,5
"369",NA,0,-18,8,57,102,2,4,5
"372",NA,0,-25,1,82,105,2,4,5
"373",NA,0,-15,11,53,106,2,4,5
"374",NA,0,-22,4,51,107,2,4,5
"375",NA,0,-19,7,51,108,2,4,5
"376",NA,0,-19,7,190,109,2,4,5
"377",NA,0,-22,4,57,110,2,4,5
"378",NA,0,-12,14,49,111,2,4,5
"379",NA,0,-18,8,95,112,2,4,5
"380",NA,0,-20,6,52,113,2,4,5
"381",NA,0,-22,4,77,114,2,4,5
"386",NA,0,-16,10,88,119,2,4,5
"388",NA,0,-26,0,83,121,2,4,5
"389",NA,0,-20,6,60,122,2,4,5
"502",NA,0,-14,12,94,235,2,4,5
"521",-2,1,-33,-7,88,254,2,4,5
"522",NA,0,-34,-8,80,255,2,4,5
"523",NA,0,-31,-5,50,256,2,4,5
"524",NA,0,-28,-2,48,257,2,4,5
"526",NA,0,-32,-6,96,259,2,4,5
"621",NA,0,-12,14,115,87,3,5,6
"626",0,1,-28,-2,103,92,3,5,6
"628",NA,0,-18,8,182,94,3,5,6
"632",0,1,-12,14,108,98,3,5,6
"634",0,1,-31,-5,103,100,3,5,6
"652",NA,0,-24,2,106,118,3,5,6
"775",NA,0,-28,-2,54,241,3,5,6
"776",NA,0,-31,-5,106,242,3,5,6
"777",NA,0,-21,5,63,243,3,5,6
"788",NA,0,-31,-5,101,254,3,5,6
"792",NA,0,-29,-3,62,258,3,5,6
"801",NA,0,-16,10,65,267,3,5,6
"884",0,1,-27,-1,112,83,4,6,7
"890",NA,0,-28,-2,82,89,4,6,7
"893",NA,0,-28,-2,122,92,4,6,7
"899",3,1,-12,14,127,98,4,6,7
"901",NA,0,-31,-5,113,100,4,6,7
"918",4,1,-23,3,125,117,4,6,7
"1036",NA,0,-13,13,116,235,4,6,7
"1038",NA,0,-31,-5,62,237,4,6,7
"1039",NA,0,-31,-5,69,238,4,6,7
"1040",NA,0,-31,-5,76,239,4,6,7
"1041",NA,0,-33,-7,80,240,4,6,7
"1045",0,1,-12,14,68,244,4,6,7
"1046",NA,0,-6,20,66,245,4,6,7
"1047",2,1,-4,22,58,246,4,6,7
"1048",NA,0,-20,6,88,247,4,6,7
"1049",NA,0,-30,-4,82,248,4,6,7
"1050",0,1,-28,-2,115,249,4,6,7
"1051",NA,0,-27,-1,115,250,4,6,7
"1052",10,1,-27,-1,67,251,4,6,7
"1053",-1,1,-24,2,61,252,4,6,7
"1054",NA,0,-28,-2,149,253,4,6,7
"1058",NA,0,-28,-2,73,257,4,6,7
"1151",3,1,-27,-1,119,83,5,7,8
"1152",NA,0,-22,4,111,84,5,7,8
"1166",0,1,-15,11,140,98,5,7,8
"1185",-4,1,-27,-1,129,117,5,7,8
"1188",-4,1,-27,-1,131,120,5,7,8
"1205",NA,0,-28,-2,85,137,5,7,8
"1304",NA,0,-11,15,125,236,5,7,8
"1311",NA,0,-13,13,90,243,5,7,8
"1312",1,1,-12,14,69,244,5,7,8
"1314",3,1,-6,20,72,246,5,7,8
"1317",0,1,-28,-2,122,249,5,7,8
"1319",NA,0,-37,-11,71,251,5,7,8
"1320",1,1,-23,3,68,252,5,7,8
"1322",NA,0,-34,-8,120,254,5,7,8
