"","ID","Y","Yrecap","DL","UL","Size","IND_ID","Period","St_occ","End_occ"
"86",86,-1,1,-17,20,91,"a0900067000077437  ",1,3,4
"88",88,0,1,-34,3,84,"a0900067000080082  ",1,3,4
"89",89,NA,0,-25,12,53,"a0900067000080096  ",1,3,4
"90",90,1,1,-16,21,58,"a0900067000080217  ",1,3,4
"91",91,NA,0,-31,6,53,"a0900067000080220  ",1,3,4
"92",92,NA,0,-28,9,87,"a0900067000080241  ",1,3,4
"93",93,NA,0,-34,3,82,"a0900067000080246  ",1,3,4
"94",94,NA,0,-12,25,179,"a0900067000080260  ",1,3,4
"95",95,NA,0,-29,8,54,"a0900067000080266  ",1,3,4
"96",96,25,1,-12,25,203,"a0900067000080303  ",1,3,4
"97",97,NA,0,-18,19,207,"a0900067000080343  ",1,3,4
"98",98,NA,0,-12,25,97,"a0900067000080380  ",1,3,4
"99",99,NA,0,-23,14,52,"a0900067000080385  ",1,3,4
"100",100,NA,0,-31,6,93,"a0900067000080409  ",1,3,4
"101",101,NA,0,-18,19,94,"a0900067000080412  ",1,3,4
"102",102,-1,1,-19,18,58,"a0900067000080416  ",1,3,4
"103",103,NA,0,-23,14,53,"a0900067000080429  ",1,3,4
"104",104,NA,0,-27,10,167,"a0900067000080441  ",1,3,4
"114",114,1,1,-21,16,80,"a0900067000085068  ",1,3,4
"115",115,NA,0,-20,17,92,"a0900067000085131  ",1,3,4
"116",116,NA,0,-29,8,81,"a0900067000085183  ",1,3,4
"117",117,NA,0,-22,15,94,"a0900067000085192  ",1,3,4
"122",122,0,1,-20,17,58,"a0900067000085491  ",1,3,4
"235",235,0,1,-14,23,95,"a0982000403060459  ",1,3,4
"236",236,NA,0,-12,25,96,"a0982000403060483  ",1,3,4
"352",85,NA,0,-19,18,185,"a0900067000077425  ",2,4,5
"353",86,NA,0,-16,21,91,"a0900067000077437  ",2,4,5
"355",88,NA,0,-34,3,83,"a0900067000080082  ",2,4,5
"357",90,NA,0,-17,20,58,"a0900067000080217  ",2,4,5
"363",96,NA,0,-37,0,199,"a0900067000080303  ",2,4,5
"369",102,NA,0,-18,19,57,"a0900067000080416  ",2,4,5
"372",105,NA,0,-25,12,82,"a0900067000080517  ",2,4,5
"373",106,NA,0,-15,22,53,"a0900067000080560  ",2,4,5
"374",107,NA,0,-22,15,51,"a0900067000080578  ",2,4,5
"375",108,NA,0,-19,18,51,"a0900067000080581  ",2,4,5
"376",109,NA,0,-19,18,190,"a0900067000080626  ",2,4,5
"377",110,NA,0,-22,15,57,"a0900067000080716  ",2,4,5
"378",111,NA,0,-12,25,49,"a0900067000080739  ",2,4,5
"379",112,NA,0,-18,19,95,"a0900067000080979  ",2,4,5
"380",113,NA,0,-20,17,52,"a0900067000080998  ",2,4,5
"381",114,NA,0,-22,15,77,"a0900067000085068  ",2,4,5
"386",119,NA,0,-16,21,88,"a0900067000085319  ",2,4,5
"388",121,NA,0,-26,11,83,"a0900067000085483  ",2,4,5
"389",122,NA,0,-20,17,60,"a0900067000085491  ",2,4,5
"502",235,NA,0,-14,23,94,"a0982000403060459  ",2,4,5
"521",254,-2,1,-33,4,88,"a0982000407050803  ",2,4,5
"522",255,NA,0,-34,3,80,"a0982000407050871  ",2,4,5
"523",256,NA,0,-31,6,50,"a0982000407050894  ",2,4,5
"524",257,NA,0,-28,9,48,"a0982000407050932  ",2,4,5
"526",259,NA,0,-32,5,96,"a0982000407050956  ",2,4,5
"621",87,NA,0,-12,25,115,"a0900067000077442  ",3,5,6
"626",92,0,1,-28,9,103,"a0900067000080241  ",3,5,6
"628",94,NA,0,-18,19,182,"a0900067000080260  ",3,5,6
"632",98,0,1,-12,25,108,"a0900067000080380  ",3,5,6
"634",100,0,1,-31,6,103,"a0900067000080409  ",3,5,6
"652",118,NA,0,-24,13,106,"a0900067000085318  ",3,5,6
"775",241,NA,0,-28,9,54,"a0982000407050091  ",3,5,6
"776",242,NA,0,-31,6,106,"a0982000407050164  ",3,5,6
"777",243,NA,0,-21,16,63,"a0982000407050364  ",3,5,6
"788",254,NA,0,-31,6,101,"a0982000407050803  ",3,5,6
"792",258,NA,0,-29,8,62,"a0982000407050948  ",3,5,6
"801",267,NA,0,-16,21,65,"a0982000407069740  ",3,5,6
"884",83,0,1,-27,10,112,"a0900067000077062  ",4,6,7
"890",89,NA,0,-28,9,82,"a0900067000080096  ",4,6,7
"893",92,NA,0,-28,9,122,"a0900067000080241  ",4,6,7
"899",98,3,1,-12,25,127,"a0900067000080380  ",4,6,7
"901",100,NA,0,-31,6,113,"a0900067000080409  ",4,6,7
"918",117,4,1,-23,14,125,"a0900067000085192  ",4,6,7
"1036",235,NA,0,-13,24,116,"a0982000403060459  ",4,6,7
"1038",237,NA,0,-31,6,62,"a0982000407050018  ",4,6,7
"1039",238,NA,0,-31,6,69,"a0982000407050028  ",4,6,7
"1040",239,NA,0,-31,6,76,"a0982000407050036  ",4,6,7
"1041",240,NA,0,-33,4,80,"a0982000407050041  ",4,6,7
"1045",244,0,1,-12,25,68,"a0982000407050387  ",4,6,7
"1046",245,NA,0,-6,31,66,"a0982000407050407  ",4,6,7
"1047",246,2,1,-4,33,58,"a0982000407050438  ",4,6,7
"1048",247,NA,0,-20,17,88,"a0982000407050466  ",4,6,7
"1049",248,NA,0,-30,7,82,"a0982000407050492  ",4,6,7
"1050",249,0,1,-28,9,115,"a0982000407050514  ",4,6,7
"1051",250,NA,0,-27,10,115,"a0982000407050525  ",4,6,7
"1052",251,10,1,-27,10,67,"a0982000407050555  ",4,6,7
"1053",252,-1,1,-24,13,61,"a0982000407050561  ",4,6,7
"1054",253,NA,0,-28,9,149,"a0982000407050572  ",4,6,7
"1058",257,NA,0,-28,9,73,"a0982000407050932  ",4,6,7
"1151",83,3,1,-27,10,119,"a0900067000077062  ",5,7,8
"1152",84,NA,0,-22,15,111,"a0900067000077340  ",5,7,8
"1166",98,0,1,-15,22,140,"a0900067000080380  ",5,7,8
"1185",117,-4,1,-27,10,129,"a0900067000085192  ",5,7,8
"1188",120,-4,1,-27,10,131,"a0900067000085417  ",5,7,8
"1205",137,NA,0,-28,9,85,"a0900067000121889  ",5,7,8
"1304",236,NA,0,-11,26,125,"a0982000403060483  ",5,7,8
"1311",243,NA,0,-13,24,90,"a0982000407050364  ",5,7,8
"1312",244,1,1,-12,25,69,"a0982000407050387  ",5,7,8
"1314",246,3,1,-6,31,72,"a0982000407050438  ",5,7,8
"1317",249,0,1,-28,9,122,"a0982000407050514  ",5,7,8
"1319",251,NA,0,-37,0,71,"a0982000407050555  ",5,7,8
"1320",252,1,1,-23,14,68,"a0982000407050561  ",5,7,8
"1322",254,NA,0,-34,3,120,"a0982000407050803  ",5,7,8
"1323",255,NA,0,-34,3,109,"a0982000407050871  ",5,7,8
"1328",260,0,1,-10,27,129,"a0982000407063166  ",5,7,8
"1329",261,0,1,-10,27,55,"a0982000407063184  ",5,7,8
"1330",262,NA,0,-19,18,79,"a0982000407063552  ",5,7,8
"1331",263,NA,0,-13,24,88,"a0982000407063559  ",5,7,8
"1332",264,NA,0,-18,19,135,"a0982000407063573  ",5,7,8
"1333",265,NA,0,-23,14,77,"a0982000407063575  ",5,7,8
"1334",266,0,1,-19,18,90,"a0982000407063605  ",5,7,8
"1418",83,NA,0,-30,7,118,"a0900067000077062  ",6,8,9
"1428",93,NA,0,-34,3,132,"a0900067000080246  ",6,8,9
"1433",98,NA,0,-15,22,139,"a0900067000080380  ",6,8,9
"1447",112,15,1,-19,18,129,"a0900067000080979  ",6,8,9
"1448",113,NA,0,-20,17,93,"a0900067000080998  ",6,8,9
"1450",115,NA,0,-23,14,125,"a0900067000085131  ",6,8,9
"1452",117,NA,0,-23,14,128,"a0900067000085192  ",6,8,9
"1455",120,5,1,-23,14,132,"a0900067000085417  ",6,8,9
"1458",123,NA,0,-12,25,54,"a0900067000116683  ",6,8,9
"1459",124,0,1,-11,26,56,"a0900067000116688  ",6,8,9
"1460",125,NA,0,-13,24,55,"a0900067000116690  ",6,8,9
"1461",126,NA,0,-23,14,117,"a0900067000116707  ",6,8,9
"1462",127,2,1,-16,21,62,"a0900067000116708  ",6,8,9
"1463",128,NA,0,-10,27,54,"a0900067000116711  ",6,8,9
"1464",129,NA,0,-21,16,84,"a0900067000116716  ",6,8,9
"1465",130,NA,0,-10,27,52,"a0900067000116734  ",6,8,9
"1466",131,-1,1,-16,21,61,"a0900067000116759  ",6,8,9
"1467",132,0,1,-16,21,62,"a0900067000116763  ",6,8,9
"1468",133,4,1,-8,29,127,"a0900067000116764  ",6,8,9
"1469",134,1,1,-25,12,72,"a0900067000116776  ",6,8,9
"1470",135,-4,1,-33,4,68,"a0900067000121789  ",6,8,9
