"","ID","IND_ID","Y","Yrecap","DL","UL","St_Size","End_Size","Period","Interval","St_Date","St_Month","St_Year","End_Date","End_Month","End_Year"
"86",86,"a0900067000077437  ",-1,1,-1.5,-0.5,91,91,1,56,16810,1,2016,16866,3,2016
"88",88,"a0900067000080082  ",0,1,-0.5,0.5,84,83,1,60,16810,1,2016,16870,3,2016
"89",89,"a0900067000080096  ",NA,0,-25,12,53,NA,1,NA,16810,1,2016,NA,NA,NA
"90",90,"a0900067000080217  ",1,1,0.5,1.5,58,58,1,56,16810,1,2016,16866,3,2016
"91",91,"a0900067000080220  ",NA,0,-31,6,53,NA,1,NA,16810,1,2016,NA,NA,NA
"92",92,"a0900067000080241  ",NA,0,-28,9,87,NA,1,NA,16810,1,2016,NA,NA,NA
"93",93,"a0900067000080246  ",NA,0,-34,3,82,NA,1,NA,16810,1,2016,NA,NA,NA
"94",94,"a0900067000080260  ",NA,0,-12,25,179,NA,1,NA,16810,1,2016,NA,NA,NA
"95",95,"a0900067000080266  ",NA,0,-29,8,54,NA,1,NA,16810,1,2016,NA,NA,NA
"96",96,"a0900067000080303  ",25,1,24.5,25.5,203,199,1,60,16810,1,2016,16870,3,2016
"97",97,"a0900067000080343  ",NA,0,-18,19,207,NA,1,NA,16810,1,2016,NA,NA,NA
"98",98,"a0900067000080380  ",NA,0,-12,25,97,NA,1,NA,16810,1,2016,NA,NA,NA
"99",99,"a0900067000080385  ",NA,0,-23,14,52,NA,1,NA,16810,1,2016,NA,NA,NA
"100",100,"a0900067000080409  ",NA,0,-31,6,93,NA,1,NA,16810,1,2016,NA,NA,NA
"101",101,"a0900067000080412  ",NA,0,-18,19,94,NA,1,NA,16810,1,2016,NA,NA,NA
"102",102,"a0900067000080416  ",-1,1,-1.5,-0.5,58,57,1,56,16810,1,2016,16866,3,2016
"103",103,"a0900067000080429  ",NA,0,-23,14,53,NA,1,NA,16810,1,2016,NA,NA,NA
"104",104,"a0900067000080441  ",NA,0,-27,10,167,NA,1,NA,16810,1,2016,NA,NA,NA
"114",114,"a0900067000085068  ",1,1,0.5,1.5,80,77,1,56,16810,1,2016,16866,3,2016
"115",115,"a0900067000085131  ",NA,0,-20,17,92,NA,1,NA,16810,1,2016,NA,NA,NA
"116",116,"a0900067000085183  ",NA,0,-29,8,81,NA,1,NA,16810,1,2016,NA,NA,NA
"117",117,"a0900067000085192  ",NA,0,-22,15,94,NA,1,NA,16810,1,2016,NA,NA,NA
"122",122,"a0900067000085491  ",0,1,-0.5,0.5,58,60,1,56,16810,1,2016,16866,3,2016
"235",235,"a0982000403060459  ",0,1,-0.5,0.5,95,94,1,56,16810,1,2016,16866,3,2016
"236",236,"a0982000403060483  ",NA,0,-12,25,96,NA,1,NA,16810,1,2016,NA,NA,NA
"352",85,"a0900067000077425  ",NA,0,-19,18,185,NA,2,NA,16866,3,2016,NA,NA,NA
"353",86,"a0900067000077437  ",NA,0,-16,21,91,NA,2,NA,16866,3,2016,NA,NA,NA
"355",88,"a0900067000080082  ",NA,0,-34,3,83,NA,2,NA,16870,3,2016,NA,NA,NA
"357",90,"a0900067000080217  ",NA,0,-17,20,58,NA,2,NA,16866,3,2016,NA,NA,NA
"363",96,"a0900067000080303  ",NA,0,-37,0,199,NA,2,NA,16870,3,2016,NA,NA,NA
"369",102,"a0900067000080416  ",NA,0,-18,19,57,NA,2,NA,16866,3,2016,NA,NA,NA
"372",105,"a0900067000080517  ",NA,0,-25,12,82,NA,2,NA,16866,3,2016,NA,NA,NA
"373",106,"a0900067000080560  ",NA,0,-15,22,53,NA,2,NA,16866,3,2016,NA,NA,NA
"374",107,"a0900067000080578  ",NA,0,-22,15,51,NA,2,NA,16866,3,2016,NA,NA,NA
"375",108,"a0900067000080581  ",NA,0,-19,18,51,NA,2,NA,16866,3,2016,NA,NA,NA
"376",109,"a0900067000080626  ",NA,0,-19,18,190,NA,2,NA,16866,3,2016,NA,NA,NA
"377",110,"a0900067000080716  ",NA,0,-22,15,57,NA,2,NA,16866,3,2016,NA,NA,NA
"378",111,"a0900067000080739  ",NA,0,-12,25,49,NA,2,NA,16864,3,2016,NA,NA,NA
"379",112,"a0900067000080979  ",NA,0,-18,19,95,NA,2,NA,16866,3,2016,NA,NA,NA
"380",113,"a0900067000080998  ",NA,0,-20,17,52,NA,2,NA,16866,3,2016,NA,NA,NA
"381",114,"a0900067000085068  ",NA,0,-22,15,77,NA,2,NA,16866,3,2016,NA,NA,NA
"386",119,"a0900067000085319  ",NA,0,-16,21,88,NA,2,NA,16866,3,2016,NA,NA,NA
"388",121,"a0900067000085483  ",NA,0,-26,11,83,NA,2,NA,16866,3,2016,NA,NA,NA
"389",122,"a0900067000085491  ",NA,0,-20,17,60,NA,2,NA,16866,3,2016,NA,NA,NA
"502",235,"a0982000403060459  ",NA,0,-14,23,94,NA,2,NA,16866,3,2016,NA,NA,NA
"521",254,"a0982000407050803  ",-2,1,-2.5,-1.5,88,101,2,64,16870,3,2016,16934,5,2016
"522",255,"a0982000407050871  ",NA,0,-34,3,80,NA,2,NA,16870,3,2016,NA,NA,NA
"523",256,"a0982000407050894  ",NA,0,-31,6,50,NA,2,NA,16866,3,2016,NA,NA,NA
"524",257,"a0982000407050932  ",NA,0,-28,9,48,NA,2,NA,16866,3,2016,NA,NA,NA
"526",259,"a0982000407050956  ",NA,0,-32,5,96,NA,2,NA,16866,3,2016,NA,NA,NA
"621",87,"a0900067000077442  ",NA,0,-12,25,115,NA,3,NA,16933,5,2016,NA,NA,NA
"626",92,"a0900067000080241  ",0,1,-0.5,0.5,103,122,3,56,16934,5,2016,16990,7,2016
"628",94,"a0900067000080260  ",NA,0,-18,19,182,NA,3,NA,16933,5,2016,NA,NA,NA
"632",98,"a0900067000080380  ",0,1,-0.5,0.5,108,127,3,56,16933,5,2016,16989,7,2016
"634",100,"a0900067000080409  ",0,1,-0.5,0.5,103,113,3,56,16934,5,2016,16990,7,2016
"652",118,"a0900067000085318  ",NA,0,-24,13,106,NA,3,NA,16934,5,2016,NA,NA,NA
"775",241,"a0982000407050091  ",NA,0,-28,9,54,NA,3,NA,16934,5,2016,NA,NA,NA
"776",242,"a0982000407050164  ",NA,0,-31,6,106,NA,3,NA,16934,5,2016,NA,NA,NA
"777",243,"a0982000407050364  ",NA,0,-21,16,63,NA,3,NA,16934,5,2016,NA,NA,NA
"788",254,"a0982000407050803  ",NA,0,-31,6,101,NA,3,NA,16934,5,2016,NA,NA,NA
"792",258,"a0982000407050948  ",NA,0,-29,8,62,NA,3,NA,16934,5,2016,NA,NA,NA
"801",267,"a0982000407069740  ",NA,0,-16,21,65,NA,3,NA,16933,5,2016,NA,NA,NA
"884",83,"a0900067000077062  ",0,1,-0.5,0.5,112,119,4,66,16990,7,2016,17056,9,2016
"890",89,"a0900067000080096  ",NA,0,-28,9,82,NA,4,NA,16990,7,2016,NA,NA,NA
"893",92,"a0900067000080241  ",NA,0,-28,9,122,NA,4,NA,16990,7,2016,NA,NA,NA
"899",98,"a0900067000080380  ",3,1,2.5,3.5,127,140,4,66,16989,7,2016,17055,9,2016
"901",100,"a0900067000080409  ",NA,0,-31,6,113,NA,4,NA,16990,7,2016,NA,NA,NA
"918",117,"a0900067000085192  ",4,1,3.5,4.5,125,129,4,66,16990,7,2016,17056,9,2016
"1036",235,"a0982000403060459  ",NA,0,-13,24,116,NA,4,NA,16989,7,2016,NA,NA,NA
"1038",237,"a0982000407050018  ",NA,0,-31,6,62,NA,4,NA,16990,7,2016,NA,NA,NA
"1039",238,"a0982000407050028  ",NA,0,-31,6,69,NA,4,NA,16990,7,2016,NA,NA,NA
"1040",239,"a0982000407050036  ",NA,0,-31,6,76,NA,4,NA,16990,7,2016,NA,NA,NA
"1041",240,"a0982000407050041  ",NA,0,-33,4,80,NA,4,NA,16990,7,2016,NA,NA,NA
"1045",244,"a0982000407050387  ",0,1,-0.5,0.5,68,69,4,66,16989,7,2016,17055,9,2016
"1046",245,"a0982000407050407  ",NA,0,-6,31,66,NA,4,NA,16989,7,2016,NA,NA,NA
"1047",246,"a0982000407050438  ",2,1,1.5,2.5,58,72,4,66,16989,7,2016,17055,9,2016
"1048",247,"a0982000407050466  ",NA,0,-20,17,88,NA,4,NA,16989,7,2016,NA,NA,NA
"1049",248,"a0982000407050492  ",NA,0,-30,7,82,NA,4,NA,16990,7,2016,NA,NA,NA
