"","Y","Yrecap","DL","UL","IND_ID","Period","St_occ","End_occ"
"897",NA,0,-14,12,897,1,3,4
"902",NA,0,-17,9,902,1,3,4
"903",NA,0,-17,9,903,1,3,4
"904",NA,0,-12,14,904,1,3,4
"911",NA,0,-13,13,911,1,3,4
"915",NA,0,-16,10,915,1,3,4
"918",NA,0,-22,4,918,1,3,4
"919",NA,0,-18,8,919,1,3,4
"920",NA,0,-18,8,920,1,3,4
"921",NA,0,-10,16,921,1,3,4
"922",NA,0,-11,15,922,1,3,4
"923",NA,0,-16,10,923,1,3,4
"924",NA,0,-22,4,924,1,3,4
"926",NA,0,-21,5,926,1,3,4
"929",NA,0,-17,9,929,1,3,4
"930",NA,0,-21,5,930,1,3,4
"932",NA,0,-13,13,932,1,3,4
"933",NA,0,-20,6,933,1,3,4
"935",NA,0,-20,6,935,1,3,4
"936",NA,0,-22,4,936,1,3,4
"940",NA,0,-21,5,940,1,3,4
"942",NA,0,-11,15,942,1,3,4
"944",NA,0,-20,6,944,1,3,4
"948",NA,0,-9,17,948,1,3,4
"950",NA,0,-10,16,950,1,3,4
"951",NA,0,-16,10,951,1,3,4
"952",NA,0,-21,5,952,1,3,4
"955",NA,0,-13,13,955,1,3,4
"957",NA,0,-22,4,957,1,3,4
"960",NA,0,-10,16,960,1,3,4
"961",NA,0,-16,10,961,1,3,4
"964",3,1,-19,7,964,1,3,4
"966",NA,0,-12,14,966,1,3,4
"970",NA,0,-15,11,970,1,3,4
"972",NA,0,-10,16,972,1,3,4
"980",NA,0,-20,6,980,1,3,4
"987",NA,0,-13,13,987,1,3,4
"993",NA,0,-15,11,993,1,3,4
"996",NA,0,-10,16,996,1,3,4
"998",NA,0,-18,8,998,1,3,4
"999",NA,0,-15,11,999,1,3,4
"1000",NA,0,-10,16,1000,1,3,4
"1002",NA,0,-22,4,1002,1,3,4
"1003",NA,0,-10,16,1003,1,3,4
"1004",NA,0,-26,0,1004,1,3,4
"1005",NA,0,-9,17,1005,1,3,4
"1007",NA,0,-14,12,1007,1,3,4
"1008",NA,0,-16,10,1008,1,3,4
"1009",NA,0,-15,11,1009,1,3,4
"1013",NA,0,-11,15,1013,1,3,4
"1016",NA,0,-14,12,1016,1,3,4
"1017",NA,0,-13,13,1017,1,3,4
"1019",NA,0,-16,10,1019,1,3,4
"1020",NA,0,-21,5,1020,1,3,4
"1025",NA,0,-16,10,1025,1,3,4
"1029",NA,0,-13,13,1029,1,3,4
"1030",NA,0,-16,10,1030,1,3,4
"1031",NA,0,-7,19,1031,1,3,4
"1033",NA,0,-10,16,1033,1,3,4
"1035",NA,0,-13,13,1035,1,3,4
"1036",NA,0,-21,5,1036,1,3,4
"1038",NA,0,-13,13,1038,1,3,4
"1043",NA,0,-18,8,1043,1,3,4
"1045",NA,0,-13,13,1045,1,3,4
"1047",NA,0,-26,0,1047,1,3,4
"1050",NA,0,-10,16,1050,1,3,4
"1053",1,1,-21,5,1053,1,3,4
"1056",NA,0,-13,13,1056,1,3,4
"1058",NA,0,-13,13,1058,1,3,4
"1059",NA,0,-26,0,1059,1,3,4
"1063",NA,0,-15,11,1063,1,3,4
"1065",NA,0,-14,12,1065,1,3,4
"1066",NA,0,-9,17,1066,1,3,4
"1068",NA,0,-19,7,1068,1,3,4
"1070",NA,0,-22,4,1070,1,3,4
"1071",NA,0,-18,8,1071,1,3,4
"1073",NA,0,-19,7,1073,1,3,4
"1074",NA,0,-20,6,1074,1,3,4
"1076",NA,0,-22,4,1076,1,3,4
"1079",NA,0,-21,5,1079,1,3,4
"1085",NA,0,-13,13,1085,1,3,4
"1087",NA,0,-20,6,1087,1,3,4
"1088",NA,0,-10,16,1088,1,3,4
"1089",NA,0,-10,16,1089,1,3,4
"1090",NA,0,-17,9,1090,1,3,4
"1091",NA,0,-16,10,1091,1,3,4
"1092",NA,0,-15,11,1092,1,3,4
"1094",NA,0,-13,13,1094,1,3,4
"1095",NA,0,-20,6,1095,1,3,4
"1096",NA,0,-20,6,1096,1,3,4
"1097",NA,0,-23,3,1097,1,3,4
"1099",NA,0,-11,15,1099,1,3,4
"1103",NA,0,-22,4,1103,1,3,4
"1104",NA,0,-14,12,1104,1,3,4
"1105",NA,0,-26,0,1105,1,3,4
"1108",NA,0,-22,4,1108,1,3,4
"1109",NA,0,-9,17,1109,1,3,4
"1111",NA,0,-8,18,1111,1,3,4
"1112",NA,0,-9,17,1112,1,3,4
"1114",NA,0,-6,20,1114,1,3,4
"1117",0,1,-22,4,1117,1,3,4
"1118",NA,0,-21,5,1118,1,3,4
"1125",NA,0,-7,19,1125,1,3,4
"1127",1,1,-22,4,1127,1,3,4
"1129",NA,0,-23,3,1129,1,3,4
"1130",NA,0,-6,20,1130,1,3,4
"1132",NA,0,-22,4,1132,1,3,4
"1133",NA,0,-4,22,1133,1,3,4
"1134",NA,0,-6,20,1134,1,3,4
"1137",NA,0,-10,16,1137,1,3,4
"1139",NA,0,-6,20,1139,1,3,4
"1141",NA,0,-6,20,1141,1,3,4
"1143",NA,0,-23,3,1143,1,3,4
"1144",NA,0,-4,22,1144,1,3,4
"1147",NA,0,-13,13,1147,1,3,4
"1148",NA,0,-13,13,1148,1,3,4
"1151",NA,0,-24,2,1151,1,3,4
"1153",NA,0,-8,18,1153,1,3,4
"1154",NA,0,-6,20,1154,1,3,4
"1155",NA,0,-12,14,1155,1,3,4
"1156",NA,0,-7,19,1156,1,3,4
"1163",NA,0,-4,22,1163,1,3,4
"1164",NA,0,-24,2,1164,1,3,4
"1166",NA,0,-22,4,1166,1,3,4
"1167",NA,0,-22,4,1167,1,3,4
"1169",NA,0,-22,4,1169,1,3,4
"1170",NA,0,-22,4,1170,1,3,4
"1171",NA,0,-7,19,1171,1,3,4
"1172",NA,0,-7,19,1172,1,3,4
"1176",NA,0,-22,4,1176,1,3,4
"1177",NA,0,-22,4,1177,1,3,4
"1181",0,1,-24,2,1181,1,3,4
"1183",NA,0,-22,4,1183,1,3,4
"1185",NA,0,-7,19,1185,1,3,4
"1187",NA,0,-9,17,1187,1,3,4
"1188",NA,0,-6,20,1188,1,3,4
"1190",0,1,-22,4,1190,1,3,4
"1191",NA,0,-6,20,1191,1,3,4
"1194",NA,0,-7,19,1194,1,3,4
"1197",NA,0,-4,22,1197,1,3,4
"1198",NA,0,-9,17,1198,1,3,4
"1199",NA,0,-5,21,1199,1,3,4
"1202",NA,0,-7,19,1202,1,3,4
"1205",NA,0,-23,3,1205,1,3,4
"1206",NA,0,-7,19,1206,1,3,4
"1207",NA,0,-13,13,1207,1,3,4
"1209",-6,1,-13,13,1209,1,3,4
"1210",NA,0,-8,18,1210,1,3,4
"1211",NA,0,-16,10,1211,1,3,4
"1214",NA,0,-22,4,1214,1,3,4
"1216",NA,0,-9,17,1216,1,3,4
"1217",NA,0,-23,3,1217,1,3,4
"1218",NA,0,-16,10,1218,1,3,4
"1219",NA,0,-10,16,1219,1,3,4
"1220",NA,0,-7,19,1220,1,3,4
"1223",NA,0,-23,3,1223,1,3,4
"1224",NA,0,-6,20,1224,1,3,4
"1225",NA,0,-7,19,1225,1,3,4
"1232",NA,0,-7,19,1232,1,3,4
"1233",NA,0,-21,5,1233,1,3,4
"1235",NA,0,-7,19,1235,1,3,4
"1239",NA,0,-23,3,1239,1,3,4
"1244",NA,0,-6,20,1244,1,3,4
"1246",NA,0,-23,3,1246,1,3,4
"1249",NA,0,-6,20,1249,1,3,4
"1251",NA,0,-9,17,1251,1,3,4
"1253",NA,0,-23,3,1253,1,3,4
"1254",NA,0,-4,22,1254,1,3,4
"1257",NA,0,-15,11,1257,1,3,4
"1258",NA,0,-11,15,1258,1,3,4
"1259",NA,0,-5,21,1259,1,3,4
"1260",NA,0,-22,4,1260,1,3,4
