"","ID","Y","Yrecap","DL","UL","Size","IND_ID","Period","St_occ","End_occ"
"897",897,NA,0,-14,12,97,"a0900067000076502  ",1,3,4
"902",902,NA,0,-17,9,64,"a0900067000076521  ",1,3,4
"903",903,NA,0,-17,9,79,"a0900067000076522  ",1,3,4
"904",904,NA,0,-12,14,86,"a0900067000076523  ",1,3,4
"911",911,NA,0,-13,13,65,"a0900067000076558  ",1,3,4
"915",915,NA,0,-16,10,87,"a0900067000076564  ",1,3,4
"918",918,NA,0,-22,4,88,"a0900067000076571  ",1,3,4
"919",919,NA,0,-18,8,80,"a0900067000076573  ",1,3,4
"920",920,NA,0,-18,8,77,"a0900067000076574  ",1,3,4
"921",921,NA,0,-10,16,70,"a0900067000076575  ",1,3,4
"922",922,NA,0,-11,15,89,"a0900067000076576  ",1,3,4
"923",923,NA,0,-16,10,69,"a0900067000076586  ",1,3,4
"924",924,NA,0,-22,4,80,"a0900067000076587  ",1,3,4
"926",926,NA,0,-21,5,64,"a0900067000076590  ",1,3,4
"929",929,NA,0,-17,9,67,"a0900067000076595  ",1,3,4
"930",930,NA,0,-21,5,70,"a0900067000076596  ",1,3,4
"932",932,NA,0,-13,13,84,"a0900067000076599  ",1,3,4
"933",933,NA,0,-20,6,70,"a0900067000076601  ",1,3,4
"935",935,NA,0,-20,6,68,"a0900067000076607  ",1,3,4
"936",936,NA,0,-22,4,70,"a0900067000076608  ",1,3,4
"940",940,NA,0,-21,5,85,"a0900067000076624  ",1,3,4
"942",942,NA,0,-11,15,68,"a0900067000076636  ",1,3,4
"944",944,NA,0,-20,6,64,"a0900067000076641  ",1,3,4
"948",948,NA,0,-9,17,71,"a0900067000076648  ",1,3,4
"950",950,NA,0,-10,16,88,"a0900067000076660  ",1,3,4
"951",951,NA,0,-16,10,77,"a0900067000076664  ",1,3,4
"952",952,NA,0,-21,5,78,"a0900067000076665  ",1,3,4
"955",955,NA,0,-13,13,70,"a0900067000076682  ",1,3,4
"957",957,NA,0,-22,4,76,"a0900067000076683  ",1,3,4
"960",960,NA,0,-10,16,83,"a0900067000076693  ",1,3,4
"961",961,NA,0,-16,10,71,"a0900067000076695  ",1,3,4
"964",964,3,1,-19,7,95,"a0900067000076700  ",1,3,4
"966",966,NA,0,-12,14,72,"a0900067000076704  ",1,3,4
"970",970,NA,0,-15,11,66,"a0900067000076709  ",1,3,4
"972",972,NA,0,-10,16,87,"a0900067000076716  ",1,3,4
"980",980,NA,0,-20,6,83,"a0900067000076730  ",1,3,4
"987",987,NA,0,-13,13,76,"a0900067000076745  ",1,3,4
"993",993,NA,0,-15,11,71,"a0900067000076761  ",1,3,4
"996",996,NA,0,-10,16,65,"a0900067000076767  ",1,3,4
"998",998,NA,0,-18,8,96,"a0900067000076773  ",1,3,4
"999",999,NA,0,-15,11,97,"a0900067000076776  ",1,3,4
"1000",1000,NA,0,-10,16,70,"a0900067000076777  ",1,3,4
"1002",1002,NA,0,-22,4,90,"a0900067000076778  ",1,3,4
"1003",1003,NA,0,-10,16,63,"a0900067000076781  ",1,3,4
"1004",1004,NA,0,-26,0,78,"a0900067000076783  ",1,3,4
"1005",1005,NA,0,-9,17,73,"a0900067000076787  ",1,3,4
"1007",1007,NA,0,-14,12,117,"a0900067000076790  ",1,3,4
"1008",1008,NA,0,-16,10,88,"a0900067000076792  ",1,3,4
"1009",1009,NA,0,-15,11,98,"a0900067000076795  ",1,3,4
"1013",1013,NA,0,-11,15,134,"a0900067000076799  ",1,3,4
"1016",1016,NA,0,-14,12,84,"a0900067000076804  ",1,3,4
"1017",1017,NA,0,-13,13,79,"a0900067000076805  ",1,3,4
"1019",1019,NA,0,-16,10,77,"a0900067000076807  ",1,3,4
"1020",1020,NA,0,-21,5,80,"a0900067000076808  ",1,3,4
"1025",1025,NA,0,-16,10,70,"a0900067000076820  ",1,3,4
"1029",1029,NA,0,-13,13,71,"a0900067000076825  ",1,3,4
"1030",1030,NA,0,-16,10,76,"a0900067000076826  ",1,3,4
"1031",1031,NA,0,-7,19,70,"a0900067000076827",1,3,4
"1033",1033,NA,0,-10,16,97,"a0900067000076829  ",1,3,4
"1035",1035,NA,0,-13,13,74,"a0900067000076832  ",1,3,4
"1036",1036,NA,0,-21,5,64,"a0900067000076833  ",1,3,4
"1038",1038,NA,0,-13,13,65,"a0900067000076835  ",1,3,4
"1043",1043,NA,0,-18,8,90,"a0900067000076845  ",1,3,4
"1045",1045,NA,0,-13,13,65,"a0900067000076850  ",1,3,4
"1047",1047,NA,0,-26,0,86,"a0900067000076856  ",1,3,4
"1050",1050,NA,0,-10,16,74,"a0900067000076860  ",1,3,4
"1053",1053,1,1,-21,5,69,"a0900067000076864  ",1,3,4
"1056",1056,NA,0,-13,13,71,"a0900067000076868  ",1,3,4
"1058",1058,NA,0,-13,13,113,"a0900067000076873  ",1,3,4
"1059",1059,NA,0,-26,0,90,"a0900067000076876  ",1,3,4
"1063",1063,NA,0,-15,11,70,"a0900067000076885  ",1,3,4
"1065",1065,NA,0,-14,12,60,"a0900067000076891  ",1,3,4
"1066",1066,NA,0,-9,17,88,"a0900067000076898  ",1,3,4
"1068",1068,NA,0,-19,7,90,"a0900067000076909  ",1,3,4
"1070",1070,NA,0,-22,4,87,"a0900067000076911  ",1,3,4
"1071",1071,NA,0,-18,8,98,"a0900067000076916  ",1,3,4
"1073",1073,NA,0,-19,7,72,"a0900067000076925  ",1,3,4
"1074",1074,NA,0,-20,6,74,"a0900067000076931  ",1,3,4
"1076",1076,NA,0,-22,4,79,"a0900067000076934  ",1,3,4
"1079",1079,NA,0,-21,5,71,"a0900067000076941  ",1,3,4
"1085",1085,NA,0,-13,13,112,"a0900067000076955  ",1,3,4
"1087",1087,NA,0,-20,6,70,"a0900067000076962  ",1,3,4
"1088",1088,NA,0,-10,16,95,"a0900067000076964  ",1,3,4
"1089",1089,NA,0,-10,16,75,"a0900067000076966  ",1,3,4
"1090",1090,NA,0,-17,9,72,"a0900067000076967  ",1,3,4
"1091",1091,NA,0,-16,10,70,"a0900067000076968  ",1,3,4
"1092",1092,NA,0,-15,11,86,"a0900067000076969  ",1,3,4
"1094",1094,NA,0,-13,13,80,"a0900067000076971  ",1,3,4
"1095",1095,NA,0,-20,6,70,"a0900067000076972  ",1,3,4
"1096",1096,NA,0,-20,6,70,"a0900067000076978  ",1,3,4
"1097",1097,NA,0,-23,3,110,"a0900067000076983  ",1,3,4
"1099",1099,NA,0,-11,15,101,"a0900067000076985  ",1,3,4
"1103",1103,NA,0,-22,4,72,"a0900067000077003  ",1,3,4
"1104",1104,NA,0,-14,12,65,"a0900067000077004  ",1,3,4
"1105",1105,NA,0,-26,0,73,"a0900067000077007  ",1,3,4
