"","ID","IND_ID","Y","Yrecap","DL","UL","St_Size","End_Size","Period","Interval","St_Date","St_Month","St_Year","End_Date","End_Month","End_Year"
"897",897,"a0900067000076502  ",NA,0,-14,12,97,NA,1,NA,16818,1,2016,NA,NA,NA
"902",902,"a0900067000076521  ",NA,0,-17,9,64,NA,1,NA,16818,1,2016,NA,NA,NA
"903",903,"a0900067000076522  ",NA,0,-17,9,79,NA,1,NA,16818,1,2016,NA,NA,NA
"904",904,"a0900067000076523  ",NA,0,-12,14,86,NA,1,NA,16818,1,2016,NA,NA,NA
"911",911,"a0900067000076558  ",NA,0,-13,13,65,NA,1,NA,16818,1,2016,NA,NA,NA
"915",915,"a0900067000076564  ",NA,0,-16,10,87,NA,1,NA,16818,1,2016,NA,NA,NA
"918",918,"a0900067000076571  ",NA,0,-22,4,88,NA,1,NA,16821,1,2016,NA,NA,NA
"919",919,"a0900067000076573  ",NA,0,-18,8,80,NA,1,NA,16818,1,2016,NA,NA,NA
"920",920,"a0900067000076574  ",NA,0,-18,8,77,NA,1,NA,16818,1,2016,NA,NA,NA
"921",921,"a0900067000076575  ",NA,0,-10,16,70,NA,1,NA,16818,1,2016,NA,NA,NA
"922",922,"a0900067000076576  ",NA,0,-11,15,89,NA,1,NA,16818,1,2016,NA,NA,NA
"923",923,"a0900067000076586  ",NA,0,-16,10,69,NA,1,NA,16818,1,2016,NA,NA,NA
"924",924,"a0900067000076587  ",NA,0,-22,4,80,NA,1,NA,16821,1,2016,NA,NA,NA
"926",926,"a0900067000076590  ",NA,0,-21,5,64,NA,1,NA,16821,1,2016,NA,NA,NA
"929",929,"a0900067000076595  ",NA,0,-17,9,67,NA,1,NA,16818,1,2016,NA,NA,NA
"930",930,"a0900067000076596  ",NA,0,-21,5,70,NA,1,NA,16821,1,2016,NA,NA,NA
"932",932,"a0900067000076599  ",NA,0,-13,13,84,NA,1,NA,16818,1,2016,NA,NA,NA
"933",933,"a0900067000076601  ",NA,0,-20,6,70,NA,1,NA,16821,1,2016,NA,NA,NA
"935",935,"a0900067000076607  ",NA,0,-20,6,68,NA,1,NA,16821,1,2016,NA,NA,NA
"936",936,"a0900067000076608  ",NA,0,-22,4,70,NA,1,NA,16821,1,2016,NA,NA,NA
"940",940,"a0900067000076624  ",NA,0,-21,5,85,NA,1,NA,16821,1,2016,NA,NA,NA
"942",942,"a0900067000076636  ",NA,0,-11,15,68,NA,1,NA,16818,1,2016,NA,NA,NA
"944",944,"a0900067000076641  ",NA,0,-20,6,64,NA,1,NA,16821,1,2016,NA,NA,NA
"948",948,"a0900067000076648  ",NA,0,-9,17,71,NA,1,NA,16818,1,2016,NA,NA,NA
"950",950,"a0900067000076660  ",NA,0,-10,16,88,NA,1,NA,16818,1,2016,NA,NA,NA
"951",951,"a0900067000076664  ",NA,0,-16,10,77,NA,1,NA,16818,1,2016,NA,NA,NA
"952",952,"a0900067000076665  ",NA,0,-21,5,78,NA,1,NA,16821,1,2016,NA,NA,NA
"955",955,"a0900067000076682  ",NA,0,-13,13,70,NA,1,NA,16818,1,2016,NA,NA,NA
"957",957,"a0900067000076683  ",NA,0,-22,4,76,NA,1,NA,16821,1,2016,NA,NA,NA
"960",960,"a0900067000076693  ",NA,0,-10,16,83,NA,1,NA,16818,1,2016,NA,NA,NA
"961",961,"a0900067000076695  ",NA,0,-16,10,71,NA,1,NA,16818,1,2016,NA,NA,NA
"964",964,"a0900067000076700  ",3,1,2.5,3.5,95,97,1,65,16818,1,2016,16883,3,2016
"966",966,"a0900067000076704  ",NA,0,-12,14,72,NA,1,NA,16818,1,2016,NA,NA,NA
"970",970,"a0900067000076709  ",NA,0,-15,11,66,NA,1,NA,16818,1,2016,NA,NA,NA
"972",972,"a0900067000076716  ",NA,0,-10,16,87,NA,1,NA,16818,1,2016,NA,NA,NA
"980",980,"a0900067000076730  ",NA,0,-20,6,83,NA,1,NA,16821,1,2016,NA,NA,NA
"987",987,"a0900067000076745  ",NA,0,-13,13,76,NA,1,NA,16818,1,2016,NA,NA,NA
"993",993,"a0900067000076761  ",NA,0,-15,11,71,NA,1,NA,16818,1,2016,NA,NA,NA
"996",996,"a0900067000076767  ",NA,0,-10,16,65,NA,1,NA,16818,1,2016,NA,NA,NA
"998",998,"a0900067000076773  ",NA,0,-18,8,96,NA,1,NA,16818,1,2016,NA,NA,NA
"999",999,"a0900067000076776  ",NA,0,-15,11,97,NA,1,NA,16818,1,2016,NA,NA,NA
"1000",1000,"a0900067000076777  ",NA,0,-10,16,70,NA,1,NA,16818,1,2016,NA,NA,NA
