"","Y","Yrecap","DL","UL","IND_ID","Period","St_occ","End_occ"
"41",NA,0,-350,170,41,1,3,4
"44",NA,0,-190,330,44,1,3,4
"49",NA,0,-330,190,49,1,3,4
"51",NA,0,-210,310,51,1,3,4
"53",NA,0,-290,230,53,1,3,4
"59",NA,0,-190,330,59,1,3,4
"60",NA,0,-250,270,60,1,3,4
"62",NA,0,-170,350,62,1,3,4
"63",NA,0,-190,330,63,1,3,4
"65",NA,0,-250,270,65,1,3,4
"67",NA,0,-250,270,67,1,3,4
"68",NA,0,-430,90,68,1,3,4
"69",NA,0,-250,270,69,1,3,4
"70",NA,0,-110,410,70,1,3,4
"72",NA,0,-250,270,72,1,3,4
"73",NA,0,-190,330,73,1,3,4
"74",NA,0,-190,330,74,1,3,4
"75",NA,0,-90,430,75,1,3,4
"76",NA,0,-430,90,76,1,3,4
"80",NA,0,-190,330,80,1,3,4
"82",NA,0,-370,150,82,1,3,4
"83",NA,0,-310,210,83,1,3,4
"84",NA,0,-350,170,84,1,3,4
"85",0,1,-430,90,85,1,3,4
"86",NA,0,-350,170,86,1,3,4
"87",NA,0,-370,150,87,1,3,4
"88",0,1,-430,90,88,1,3,4
"89",NA,0,-410,110,89,1,3,4
"91",NA,0,-350,170,91,1,3,4
"92",NA,0,-430,90,92,1,3,4
"94",NA,0,-370,150,94,1,3,4
"95",NA,0,-370,150,95,1,3,4
"96",NA,0,-390,130,96,1,3,4
"97",0,1,-430,90,97,1,3,4
"101",NA,0,-190,330,101,1,3,4
"103",NA,0,-190,330,103,1,3,4
"146",NA,0,-350,170,146,1,3,4
"147",NA,0,-430,90,147,1,3,4
"148",NA,0,-370,150,148,1,3,4
"149",NA,0,-330,190,149,1,3,4
"242",NA,0,-190,330,43,2,4,5
"245",NA,0,-370,150,46,2,4,5
"247",NA,0,-410,110,48,2,4,5
"249",NA,0,-190,330,50,2,4,5
"254",NA,0,-310,210,55,2,4,5
"256",NA,0,-170,350,57,2,4,5
"257",NA,0,-210,310,58,2,4,5
"260",NA,0,-210,310,61,2,4,5
"265",NA,0,-250,270,66,2,4,5
"270",NA,0,-330,190,71,2,4,5
"276",NA,0,-250,270,77,2,4,5
"278",NA,0,-310,210,79,2,4,5
"280",NA,0,-370,150,81,2,4,5
"284",NA,0,-430,90,85,2,4,5
"287",NA,0,-430,90,88,2,4,5
"289",NA,0,-370,150,90,2,4,5
"292",NA,0,-370,150,93,2,4,5
"296",0,1,-430,90,97,2,4,5
"297",NA,0,-250,270,98,2,4,5
"299",NA,0,-190,330,100,2,4,5
"301",NA,0,-210,310,102,2,4,5
"303",NA,0,-190,330,104,2,4,5
"304",NA,0,-250,270,105,2,4,5
"306",NA,0,-70,450,107,2,4,5
"307",NA,0,-430,90,108,2,4,5
"343",NA,0,-410,110,144,2,4,5
"353",NA,0,-430,90,154,2,4,5
"354",NA,0,-450,70,155,2,4,5
"355",NA,0,-250,270,156,2,4,5
"356",NA,0,-250,270,157,2,4,5
"358",NA,0,-250,270,159,2,4,5
"360",NA,0,-250,270,161,2,4,5
"362",NA,0,-250,270,163,2,4,5
"364",NA,0,-310,210,165,2,4,5
"365",NA,0,-230,290,166,2,4,5
"366",NA,0,-250,270,167,2,4,5
"367",NA,0,-170,350,168,2,4,5
"368",NA,0,-310,210,169,2,4,5
"370",NA,0,-170,350,171,2,4,5
"371",NA,0,-170,350,172,2,4,5
"372",NA,0,-250,270,173,2,4,5
"374",NA,0,-70,450,175,2,4,5
"377",NA,0,-170,350,178,2,4,5
"378",NA,0,-410,110,179,2,4,5
"379",NA,0,-350,170,180,2,4,5
"380",NA,0,-370,150,181,2,4,5
"381",NA,0,-370,150,182,2,4,5
"382",NA,0,-370,150,183,2,4,5
"440",NA,0,-250,270,42,3,5,6
"445",NA,0,-350,170,47,3,5,6
"451",NA,0,-510,10,53,3,5,6
"457",NA,0,-190,330,59,3,5,6
"463",NA,0,-250,270,65,3,5,6
"471",NA,0,-210,310,73,3,5,6
"476",NA,0,-250,270,78,3,5,6
"480",NA,0,-350,170,82,3,5,6
"481",NA,0,-510,10,83,3,5,6
"485",NA,0,-390,130,87,3,5,6
"493",20,1,-370,150,95,3,5,6
"495",NA,0,-430,90,97,3,5,6
"497",NA,0,-250,270,99,3,5,6
"504",NA,0,-250,270,106,3,5,6
"541",NA,0,-250,270,143,3,5,6
"547",0,1,-430,90,149,3,5,6
"558",NA,0,-250,270,160,3,5,6
"560",NA,0,-250,270,162,3,5,6
"562",NA,0,-250,270,164,3,5,6
"568",NA,0,-430,90,170,3,5,6
"582",NA,0,-210,310,184,3,5,6
"583",NA,0,-250,270,185,3,5,6
"584",NA,0,-250,270,186,3,5,6
"585",NA,0,-250,270,187,3,5,6
"586",NA,0,-210,310,188,3,5,6
"587",NA,0,-250,270,189,3,5,6
"591",NA,0,-290,230,193,3,5,6
"592",NA,0,-290,230,194,3,5,6
"593",NA,0,-430,90,195,3,5,6
"594",NA,0,-430,90,196,3,5,6
"595",NA,0,-430,90,197,3,5,6
"596",NA,0,-450,70,198,3,5,6
"597",NA,0,-410,110,199,3,5,6
"642",NA,0,-470,50,45,4,6,7
"648",NA,0,-210,310,51,4,6,7
"653",NA,0,-510,10,56,4,6,7
"661",NA,0,-450,70,64,4,6,7
"664",NA,0,-230,290,67,4,6,7
"685",NA,0,-430,90,88,4,6,7
"692",NA,0,-390,130,95,4,6,7
"693",NA,0,-310,210,96,4,6,7
"742",NA,0,-410,110,145,4,6,7
"746",NA,0,-430,90,149,4,6,7
"747",NA,0,-190,330,150,4,6,7
"748",NA,0,-70,450,151,4,6,7
"749",NA,0,-190,330,152,4,6,7
"750",NA,0,-90,430,153,4,6,7
"755",NA,0,-250,270,158,4,6,7
"771",NA,0,-510,10,174,4,6,7
"773",NA,0,-290,230,176,4,6,7
"774",NA,0,-250,270,177,4,6,7
"787",NA,0,-410,110,190,4,6,7
"788",NA,0,-410,110,191,4,6,7
"789",NA,0,-370,150,192,4,6,7
"848",0,1,-370,150,52,5,7,8
"883",NA,0,-370,150,87,5,7,8
"893",NA,0,-470,50,97,5,7,8
"909",0,1,-410,110,113,5,7,8
"915",NA,0,-90,430,119,5,7,8
"916",NA,0,-70,450,120,5,7,8
"1047",NA,0,-370,150,52,6,8,9
"1049",NA,0,-250,270,54,6,8,9
"1105",NA,0,-250,270,110,6,8,9
"1107",NA,0,-250,270,112,6,8,9
"1108",NA,0,-410,110,113,6,8,9
"1109",NA,0,-430,90,114,6,8,9
"1110",NA,0,-250,270,115,6,8,9
"1111",NA,0,-290,230,116,6,8,9
"1112",NA,0,-250,270,117,6,8,9
"1113",0,1,-250,270,118,6,8,9
"1281",NA,0,-370,150,87,7,9,10
"1312",NA,0,-250,270,118,7,9,10
"1315",NA,0,-250,270,121,7,9,10
"1316",NA,0,-290,230,122,7,9,10
"1317",NA,0,-70,450,123,7,9,10
"1318",NA,0,-250,270,124,7,9,10
"1319",NA,0,-170,350,125,7,9,10
"1320",0,1,-170,350,126,7,9,10
"1321",NA,0,-190,330,127,7,9,10
"1323",NA,0,-250,270,129,7,9,10
"1324",NA,0,-250,270,130,7,9,10
"1335",0,1,-90,430,141,7,9,10
"1502",NA,0,-230,290,109,8,10,11
"1503",NA,0,-250,270,110,8,10,11
"1507",0,1,-430,90,114,8,10,11
"1519",240,1,-170,350,126,8,10,11
"1524",NA,0,-250,270,131,8,10,11
"1525",NA,0,-250,270,132,8,10,11
"1534",NA,0,-90,430,141,8,10,11
"1535",NA,0,-250,270,142,8,10,11
"1703",NA,0,-250,270,111,9,11,12
"1706",NA,0,-430,90,114,9,11,12
"1718",0,1,-410,110,126,9,11,12
"1720",NA,0,-250,270,128,9,11,12
"1725",NA,0,-170,350,133,9,11,12
"1726",NA,0,-410,110,134,9,11,12
"1727",NA,0,-250,270,135,9,11,12
"1728",NA,0,-250,270,136,9,11,12
"1730",NA,0,-290,230,138,9,11,12
"1731",NA,0,-430,90,139,9,11,12
"1732",NA,0,-290,230,140,9,11,12
"1805",NA,0,-410,110,14,10,12,13
"1806",NA,0,-350,170,15,10,12,13
"1807",NA,0,-410,110,16,10,12,13
"1808",NA,0,-230,290,17,10,12,13
"1809",NA,0,-210,310,18,10,12,13
"1810",NA,0,-430,90,19,10,12,13
"1811",NA,0,-170,350,20,10,12,13
"1812",NA,0,-250,270,21,10,12,13
"1813",0,1,-250,270,22,10,12,13
"1814",NA,0,-190,330,23,10,12,13
"1815",NA,0,-250,270,24,10,12,13
"1816",NA,0,-430,90,25,10,12,13
"1817",NA,0,-430,90,26,10,12,13
"1818",NA,0,-410,110,27,10,12,13
"1819",NA,0,-430,90,28,10,12,13
"1820",NA,0,-210,310,29,10,12,13
"1821",-20,1,-310,210,30,10,12,13
"1822",NA,0,-190,330,31,10,12,13
"1823",NA,0,-310,210,32,10,12,13
"1824",0,1,-250,270,33,10,12,13
"1845",60,1,-190,330,54,10,12,13
"1877",NA,0,-310,210,86,10,12,13
"1917",0,1,-410,110,126,10,12,13
"1920",NA,0,-250,270,129,10,12,13
"1922",NA,0,-290,230,131,10,12,13
"1928",0,1,-250,270,137,10,12,13
"2012",NA,0,-250,270,22,11,13,14
"2020",0,1,-290,230,30,11,13,14
"2023",NA,0,-250,270,33,11,13,14
"2024",NA,0,-250,270,34,11,13,14
"2025",20,1,-250,270,35,11,13,14
"2026",NA,0,-250,270,36,11,13,14
"2027",0,1,-430,90,37,11,13,14
"2028",NA,0,-250,270,38,11,13,14
"2029",NA,0,-190,330,39,11,13,14
"2030",-20,1,-310,210,40,11,13,14
"2044",0,1,-250,270,54,11,13,14
"2107",NA,0,-250,270,117,11,13,14
"2111",NA,0,-250,270,121,11,13,14
"2116",NA,0,-410,110,126,11,13,14
"2127",20,1,-250,270,137,11,13,14
"2194",NA,0,-250,270,5,12,14,15
"2196",NA,0,-250,270,7,12,14,15
"2197",NA,0,-250,270,8,12,14,15
"2198",180,1,-250,270,9,12,14,15
"2199",NA,0,-290,230,10,12,14,15
"2200",NA,0,-250,270,11,12,14,15
"2201",-60,1,-310,210,12,12,14,15
"2202",NA,0,-310,210,13,12,14,15
"2204",100,1,-210,310,15,12,14,15
