"","ID","Y","Yrecap","DL","UL","Size","IND_ID","Period","St_occ","End_occ"
"41",41,NA,0,-18,8,93,"a0900067000076510  ",1,3,4
"44",44,NA,0,-10,16,154,"a0900067000076557  ",1,3,4
"49",49,NA,0,-17,9,69,"a0900067000076666  ",1,3,4
"51",51,NA,0,-11,15,105,"a0900067000076715  ",1,3,4
"53",53,NA,0,-15,11,80,"a0900067000076846  ",1,3,4
"59",59,NA,0,-10,16,122,"a0900067000080024  ",1,3,4
"60",60,NA,0,-13,13,101,"a0900067000080068  ",1,3,4
"62",62,NA,0,-9,17,80,"a0900067000080070  ",1,3,4
"63",63,NA,0,-10,16,70,"a0900067000080083  ",1,3,4
"65",65,NA,0,-13,13,51,"a0900067000080087  ",1,3,4
"67",67,NA,0,-13,13,76,"a0900067000080100  ",1,3,4
"68",68,NA,0,-22,4,82,"a0900067000080104  ",1,3,4
"69",69,NA,0,-13,13,95,"a0900067000080151  ",1,3,4
"70",70,NA,0,-6,20,123,"a0900067000080160",1,3,4
"72",72,NA,0,-13,13,60,"a0900067000080240  ",1,3,4
"73",73,NA,0,-10,16,115,"a0900067000080252  ",1,3,4
"74",74,NA,0,-10,16,113,"a0900067000080319  ",1,3,4
"75",75,NA,0,-5,21,67,"a0900067000080355",1,3,4
"76",76,NA,0,-22,4,103,"a0900067000080361  ",1,3,4
"80",80,NA,0,-10,16,76,"a0900067000080414  ",1,3,4
"82",82,NA,0,-19,7,103,"a0900067000080524  ",1,3,4
"83",83,NA,0,-16,10,132,"a0900067000080577  ",1,3,4
"84",84,NA,0,-18,8,80,"a0900067000080597  ",1,3,4
"85",85,0,1,-22,4,68,"a0900067000080610  ",1,3,4
"86",86,NA,0,-18,8,69,"a0900067000080668  ",1,3,4
"87",87,NA,0,-19,7,52,"a0900067000080676  ",1,3,4
"88",88,0,1,-22,4,55,"a0900067000080677  ",1,3,4
"89",89,NA,0,-21,5,74,"a0900067000080678  ",1,3,4
"91",91,NA,0,-18,8,50,"a0900067000080824  ",1,3,4
"92",92,NA,0,-22,4,70,"a0900067000080826  ",1,3,4
"94",94,NA,0,-19,7,60,"a0900067000080843  ",1,3,4
"95",95,NA,0,-19,7,76,"a0900067000080901  ",1,3,4
"96",96,NA,0,-20,6,47,"a0900067000080933  ",1,3,4
"97",97,0,1,-22,4,72,"a0900067000080972  ",1,3,4
"101",101,NA,0,-10,16,89,"a0900067000085023  ",1,3,4
"103",103,NA,0,-10,16,108,"a0900067000085028  ",1,3,4
"146",146,NA,0,-18,8,76,"a0982000403060576  ",1,3,4
"147",147,NA,0,-22,4,90,"a0982000403060625  ",1,3,4
"148",148,NA,0,-19,7,87,"a0982000403060629  ",1,3,4
"149",149,NA,0,-17,9,63,"a0982000403060640  ",1,3,4
"242",43,NA,0,-10,16,111,"a0900067000076528",2,4,5
"245",46,NA,0,-19,7,72,"a0900067000076617",2,4,5
"247",48,NA,0,-21,5,93,"a0900067000076638",2,4,5
"249",50,NA,0,-10,16,118,"a0900067000076715",2,4,5
"254",55,NA,0,-16,10,95,"a0900067000077233",2,4,5
"256",57,NA,0,-9,17,70,"a0900067000077292",2,4,5
"257",58,NA,0,-11,15,138,"a0900067000080024",2,4,5
"260",61,NA,0,-11,15,95,"a0900067000080070",2,4,5
"265",66,NA,0,-13,13,75,"a0900067000080100",2,4,5
"270",71,NA,0,-17,9,61,"a0900067000080240",2,4,5
"276",77,NA,0,-13,13,72,"a0900067000080390",2,4,5
"278",79,NA,0,-16,10,75,"a0900067000080414",2,4,5
"280",81,NA,0,-19,7,107,"a0900067000080524",2,4,5
"284",85,NA,0,-22,4,69,"a0900067000080610  ",2,4,5
"287",88,NA,0,-22,4,56,"a0900067000080677  ",2,4,5
"289",90,NA,0,-19,7,55,"a0900067000080824",2,4,5
"292",93,NA,0,-19,7,65,"a0900067000080843",2,4,5
"296",97,0,1,-22,4,76,"a0900067000080972  ",2,4,5
"297",98,NA,0,-13,13,79,"a0900067000084700",2,4,5
