"","ID","IND_ID","Y","Yrecap","DL","UL","St_Size","End_Size","Period","Interval","St_Month","St_Year","End_Month","End_Year"
"41",41,"a0900067000076510  ",NA,0,-18,8,93,NA,1,NA,1,2016,NA,NA
"44",44,"a0900067000076557  ",NA,0,-10,16,154,NA,1,NA,1,2016,NA,NA
"49",49,"a0900067000076666  ",NA,0,-17,9,69,NA,1,NA,1,2016,NA,NA
"51",51,"a0900067000076715  ",NA,0,-11,15,105,NA,1,NA,1,2016,NA,NA
"53",53,"a0900067000076846  ",NA,0,-15,11,80,NA,1,NA,1,2016,NA,NA
"59",59,"a0900067000080024  ",NA,0,-10,16,122,NA,1,NA,1,2016,NA,NA
"60",60,"a0900067000080068  ",NA,0,-13,13,101,NA,1,NA,1,2016,NA,NA
"62",62,"a0900067000080070  ",NA,0,-9,17,80,NA,1,NA,1,2016,NA,NA
"63",63,"a0900067000080083  ",NA,0,-10,16,70,NA,1,NA,1,2016,NA,NA
"65",65,"a0900067000080087  ",NA,0,-13,13,51,NA,1,NA,1,2016,NA,NA
"67",67,"a0900067000080100  ",NA,0,-13,13,76,NA,1,NA,1,2016,NA,NA
"68",68,"a0900067000080104  ",NA,0,-22,4,82,NA,1,NA,1,2016,NA,NA
"69",69,"a0900067000080151  ",NA,0,-13,13,95,NA,1,NA,1,2016,NA,NA
"70",70,"a0900067000080160",NA,0,-6,20,123,NA,1,NA,1,2016,NA,NA
"72",72,"a0900067000080240  ",NA,0,-13,13,60,NA,1,NA,1,2016,NA,NA
"73",73,"a0900067000080252  ",NA,0,-10,16,115,NA,1,NA,1,2016,NA,NA
"74",74,"a0900067000080319  ",NA,0,-10,16,113,NA,1,NA,1,2016,NA,NA
"75",75,"a0900067000080355",NA,0,-5,21,67,NA,1,NA,1,2016,NA,NA
"76",76,"a0900067000080361  ",NA,0,-22,4,103,NA,1,NA,1,2016,NA,NA
"80",80,"a0900067000080414  ",NA,0,-10,16,76,NA,1,NA,1,2016,NA,NA
"82",82,"a0900067000080524  ",NA,0,-19,7,103,NA,1,NA,1,2016,NA,NA
"83",83,"a0900067000080577  ",NA,0,-16,10,132,NA,1,NA,1,2016,NA,NA
"84",84,"a0900067000080597  ",NA,0,-18,8,80,NA,1,NA,1,2016,NA,NA
"85",85,"a0900067000080610  ",0,1,-0.5,0.5,68,69,1,62,1,2016,3,2016
"86",86,"a0900067000080668  ",NA,0,-18,8,69,NA,1,NA,1,2016,NA,NA
"87",87,"a0900067000080676  ",NA,0,-19,7,52,NA,1,NA,1,2016,NA,NA
"88",88,"a0900067000080677  ",0,1,-0.5,0.5,55,56,1,62,1,2016,3,2016
"89",89,"a0900067000080678  ",NA,0,-21,5,74,NA,1,NA,1,2016,NA,NA
"91",91,"a0900067000080824  ",NA,0,-18,8,50,NA,1,NA,1,2016,NA,NA
"92",92,"a0900067000080826  ",NA,0,-22,4,70,NA,1,NA,1,2016,NA,NA
"94",94,"a0900067000080843  ",NA,0,-19,7,60,NA,1,NA,1,2016,NA,NA
"95",95,"a0900067000080901  ",NA,0,-19,7,76,NA,1,NA,1,2016,NA,NA
"96",96,"a0900067000080933  ",NA,0,-20,6,47,NA,1,NA,1,2016,NA,NA
"97",97,"a0900067000080972  ",0,1,-0.5,0.5,72,76,1,62,1,2016,3,2016
"101",101,"a0900067000085023  ",NA,0,-10,16,89,NA,1,NA,1,2016,NA,NA
"103",103,"a0900067000085028  ",NA,0,-10,16,108,NA,1,NA,1,2016,NA,NA
"146",146,"a0982000403060576  ",NA,0,-18,8,76,NA,1,NA,1,2016,NA,NA
"147",147,"a0982000403060625  ",NA,0,-22,4,90,NA,1,NA,1,2016,NA,NA
"148",148,"a0982000403060629  ",NA,0,-19,7,87,NA,1,NA,1,2016,NA,NA
"149",149,"a0982000403060640  ",NA,0,-17,9,63,NA,1,NA,1,2016,NA,NA
"242",43,"a0900067000076528",NA,0,-10,16,111,NA,2,NA,3,2016,NA,NA
"245",46,"a0900067000076617",NA,0,-19,7,72,NA,2,NA,3,2016,NA,NA
"247",48,"a0900067000076638",NA,0,-21,5,93,NA,2,NA,3,2016,NA,NA
"249",50,"a0900067000076715",NA,0,-10,16,118,NA,2,NA,3,2016,NA,NA
"254",55,"a0900067000077233",NA,0,-16,10,95,NA,2,NA,3,2016,NA,NA
"256",57,"a0900067000077292",NA,0,-9,17,70,NA,2,NA,3,2016,NA,NA
"257",58,"a0900067000080024",NA,0,-11,15,138,NA,2,NA,3,2016,NA,NA
"260",61,"a0900067000080070",NA,0,-11,15,95,NA,2,NA,3,2016,NA,NA
"265",66,"a0900067000080100",NA,0,-13,13,75,NA,2,NA,3,2016,NA,NA
"270",71,"a0900067000080240",NA,0,-17,9,61,NA,2,NA,3,2016,NA,NA
"276",77,"a0900067000080390",NA,0,-13,13,72,NA,2,NA,3,2016,NA,NA
"278",79,"a0900067000080414",NA,0,-16,10,75,NA,2,NA,3,2016,NA,NA
"280",81,"a0900067000080524",NA,0,-19,7,107,NA,2,NA,3,2016,NA,NA
"284",85,"a0900067000080610  ",NA,0,-22,4,69,NA,2,NA,3,2016,NA,NA
"287",88,"a0900067000080677  ",NA,0,-22,4,56,NA,2,NA,3,2016,NA,NA
"289",90,"a0900067000080824",NA,0,-19,7,55,NA,2,NA,3,2016,NA,NA
"292",93,"a0900067000080843",NA,0,-19,7,65,NA,2,NA,3,2016,NA,NA
"296",97,"a0900067000080972  ",0,1,-0.5,0.5,76,78,2,65,3,2016,5,2016
"297",98,"a0900067000084700",NA,0,-13,13,79,NA,2,NA,3,2016,NA,NA
"299",100,"a0900067000085023",NA,0,-10,16,100,NA,2,NA,3,2016,NA,NA
"301",102,"a0900067000085028",NA,0,-11,15,125,NA,2,NA,3,2016,NA,NA
"303",104,"a0900067000085331",NA,0,-10,16,87,NA,2,NA,3,2016,NA,NA
"304",105,"a0900067000085384",NA,0,-13,13,90,NA,2,NA,3,2016,NA,NA
