"","Y","Yrecap","DL","UL","IND_ID","Period","St_occ","End_occ"
"117",NA,0,-390,130,117,1,3,4
"123",NA,0,-390,130,123,1,3,4
"124",NA,0,-310,210,124,1,3,4
"126",NA,0,-370,150,126,1,3,4
"127",NA,0,-390,130,127,1,3,4
"129",-20,1,-450,70,129,1,3,4
"131",240,1,-210,310,131,1,3,4
"134",NA,0,-430,90,134,1,3,4
"135",NA,0,-130,390,135,1,3,4
"137",NA,0,-130,390,137,1,3,4
"145",NA,0,-270,250,145,1,3,4
"151",NA,0,-130,390,151,1,3,4
"153",0,1,-450,70,153,1,3,4
"155",NA,0,-170,350,155,1,3,4
"158",NA,0,-210,310,158,1,3,4
"159",NA,0,-130,390,159,1,3,4
"160",NA,0,-70,450,160,1,3,4
"162",NA,0,-130,390,162,1,3,4
"164",NA,0,-110,410,164,1,3,4
"166",NA,0,-130,390,166,1,3,4
"169",NA,0,-130,390,169,1,3,4
"170",NA,0,-130,390,170,1,3,4
"172",NA,0,-170,350,172,1,3,4
"173",NA,0,-130,390,173,1,3,4
"175",NA,0,-90,430,175,1,3,4
"176",NA,0,-90,430,176,1,3,4
"178",NA,0,-430,90,178,1,3,4
"179",NA,0,-130,390,179,1,3,4
"180",NA,0,-130,390,180,1,3,4
"182",NA,0,-130,390,182,1,3,4
"184",NA,0,-190,330,184,1,3,4
"185",20,1,-430,90,185,1,3,4
"186",-60,1,-190,330,186,1,3,4
"187",NA,0,-450,70,187,1,3,4
"188",NA,0,-130,390,188,1,3,4
"190",NA,0,-450,70,190,1,3,4
"191",NA,0,-130,390,191,1,3,4
"192",NA,0,-350,170,192,1,3,4
"193",NA,0,-390,130,193,1,3,4
"195",NA,0,-330,190,195,1,3,4
"197",NA,0,-290,230,197,1,3,4
"198",NA,0,-310,210,198,1,3,4
"199",NA,0,-450,70,199,1,3,4
"200",NA,0,-350,170,200,1,3,4
"201",NA,0,-290,230,201,1,3,4
"203",NA,0,-430,90,203,1,3,4
"204",NA,0,-350,170,204,1,3,4
"205",NA,0,-130,390,205,1,3,4
"208",NA,0,-130,390,208,1,3,4
"210",NA,0,-190,330,210,1,3,4
"212",NA,0,-170,350,212,1,3,4
"213",NA,0,-130,390,213,1,3,4
"216",NA,0,-190,330,216,1,3,4
"607",-80,1,-210,310,607,1,3,4
"610",NA,0,-110,410,610,1,3,4
"613",NA,0,-270,250,613,1,3,4
"614",NA,0,-130,390,614,1,3,4
"616",NA,0,-130,390,616,1,3,4
"619",NA,0,-110,410,619,1,3,4
"628",NA,0,-290,230,628,1,3,4
"629",NA,0,-130,390,629,1,3,4
"633",NA,0,-130,390,633,1,3,4
"636",NA,0,-130,390,636,1,3,4
"645",NA,0,-90,430,645,1,3,4
"653",NA,0,-130,390,653,1,3,4
"656",NA,0,-390,130,656,1,3,4
"854",-160,1,-470,50,111,2,4,5
"855",-140,1,-470,50,112,2,4,5
"856",NA,0,-350,170,113,2,4,5
