"","Y","Yrecap","DL","UL","Size","IND_ID","Period","St_occ","End_occ"
"117",NA,0,-20,6,129,117,1,3,4
"123",NA,0,-20,6,114,123,1,3,4
"124",NA,0,-16,10,103,124,1,3,4
"126",NA,0,-19,7,117,126,1,3,4
"127",NA,0,-20,6,135,127,1,3,4
"129",-1,1,-23,3,147,129,1,3,4
"131",12,1,-11,15,136,131,1,3,4
"134",NA,0,-22,4,110,134,1,3,4
"135",NA,0,-7,19,180,135,1,3,4
"137",NA,0,-7,19,178,137,1,3,4
"145",NA,0,-14,12,169,145,1,3,4
"151",NA,0,-7,19,142,151,1,3,4
"153",0,1,-23,3,133,153,1,3,4
"155",NA,0,-9,17,66,155,1,3,4
"158",NA,0,-11,15,142,158,1,3,4
"159",NA,0,-7,19,215,159,1,3,4
"160",NA,0,-4,22,69,160,1,3,4
"162",NA,0,-7,19,115,162,1,3,4
"164",NA,0,-6,20,56,164,1,3,4
"166",NA,0,-7,19,179,166,1,3,4
"169",NA,0,-7,19,176,169,1,3,4
"170",NA,0,-7,19,180,170,1,3,4
"172",NA,0,-9,17,50,172,1,3,4
"173",NA,0,-7,19,120,173,1,3,4
"175",NA,0,-5,21,64,175,1,3,4
"176",NA,0,-5,21,77,176,1,3,4
"178",NA,0,-22,4,117,178,1,3,4
"179",NA,0,-7,19,114,179,1,3,4
"180",NA,0,-7,19,107,180,1,3,4
"182",NA,0,-7,19,205,182,1,3,4
"184",NA,0,-10,16,81,184,1,3,4
"185",1,1,-22,4,123,185,1,3,4
"186",-3,1,-10,16,121,186,1,3,4
"187",NA,0,-23,3,176,187,1,3,4
"188",NA,0,-7,19,112,188,1,3,4
"190",NA,0,-23,3,135,190,1,3,4
"191",NA,0,-7,19,195,191,1,3,4
"192",NA,0,-18,8,61,192,1,3,4
"193",NA,0,-20,6,50,193,1,3,4
"195",NA,0,-17,9,61,195,1,3,4
"197",NA,0,-15,11,59,197,1,3,4
"198",NA,0,-16,10,55,198,1,3,4
"199",NA,0,-23,3,109,199,1,3,4
"200",NA,0,-18,8,50,200,1,3,4
"201",NA,0,-15,11,62,201,1,3,4
"203",NA,0,-22,4,167,203,1,3,4
"204",NA,0,-18,8,51,204,1,3,4
"205",NA,0,-7,19,159,205,1,3,4
"208",NA,0,-7,19,186,208,1,3,4
"210",NA,0,-10,16,67,210,1,3,4
"212",NA,0,-9,17,168,212,1,3,4
"213",NA,0,-7,19,124,213,1,3,4
"216",NA,0,-10,16,107,216,1,3,4
"607",-4,1,-11,15,139,607,1,3,4
"610",NA,0,-6,20,121,610,1,3,4
"613",NA,0,-14,12,175,613,1,3,4
"614",NA,0,-7,19,131,614,1,3,4
"616",NA,0,-7,19,197,616,1,3,4
"619",NA,0,-6,20,132,619,1,3,4
"628",NA,0,-15,11,59,628,1,3,4
"629",NA,0,-7,19,135,629,1,3,4
"633",NA,0,-7,19,204,633,1,3,4
"636",NA,0,-7,19,167,636,1,3,4
"645",NA,0,-5,21,140,645,1,3,4
"653",NA,0,-7,19,140,653,1,3,4
"656",NA,0,-20,6,165,656,1,3,4
"854",-8,1,-24,2,175,111,2,4,5
"855",-7,1,-24,2,138,112,2,4,5
"856",NA,0,-18,8,171,113,2,4,5
"858",NA,0,-18,8,167,115,2,4,5
"859",-7,1,-24,2,165,116,2,4,5
"862",NA,0,-15,11,172,119,2,4,5
"863",NA,0,-17,9,166,120,2,4,5
"865",NA,0,-19,7,117,122,2,4,5
"872",-8,1,-22,4,144,129,2,4,5
"873",NA,0,-16,10,137,130,2,4,5
"874",-10,1,-23,3,138,131,2,4,5
"876",NA,0,-24,2,143,133,2,4,5
