"","ID","Y","Yrecap","DL","UL","Size","IND_ID","Period","St_occ","End_occ"
"117",117,NA,0,-20,6,129,"a0900067000076568  ",1,3,4
"123",123,NA,0,-20,6,114,"a0900067000076713  ",1,3,4
"124",124,NA,0,-16,10,103,"a0900067000076735  ",1,3,4
"126",126,NA,0,-19,7,117,"a0900067000076780  ",1,3,4
"127",127,NA,0,-20,6,135,"a0900067000076782  ",1,3,4
"129",129,-1,1,-23,3,147,"a0900067000076786  ",1,3,4
"131",131,12,1,-11,15,136,"a0900067000076818  ",1,3,4
"134",134,NA,0,-22,4,110,"a0900067000076993  ",1,3,4
"135",135,NA,0,-7,19,180,"a0900067000077030",1,3,4
"137",137,NA,0,-7,19,178,"a0900067000077076",1,3,4
"145",145,NA,0,-14,12,169,"a0900067000077337  ",1,3,4
"151",151,NA,0,-7,19,142,"a0900067000077468",1,3,4
"153",153,0,1,-23,3,133,"a0900067000080000  ",1,3,4
"155",155,NA,0,-9,17,66,"a0900067000080013  ",1,3,4
"158",158,NA,0,-11,15,142,"a0900067000080057  ",1,3,4
"159",159,NA,0,-7,19,215,"a0900067000080078",1,3,4
"160",160,NA,0,-4,22,69,"a0900067000080081",1,3,4
"162",162,NA,0,-7,19,115,"a0900067000080093",1,3,4
"164",164,NA,0,-6,20,56,"a0900067000080095",1,3,4
"166",166,NA,0,-7,19,179,"a0900067000080103",1,3,4
"169",169,NA,0,-7,19,176,"a0900067000080123",1,3,4
"170",170,NA,0,-7,19,180,"a0900067000080132",1,3,4
"172",172,NA,0,-9,17,50,"a0900067000080159  ",1,3,4
"173",173,NA,0,-7,19,120,"a0900067000080162",1,3,4
"175",175,NA,0,-5,21,64,"a0900067000080189",1,3,4
"176",176,NA,0,-5,21,77,"a0900067000080201",1,3,4
"178",178,NA,0,-22,4,117,"a0900067000080224  ",1,3,4
"179",179,NA,0,-7,19,114,"a0900067000080284",1,3,4
"180",180,NA,0,-7,19,107,"a0900067000080337",1,3,4
"182",182,NA,0,-7,19,205,"a0900067000080352",1,3,4
"184",184,NA,0,-10,16,81,"a0900067000080406  ",1,3,4
