"","ID","IND_ID","Y","Yrecap","DL","UL","St_Size","End_Size","Period","Interval","St_Month","St_Year","End_Month","End_Year"
"117",117,"a0900067000076568  ",NA,0,-20,6,129,NA,1,NA,1,2016,NA,NA
"123",123,"a0900067000076713  ",NA,0,-20,6,114,NA,1,NA,1,2016,NA,NA
"124",124,"a0900067000076735  ",NA,0,-16,10,103,NA,1,NA,1,2016,NA,NA
"126",126,"a0900067000076780  ",NA,0,-19,7,117,NA,1,NA,1,2016,NA,NA
"127",127,"a0900067000076782  ",NA,0,-20,6,135,NA,1,NA,1,2016,NA,NA
"129",129,"a0900067000076786  ",-1,1,-1.5,-0.5,147,144,1,62,1,2016,3,2016
"131",131,"a0900067000076818  ",12,1,11.5,12.5,136,138,1,65,1,2016,3,2016
"134",134,"a0900067000076993  ",NA,0,-22,4,110,NA,1,NA,1,2016,NA,NA
"135",135,"a0900067000077030",NA,0,-7,19,180,NA,1,NA,1,2016,NA,NA
"137",137,"a0900067000077076",NA,0,-7,19,178,NA,1,NA,1,2016,NA,NA
"145",145,"a0900067000077337  ",NA,0,-14,12,169,NA,1,NA,1,2016,NA,NA
"151",151,"a0900067000077468",NA,0,-7,19,142,NA,1,NA,1,2016,NA,NA
"153",153,"a0900067000080000  ",0,1,-0.5,0.5,133,134,1,62,1,2016,3,2016
"155",155,"a0900067000080013  ",NA,0,-9,17,66,NA,1,NA,1,2016,NA,NA
"158",158,"a0900067000080057  ",NA,0,-11,15,142,NA,1,NA,1,2016,NA,NA
"159",159,"a0900067000080078",NA,0,-7,19,215,NA,1,NA,1,2016,NA,NA
"160",160,"a0900067000080081",NA,0,-4,22,69,NA,1,NA,1,2016,NA,NA
"162",162,"a0900067000080093",NA,0,-7,19,115,NA,1,NA,1,2016,NA,NA
"164",164,"a0900067000080095",NA,0,-6,20,56,NA,1,NA,1,2016,NA,NA
"166",166,"a0900067000080103",NA,0,-7,19,179,NA,1,NA,1,2016,NA,NA
"169",169,"a0900067000080123",NA,0,-7,19,176,NA,1,NA,1,2016,NA,NA
"170",170,"a0900067000080132",NA,0,-7,19,180,NA,1,NA,1,2016,NA,NA
"172",172,"a0900067000080159  ",NA,0,-9,17,50,NA,1,NA,1,2016,NA,NA
"173",173,"a0900067000080162",NA,0,-7,19,120,NA,1,NA,1,2016,NA,NA
"175",175,"a0900067000080189",NA,0,-5,21,64,NA,1,NA,1,2016,NA,NA
"176",176,"a0900067000080201",NA,0,-5,21,77,NA,1,NA,1,2016,NA,NA
"178",178,"a0900067000080224  ",NA,0,-22,4,117,NA,1,NA,1,2016,NA,NA
"179",179,"a0900067000080284",NA,0,-7,19,114,NA,1,NA,1,2016,NA,NA
"180",180,"a0900067000080337",NA,0,-7,19,107,NA,1,NA,1,2016,NA,NA
"182",182,"a0900067000080352",NA,0,-7,19,205,NA,1,NA,1,2016,NA,NA
"184",184,"a0900067000080406  ",NA,0,-10,16,81,NA,1,NA,1,2016,NA,NA
"185",185,"a0900067000080413  ",1,1,0.5,1.5,123,126,1,62,1,2016,3,2016
"186",186,"a0900067000080443  ",-3,1,-3.5,-2.5,121,122,1,66,1,2016,3,2016
"187",187,"a0900067000080468  ",NA,0,-23,3,176,NA,1,NA,1,2016,NA,NA
"188",188,"a0900067000080476",NA,0,-7,19,112,NA,1,NA,1,2016,NA,NA
"190",190,"a0900067000080479  ",NA,0,-23,3,135,NA,1,NA,1,2016,NA,NA
"191",191,"a0900067000080492",NA,0,-7,19,195,NA,1,NA,1,2016,NA,NA
"192",192,"a0900067000080596  ",NA,0,-18,8,61,NA,1,NA,1,2016,NA,NA
"193",193,"a0900067000080627  ",NA,0,-20,6,50,NA,1,NA,1,2016,NA,NA
"195",195,"a0900067000080669  ",NA,0,-17,9,61,NA,1,NA,1,2016,NA,NA
"197",197,"a0900067000080737  ",NA,0,-15,11,59,NA,1,NA,1,2016,NA,NA
"198",198,"a0900067000080757  ",NA,0,-16,10,55,NA,1,NA,1,2016,NA,NA
"199",199,"a0900067000080784  ",NA,0,-23,3,109,NA,1,NA,1,2016,NA,NA
"200",200,"a0900067000080785  ",NA,0,-18,8,50,NA,1,NA,1,2016,NA,NA
"201",201,"a0900067000080807  ",NA,0,-15,11,62,NA,1,NA,1,2016,NA,NA
"203",203,"a0900067000080952  ",NA,0,-22,4,167,NA,1,NA,1,2016,NA,NA
"204",204,"a0900067000080960  ",NA,0,-18,8,51,NA,1,NA,1,2016,NA,NA
"205",205,"a0900067000084636",NA,0,-7,19,159,NA,1,NA,1,2016,NA,NA
"208",208,"a0900067000084917",NA,0,-7,19,186,NA,1,NA,1,2016,NA,NA
"210",210,"a0900067000085213  ",NA,0,-10,16,67,NA,1,NA,1,2016,NA,NA
"212",212,"a0900067000085269  ",NA,0,-9,17,168,NA,1,NA,1,2016,NA,NA
"213",213,"a0900067000085313",NA,0,-7,19,124,NA,1,NA,1,2016,NA,NA
"216",216,"a0900067000085352  ",NA,0,-10,16,107,NA,1,NA,1,2016,NA,NA
"607",607,"a0982000403060155  ",-4,1,-4.5,-3.5,139,138,1,66,1,2016,3,2016
"610",610,"a0982000403060192",NA,0,-6,20,121,NA,1,NA,1,2016,NA,NA
"613",613,"a0982000403060241  ",NA,0,-14,12,175,NA,1,NA,1,2016,NA,NA
"614",614,"a0982000403060248",NA,0,-7,19,131,NA,1,NA,1,2016,NA,NA
"616",616,"a0982000403060254",NA,0,-7,19,197,NA,1,NA,1,2016,NA,NA
"619",619,"a0982000403060288",NA,0,-6,20,132,NA,1,NA,1,2016,NA,NA
"628",628,"a0982000403060319  ",NA,0,-15,11,59,NA,1,NA,1,2016,NA,NA
"629",629,"a0982000403060325",NA,0,-7,19,135,NA,1,NA,1,2016,NA,NA
"633",633,"a0982000403060356",NA,0,-7,19,204,NA,1,NA,1,2016,NA,NA
"636",636,"a0982000403060366",NA,0,-7,19,167,NA,1,NA,1,2016,NA,NA
"645",645,"a0982000403060398",NA,0,-5,21,140,NA,1,NA,1,2016,NA,NA
"653",653,"a0982000403060437",NA,0,-7,19,140,NA,1,NA,1,2016,NA,NA
"656",656,"a0982000403060575  ",NA,0,-20,6,165,NA,1,NA,1,2016,NA,NA
"854",111,"a0900067000076503  ",-8,1,-8.5,-7.5,175,177,2,62,3,2016,5,2016
"855",112,"a0900067000076505  ",-7,1,-7.5,-6.5,138,138,2,62,3,2016,5,2016
"856",113,"a0900067000076527",NA,0,-18,8,171,NA,2,NA,3,2016,NA,NA
"858",115,"a0900067000076535",NA,0,-18,8,167,NA,2,NA,3,2016,NA,NA
"859",116,"a0900067000076535  ",-7,1,-7.5,-6.5,165,171,2,62,3,2016,5,2016
"862",119,"a0900067000076661",NA,0,-15,11,172,NA,2,NA,3,2016,NA,NA
"863",120,"a0900067000076669",NA,0,-17,9,166,NA,2,NA,3,2016,NA,NA
"865",122,"a0900067000076713",NA,0,-19,7,117,NA,2,NA,3,2016,NA,NA
"872",129,"a0900067000076786  ",-8,1,-8.5,-7.5,144,145,2,62,3,2016,5,2016
"873",130,"a0900067000076818",NA,0,-16,10,137,NA,2,NA,3,2016,NA,NA
"874",131,"a0900067000076818  ",-10,1,-10.5,-9.5,138,136,2,62,3,2016,5,2016
"876",133,"a0900067000076855  ",NA,0,-24,2,143,NA,2,NA,3,2016,NA,NA
"881",138,"a0900067000077076  ",NA,0,-7,19,175,NA,2,NA,3,2016,NA,NA
"882",139,"a0900067000077090  ",NA,0,-6,20,170,NA,2,NA,3,2016,NA,NA
"886",143,"a0900067000077321",NA,0,-10,16,210,NA,2,NA,3,2016,NA,NA
"887",144,"a0900067000077337",NA,0,-13,13,161,NA,2,NA,3,2016,NA,NA
"890",147,"a0900067000077387  ",NA,0,-7,19,122,NA,2,NA,3,2016,NA,NA
"895",152,"a0900067000077468  ",NA,0,-7,19,145,NA,2,NA,3,2016,NA,NA
"896",153,"a0900067000080000  ",1,1,0.5,1.5,134,134,2,65,3,2016,5,2016
"897",154,"a0900067000080013",NA,0,-9,17,66,NA,2,NA,3,2016,NA,NA
"900",157,"a0900067000080057",NA,0,-14,12,142,NA,2,NA,3,2016,NA,NA
"904",161,"a0900067000080081  ",NA,0,-4,22,75,NA,2,NA,3,2016,NA,NA
"910",167,"a0900067000080111",NA,0,-17,9,70,NA,2,NA,3,2016,NA,NA
"917",174,"a0900067000080162  ",0,1,-0.5,0.5,120,129,2,62,3,2016,5,2016
"920",177,"a0900067000080201  ",NA,0,-5,21,83,NA,2,NA,3,2016,NA,NA
"924",181,"a0900067000080337  ",NA,0,-7,19,114,NA,2,NA,3,2016,NA,NA
"926",183,"a0900067000080352  ",NA,0,-3,23,211,NA,2,NA,3,2016,NA,NA
"928",185,"a0900067000080413  ",NA,0,-23,3,126,NA,2,NA,3,2016,NA,NA
"929",186,"a0900067000080443  ",NA,0,-7,19,122,NA,2,NA,3,2016,NA,NA
"937",194,"a0900067000080669",NA,0,-15,11,68,NA,2,NA,3,2016,NA,NA
"939",196,"a0900067000080737",NA,0,-16,10,62,NA,2,NA,3,2016,NA,NA
"950",207,"a0900067000084905  ",0,1,-0.5,0.5,210,210,2,62,3,2016,5,2016
"952",209,"a0900067000084946  ",NA,0,-6,20,175,NA,2,NA,3,2016,NA,NA
"954",211,"a0900067000085269",NA,0,-9,17,163,NA,2,NA,3,2016,NA,NA
"958",215,"a0900067000085352",NA,0,-10,16,120,NA,2,NA,3,2016,NA,NA
"1349",606,"a0982000403060155",NA,0,-10,16,140,NA,2,NA,3,2016,NA,NA
"1350",607,"a0982000403060155  ",-3,1,-3.5,-2.5,138,155,2,62,3,2016,5,2016
"1354",611,"a0982000403060192  ",NA,0,-7,19,123,NA,2,NA,3,2016,NA,NA
"1358",615,"a0982000403060253  ",NA,0,-6,20,194,NA,2,NA,3,2016,NA,NA
"1360",617,"a0982000403060254  ",NA,0,-3,23,200,NA,2,NA,3,2016,NA,NA
"1363",620,"a0982000403060288  ",7,1,6.5,7.5,127,130,2,61,3,2016,5,2016
"1370",627,"a0982000403060318  ",NA,0,-7,19,187,NA,2,NA,3,2016,NA,NA
