"","ID","IND_ID","Ydisplace","Yrecap","Sec_cap","Sec_recap","St_Size","End_Size","Period","Interval","St_Date","St_Month","St_Year","End_Date","End_Month","End_Year","species","Stream","flow50","Q90","Q95","Q99","Q_sigma","Temp","UL","DL"
"1",117,"a0900067000076568  ",NA,0,20,NA,129,NA,1,NA,16821,1,2016,NA,NA,NA,"STJ","Todd",0.332,46,20,2,0.0253565400784194,10.6994025821596,520,0
"2",123,"a0900067000076713  ",NA,0,20,NA,114,NA,1,NA,16821,1,2016,NA,NA,NA,"STJ","Todd",0.332,46,20,2,0.0253565400784194,10.6994025821596,520,0
"3",124,"a0900067000076735  ",NA,0,16,NA,103,NA,1,NA,16818,1,2016,NA,NA,NA,"STJ","Todd",0.332,46,20,2,0.0253565400784194,10.6994025821596,520,0
"4",126,"a0900067000076780  ",NA,0,19,NA,117,NA,1,NA,16818,1,2016,NA,NA,NA,"STJ","Todd",0.332,46,20,2,0.0253565400784194,10.6994025821596,520,0
"5",127,"a0900067000076782  ",NA,0,20,NA,135,NA,1,NA,16821,1,2016,NA,NA,NA,"STJ","Todd",0.332,46,20,2,0.0253565400784194,10.6994025821596,520,0
"6",129,"a0900067000076786  ",-1,1,23,22,147,144,1,62,16821,1,2016,16883,3,2016,"STJ","Todd",0.332,46,20,2,0.0253565400784194,10.6994025821596,440,420
"7",131,"a0900067000076818  ",12,1,11,23,136,138,1,65,16818,1,2016,16883,3,2016,"STJ","Todd",0.332,46,20,2,0.0253565400784194,10.6994025821596,460,440
"8",134,"a0900067000076993  ",NA,0,22,NA,110,NA,1,NA,16821,1,2016,NA,NA,NA,"STJ","Todd",0.332,46,20,2,0.0253565400784194,10.6994025821596,520,0
"9",135,"a0900067000077030",NA,0,7,NA,180,NA,1,NA,16814,1,2016,NA,NA,NA,"STJ","Todd",0.332,46,20,2,0.0253565400784194,10.6994025821596,520,0
"10",137,"a0900067000077076",NA,0,7,NA,178,NA,1,NA,16814,1,2016,NA,NA,NA,"STJ","Todd",0.332,46,20,2,0.0253565400784194,10.6994025821596,520,0
"11",145,"a0900067000077337  ",NA,0,14,NA,169,NA,1,NA,16818,1,2016,NA,NA,NA,"STJ","Todd",0.332,46,20,2,0.0253565400784194,10.6994025821596,520,0
"12",151,"a0900067000077468",NA,0,7,NA,142,NA,1,NA,16814,1,2016,NA,NA,NA,"STJ","Todd",0.332,46,20,2,0.0253565400784194,10.6994025821596,520,0
"13",153,"a0900067000080000  ",0,1,23,23,133,134,1,62,16821,1,2016,16883,3,2016,"STJ","Todd",0.332,46,20,2,0.0253565400784194,10.6994025821596,460,440
"14",155,"a0900067000080013  ",NA,0,9,NA,66,NA,1,NA,16818,1,2016,NA,NA,NA,"STJ","Todd",0.332,46,20,2,0.0253565400784194,10.6994025821596,520,0
"15",158,"a0900067000080057  ",NA,0,11,NA,142,NA,1,NA,16818,1,2016,NA,NA,NA,"STJ","Todd",0.332,46,20,2,0.0253565400784194,10.6994025821596,520,0
"16",159,"a0900067000080078",NA,0,7,NA,215,NA,1,NA,16814,1,2016,NA,NA,NA,"STJ","Todd",0.332,46,20,2,0.0253565400784194,10.6994025821596,520,0
"17",160,"a0900067000080081",NA,0,4,NA,69,NA,1,NA,16814,1,2016,NA,NA,NA,"STJ","Todd",0.332,46,20,2,0.0253565400784194,10.6994025821596,520,0
