"","ID","IND_ID","Y","Yrecap","DL","UL","St_Size","End_Size","Period","Interval","St_Date","St_Month","St_Year","End_Date","End_Month","End_Year","species","Stream","Q90","Q95","Q99","Q_sigma","Temp"
"1",117,"a0900067000076568  ",NA,0,-20,6,129,NA,1,NA,16821,1,2016,NA,NA,NA,"STJ","Todd",46,20,2,0.0253565400784194,10.6994025821596
"2",123,"a0900067000076713  ",NA,0,-20,6,114,NA,1,NA,16821,1,2016,NA,NA,NA,"STJ","Todd",46,20,2,0.0253565400784194,10.6994025821596
"3",124,"a0900067000076735  ",NA,0,-16,10,103,NA,1,NA,16818,1,2016,NA,NA,NA,"STJ","Todd",46,20,2,0.0253565400784194,10.6994025821596
"4",126,"a0900067000076780  ",NA,0,-19,7,117,NA,1,NA,16818,1,2016,NA,NA,NA,"STJ","Todd",46,20,2,0.0253565400784194,10.6994025821596
"5",127,"a0900067000076782  ",NA,0,-20,6,135,NA,1,NA,16821,1,2016,NA,NA,NA,"STJ","Todd",46,20,2,0.0253565400784194,10.6994025821596
"6",129,"a0900067000076786  ",-1,1,-1.5,-0.5,147,144,1,62,16821,1,2016,16883,3,2016,"STJ","Todd",46,20,2,0.0253565400784194,10.6994025821596
"7",131,"a0900067000076818  ",12,1,11.5,12.5,136,138,1,65,16818,1,2016,16883,3,2016,"STJ","Todd",46,20,2,0.0253565400784194,10.6994025821596
"8",134,"a0900067000076993  ",NA,0,-22,4,110,NA,1,NA,16821,1,2016,NA,NA,NA,"STJ","Todd",46,20,2,0.0253565400784194,10.6994025821596
"9",135,"a0900067000077030",NA,0,-7,19,180,NA,1,NA,16814,1,2016,NA,NA,NA,"STJ","Todd",46,20,2,0.0253565400784194,10.6994025821596
"10",137,"a0900067000077076",NA,0,-7,19,178,NA,1,NA,16814,1,2016,NA,NA,NA,"STJ","Todd",46,20,2,0.0253565400784194,10.6994025821596
"11",145,"a0900067000077337  ",NA,0,-14,12,169,NA,1,NA,16818,1,2016,NA,NA,NA,"STJ","Todd",46,20,2,0.0253565400784194,10.6994025821596
"12",151,"a0900067000077468",NA,0,-7,19,142,NA,1,NA,16814,1,2016,NA,NA,NA,"STJ","Todd",46,20,2,0.0253565400784194,10.6994025821596
"13",153,"a0900067000080000  ",0,1,-0.5,0.5,133,134,1,62,16821,1,2016,16883,3,2016,"STJ","Todd",46,20,2,0.0253565400784194,10.6994025821596
"14",155,"a0900067000080013  ",NA,0,-9,17,66,NA,1,NA,16818,1,2016,NA,NA,NA,"STJ","Todd",46,20,2,0.0253565400784194,10.6994025821596
"15",158,"a0900067000080057  ",NA,0,-11,15,142,NA,1,NA,16818,1,2016,NA,NA,NA,"STJ","Todd",46,20,2,0.0253565400784194,10.6994025821596
"16",159,"a0900067000080078",NA,0,-7,19,215,NA,1,NA,16814,1,2016,NA,NA,NA,"STJ","Todd",46,20,2,0.0253565400784194,10.6994025821596
"17",160,"a0900067000080081",NA,0,-4,22,69,NA,1,NA,16814,1,2016,NA,NA,NA,"STJ","Todd",46,20,2,0.0253565400784194,10.6994025821596
"18",162,"a0900067000080093",NA,0,-7,19,115,NA,1,NA,16814,1,2016,NA,NA,NA,"STJ","Todd",46,20,2,0.0253565400784194,10.6994025821596
"19",164,"a0900067000080095",NA,0,-6,20,56,NA,1,NA,16814,1,2016,NA,NA,NA,"STJ","Todd",46,20,2,0.0253565400784194,10.6994025821596
"20",166,"a0900067000080103",NA,0,-7,19,179,NA,1,NA,16814,1,2016,NA,NA,NA,"STJ","Todd",46,20,2,0.0253565400784194,10.6994025821596
"21",169,"a0900067000080123",NA,0,-7,19,176,NA,1,NA,16814,1,2016,NA,NA,NA,"STJ","Todd",46,20,2,0.0253565400784194,10.6994025821596
"22",170,"a0900067000080132",NA,0,-7,19,180,NA,1,NA,16814,1,2016,NA,NA,NA,"STJ","Todd",46,20,2,0.0253565400784194,10.6994025821596
"23",172,"a0900067000080159  ",NA,0,-9,17,50,NA,1,NA,16818,1,2016,NA,NA,NA,"STJ","Todd",46,20,2,0.0253565400784194,10.6994025821596
"24",173,"a0900067000080162",NA,0,-7,19,120,NA,1,NA,16814,1,2016,NA,NA,NA,"STJ","Todd",46,20,2,0.0253565400784194,10.6994025821596
"25",175,"a0900067000080189",NA,0,-5,21,64,NA,1,NA,16814,1,2016,NA,NA,NA,"STJ","Todd",46,20,2,0.0253565400784194,10.6994025821596
"26",176,"a0900067000080201",NA,0,-5,21,77,NA,1,NA,16814,1,2016,NA,NA,NA,"STJ","Todd",46,20,2,0.0253565400784194,10.6994025821596
"27",178,"a0900067000080224  ",NA,0,-22,4,117,NA,1,NA,16821,1,2016,NA,NA,NA,"STJ","Todd",46,20,2,0.0253565400784194,10.6994025821596
"28",179,"a0900067000080284",NA,0,-7,19,114,NA,1,NA,16814,1,2016,NA,NA,NA,"STJ","Todd",46,20,2,0.0253565400784194,10.6994025821596
"29",180,"a0900067000080337",NA,0,-7,19,107,NA,1,NA,16814,1,2016,NA,NA,NA,"STJ","Todd",46,20,2,0.0253565400784194,10.6994025821596
"30",182,"a0900067000080352",NA,0,-7,19,205,NA,1,NA,16814,1,2016,NA,NA,NA,"STJ","Todd",46,20,2,0.0253565400784194,10.6994025821596
"31",184,"a0900067000080406  ",NA,0,-10,16,81,NA,1,NA,16818,1,2016,NA,NA,NA,"STJ","Todd",46,20,2,0.0253565400784194,10.6994025821596
"32",185,"a0900067000080413  ",1,1,0.5,1.5,123,126,1,62,16821,1,2016,16883,3,2016,"STJ","Todd",46,20,2,0.0253565400784194,10.6994025821596
"33",186,"a0900067000080443  ",-3,1,-3.5,-2.5,121,122,1,66,16818,1,2016,16884,3,2016,"STJ","Todd",46,20,2,0.0253565400784194,10.6994025821596
"34",187,"a0900067000080468  ",NA,0,-23,3,176,NA,1,NA,16821,1,2016,NA,NA,NA,"STJ","Todd",46,20,2,0.0253565400784194,10.6994025821596
"35",188,"a0900067000080476",NA,0,-7,19,112,NA,1,NA,16814,1,2016,NA,NA,NA,"STJ","Todd",46,20,2,0.0253565400784194,10.6994025821596
"36",190,"a0900067000080479  ",NA,0,-23,3,135,NA,1,NA,16821,1,2016,NA,NA,NA,"STJ","Todd",46,20,2,0.0253565400784194,10.6994025821596
"37",191,"a0900067000080492",NA,0,-7,19,195,NA,1,NA,16814,1,2016,NA,NA,NA,"STJ","Todd",46,20,2,0.0253565400784194,10.6994025821596
"38",192,"a0900067000080596  ",NA,0,-18,8,61,NA,1,NA,16818,1,2016,NA,NA,NA,"STJ","Todd",46,20,2,0.0253565400784194,10.6994025821596
"39",193,"a0900067000080627  ",NA,0,-20,6,50,NA,1,NA,16821,1,2016,NA,NA,NA,"STJ","Todd",46,20,2,0.0253565400784194,10.6994025821596
"40",195,"a0900067000080669  ",NA,0,-17,9,61,NA,1,NA,16818,1,2016,NA,NA,NA,"STJ","Todd",46,20,2,0.0253565400784194,10.6994025821596
"41",197,"a0900067000080737  ",NA,0,-15,11,59,NA,1,NA,16818,1,2016,NA,NA,NA,"STJ","Todd",46,20,2,0.0253565400784194,10.6994025821596
"42",198,"a0900067000080757  ",NA,0,-16,10,55,NA,1,NA,16818,1,2016,NA,NA,NA,"STJ","Todd",46,20,2,0.0253565400784194,10.6994025821596
"43",199,"a0900067000080784  ",NA,0,-23,3,109,NA,1,NA,16821,1,2016,NA,NA,NA,"STJ","Todd",46,20,2,0.0253565400784194,10.6994025821596
"44",200,"a0900067000080785  ",NA,0,-18,8,50,NA,1,NA,16818,1,2016,NA,NA,NA,"STJ","Todd",46,20,2,0.0253565400784194,10.6994025821596
"45",201,"a0900067000080807  ",NA,0,-15,11,62,NA,1,NA,16818,1,2016,NA,NA,NA,"STJ","Todd",46,20,2,0.0253565400784194,10.6994025821596
"46",203,"a0900067000080952  ",NA,0,-22,4,167,NA,1,NA,16821,1,2016,NA,NA,NA,"STJ","Todd",46,20,2,0.0253565400784194,10.6994025821596
"47",204,"a0900067000080960  ",NA,0,-18,8,51,NA,1,NA,16818,1,2016,NA,NA,NA,"STJ","Todd",46,20,2,0.0253565400784194,10.6994025821596
"48",205,"a0900067000084636",NA,0,-7,19,159,NA,1,NA,16814,1,2016,NA,NA,NA,"STJ","Todd",46,20,2,0.0253565400784194,10.6994025821596
"49",208,"a0900067000084917",NA,0,-7,19,186,NA,1,NA,16814,1,2016,NA,NA,NA,"STJ","Todd",46,20,2,0.0253565400784194,10.6994025821596
"50",210,"a0900067000085213  ",NA,0,-10,16,67,NA,1,NA,16818,1,2016,NA,NA,NA,"STJ","Todd",46,20,2,0.0253565400784194,10.6994025821596
"51",212,"a0900067000085269  ",NA,0,-9,17,168,NA,1,NA,16818,1,2016,NA,NA,NA,"STJ","Todd",46,20,2,0.0253565400784194,10.6994025821596
"52",213,"a0900067000085313",NA,0,-7,19,124,NA,1,NA,16814,1,2016,NA,NA,NA,"STJ","Todd",46,20,2,0.0253565400784194,10.6994025821596
"53",216,"a0900067000085352  ",NA,0,-10,16,107,NA,1,NA,16818,1,2016,NA,NA,NA,"STJ","Todd",46,20,2,0.0253565400784194,10.6994025821596
"54",607,"a0982000403060155  ",-4,1,-4.5,-3.5,139,138,1,66,16818,1,2016,16884,3,2016,"STJ","Todd",46,20,2,0.0253565400784194,10.6994025821596
"55",610,"a0982000403060192",NA,0,-6,20,121,NA,1,NA,16814,1,2016,NA,NA,NA,"STJ","Todd",46,20,2,0.0253565400784194,10.6994025821596
"56",613,"a0982000403060241  ",NA,0,-14,12,175,NA,1,NA,16818,1,2016,NA,NA,NA,"STJ","Todd",46,20,2,0.0253565400784194,10.6994025821596
"57",614,"a0982000403060248",NA,0,-7,19,131,NA,1,NA,16814,1,2016,NA,NA,NA,"STJ","Todd",46,20,2,0.0253565400784194,10.6994025821596
"58",616,"a0982000403060254",NA,0,-7,19,197,NA,1,NA,16814,1,2016,NA,NA,NA,"STJ","Todd",46,20,2,0.0253565400784194,10.6994025821596
"59",619,"a0982000403060288",NA,0,-6,20,132,NA,1,NA,16814,1,2016,NA,NA,NA,"STJ","Todd",46,20,2,0.0253565400784194,10.6994025821596
"60",628,"a0982000403060319  ",NA,0,-15,11,59,NA,1,NA,16818,1,2016,NA,NA,NA,"STJ","Todd",46,20,2,0.0253565400784194,10.6994025821596
"61",629,"a0982000403060325",NA,0,-7,19,135,NA,1,NA,16814,1,2016,NA,NA,NA,"STJ","Todd",46,20,2,0.0253565400784194,10.6994025821596
"62",633,"a0982000403060356",NA,0,-7,19,204,NA,1,NA,16814,1,2016,NA,NA,NA,"STJ","Todd",46,20,2,0.0253565400784194,10.6994025821596
"63",636,"a0982000403060366",NA,0,-7,19,167,NA,1,NA,16814,1,2016,NA,NA,NA,"STJ","Todd",46,20,2,0.0253565400784194,10.6994025821596
"64",645,"a0982000403060398",NA,0,-5,21,140,NA,1,NA,16814,1,2016,NA,NA,NA,"STJ","Todd",46,20,2,0.0253565400784194,10.6994025821596
"65",653,"a0982000403060437",NA,0,-7,19,140,NA,1,NA,16814,1,2016,NA,NA,NA,"STJ","Todd",46,20,2,0.0253565400784194,10.6994025821596
"66",656,"a0982000403060575  ",NA,0,-20,6,165,NA,1,NA,16821,1,2016,NA,NA,NA,"STJ","Todd",46,20,2,0.0253565400784194,10.6994025821596
"67",111,"a0900067000076503  ",-8,1,-8.5,-7.5,175,177,2,62,16883,3,2016,16945,5,2016,"STJ","Todd",3,1,0,0.0163673853852051,16.6685157004831
"68",112,"a0900067000076505  ",-7,1,-7.5,-6.5,138,138,2,62,16883,3,2016,16945,5,2016,"STJ","Todd",3,1,0,0.0163673853852051,16.6685157004831
"69",113,"a0900067000076527",NA,0,-18,8,171,NA,2,NA,16880,3,2016,NA,NA,NA,"STJ","Todd",3,1,0,0.0163673853852051,16.6685157004831
"70",115,"a0900067000076535",NA,0,-18,8,167,NA,2,NA,16880,3,2016,NA,NA,NA,"STJ","Todd",3,1,0,0.0163673853852051,16.6685157004831
"71",116,"a0900067000076535  ",-7,1,-7.5,-6.5,165,171,2,62,16883,3,2016,16945,5,2016,"STJ","Todd",3,1,0,0.0163673853852051,16.6685157004831
"72",119,"a0900067000076661",NA,0,-15,11,172,NA,2,NA,16880,3,2016,NA,NA,NA,"STJ","Todd",3,1,0,0.0163673853852051,16.6685157004831
"73",120,"a0900067000076669",NA,0,-17,9,166,NA,2,NA,16880,3,2016,NA,NA,NA,"STJ","Todd",3,1,0,0.0163673853852051,16.6685157004831
"74",122,"a0900067000076713",NA,0,-19,7,117,NA,2,NA,16880,3,2016,NA,NA,NA,"STJ","Todd",3,1,0,0.0163673853852051,16.6685157004831
"75",129,"a0900067000076786  ",-8,1,-8.5,-7.5,144,145,2,62,16883,3,2016,16945,5,2016,"STJ","Todd",3,1,0,0.0163673853852051,16.6685157004831
"76",130,"a0900067000076818",NA,0,-16,10,137,NA,2,NA,16880,3,2016,NA,NA,NA,"STJ","Todd",3,1,0,0.0163673853852051,16.6685157004831
"77",131,"a0900067000076818  ",-10,1,-10.5,-9.5,138,136,2,62,16883,3,2016,16945,5,2016,"STJ","Todd",3,1,0,0.0163673853852051,16.6685157004831
"78",133,"a0900067000076855  ",NA,0,-24,2,143,NA,2,NA,16883,3,2016,NA,NA,NA,"STJ","Todd",3,1,0,0.0163673853852051,16.6685157004831
