"","ID","Species","Stream","Y","X1","X2","Size1","Size2","JD1","JD2","Date1","Date2","Occasion1","Occasion2","IND_ID","TAG_ID"
"1",1,"BHC","Indian",1,17,17,60,59,16810,16866,"2016-01-10","2016-03-06",1,2,108,"a0900067000077156  "
"2",2,"BHC","Indian",0,14,NA,135,NA,16810,NA,"2016-01-10",NA,1,2,110,"a0900067000077191  "
"3",3,"BHC","Indian",0,15,NA,119,NA,16810,NA,"2016-01-10",NA,1,2,111,"a0900067000077221  "
"4",4,"BHC","Indian",1,14,14,120,115,16810,16866,"2016-01-10","2016-03-06",1,2,114,"a0900067000077268  "
"5",5,"BHC","Indian",1,26,26,125,126,16810,16866,"2016-01-10","2016-03-06",1,2,115,"a0900067000077281  "
"6",6,"BHC","Indian",0,14,NA,96,NA,16810,NA,"2016-01-10",NA,1,2,117,"a0900067000077300  "
"7",7,"BHC","Indian",0,6,NA,60,NA,16808,NA,"2016-01-08",NA,1,2,121,"a0900067000080010  "
"8",8,"BHC","Indian",0,29,NA,65,NA,16810,NA,"2016-01-10",NA,1,2,122,"a0900067000080089  "
"9",9,"BHC","Indian",0,28,NA,120,NA,16810,NA,"2016-01-10",NA,1,2,123,"a0900067000080098  "
"10",10,"BHC","Indian",0,21,NA,86,NA,16810,NA,"2016-01-10",NA,1,2,124,"a0900067000080126  "
"11",11,"BHC","Indian",0,24,NA,67,NA,16810,NA,"2016-01-10",NA,1,2,125,"a0900067000080133  "
"12",12,"BHC","Indian",0,8,NA,101,NA,16808,NA,"2016-01-08",NA,1,2,126,"a0900067000080144  "
"13",13,"BHC","Indian",1,29,29,76,77,16810,16866,"2016-01-10","2016-03-06",1,2,127,"a0900067000080146  "
"14",14,"BHC","Indian",1,22,23,139,136,16810,16866,"2016-01-10","2016-03-06",1,2,129,"a0900067000080175  "
"15",15,"BHC","Indian",1,9,2,102,102,16808,16864,"2016-01-08","2016-03-04",1,2,130,"a0900067000080225  "
"16",16,"BHC","Indian",0,20,NA,130,NA,16810,NA,"2016-01-10",NA,1,2,131,"a0900067000080230  "
"17",17,"BHC","Indian",0,7,NA,153,NA,16808,NA,"2016-01-08",NA,1,2,132,"a0900067000080243  "
"18",18,"BHC","Indian",0,16,NA,70,NA,16810,NA,"2016-01-10",NA,1,2,133,"a0900067000080264  "
"19",19,"BHC","Indian",0,30,NA,58,NA,16810,NA,"2016-01-10",NA,1,2,134,"a0900067000080294  "
"20",20,"BHC","Indian",1,34,34,68,68,16810,16870,"2016-01-10","2016-03-10",1,2,135,"a0900067000080300  "
"21",21,"BHC","Indian",1,29,29,71,70,16810,16866,"2016-01-10","2016-03-06",1,2,136,"a0900067000080301  "
"22",22,"BHC","Indian",0,12,NA,57,NA,16810,NA,"2016-01-10",NA,1,2,137,"a0900067000080308  "
"23",23,"BHC","Indian",0,22,NA,79,NA,16810,NA,"2016-01-10",NA,1,2,138,"a0900067000080329  "
"24",24,"BHC","Indian",1,31,31,65,63,16810,16866,"2016-01-10","2016-03-06",1,2,139,"a0900067000080338  "
"25",25,"BHC","Indian",0,11,NA,95,NA,16810,NA,"2016-01-10",NA,1,2,141,"a0900067000080353  "
"26",26,"BHC","Indian",0,14,NA,100,NA,16810,NA,"2016-01-10",NA,1,2,142,"a0900067000080372  "
"27",27,"BHC","Indian",1,6,8,82,82,16808,16864,"2016-01-08","2016-03-04",1,2,143,"a0900067000080387  "
"28",28,"BHC","Indian",0,12,NA,73,NA,16810,NA,"2016-01-10",NA,1,2,144,"a0900067000080396  "
"29",29,"BHC","Indian",0,28,NA,54,NA,16810,NA,"2016-01-10",NA,1,2,145,"a0900067000080411  "
"30",30,"BHC","Indian",0,13,NA,102,NA,16810,NA,"2016-01-10",NA,1,2,146,"a0900067000080428  "
"31",31,"BHC","Indian",0,6,NA,75,NA,16808,NA,"2016-01-08",NA,1,2,147,"a0900067000080432  "
"32",32,"BHC","Indian",0,12,NA,151,NA,16810,NA,"2016-01-10",NA,1,2,148,"a0900067000080434  "
"33",33,"BHC","Indian",0,11,NA,108,NA,16810,NA,"2016-01-10",NA,1,2,149,"a0900067000080435  "
"34",34,"BHC","Indian",0,6,NA,63,NA,16808,NA,"2016-01-08",NA,1,2,150,"a0900067000080436  "
"35",35,"BHC","Indian",0,11,NA,110,NA,16810,NA,"2016-01-10",NA,1,2,151,"a0900067000080448  "
"36",36,"BHC","Indian",0,8,NA,94,NA,16808,NA,"2016-01-08",NA,1,2,152,"a0900067000080462  "
"37",37,"BHC","Indian",0,31,NA,63,NA,16810,NA,"2016-01-10",NA,1,2,153,"a0900067000080487  "
"38",38,"BHC","Indian",0,20,NA,67,NA,16810,NA,"2016-01-10",NA,1,2,154,"a0900067000080489  "
"39",39,"BHC","Indian",0,23,NA,137,NA,16810,NA,"2016-01-10",NA,1,2,155,"a0900067000080490  "
"40",40,"BHC","Indian",1,21,34,142,142,16810,16870,"2016-01-10","2016-03-10",1,2,156,"a0900067000080499  "
"41",41,"BHC","Indian",1,16,16,69,69,16810,16866,"2016-01-10","2016-03-06",1,2,178,"a0900067000085014  "
"42",42,"BHC","Indian",0,34,NA,117,NA,16810,NA,"2016-01-10",NA,1,2,180,"a0900067000085036  "
"43",43,"BHC","Indian",0,28,NA,65,NA,16810,NA,"2016-01-10",NA,1,2,182,"a0900067000085069  "
"44",44,"BHC","Indian",1,23,23,138,140,16810,16866,"2016-01-10","2016-03-06",1,2,184,"a0900067000085085  "
"45",45,"BHC","Indian",0,21,NA,82,NA,16810,NA,"2016-01-10",NA,1,2,185,"a0900067000085113  "
"46",46,"BHC","Indian",0,29,NA,113,NA,16810,NA,"2016-01-10",NA,1,2,186,"a0900067000085117  "
"47",47,"BHC","Indian",1,32,30,131,131,16810,16866,"2016-01-10","2016-03-06",1,2,190,"a0900067000085180  "
"48",48,"BHC","Indian",0,34,NA,130,NA,16810,NA,"2016-01-10",NA,1,2,194,"a0900067000085243  "
"49",49,"BHC","Indian",0,24,NA,65,NA,16810,NA,"2016-01-10",NA,1,2,196,"a0900067000085279  "
"50",50,"BHC","Indian",0,31,NA,97,NA,16810,NA,"2016-01-10",NA,1,2,197,"a0900067000085284  "
"51",51,"BHC","Indian",0,21,NA,89,NA,16810,NA,"2016-01-10",NA,1,2,198,"a0900067000085370  "
"52",52,"BHC","Indian",0,24,NA,110,NA,16810,NA,"2016-01-10",NA,1,2,199,"a0900067000085373  "
"53",53,"BHC","Indian",0,23,NA,70,NA,16810,NA,"2016-01-10",NA,1,2,201,"a0900067000085390  "
"54",54,"BHC","Indian",1,34,34,142,137,16810,16870,"2016-01-10","2016-03-10",1,2,202,"a0900067000085392  "
"55",55,"BHC","Indian",1,22,22,116,118,16810,16866,"2016-01-10","2016-03-06",1,2,209,"a0900067000085479  "
"56",56,"BHC","Indian",1,27,27,123,121,16810,16866,"2016-01-10","2016-03-06",1,2,210,"a0900067000085489  "
"57",57,"BHC","Indian",0,12,NA,119,NA,16810,NA,"2016-01-10",NA,1,2,336,"a0982000403060051  "
"58",58,"BHC","Indian",0,8,NA,69,NA,16808,NA,"2016-01-08",NA,1,2,338,"a0982000403060053  "
"59",59,"BHC","Indian",1,4,8,77,77,16808,16864,"2016-01-08","2016-03-04",1,2,339,"a0982000403060055  "
"60",60,"BHC","Indian",1,11,13,75,78,16810,16864,"2016-01-10","2016-03-04",1,2,341,"a0982000403060058  "
"61",61,"BHC","Indian",0,8,NA,74,NA,16808,NA,"2016-01-08",NA,1,2,342,"a0982000403060082  "
"62",62,"BHC","Indian",1,29,29,70,70,16810,16866,"2016-01-10","2016-03-06",1,2,344,"a0982000403060103  "
"63",63,"BHC","Indian",0,15,NA,151,NA,16810,NA,"2016-01-10",NA,1,2,345,"a0982000403060106  "
"64",64,"BHC","Indian",1,5,5,70,69,16808,16864,"2016-01-08","2016-03-04",1,2,346,"a0982000403060107  "
"65",65,"BHC","Indian",0,13,NA,61,NA,16810,NA,"2016-01-10",NA,1,2,347,"a0982000403060111  "
"66",66,"BHC","Indian",1,12,12,78,80,16810,16864,"2016-01-10","2016-03-04",1,2,350,"a0982000403060116  "
"67",67,"BHC","Indian",1,12,12,80,79,16810,16864,"2016-01-10","2016-03-04",1,2,351,"a0982000403060137  "
"68",68,"BHC","Indian",0,5,NA,70,NA,16808,NA,"2016-01-08",NA,1,2,352,"a0982000403060443  "
"69",69,"BHC","Indian",0,9,NA,70,NA,16808,NA,"2016-01-08",NA,1,2,353,"a0982000403060450  "
"70",70,"BHC","Indian",0,6,NA,65,NA,16808,NA,"2016-01-08",NA,1,2,356,"a0982000403060454  "
"71",71,"BHC","Indian",0,34,NA,122,NA,16810,NA,"2016-01-10",NA,1,2,357,"a0982000403060458  "
"72",72,"BHC","Indian",0,14,NA,97,NA,16810,NA,"2016-01-10",NA,1,2,359,"a0982000403060462  "
"73",73,"BHC","Indian",0,14,NA,123,NA,16810,NA,"2016-01-10",NA,1,2,360,"a0982000403060476  "
"74",74,"BHC","Indian",1,15,16,117,112,16810,16866,"2016-01-10","2016-03-06",1,2,361,"a0982000403060478  "
"75",75,"BHC","Indian",0,2,NA,147,NA,16808,NA,"2016-01-08",NA,1,2,365,"a0982000403060502  "
"76",76,"BHC","Indian",0,6,NA,62,NA,16808,NA,"2016-01-08",NA,1,2,367,"a0982000403060521  "
"77",77,"BHC","Indian",0,7,NA,74,NA,16808,NA,"2016-01-08",NA,1,2,368,"a0982000403060524  "
"78",78,"BHC","Todd",0,14,NA,97,NA,16818,NA,"2016-01-18",NA,1,2,1371,"a0900067000076502  "
"79",79,"BHC","Todd",0,17,NA,64,NA,16818,NA,"2016-01-18",NA,1,2,1376,"a0900067000076521  "
"80",80,"BHC","Todd",0,17,NA,79,NA,16818,NA,"2016-01-18",NA,1,2,1377,"a0900067000076522  "
"81",81,"BHC","Todd",0,12,NA,86,NA,16818,NA,"2016-01-18",NA,1,2,1378,"a0900067000076523  "
"82",82,"BHC","Todd",0,13,NA,65,NA,16818,NA,"2016-01-18",NA,1,2,1385,"a0900067000076558  "
"83",83,"BHC","Todd",0,16,NA,87,NA,16818,NA,"2016-01-18",NA,1,2,1389,"a0900067000076564  "
"84",84,"BHC","Todd",0,22,NA,88,NA,16821,NA,"2016-01-21",NA,1,2,1392,"a0900067000076571  "
"85",85,"BHC","Todd",0,18,NA,80,NA,16818,NA,"2016-01-18",NA,1,2,1393,"a0900067000076573  "
"86",86,"BHC","Todd",0,18,NA,77,NA,16818,NA,"2016-01-18",NA,1,2,1394,"a0900067000076574  "
"87",87,"BHC","Todd",0,10,NA,70,NA,16818,NA,"2016-01-18",NA,1,2,1395,"a0900067000076575  "
"88",88,"BHC","Todd",0,11,NA,89,NA,16818,NA,"2016-01-18",NA,1,2,1396,"a0900067000076576  "
"89",89,"BHC","Todd",0,16,NA,69,NA,16818,NA,"2016-01-18",NA,1,2,1397,"a0900067000076586  "
"90",90,"BHC","Todd",0,22,NA,80,NA,16821,NA,"2016-01-21",NA,1,2,1398,"a0900067000076587  "
"91",91,"BHC","Todd",0,21,NA,64,NA,16821,NA,"2016-01-21",NA,1,2,1400,"a0900067000076590  "
"92",92,"BHC","Todd",0,17,NA,67,NA,16818,NA,"2016-01-18",NA,1,2,1403,"a0900067000076595  "
"93",93,"BHC","Todd",0,21,NA,70,NA,16821,NA,"2016-01-21",NA,1,2,1404,"a0900067000076596  "
"94",94,"BHC","Todd",0,13,NA,84,NA,16818,NA,"2016-01-18",NA,1,2,1406,"a0900067000076599  "
"95",95,"BHC","Todd",0,20,NA,70,NA,16821,NA,"2016-01-21",NA,1,2,1407,"a0900067000076601  "
"96",96,"BHC","Todd",0,20,NA,68,NA,16821,NA,"2016-01-21",NA,1,2,1409,"a0900067000076607  "
"97",97,"BHC","Todd",0,22,NA,70,NA,16821,NA,"2016-01-21",NA,1,2,1410,"a0900067000076608  "
"98",98,"BHC","Todd",0,21,NA,85,NA,16821,NA,"2016-01-21",NA,1,2,1414,"a0900067000076624  "
"99",99,"BHC","Todd",0,11,NA,68,NA,16818,NA,"2016-01-18",NA,1,2,1416,"a0900067000076636  "
"100",100,"BHC","Todd",0,20,NA,64,NA,16821,NA,"2016-01-21",NA,1,2,1418,"a0900067000076641  "
"101",101,"BHC","Todd",0,9,NA,71,NA,16818,NA,"2016-01-18",NA,1,2,1422,"a0900067000076648  "
"102",102,"BHC","Todd",0,10,NA,88,NA,16818,NA,"2016-01-18",NA,1,2,1424,"a0900067000076660  "
"103",103,"BHC","Todd",0,16,NA,77,NA,16818,NA,"2016-01-18",NA,1,2,1425,"a0900067000076664  "
"104",104,"BHC","Todd",0,21,NA,78,NA,16821,NA,"2016-01-21",NA,1,2,1426,"a0900067000076665  "
"105",105,"BHC","Todd",0,13,NA,70,NA,16818,NA,"2016-01-18",NA,1,2,1429,"a0900067000076682  "
"106",106,"BHC","Todd",0,22,NA,76,NA,16821,NA,"2016-01-21",NA,1,2,1431,"a0900067000076683  "
"107",107,"BHC","Todd",0,10,NA,83,NA,16818,NA,"2016-01-18",NA,1,2,1434,"a0900067000076693  "
"108",108,"BHC","Todd",0,16,NA,71,NA,16818,NA,"2016-01-18",NA,1,2,1435,"a0900067000076695  "
"109",109,"BHC","Todd",1,19,22,95,97,16818,16883,"2016-01-18","2016-03-23",1,2,1438,"a0900067000076700  "
"110",110,"BHC","Todd",0,12,NA,72,NA,16818,NA,"2016-01-18",NA,1,2,1440,"a0900067000076704  "
"111",111,"BHC","Todd",0,15,NA,66,NA,16818,NA,"2016-01-18",NA,1,2,1444,"a0900067000076709  "
"112",112,"BHC","Todd",0,10,NA,87,NA,16818,NA,"2016-01-18",NA,1,2,1446,"a0900067000076716  "
"113",113,"BHC","Todd",0,20,NA,83,NA,16821,NA,"2016-01-21",NA,1,2,1454,"a0900067000076730  "
"114",114,"BHC","Todd",0,13,NA,76,NA,16818,NA,"2016-01-18",NA,1,2,1461,"a0900067000076745  "
