"","ID","Species","Stream","Y","X1","X2","Size1","Size2","JD1","JD2","Date1","Date2","Occasion1","Occasion2","IND_ID","TAG_ID"
"1",1,"CRC","Indian",0,22,NA,146,NA,16810,NA,"2016-01-10",NA,1,2,196,"a0900067000077026  "
"2",2,"CRC","Indian",0,29,NA,96,NA,16810,NA,"2016-01-10",NA,1,2,198,"a0900067000077028  "
"3",3,"CRC","Indian",0,25,NA,122,NA,16810,NA,"2016-01-10",NA,1,2,200,"a0900067000077085  "
"4",4,"CRC","Indian",0,20,NA,115,NA,16810,NA,"2016-01-10",NA,1,2,205,"a0900067000077354  "
"5",5,"CRC","Indian",0,23,NA,140,NA,16810,NA,"2016-01-10",NA,1,2,210,"a0900067000077494  "
"6",6,"CRC","Indian",0,26,NA,50,NA,16810,NA,"2016-01-10",NA,1,2,211,"a0900067000080002  "
"7",7,"CRC","Indian",0,12,NA,117,NA,16810,NA,"2016-01-10",NA,1,2,212,"a0900067000080018  "
"8",8,"CRC","Indian",0,23,NA,95,NA,16810,NA,"2016-01-10",NA,1,2,213,"a0900067000080044  "
"9",9,"CRC","Indian",1,30,29,71,67,16810,16866,"2016-01-10","2016-03-06",1,2,214,"a0900067000080047  "
"10",10,"CRC","Indian",0,33,NA,102,NA,16810,NA,"2016-01-10",NA,1,2,215,"a0900067000080053  "
"11",11,"CRC","Indian",0,34,NA,90,NA,16810,NA,"2016-01-10",NA,1,2,216,"a0900067000080055  "
"12",12,"CRC","Indian",0,34,NA,139,NA,16810,NA,"2016-01-10",NA,1,2,217,"a0900067000080101  "
"13",13,"CRC","Indian",0,12,NA,61,NA,16810,NA,"2016-01-10",NA,1,2,218,"a0900067000080109  "
"14",14,"CRC","Indian",1,15,18,137,137,16810,16866,"2016-01-10","2016-03-06",1,2,219,"a0900067000080112  "
"15",15,"CRC","Indian",0,34,NA,121,NA,16810,NA,"2016-01-10",NA,1,2,220,"a0900067000080118  "
"16",16,"CRC","Indian",0,31,NA,100,NA,16810,NA,"2016-01-10",NA,1,2,221,"a0900067000080128  "
"17",17,"CRC","Indian",1,29,29,75,75,16810,16866,"2016-01-10","2016-03-06",1,2,222,"a0900067000080153  "
"18",18,"CRC","Indian",0,20,NA,147,NA,16810,NA,"2016-01-10",NA,1,2,223,"a0900067000080172  "
"19",19,"CRC","Indian",1,28,29,128,125,16810,16866,"2016-01-10","2016-03-06",1,2,224,"a0900067000080187  "
"20",20,"CRC","Indian",0,33,NA,134,NA,16810,NA,"2016-01-10",NA,1,2,225,"a0900067000080197  "
"21",21,"CRC","Indian",1,29,29,84,82,16810,16866,"2016-01-10","2016-03-06",1,2,226,"a0900067000080200  "
"22",22,"CRC","Indian",0,29,NA,85,NA,16810,NA,"2016-01-10",NA,1,2,227,"a0900067000080216  "
"23",23,"CRC","Indian",1,33,33,100,99,16810,16870,"2016-01-10","2016-03-10",1,2,228,"a0900067000080218  "
"24",24,"CRC","Indian",0,29,NA,84,NA,16810,NA,"2016-01-10",NA,1,2,229,"a0900067000080231  "
"25",25,"CRC","Indian",1,31,31,83,80,16810,16866,"2016-01-10","2016-03-06",1,2,230,"a0900067000080267  "
"26",26,"CRC","Indian",1,27,27,93,91,16810,16866,"2016-01-10","2016-03-06",1,2,231,"a0900067000080291  "
"27",27,"CRC","Indian",1,29,29,88,88,16810,16866,"2016-01-10","2016-03-06",1,2,232,"a0900067000080302  "
"28",28,"CRC","Indian",1,24,12,96,97,16810,16864,"2016-01-10","2016-03-04",1,2,233,"a0900067000080312  "
"29",29,"CRC","Indian",0,23,NA,85,NA,16810,NA,"2016-01-10",NA,1,2,234,"a0900067000080320  "
"30",30,"CRC","Indian",0,28,NA,167,NA,16810,NA,"2016-01-10",NA,1,2,235,"a0900067000080331  "
"31",31,"CRC","Indian",0,25,NA,71,NA,16810,NA,"2016-01-10",NA,1,2,236,"a0900067000080346  "
"32",32,"CRC","Indian",0,12,NA,129,NA,16810,NA,"2016-01-10",NA,1,2,237,"a0900067000080358  "
"33",33,"CRC","Indian",0,34,NA,56,NA,16810,NA,"2016-01-10",NA,1,2,238,"a0900067000080365  "
"34",34,"CRC","Indian",0,25,NA,103,NA,16810,NA,"2016-01-10",NA,1,2,239,"a0900067000080370  "
"35",35,"CRC","Indian",0,23,NA,154,NA,16810,NA,"2016-01-10",NA,1,2,240,"a0900067000080391  "
"36",36,"CRC","Indian",0,33,NA,92,NA,16810,NA,"2016-01-10",NA,1,2,241,"a0900067000080442  "
"37",37,"CRC","Indian",0,25,NA,94,NA,16810,NA,"2016-01-10",NA,1,2,242,"a0900067000080455  "
"38",38,"CRC","Indian",1,29,29,82,81,16810,16866,"2016-01-10","2016-03-06",1,2,243,"a0900067000080457  "
"39",39,"CRC","Indian",0,29,NA,75,NA,16810,NA,"2016-01-10",NA,1,2,244,"a0900067000080460  "
"40",40,"CRC","Indian",0,34,NA,106,NA,16810,NA,"2016-01-10",NA,1,2,268,"a0900067000085011  "
"41",41,"CRC","Indian",0,24,NA,86,NA,16810,NA,"2016-01-10",NA,1,2,274,"a0900067000085060  "
"42",42,"CRC","Indian",0,27,NA,121,NA,16810,NA,"2016-01-10",NA,1,2,275,"a0900067000085075  "
"43",43,"CRC","Indian",1,19,19,81,89,16810,16866,"2016-01-10","2016-03-06",1,2,282,"a0900067000085197  "
"44",44,"CRC","Indian",0,29,NA,85,NA,16810,NA,"2016-01-10",NA,1,2,283,"a0900067000085199  "
"45",45,"CRC","Indian",0,34,NA,80,NA,16810,NA,"2016-01-10",NA,1,2,285,"a0900067000085211  "
"46",46,"CRC","Indian",0,24,NA,142,NA,16810,NA,"2016-01-10",NA,1,2,286,"a0900067000085212  "
"47",47,"CRC","Indian",1,28,27,151,157,16810,16866,"2016-01-10","2016-03-06",1,2,288,"a0900067000085250  "
"48",48,"CRC","Indian",0,29,NA,100,NA,16810,NA,"2016-01-10",NA,1,2,292,"a0900067000085328  "
"49",49,"CRC","Indian",1,26,26,90,92,16810,16866,"2016-01-10","2016-03-06",1,2,293,"a0900067000085343  "
"50",50,"CRC","Indian",0,19,NA,113,NA,16810,NA,"2016-01-10",NA,1,2,294,"a0900067000085348  "
"51",51,"CRC","Indian",1,29,29,81,80,16810,16866,"2016-01-10","2016-03-06",1,2,295,"a0900067000085349  "
