occasion,stream,q50,q99_event
1,Indian,0.05700000000000002,1
1,Todd,0.12900000000000003,1
2,Indian,0.049000000000000016,0
2,Todd,0.0945,0
3,Indian,0.031,0
3,Todd,0.05000000000000002,0
4,Indian,0.02400000000000002,0
4,Todd,0.04600000000000001,0
5,Indian,0.02200000000000002,0
5,Todd,0.025000000000000022,0
6,Indian,0.02100000000000002,0
6,Todd,0.032,0
7,Indian,0.02400000000000002,0
7,Todd,0.03950000000000001,0
8,Indian,0.027999999999999997,1
8,Todd,0.05200000000000002,1
9,Indian,0.02300000000000002,1
9,Todd,0.04300000000000001,1
10,Indian,0.010000000000000009,0
10,Todd,0.02200000000000002,0
11,Indian,0.027000000000000024,1
11,Todd,0.02300000000000002,1
12,Indian,0.025000000000000022,0
12,Todd,0.031,0
13,Indian,0.036000000000000004,1
13,Todd,0.08449999999999999,1
