"","tag_id","occasion","species","stream","weight_1","length_1","section_1","julian_1","weight_2","length_2","section_2","julian_2","occasion_2"
"1","a0982000403060502",1,"BHC","Indian",36.3,147,2,16808,NA,NA,NA,NA,NA
"2","a0982000403060055",1,"BHC","Indian",4.6,77,4,16808,5.5,77,8,16864,2
"3","a0982000403060443",1,"BHC","Indian",3.4,70,5,16808,NA,NA,NA,NA,NA
"4","a0982000403060107",1,"BHC","Indian",3,70,5,16808,3.5,69,5,16864,2
"5","a0900067000080436",1,"BHC","Indian",2.4,63,6,16808,NA,NA,NA,NA,NA
"6","a0982000403060521",1,"BHC","Indian",2.3,62,6,16808,NA,NA,NA,NA,NA
"7","a0900067000080010",1,"BHC","Indian",1.9,60,6,16808,NA,NA,NA,NA,NA
"8","a0982000403060454",1,"BHC","Indian",3,65,6,16808,NA,NA,NA,NA,NA
"9","a0900067000080432",1,"BHC","Indian",4.6,75,6,16808,NA,NA,NA,NA,NA
"10","a0900067000080387",1,"BHC","Indian",5.5,82,6,16808,6.4,82,8,16864,2
"11","a0900067000080243",1,"BHC","Indian",36.5,153,7,16808,NA,NA,NA,NA,NA
"12","a0982000403060524",1,"BHC","Indian",4,74,7,16808,NA,NA,NA,NA,NA
"13","a0900067000080144",1,"BHC","Indian",10.7,101,8,16808,NA,NA,NA,NA,NA
"14","a0982000403060082",1,"BHC","Indian",4.5,74,8,16808,NA,NA,NA,NA,NA
"15","a0982000403060053",1,"BHC","Indian",3.6,69,8,16808,NA,NA,NA,NA,NA
"16","a0900067000080462",1,"BHC","Indian",8.4,94,8,16808,NA,NA,NA,NA,NA
"17","a0982000403060450",1,"BHC","Indian",3.5,70,9,16808,NA,NA,NA,NA,NA
"18","a0900067000080225",1,"BHC","Indian",10.3,102,9,16808,11.3,102,2,16864,2
"19","a0982000403060058",1,"BHC","Indian",4.5,75,11,16810,4.8,78,13,16864,2
"20","a0900067000080353",1,"BHC","Indian",8.1,95,11,16810,NA,NA,NA,NA,NA
"21","a0900067000080448",1,"BHC","Indian",14.7,110,11,16810,NA,NA,NA,NA,NA
"22","a0982000403060049",1,"CRC","Indian",39.9,147,12,16810,41.6,141,12,16864,2
"23","a0982000403060051",1,"BHC","Indian",20.4,119,12,16810,NA,NA,NA,NA,NA
"24","a0982000403060116",1,"BHC","Indian",4.5,78,12,16810,5.5,80,12,16864,2
"25","a0982000403060137",1,"BHC","Indian",4.7,80,12,16810,5.4,79,12,16864,2
"26","a0900067000080358",1,"CRC","Indian",23.6,129,12,16810,NA,NA,NA,NA,NA
"27","a0900067000080018",1,"CRC","Indian",16.6,117,12,16810,NA,NA,NA,NA,NA
"28","a0900067000080434",1,"BHC","Indian",37.5,151,12,16810,NA,NA,NA,NA,NA
"29","a0900067000080260",1,"STJ","Indian",52.5,179,12,16810,NA,NA,NA,NA,NA
"30","a0900067000080396",1,"BHC","Indian",3.5,73,12,16810,NA,NA,NA,NA,NA
"31","a0982000403060483",1,"STJ","Indian",9.1,96,12,16810,NA,NA,NA,NA,NA
"32","a0900067000080109",1,"CRC","Indian",2,61,12,16810,NA,NA,NA,NA,NA
"33","a0900067000080308",1,"BHC","Indian",1.8,57,12,16810,NA,NA,NA,NA,NA
"34","a0900067000080380",1,"STJ","Indian",7.6,97,12,16810,NA,NA,NA,NA,NA
"35","a0982000403060111",1,"BHC","Indian",2,61,13,16810,NA,NA,NA,NA,NA
"36","a0900067000080428",1,"BHC","Indian",12.3,102,13,16810,NA,NA,NA,NA,NA
"37","a0982000403060476",1,"BHC","Indian",19.6,123,14,16810,NA,NA,NA,NA,NA
"38","a0900067000077268",1,"BHC","Indian",18.4,120,14,16810,19.1,115,14,16866,2
"39","a0900067000077300",1,"BHC","Indian",9.2,96,14,16810,NA,NA,NA,NA,NA
"40","a0982000403060462",1,"BHC","Indian",8.9,97,14,16810,NA,NA,NA,NA,NA
"41","a0900067000080372",1,"BHC","Indian",11.5,100,14,16810,NA,NA,NA,NA,NA
"42","a0900067000077191",1,"BHC","Indian",25.7,135,14,16810,NA,NA,NA,NA,NA
"43","a0982000403060459",1,"STJ","Indian",8,95,14,16810,8.3,94,14,16866,2
"44","a0982000403060106",1,"BHC","Indian",23.6,151,15,16810,NA,NA,NA,NA,NA
"45","a0982000403060478",1,"BHC","Indian",15.8,117,15,16810,19,112,16,16866,2
"46","a0900067000080112",1,"CRC","Indian",26.6,137,15,16810,29.5,137,18,16866,2
"47","a0900067000077221",1,"BHC","Indian",16.4,119,15,16810,NA,NA,NA,NA,NA
"48","a0900067000085014",1,"BHC","Indian",3.4,69,16,16810,3.6,69,16,16866,2
"49","a0900067000080264",1,"BHC","Indian",3.3,70,16,16810,NA,NA,NA,NA,NA
"50","a0900067000080217",1,"STJ","Indian",1.5,58,16,16810,1.5,58,17,16866,2
"51","a0900067000077437",1,"STJ","Indian",7.8,91,17,16810,8,91,16,16866,2
"52","a0900067000077156",1,"BHC","Indian",2.7,60,17,16810,2.5,59,17,16866,2
"53","a0900067000080412",1,"STJ","Indian",8.2,94,18,16810,NA,NA,NA,NA,NA
"54","a0900067000080343",1,"STJ","Indian",81.7,207,18,16810,NA,NA,NA,NA,NA
"55","a0900067000080416",1,"STJ","Indian",1.7,58,19,16810,1.6,57,18,16866,2
"56","a0900067000085348",1,"CRC","Indian",15.5,113,19,16810,NA,NA,NA,NA,NA
"57","a0900067000085197",1,"CRC","Indian",6.9,81,19,16810,7.9,89,19,16866,2
"58","a0900067000077354",1,"CRC","Indian",17.5,115,20,16810,NA,NA,NA,NA,NA
"59","a0900067000085491",1,"STJ","Indian",1.6,58,20,16810,1.7,60,20,16866,2
"60","a0900067000080172",1,"CRC","Indian",30.2,147,20,16810,NA,NA,NA,NA,NA
"61","a0900067000080489",1,"BHC","Indian",2.9,67,20,16810,NA,NA,NA,NA,NA
"62","a0900067000085131",1,"STJ","Indian",7.5,92,20,16810,NA,NA,NA,NA,NA
"63","a0900067000080230",1,"BHC","Indian",25.3,130,20,16810,NA,NA,NA,NA,NA
"64","a0900067000085370",1,"BHC","Indian",8.5,89,21,16810,NA,NA,NA,NA,NA
"65","a0900067000085113",1,"BHC","Indian",5.6,82,21,16810,NA,NA,NA,NA,NA
"66","a0900067000085068",1,"STJ","Indian",4.6,80,21,16810,4.3,77,22,16866,2
"67","a0900067000080499",1,"BHC","Indian",32.4,142,21,16810,34.2,142,34,16870,2
"68","a0900067000080126",1,"BHC","Indian",7.6,86,21,16810,NA,NA,NA,NA,NA
"69","a0900067000077026",1,"CRC","Indian",33.8,146,22,16810,NA,NA,NA,NA,NA
"70","a0900067000085479",1,"BHC","Indian",17.6,116,22,16810,18.1,118,22,16866,2
"71","a0900067000085192",1,"STJ","Indian",9.2,94,22,16810,NA,NA,NA,NA,NA
"72","a0900067000080329",1,"BHC","Indian",5.1,79,22,16810,NA,NA,NA,NA,NA
"73","a0900067000080175",1,"BHC","Indian",21.8,139,22,16810,24,136,23,16866,2
"74","a0900067000077494",1,"CRC","Indian",29.3,140,23,16810,NA,NA,NA,NA,NA
"75","a0900067000085085",1,"BHC","Indian",21.8,138,23,16810,27.8,140,23,16866,2
"76","a0900067000085390",1,"BHC","Indian",1.5,70,23,16810,NA,NA,NA,NA,NA
"77","a0900067000080490",1,"BHC","Indian",26.4,137,23,16810,NA,NA,NA,NA,NA
"78","a0900067000080391",1,"CRC","Indian",39,154,23,16810,NA,NA,NA,NA,NA
"79","a0900067000080044",1,"CRC","Indian",8.8,95,23,16810,NA,NA,NA,NA,NA
"80","a0900067000080320",1,"CRC","Indian",5.8,85,23,16810,NA,NA,NA,NA,NA
"81","a0900067000080429",1,"STJ","Indian",1.6,53,23,16810,NA,NA,NA,NA,NA
"82","a0900067000085413",1,"CRC","Indian",14.3,110,23,16810,NA,NA,NA,NA,NA
"83","a0900067000080385",1,"STJ","Indian",1.2,52,23,16810,NA,NA,NA,NA,NA
"84","a0900067000085060",1,"CRC","Indian",5.7,86,24,16810,NA,NA,NA,NA,NA
"85","a0900067000085212",1,"CRC","Indian",30.6,142,24,16810,NA,NA,NA,NA,NA
"86","a0900067000080312",1,"CRC","Indian",8.4,96,24,16810,8.9,97,12,16864,2
"87","a0900067000080133",1,"BHC","Indian",2.9,67,24,16810,NA,NA,NA,NA,NA
"88","a0900067000085373",1,"BHC","Indian",13.8,110,24,16810,NA,NA,NA,NA,NA
"89","a0900067000085279",1,"BHC","Indian",2.7,65,24,16810,NA,NA,NA,NA,NA
"90","a0900067000077085",1,"CRC","Indian",18.3,122,25,16810,NA,NA,NA,NA,NA
"91","a0900067000080370",1,"CRC","Indian",9.6,103,25,16810,NA,NA,NA,NA,NA
"92","a0900067000080096",1,"STJ","Indian",1.8,53,25,16810,NA,NA,NA,NA,NA
"93","a0900067000080455",1,"CRC","Indian",9.7,94,25,16810,NA,NA,NA,NA,NA
"94","a0900067000080346",1,"CRC","Indian",3.2,71,25,16810,NA,NA,NA,NA,NA
"95","a0900067000077281",1,"BHC","Indian",19.2,125,26,16810,19.8,126,26,16866,2
"96","a0900067000085343",1,"CRC","Indian",9.2,90,26,16810,10.6,92,26,16866,2
"97","a0900067000080002",1,"CRC","Indian",1,50,26,16810,NA,NA,NA,NA,NA
"98","a0900067000085440",1,"CRC","Indian",20.3,127,27,16810,NA,NA,NA,NA,NA
"99","a0900067000085489",1,"BHC","Indian",21,123,27,16810,20.8,121,27,16866,2
"100","a0900067000080291",1,"CRC","Indian",8.5,93,27,16810,8.8,91,27,16866,2
"101","a0900067000085075",1,"CRC","Indian",17.7,121,27,16810,NA,NA,NA,NA,NA
"102","a0900067000085377",1,"CRC","Indian",23.5,132,27,16810,NA,NA,NA,NA,NA
"103","a0900067000080441",1,"STJ","Indian",44.1,167,27,16810,NA,NA,NA,NA,NA
"104","a0900067000085250",1,"CRC","Indian",33.4,151,28,16810,35.8,157,27,16866,2
"105","a0900067000085374",1,"CRC","Indian",19,124,28,16810,NA,NA,NA,NA,NA
"106","a0900067000085069",1,"BHC","Indian",2.5,65,28,16810,NA,NA,NA,NA,NA
"107","a0900067000080098",1,"BHC","Indian",19.1,120,28,16810,NA,NA,NA,NA,NA
"108","a0900067000080331",1,"CRC","Indian",49.8,167,28,16810,NA,NA,NA,NA,NA
"109","a0900067000080187",1,"CRC","Indian",19.3,128,28,16810,20.5,125,29,16866,2
"110","a0900067000080241",1,"STJ","Indian",5.5,87,28,16810,NA,NA,NA,NA,NA
"111","a0900067000080411",1,"BHC","Indian",1.2,54,28,16810,NA,NA,NA,NA,NA
"112","a0900067000085117",1,"BHC","Indian",16,113,29,16810,NA,NA,NA,NA,NA
"113","a0900067000077028",1,"CRC","Indian",10.1,96,29,16810,NA,NA,NA,NA,NA
"114","a0900067000085199",1,"CRC","Indian",7.6,85,29,16810,NA,NA,NA,NA,NA
"115","a0900067000085349",1,"CRC","Indian",6.5,81,29,16810,6.4,80,29,16866,2
"116","a0982000403060103",1,"BHC","Indian",3.8,70,29,16810,3.8,70,29,16866,2
"117","a0900067000080216",1,"CRC","Indian",5.7,85,29,16810,NA,NA,NA,NA,NA
"118","a0900067000080153",1,"CRC","Indian",3.8,75,29,16810,4.6,75,29,16866,2
"119","a0900067000080302",1,"CRC","Indian",5.8,88,29,16810,7.2,88,29,16866,2
"120","a0900067000080460",1,"CRC","Indian",4.2,75,29,16810,NA,NA,NA,NA,NA
"121","a0900067000080301",1,"BHC","Indian",3.7,71,29,16810,3.4,70,29,16866,2
"122","a0900067000080231",1,"CRC","Indian",6,84,29,16810,NA,NA,NA,NA,NA
"123","a0900067000080089",1,"BHC","Indian",2.2,65,29,16810,NA,NA,NA,NA,NA
"124","a0900067000080266",1,"STJ","Indian",1.1,54,29,16810,NA,NA,NA,NA,NA
"125","a0900067000085328",1,"CRC","Indian",10.8,100,29,16810,NA,NA,NA,NA,NA
"126","a0900067000085360",1,"CRC","Indian",10.1,97,29,16810,NA,NA,NA,NA,NA
"127","a0900067000085183",1,"STJ","Indian",3.9,81,29,16810,NA,NA,NA,NA,NA
"128","a0900067000080200",1,"CRC","Indian",5.8,84,29,16810,6.1,82,29,16866,2
"129","a0900067000080146",1,"BHC","Indian",4.8,76,29,16810,4.9,77,29,16866,2
"130","a0900067000080457",1,"CRC","Indian",5.7,82,29,16810,5.8,81,29,16866,2
"131","a0900067000080047",1,"CRC","Indian",3.3,71,30,16810,4.9,67,29,16866,2
"132","a0900067000080294",1,"BHC","Indian",1.5,58,30,16810,NA,NA,NA,NA,NA
"133","a0900067000085284",1,"BHC","Indian",9.6,97,31,16810,NA,NA,NA,NA,NA
"134","a0900067000080128",1,"CRC","Indian",12.5,100,31,16810,NA,NA,NA,NA,NA
"135","a0900067000080267",1,"CRC","Indian",5.8,83,31,16810,5.8,80,31,16866,2
"136","a0900067000080220",1,"STJ","Indian",1.4,53,31,16810,NA,NA,NA,NA,NA
"137","a0900067000080409",1,"STJ","Indian",6.6,93,31,16810,NA,NA,NA,NA,NA
"138","a0900067000080338",1,"BHC","Indian",2.3,65,31,16810,2.2,63,31,16866,2
"139","a0900067000080487",1,"BHC","Indian",2.2,63,31,16810,NA,NA,NA,NA,NA
