Date,st_occation,end_occation,Todd_WL,Indian_WL
2016/1/6,2 ,3 ,0.338,0.211
2016/1/7,2 ,3 ,0.338,0.211
2016/1/8,2 ,3 ,0.341,0.209
2016/1/9,2 ,3 ,0.339,0.207
2016/1/10,2 ,3 ,0.37,0.218
2016/1/11,3 ,4 ,0.339,0.203
2016/1/12,3 ,4 ,0.333,0.201
2016/1/13,3 ,4 ,0.331,0.2
2016/1/14,3 ,4 ,0.331,0.199
2016/1/15,3 ,4 ,0.424,0.235
2016/1/16,3 ,4 ,0.39,0.223
2016/1/17,3 ,4 ,0.357,0.208
2016/1/18,3 ,4 ,0.341,0.201
2016/1/19,3 ,4 ,0.334,0.195
2016/1/20,3 ,4 ,0.335,0.195
2016/1/21,3 ,4 ,0.333,0.194
2016/1/22,3 ,4 ,0.462,0.247
2016/1/23,3 ,4 ,0.392,0.219
2016/1/24,3 ,4 ,0.366,0.206
2016/1/25,3 ,4 ,0.359,0.205
2016/1/26,3 ,4 ,0.354,0.202
2016/1/27,3 ,4 ,0.353,0.203
2016/1/28,3 ,4 ,0.347,0.198
2016/1/29,3 ,4 ,0.343,0.197
2016/1/30,3 ,4 ,0.337,0.196
2016/1/31,3 ,4 ,0.336,0.199
2016/2/1,3 ,4 ,0.336,0.201
2016/2/2,3 ,4 ,0.337,0.202
2016/2/3,3 ,4 ,0.401,0.225
2016/2/4,3 ,4 ,0.37,0.214
2016/2/5,3 ,4 ,0.344,0.204
2016/2/6,3 ,4 ,0.338,0.2
2016/2/7,3 ,4 ,0.336,0.2
2016/2/8,3 ,4 ,0.337,0.201
2016/2/9,3 ,4 ,0.335,0.197
2016/2/10,3 ,4 ,0.328,0.195
2016/2/11,3 ,4 ,0.327,0.194
2016/2/12,3 ,4 ,0.327,0.195
2016/2/13,3 ,4 ,0.326,0.194
2016/2/14,3 ,4 ,0.323,0.191
2016/2/15,3 ,4 ,0.325,0.193
2016/2/16,3 ,4 ,0.346,0.204
2016/2/17,3 ,4 ,0.333,0.199
2016/2/18,3 ,4 ,0.327,0.195
2016/2/19,3 ,4 ,0.326,0.195
2016/2/20,3 ,4 ,0.327,0.196
2016/2/21,3 ,4 ,0.327,0.2
2016/2/22,3 ,4 ,0.33,0.202
2016/2/23,3 ,4 ,0.368,0.215
2016/2/24,3 ,4 ,0.385,0.226
2016/2/25,3 ,4 ,0.35,0.211
2016/2/26,3 ,4 ,0.337,0.203
2016/2/27,3 ,4 ,0.332,0.2
2016/2/28,3 ,4 ,0.331,0.2
2016/2/29,3 ,4 ,0.331,0.203
2016/3/1,3 ,4 ,0.331,0.203
2016/3/2,3 ,4 ,0.332,0.203
2016/3/3,3 ,4 ,0.326,0.198
2016/3/4,3 ,4 ,0.328,0.198
2016/3/5,3 ,4 ,0.325,0.195
2016/3/6,3 ,4 ,0.324,0.194
2016/3/7,3 ,4 ,0.324,0.194
2016/3/8,3 ,4 ,0.325,0.196
2016/3/9,3 ,4 ,0.325,0.197
2016/3/10,3 ,4 ,0.325,0.199
2016/3/11,4 ,5 ,0.324,0.199
