"","Date","st_occation","end_occation","Todd_WL","Indian_WL","Month","Year","Jdate"
"1",2016-01-06,2,3,0.338,0.211,"01","16",16806
"2",2016-01-07,2,3,0.338,0.211,"01","16",16807
"3",2016-01-08,2,3,0.341,0.209,"01","16",16808
"4",2016-01-09,2,3,0.339,0.207,"01","16",16809
"5",2016-01-10,2,3,0.37,0.218,"01","16",16810
"6",2016-01-11,3,4,0.339,0.203,"01","16",16811
"7",2016-01-12,3,4,0.333,0.201,"01","16",16812
"8",2016-01-13,3,4,0.331,0.2,"01","16",16813
"9",2016-01-14,3,4,0.331,0.199,"01","16",16814
"10",2016-01-15,3,4,0.424,0.235,"01","16",16815
"11",2016-01-16,3,4,0.39,0.223,"01","16",16816
"12",2016-01-17,3,4,0.357,0.208,"01","16",16817
"13",2016-01-18,3,4,0.341,0.201,"01","16",16818
"14",2016-01-19,3,4,0.334,0.195,"01","16",16819
"15",2016-01-20,3,4,0.335,0.195,"01","16",16820
"16",2016-01-21,3,4,0.333,0.194,"01","16",16821
"17",2016-01-22,3,4,0.462,0.247,"01","16",16822
"18",2016-01-23,3,4,0.392,0.219,"01","16",16823
"19",2016-01-24,3,4,0.366,0.206,"01","16",16824
"20",2016-01-25,3,4,0.359,0.205,"01","16",16825
"21",2016-01-26,3,4,0.354,0.202,"01","16",16826
"22",2016-01-27,3,4,0.353,0.203,"01","16",16827
"23",2016-01-28,3,4,0.347,0.198,"01","16",16828
"24",2016-01-29,3,4,0.343,0.197,"01","16",16829
"25",2016-01-30,3,4,0.337,0.196,"01","16",16830
"26",2016-01-31,3,4,0.336,0.199,"01","16",16831
"27",2016-02-01,3,4,0.336,0.201,"02","16",16832
"28",2016-02-02,3,4,0.337,0.202,"02","16",16833
"29",2016-02-03,3,4,0.401,0.225,"02","16",16834
"30",2016-02-04,3,4,0.37,0.214,"02","16",16835
"31",2016-02-05,3,4,0.344,0.204,"02","16",16836
"32",2016-02-06,3,4,0.338,0.2,"02","16",16837
"33",2016-02-07,3,4,0.336,0.2,"02","16",16838
"34",2016-02-08,3,4,0.337,0.201,"02","16",16839
"35",2016-02-09,3,4,0.335,0.197,"02","16",16840
"36",2016-02-10,3,4,0.328,0.195,"02","16",16841
"37",2016-02-11,3,4,0.327,0.194,"02","16",16842
"38",2016-02-12,3,4,0.327,0.195,"02","16",16843
"39",2016-02-13,3,4,0.326,0.194,"02","16",16844
"40",2016-02-14,3,4,0.323,0.191,"02","16",16845
"41",2016-02-15,3,4,0.325,0.193,"02","16",16846
"42",2016-02-16,3,4,0.346,0.204,"02","16",16847
"43",2016-02-17,3,4,0.333,0.199,"02","16",16848
"44",2016-02-18,3,4,0.327,0.195,"02","16",16849
"45",2016-02-19,3,4,0.326,0.195,"02","16",16850
"46",2016-02-20,3,4,0.327,0.196,"02","16",16851
"47",2016-02-21,3,4,0.327,0.2,"02","16",16852
"48",2016-02-22,3,4,0.33,0.202,"02","16",16853
"49",2016-02-23,3,4,0.368,0.215,"02","16",16854
"50",2016-02-24,3,4,0.385,0.226,"02","16",16855
"51",2016-02-25,3,4,0.35,0.211,"02","16",16856
"52",2016-02-26,3,4,0.337,0.203,"02","16",16857
"53",2016-02-27,3,4,0.332,0.2,"02","16",16858
"54",2016-02-28,3,4,0.331,0.2,"02","16",16859
"55",2016-02-29,3,4,0.331,0.203,"02","16",16860
"56",2016-03-01,3,4,0.331,0.203,"03","16",16861
"57",2016-03-02,3,4,0.332,0.203,"03","16",16862
"58",2016-03-03,3,4,0.326,0.198,"03","16",16863
"59",2016-03-04,3,4,0.328,0.198,"03","16",16864
"60",2016-03-05,3,4,0.325,0.195,"03","16",16865
"61",2016-03-06,3,4,0.324,0.194,"03","16",16866
"62",2016-03-07,3,4,0.324,0.194,"03","16",16867
"63",2016-03-08,3,4,0.325,0.196,"03","16",16868
"64",2016-03-09,3,4,0.325,0.197,"03","16",16869
"65",2016-03-10,3,4,0.325,0.199,"03","16",16870
"66",2016-03-11,4,5,0.324,0.199,"03","16",16871
"67",2016-03-12,4,5,0.324,0.199,"03","16",16872
"68",2016-03-13,4,5,0.351,0.208,"03","16",16873
"69",2016-03-14,4,5,0.339,0.202,"03","16",16874
"70",2016-03-15,4,5,0.332,0.199,"03","16",16875
"71",2016-03-16,4,5,0.329,0.199,"03","16",16876
"72",2016-03-17,4,5,0.328,0.196,"03","16",16877
"73",2016-03-18,4,5,0.324,0.196,"03","16",16878
"74",2016-03-19,4,5,0.325,0.197,"03","16",16879
"75",2016-03-20,4,5,0.321,0.193,"03","16",16880
"76",2016-03-21,4,5,0.316,0.19,"03","16",16881
"77",2016-03-22,4,5,0.315,0.188,"03","16",16882
"78",2016-03-23,4,5,0.316,0.192,"03","16",16883
"79",2016-03-24,4,5,0.318,0.194,"03","16",16884
"80",2016-03-25,4,5,0.318,0.194,"03","16",16885
"81",2016-03-26,4,5,0.314,0.192,"03","16",16886
"82",2016-03-27,4,5,0.318,0.193,"03","16",16887
"83",2016-03-28,4,5,0.32,0.195,"03","16",16888
"84",2016-03-29,4,5,0.315,0.193,"03","16",16889
"85",2016-03-30,4,5,0.312,0.191,"03","16",16890
"86",2016-03-31,4,5,0.314,0.193,"03","16",16891
"87",2016-04-01,4,5,0.336,0.202,"04","16",16892
"88",2016-04-02,4,5,0.317,0.194,"04","16",16893
"89",2016-04-03,4,5,0.308,0.19,"04","16",16894
"90",2016-04-04,4,5,0.308,0.19,"04","16",16895
"91",2016-04-05,4,5,0.309,0.191,"04","16",16896
"92",2016-04-06,4,5,0.306,0.188,"04","16",16897
"93",2016-04-07,4,5,0.34,0.203,"04","16",16898
"94",2016-04-08,4,5,0.317,0.192,"04","16",16899
"95",2016-04-09,4,5,0.311,0.19,"04","16",16900
"96",2016-04-10,4,5,0.306,0.186,"04","16",16901
"97",2016-04-11,4,5,0.308,0.188,"04","16",16902
"98",2016-04-12,4,5,0.312,0.192,"04","16",16903
"99",2016-04-13,4,5,0.305,0.189,"04","16",16904
"100",2016-04-14,4,5,0.304,0.188,"04","16",16905
"101",2016-04-15,4,5,0.3,0.188,"04","16",16906
"102",2016-04-16,4,5,0.298,0.187,"04","16",16907
"103",2016-04-17,4,5,0.297,0.185,"04","16",16908
"104",2016-04-18,4,5,0.297,0.186,"04","16",16909
"105",2016-04-19,4,5,0.298,0.192,"04","16",16910
"106",2016-04-20,4,5,0.299,0.195,"04","16",16911
"107",2016-04-21,4,5,0.297,0.197,"04","16",16912
"108",2016-04-22,4,5,0.308,0.202,"04","16",16913
"109",2016-04-23,4,5,0.311,0.201,"04","16",16914
"110",2016-04-24,4,5,0.296,0.198,"04","16",16915
"111",2016-04-25,4,5,0.295,0.198,"04","16",16916
"112",2016-04-26,4,5,0.294,0.196,"04","16",16917
"113",2016-04-27,4,5,0.291,0.193,"04","16",16918
"114",2016-04-28,4,5,0.288,0.192,"04","16",16919
"115",2016-04-29,4,5,0.287,0.192,"04","16",16920
"116",2016-04-30,4,5,0.292,0.197,"04","16",16921
"117",2016-05-01,4,5,0.339,0.202,"05","16",16922
"118",2016-05-02,4,5,0.305,0.192,"05","16",16923
"119",2016-05-03,4,5,0.302,0.19,"05","16",16924
"120",2016-05-04,4,5,0.292,0.184,"05","16",16925
"121",2016-05-05,4,5,0.288,0.183,"05","16",16926
"122",2016-05-06,4,5,0.286,0.182,"05","16",16927
"123",2016-05-07,4,5,0.286,0.18,"05","16",16928
"124",2016-05-08,4,5,0.284,0.182,"05","16",16929
"125",2016-05-09,4,5,0.284,0.181,"05","16",16930
"126",2016-05-10,4,5,0.282,0.18,"05","16",16931
"127",2016-05-11,4,5,0.282,0.179,"05","16",16932
"128",2016-05-12,4,5,0.286,0.184,"05","16",16933
"129",2016-05-13,4,5,0.284,0.181,"05","16",16934
