Date,Todd_Temp,Indian_Temp
2015/9/2 15:00,26.989,NA
2015/9/2 16:00,26.916,22.705
2015/9/2 17:00,26.304,22.561
2015/9/2 18:00,25.283,22.441
2015/9/2 19:00,24.315,22.298
2015/9/2 20:00,23.497,22.13
2015/9/2 21:00,22.872,21.963
2015/9/2 22:00,22.489,21.819
2015/9/2 23:00,22.298,21.676
2015/9/3 0:00,22.178,21.557
2015/9/3 1:00,22.106,21.461
2015/9/3 2:00,21.987,21.342
2015/9/3 3:00,21.843,21.246
2015/9/3 4:00,21.724,21.151
2015/9/3 5:00,21.533,21.056
2015/9/3 6:00,21.39,20.984
2015/9/3 7:00,21.246,20.889
2015/9/3 8:00,21.151,20.841
2015/9/3 9:00,21.223,20.817
2015/9/3 10:00,21.748,20.96
2015/9/3 11:00,22.705,21.199
2015/9/3 12:00,24.122,21.604
2015/9/3 13:00,25.647,22.154
2015/9/3 14:00,26.5,22.585
2015/9/3 15:00,27.112,22.968
2015/9/3 16:00,27.063,23.16
2015/9/3 17:00,26.818,23.064
2015/9/3 18:00,26.012,22.896
2015/9/3 19:00,24.847,22.681
2015/9/3 20:00,23.905,22.489
2015/9/3 21:00,23.16,22.25
2015/9/3 22:00,22.729,22.034
2015/9/3 23:00,22.441,21.867
2015/9/4 0:00,22.226,21.676
2015/9/4 1:00,22.011,21.485
2015/9/4 2:00,21.772,21.294
2015/9/4 3:00,21.581,21.127
2015/9/4 4:00,21.366,20.984
2015/9/4 5:00,21.151,20.841
2015/9/4 6:00,20.984,20.698
2015/9/4 7:00,20.793,20.555
2015/9/4 8:00,20.674,20.436
2015/9/4 9:00,20.746,20.436
2015/9/4 10:00,21.103,20.555
2015/9/4 11:00,22.441,20.817
2015/9/4 12:00,24.195,21.294
2015/9/4 13:00,25.866,22.034
2015/9/4 14:00,27.014,22.633
2015/9/4 15:00,27.063,23.088
2015/9/4 16:00,26.94,23.304
2015/9/4 17:00,26.989,23.256
2015/9/4 18:00,26.158,23.088
2015/9/4 19:00,25.065,22.872
2015/9/4 20:00,23.978,22.681
2015/9/4 21:00,23.256,22.489
2015/9/4 22:00,22.776,22.298
2015/9/4 23:00,22.513,22.106
2015/9/5 0:00,22.345,21.939
2015/9/5 1:00,22.226,21.819
2015/9/5 2:00,22.011,21.628
2015/9/5 3:00,21.676,21.413
2015/9/5 4:00,21.39,21.199
2015/9/5 5:00,21.151,20.984
2015/9/5 6:00,20.936,20.793
2015/9/5 7:00,20.722,20.603
2015/9/5 8:00,20.579,20.436
2015/9/5 9:00,20.627,20.388
2015/9/5 10:00,21.079,20.531
2015/9/5 11:00,22.202,20.841
2015/9/5 12:00,23.328,21.246
2015/9/5 13:00,24.823,21.748
2015/9/5 14:00,26.134,22.298
2015/9/5 15:00,26.622,22.561
2015/9/5 16:00,26.744,22.585
2015/9/5 17:00,26.158,22.513
2015/9/5 18:00,24.992,22.345
2015/9/5 19:00,23.93,22.226
2015/9/5 20:00,23.232,22.082
2015/9/5 21:00,22.633,21.915
2015/9/5 22:00,22.13,21.748
2015/9/5 23:00,21.772,21.557
2015/9/6 0:00,21.533,21.366
2015/9/6 1:00,21.342,21.175
2015/9/6 2:00,21.199,20.984
2015/9/6 3:00,21.079,20.841
2015/9/6 4:00,20.984,20.722
2015/9/6 5:00,20.817,20.627
2015/9/6 6:00,20.77,20.531
2015/9/6 7:00,20.817,20.507
2015/9/6 8:00,20.746,20.46
2015/9/6 9:00,20.793,20.484
2015/9/6 10:00,21.103,20.65
2015/9/6 11:00,22.393,20.841
2015/9/6 12:00,23.905,21.151
2015/9/6 13:00,25.404,21.795
2015/9/6 14:00,26.451,22.321
2015/9/6 15:00,26.72,22.681
2015/9/6 16:00,26.965,22.824
2015/9/6 17:00,26.695,22.633
2015/9/6 18:00,25.38,22.489
2015/9/6 19:00,24.195,22.321
2015/9/6 20:00,23.16,22.106
2015/9/6 21:00,22.393,21.843
