Occasion,Date,SEC,IND,PASS,VALID,SPE_COR,LEN_COR,WEIGH_COR,TAGID,RECAP_COR,RECAP ,MORTAL,GENETIC,TAGGER    ,COMMENTS            
13,20170917,7,33,1,Y,BHC,147,39,a0900043000135639,Y     ,Y     ,N     ,N     ,KIM       ,Kanno: this fish was capture two days ago on 9/15
13,20170917,7,34,1,Y,BHC,136,25.1,a0900067000122400,Y     ,Y     ,N     ,N     ,KIM       ,Kanno: tag # corrected
1,20150916,4,1,1,Y,STJ,140,24.3,a0982000403060224  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,4,2,1,Y,STJ,125,19.2,a0982000403060171  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,4,3,1,Y,STJ,134,22.2,a0982000403060155  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,4,4,1,Y,BHC,60,2.4,a0982000403060230  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,4,5,1,Y,STJ,116,13.6,a0982000403060160  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,4,6,1,Y,BHC,78,4.4,a0982000403060185  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,4,7,1,Y,BHC,64,2.1,a0982000403060161  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,4,8,1,Y,BHC,65,1.9,a0982000403060173  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,4,9,1,Y,BHC,72,3.5,a0982000403060180  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,4,10,2,Y,BHC,79,4.6,a0982000403060238  ,N     ,N     ,Y     ,N,PREGLER   ,
1,20150916,4,11,2,Y,BHC,65,1.8,a0982000403060172  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,4,12,2,Y,BHC,75,3.2,a0982000403060150  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,4,13,2,Y,BHC,56,1.6,a0982000403060200  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,4,14,2,Y,STJ,166,39.6,a0982000403060170  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,4,15,2,Y,STJ,200,73.1,a0982000403060151  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,4,16,2,Y,BHC,121,16.4,a0982000403060218  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,4,17,2,Y,STJ,150,31.4,a0982000403060186  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,4,18,2,Y,STJ,130,18.3,a0982000403060216  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,4,19,2,Y,BHC,122,18.2,a0982000403060145  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,4,20,2,Y,BHC,80,4.7,a0982000403060167  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,4,21,2,Y,BHC,70,3,a0982000403060219  ,N     ,N     ,Y     ,N,PREGLER   ,
1,20150916,4,22,2,Y,BHC,76,4,a0982000403060220  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,4,23,2,Y,STJ,131,22.5,a0982000403060235  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,4,24,2,Y,BHC,116,14.8,a0982000403060227  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,4,25,2,Y,STJ,116,14.4,a0982000403060192  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,4,26,2,Y,BHC,109,12,a0982000403060221  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,4,27,2,Y,BHC,89,6.6,a0982000403060205  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,4,28,2,Y,BHC,71,3.7,a0982000403060162  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,4,29,2,Y,BHC,73,3.3,a0982000403060190  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,4,30,2,Y,BHC,113,13.8,a0982000403060182  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,4,31,2,Y,BHC,64,2.3,a0982000403060217  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,4,32,2,Y,BHC,64,2.5,a0982000403060201  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,4,33,2,Y,BHC,70,3.4,a0982000403060225  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,4,34,2,Y,BHC,100,10.4,a0982000403060174  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,5,1,1,Y,BHC,75,4.1,a0982000403060168  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,5,2,1,Y,BHC,80,5.2,a0982000403060233  ,N     ,N     ,N     ,N,PREGLER   ,
