Date,Todd_WL,Indian_WL
1/6/2016,0.338,0.211
1/7/2016,0.338,0.211
1/8/2016,0.341,0.209
1/9/2016,0.339,0.207
1/10/2016,0.37,0.218
1/11/2016,0.339,0.203
1/12/2016,0.333,0.201
1/13/2016,0.331,0.2
1/14/2016,0.331,0.199
1/15/2016,0.424,0.235
1/16/2016,0.39,0.223
1/17/2016,0.357,0.208
1/18/2016,0.341,0.201
1/19/2016,0.334,0.195
1/20/2016,0.335,0.195
1/21/2016,0.333,0.194
1/22/2016,0.462,0.247
1/23/2016,0.392,0.219
1/24/2016,0.366,0.206
1/25/2016,0.359,0.205
1/26/2016,0.354,0.202
1/27/2016,0.353,0.203
1/28/2016,0.347,0.198
1/29/2016,0.343,0.197
1/30/2016,0.337,0.196
1/31/2016,0.336,0.199
2/1/2016,0.336,0.201
2/2/2016,0.337,0.202
2/3/2016,0.401,0.225
2/4/2016,0.37,0.214
2/5/2016,0.344,0.204
2/6/2016,0.338,0.2
2/7/2016,0.336,0.2
2/8/2016,0.337,0.201
2/9/2016,0.335,0.197
2/10/2016,0.328,0.195
2/11/2016,0.327,0.194
2/12/2016,0.327,0.195
2/13/2016,0.326,0.194
2/14/2016,0.323,0.191
2/15/2016,0.325,0.193
2/16/2016,0.346,0.204
2/17/2016,0.333,0.199
2/18/2016,0.327,0.195
2/19/2016,0.326,0.195
2/20/2016,0.327,0.196
2/21/2016,0.327,0.2
2/22/2016,0.33,0.202
2/23/2016,0.368,0.215
2/24/2016,0.385,0.226
2/25/2016,0.35,0.211
2/26/2016,0.337,0.203
2/27/2016,0.332,0.2
2/28/2016,0.331,0.2
2/29/2016,0.331,0.203
3/1/2016,0.331,0.203
3/2/2016,0.332,0.203
3/3/2016,0.326,0.198
3/4/2016,0.328,0.198
3/5/2016,0.325,0.195
3/6/2016,0.324,0.194
3/7/2016,0.324,0.194
3/8/2016,0.325,0.196
3/9/2016,0.325,0.197
3/10/2016,0.325,0.199
3/11/2016,0.324,0.199
3/12/2016,0.324,0.199
3/13/2016,0.351,0.208
3/14/2016,0.339,0.202
3/15/2016,0.332,0.199
3/16/2016,0.329,0.199
3/17/2016,0.328,0.196
3/18/2016,0.324,0.196
3/19/2016,0.325,0.197
3/20/2016,0.321,0.193
