Occasion,Date,SEC,IND,PASS,SPE,LEN,WEIGH,TAGNUMBER         ,RECAP ,MORTAL,GENETIC,TAGGER    ,COMMENTS            ,,,,,,,,,,,,,,,
1,20150911,4,NA,NA,BHC,101,8.8,0982000403060064  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150911,4,NA,NA,BHC,85,5.8,0982000403060056  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150911,4,NA,NA,BHC,91,7,0982000403060094  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150911,5,NA,NA,BHC,91,8.1,0982000403060097  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150911,5,NA,NA,MTS,66,3.2,0982000403060084  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150911,6,NA,NA,BHC,61,2.4,0982000403060107  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150911,6,NA,NA,BHC,76,3.8,0982000403060058  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150911,6,NA,NA,BHC,73,3.9,0982000403060055  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150911,6,NA,NA,MTS,80,6.4,0982000403060066  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150911,6,NA,NA,MTS,58,2.5,0982000403060077  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150911,7,NA,NA,RBS,165,72.2,0982000403060041  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150911,7,NA,NA,STJ,101,9.1,0982000403060131  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150911,7,NA,NA,BHC,117,14.8,0982000403060113  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150911,7,NA,NA,MTS,63,3.1,0982000403060079  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150911,7,NA,NA,MTS,57,1.9,0982000403060139  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150911,8,NA,NA,BHC,71,3.4,0982000403060082  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150911,8,NA,NA,BHC,71,3.4,0982000403060053  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150911,8,NA,NA,MTS,65,2.7,0982000403060096  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150911,8,NA,NA,MTS,67,3,0982000403060124  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150911,8,NA,NA,MTS,68,3.5,0982000403060110  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150911,8,NA,NA,MTS,60,2.2,0982000403060117  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150911,9,NA,NA,BHC,107,13.7,0982000403060090  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150911,9,NA,NA,BHC,62,2.2,0982000403060057  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150911,9,NA,NA,MTS,80,6,0982000403060050  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150911,9,NA,NA,MTS,57,2,0982000403060086  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150911,9,NA,NA,MTS,76,4.5,0982000403060060  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150911,9,NA,NA,MTS,64,3,0982000403060072  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150911,9,NA,NA,MTS,67,2.6,0982000403060115  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150911,10,NA,NA,BHC,85,6.1,0982000403060048  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150911,10,NA,NA,NHS,183,56.4,0982000403060138  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150911,11,NA,NA,RBS,168,76.1,0982000403060108  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150911,11,NA,NA,CRC,144,32.4,0982000403060049  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150911,11,NA,NA,MTS,79,5.2,0982000403060123  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150911,11,NA,NA,CRC,157,40.3,0982000403060078  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150911,11,NA,NA,MTS,77,5.6,0982000403060045  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150911,12,NA,NA,BHC,119,16.4,0982000403060051  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150911,12,NA,NA,BHC,75,3.9,0982000403060116  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150911,12,NA,NA,MTS,79,6.1,0982000403060081  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150911,12,NA,NA,MTS,80,6.1,0982000403060093  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150911,12,NA,NA,BHC,69,3.3,0982000403060105  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150911,12,NA,NA,BHC,85,5.2,0982000403060071  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150911,12,NA,NA,BHC,78,4.1,0982000403060137  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,13,NA,NA,BHC,61,2.4,0982000403060044  ,N     ,N     ,N     ,PREGLER   ,                    ,,,,,,,,,,,,,,,
1,20150913,13,NA,NA,BHC,90,7.3,0982000403060133  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,13,NA,NA,MTS,79,5.9,0982000403060100  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,13,NA,NA,BHC,97,9.5,0982000403060052  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,13,NA,NA,BHC,65,3,0982000403060065  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,13,NA,NA,BHC,66,2.7,0982000403060114  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,13,NA,NA,BHC,59,1.9,0982000403060069  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,13,NA,NA,BHC,131,28.1,0982000403060134  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,13,NA,NA,BHC,111,13.8,0982000403060067  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,13,NA,NA,BHC,125,20.1,0982000403060106  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,13,NA,NA,BHC,102,13.5,0982000403060088  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,13,NA,NA,MTS,81,6.8,0982000403060127  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,13,NA,NA,BHC,85,5.8,0982000403060071  ,Y     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,13,NA,NA,CRC,84,6.3,0982000403060098  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,13,NA,NA,BHC,69,3.3,0982000403060101  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
