Occasion,Date,SEC,IND,PASS,SPE_COR,SPE,LEN_COR,LEN,WEIGH_COR,WEIGH,TAGNUMBER_COR,TAGNUMBER         ,RECAP ,MORTAL,GENETICS,TAGGER    ,COMMENTS            
13,20170917,7,33,1,BHC,BHC,147,147,39,39,a0900043000135639,0900043000135639  N,Y     ,N     ,N     ,KIM       ,                    
13,20170917,7,34,1,BHC,BHC,136,136,25.1,25.1,a0900067000122400,0900067000122400  Y,Y     ,N     ,N     ,KIM       ,                    
1,20150916,4,1,1,STJ,STJ,140,140,24.3,24.3,a0982000403060224  ,0982000403060224  ,N     ,N     ,N,PREGLER   ,
1,20150916,4,2,1,STJ,STJ,125,125,19.2,19.2,a0982000403060171  ,0982000403060171  ,N     ,N     ,N,PREGLER   ,
1,20150916,4,3,1,STJ,STJ,134,134,22.2,22.2,a0982000403060155  ,0982000403060155  ,N     ,N     ,N,PREGLER   ,
1,20150916,4,4,1,BHC,BHC,60,60,2.4,2.4,a0982000403060230  ,0982000403060230  ,N     ,N     ,N,PREGLER   ,
1,20150916,4,5,1,STJ,STJ,116,116,13.6,13.6,a0982000403060160  ,0982000403060160  ,N     ,N     ,N,PREGLER   ,
1,20150916,4,6,1,BHC,BHC,78,78,4.4,4.4,a0982000403060185  ,0982000403060185  ,N     ,N     ,N,PREGLER   ,
1,20150916,4,7,1,BHC,BHC,64,64,2.1,2.1,a0982000403060161  ,0982000403060161  ,N     ,N     ,N,PREGLER   ,
1,20150916,4,8,1,BHC,BHC,65,65,1.9,1.9,a0982000403060173  ,0982000403060173  ,N     ,N     ,N,PREGLER   ,
1,20150916,4,9,1,BHC,BHC,72,72,3.5,3.5,a0982000403060180  ,0982000403060180  ,N     ,N     ,N,PREGLER   ,
1,20150916,4,10,2,BHC,BHC,79,79,4.6,4.6,a0982000403060238  ,0982000403060238  ,N     ,Y     ,N,PREGLER   ,
1,20150916,4,11,2,BHC,BHC,65,65,1.8,1.8,a0982000403060172  ,0982000403060172  ,N     ,N     ,N,PREGLER   ,
1,20150916,4,12,2,BHC,BHC,75,75,3.2,3.2,a0982000403060150  ,0982000403060150  ,N     ,N     ,N,PREGLER   ,
1,20150916,4,13,2,BHC,BHC,56,56,1.6,1.6,a0982000403060200  ,0982000403060200  ,N     ,N     ,N,PREGLER   ,
1,20150916,4,14,2,STJ,STJ,166,166,39.6,39.6,a0982000403060170  ,0982000403060170  ,N     ,N     ,N,PREGLER   ,
1,20150916,4,15,2,STJ,STJ,200,200,73.1,73.1,a0982000403060151  ,0982000403060151  ,N     ,N     ,N,PREGLER   ,
1,20150916,4,16,2,BHC,BHC,121,121,16.4,16.4,a0982000403060218  ,0982000403060218  ,N     ,N     ,N,PREGLER   ,
1,20150916,4,17,2,STJ,STJ,150,150,31.4,31.4,a0982000403060186  ,0982000403060186  ,N     ,N     ,N,PREGLER   ,
1,20150916,4,18,2,STJ,STJ,130,130,18.3,18.3,a0982000403060216  ,0982000403060216  ,N     ,N     ,N,PREGLER   ,
1,20150916,4,19,2,BHC,BHC,122,122,18.2,18.2,a0982000403060145  ,0982000403060145  ,N     ,N     ,N,PREGLER   ,
1,20150916,4,20,2,BHC,BHC,80,80,4.7,4.7,a0982000403060167  ,0982000403060167  ,N     ,N     ,N,PREGLER   ,
1,20150916,4,21,2,BHC,BHC,70,70,3,3,a0982000403060219  ,0982000403060219  ,N     ,Y     ,N,PREGLER   ,
1,20150916,4,22,2,BHC,BHC,76,76,4,4,a0982000403060220  ,0982000403060220  ,N     ,N     ,N,PREGLER   ,
1,20150916,4,23,2,STJ,STJ,131,131,22.5,22.5,a0982000403060235  ,0982000403060235  ,N     ,N     ,N,PREGLER   ,
1,20150916,4,24,2,BHC,BHC,116,116,14.8,14.8,a0982000403060227  ,0982000403060227  ,N     ,N     ,N,PREGLER   ,
1,20150916,4,25,2,STJ,STJ,116,116,14.4,14.4,a0982000403060192  ,0982000403060192  ,N     ,N     ,N,PREGLER   ,
1,20150916,4,26,2,BHC,BHC,109,109,12,12,a0982000403060221  ,0982000403060221  ,N     ,N     ,N,PREGLER   ,
1,20150916,4,27,2,BHC,BHC,89,89,6.6,6.6,a0982000403060205  ,0982000403060205  ,N     ,N     ,N,PREGLER   ,
1,20150916,4,28,2,BHC,BHC,71,71,3.7,3.7,a0982000403060162  ,0982000403060162  ,N     ,N     ,N,PREGLER   ,
1,20150916,4,29,2,BHC,BHC,73,73,3.3,3.3,a0982000403060190  ,0982000403060190  ,N     ,N     ,N,PREGLER   ,
1,20150916,4,30,2,BHC,BHC,113,113,13.8,13.8,a0982000403060182  ,0982000403060182  ,N     ,N     ,N,PREGLER   ,
1,20150916,4,31,2,BHC,BHC,64,64,2.3,2.3,a0982000403060217  ,0982000403060217  ,N     ,N     ,N,PREGLER   ,
1,20150916,4,32,2,BHC,BHC,64,64,2.5,2.5,a0982000403060201  ,0982000403060201  ,N     ,N     ,N,PREGLER   ,
1,20150916,4,33,2,BHC,BHC,70,70,3.4,3.4,a0982000403060225  ,0982000403060225  ,N     ,N     ,N,PREGLER   ,
1,20150916,4,34,2,BHC,BHC,100,100,10.4,10.4,a0982000403060174  ,0982000403060174  ,N     ,N     ,N,PREGLER   ,
1,20150916,5,1,1,BHC,BHC,75,75,4.1,4.1,a0982000403060168  ,0982000403060168  ,N     ,N     ,N,PREGLER   ,
1,20150916,5,2,1,BHC,BHC,80,80,5.2,5.2,a0982000403060233  ,0982000403060233  ,N     ,N     ,N,PREGLER   ,
1,20150916,5,3,1,BHC,BHC,72,72,3.3,3.3,a0982000403060236  ,0982000403060236  ,N     ,N     ,N,PREGLER   ,
1,20150916,5,4,1,BHC,BHC,66,66,3.2,3.2,a0982000403060210  ,0982000403060210  ,N     ,N     ,N,PREGLER   ,
1,20150916,5,5,1,BHC,BHC,64,64,2.2,2.2,a0982000403060179  ,0982000403060179  ,N     ,N     ,N,PREGLER   ,
1,20150916,5,6,1,BHC,BHC,81,81,5,5,a0982000403060148  ,0982000403060148  ,N     ,N     ,N,PREGLER   ,
1,20150916,5,7,1,BHC,BHC,63,63,2.5,2.5,a0982000403060215  ,0982000403060215  ,N     ,N     ,N,PREGLER   ,
1,20150916,5,8,1,BHC,BHC,68,68,3.5,3.5,a0982000403060159  ,0982000403060159  ,N     ,N     ,N,PREGLER   ,
1,20150916,5,9,1,BHC,BHC,72,72,3.5,3.5,a0982000403060209  ,0982000403060209  ,N     ,N     ,N,PREGLER   ,
1,20150916,5,10,1,BHC,BHC,77,77,4,4,a0982000403060214  ,0982000403060214  ,N     ,N     ,N,PREGLER   ,
1,20150916,5,11,1,BHC,BHC,95,95,8.3,8.3,a0982000403060240  ,0982000403060240  ,N     ,N     ,N,PREGLER   ,
1,20150916,5,12,1,BHC,BHC,70,70,3.4,3.4,a0982000403060232  ,0982000403060232  ,N     ,N     ,N,PREGLER   ,
1,20150916,5,13,1,BHC,BHC,71,71,3.6,3.6,a0982000403060163  ,0982000403060163  ,N     ,N     ,N,PREGLER   ,
1,20150916,5,14,1,BHC,BHC,65,65,2.6,2.6,a0982000403060184  ,0982000403060184  ,N     ,N     ,N,PREGLER   ,
1,20150916,5,15,1,BHC,BHC,71,71,3.6,3.6,a0982000403060147  ,0982000403060147  ,N     ,N     ,N,PREGLER   ,
1,20150916,5,16,1,BHC,BHC,68,68,2.8,2.8,a0982000403060222  ,0982000403060222  ,N     ,N     ,N,PREGLER   ,
1,20150916,5,17,1,BHC,BHC,60,60,1.3,1.3,a0982000403060213  ,0982000403060213  ,N     ,N     ,N,PREGLER   ,
1,20150916,5,18,1,BHC,BHC,75,75,4,4,a0982000403060191  ,0982000403060191  ,N     ,N     ,N,PREGLER   ,
1,20150916,5,19,1,BHC,BHC,72,72,3.4,3.4,a0982000403060142  ,0982000403060142  ,N     ,N     ,N,PREGLER   ,
1,20150916,5,20,1,BHC,BHC,110,110,13.3,13.3,a0982000403060141  ,0982000403060141  ,N     ,N     ,N,PREGLER   ,
1,20150916,5,21,1,BHC,BHC,67,67,3.1,3.1,a0982000403060237  ,0982000403060237  ,N     ,N     ,N,PREGLER   ,
1,20150916,5,22,1,BHC,BHC,84,84,7,7,a0982000403060223  ,0982000403060223  ,N     ,N     ,N,PREGLER   ,
1,20150916,5,23,1,BHC,BHC,75,75,4.4,4.4,a0982000403060228  ,0982000403060228  ,N     ,N     ,N,PREGLER   ,
1,20150916,5,24,1,BHC,BHC,58,58,2.4,2.4,a0982000403060212  ,0982000403060212  ,N     ,N     ,N,PREGLER   ,
1,20150916,5,25,1,BHC,BHC,70,70,3.2,3.2,a0982000403060165  ,0982000403060165  ,N     ,N     ,N,PREGLER   ,
1,20150916,5,26,1,BHC,BHC,70,70,3,3,a0982000403060149  ,0982000403060149  ,N     ,N     ,N,PREGLER   ,
1,20150916,5,27,1,BHC,BHC,60,60,2.5,2.5,a0982000403060193  ,0982000403060193  ,N     ,N     ,N,PREGLER   ,
1,20150916,5,28,1,BHC,BHC,65,65,2.9,2.9,a0982000403060146  ,0982000403060146  ,N     ,N     ,N,PREGLER   ,
1,20150916,5,29,1,STJ,STJ,143,143,29,29,a0982000403060154  ,0982000403060154  ,N     ,N     ,N,PREGLER   ,
1,20150916,5,30,1,BHC,BHC,100,100,9.3,9.3,a0982000403060175  ,0982000403060175  ,N     ,N     ,N,PREGLER   ,
1,20150916,5,31,1,BHC,BHC,96,96,9.5,9.5,a0982000403060229  ,0982000403060229  ,N     ,N     ,N,PREGLER   ,
1,20150916,5,32,1,BHC,BHC,63,63,2.6,2.6,a0982000403060207  ,0982000403060207  ,N     ,N     ,N,PREGLER   ,
1,20150916,5,33,1,BHC,BHC,70,70,4,4,a0982000403060169  ,0982000403060169  ,N     ,N     ,N,PREGLER   ,
1,20150916,5,34,1,BHC,BHC,76,76,5.3,5.3,a0982000403060199  ,0982000403060199  ,N     ,N     ,N,PREGLER   ,
1,20150916,5,35,1,BHC,BHC,70,70,4.5,4.5,a0982000403060206  ,0982000403060206  ,N     ,N     ,N,PREGLER   ,
1,20150916,5,36,1,BHC,BHC,70,70,3.7,3.7,a0982000403060204  ,0982000403060204  ,N     ,N     ,N,PREGLER   ,
1,20150916,5,37,1,BHC,BHC,65,65,3.6,3.6,a0982000403060181  ,0982000403060181  ,N     ,N     ,N,PREGLER   ,
1,20150916,5,38,1,BHC,BHC,90,90,7.4,7.4,a0982000403060202  ,0982000403060202  ,N     ,N     ,N,PREGLER   ,
1,20150916,5,39,1,BHC,BHC,68,68,4,4,a0982000403060144  ,0982000403060144  ,N     ,N     ,N,PREGLER   ,
1,20150916,5,40,1,BHC,BHC,69,69,3.7,3.7,a0982000403060203  ,0982000403060203  ,N     ,N     ,N,PREGLER   ,
1,20150916,5,41,1,BHC,BHC,97,97,8.6,8.6,a0982000403060211  ,0982000403060211  ,N     ,N     ,N,PREGLER   ,
1,20150916,5,42,1,BHC,BHC,65,65,2.8,2.8,a0982000403060187  ,0982000403060187  ,N     ,N     ,N,PREGLER   ,
1,20150916,5,43,1,BHC,BHC,70,70,3.9,3.9,a0982000403060234  ,0982000403060234  ,N     ,N     ,N,PREGLER   ,
1,20150916,5,44,1,BHC,BHC,100,100,10.4,10.4,a0982000403060166  ,0982000403060166  ,N     ,N     ,N,PREGLER   ,
1,20150916,5,45,1,BHC,BHC,76,76,4.8,4.8,a0982000403060239  ,0982000403060239  ,N     ,N     ,N,PREGLER   ,
1,20150916,5,46,1,BHC,BHC,85,85,6.2,6.2,a0982000403060231  ,0982000403060231  ,N     ,N     ,N,PREGLER   ,
1,20150916,5,47,1,BHC,BHC,79,79,5,5,a0982000403060178  ,0982000403060178  ,N     ,N     ,N,PREGLER   ,
