"","b[1]","b[2]","b[3]","b[4]","b[5]","sigma","phi"
"1",3.28224,0.563659,-0.00101518,-0.0645257,-0.299631,6.31084,0.266572
"2",3.37478,0.553128,-0.067525,-0.102709,-0.0905679,6.56022,0.267691
"3",3.37155,0.4965,-0.0869587,-0.077797,-0.180208,6.78932,0.303569
"4",3.3824,0.537432,-0.046456,-0.0621262,-0.172128,7.13913,0.275503
"5",3.34034,0.492582,-0.107569,-0.0695787,-0.00321555,6.84576,0.292054
"6",3.34226,0.573807,-0.0810711,-0.0304262,-0.121435,6.70217,0.256092
"7",3.32115,0.617825,-0.0218312,-0.0604002,-0.141397,6.55826,0.288445
"8",3.37888,0.503749,-0.0738161,-0.0161543,-0.0694177,6.5899,0.290889
"9",3.35255,0.590154,-0.0859144,-0.0272511,-0.0879705,6.41428,0.292869
"10",3.33466,0.58006,-0.00713061,-0.0848545,-0.0227403,6.73129,0.282199
"11",3.37099,0.500107,-0.0815825,-0.0173946,0.00678861,6.82962,0.294587
"12",3.37486,0.520728,-0.0900994,-0.0380068,0.152018,7.02479,0.279727
"13",3.356,0.478368,-0.109525,-0.0577744,0.0270082,6.62267,0.294144
"14",3.39188,0.639616,-0.0860886,-0.0473768,-0.165133,6.57119,0.274536
"15",3.4283,0.470376,-0.0671239,-0.0869265,-0.0918267,6.65121,0.269181
"16",3.35595,0.614593,-0.0295457,-0.0499276,-0.174376,6.4545,0.261124
"17",3.32502,0.680452,-0.000397846,-0.0344154,-0.158797,6.26485,0.273678
"18",3.34305,0.640186,-0.0395778,-0.0977651,0.0218573,7.07288,0.28812
"19",3.34971,0.553319,-0.095123,-0.0273439,0.0922534,6.33008,0.28234
"20",3.38962,0.599804,-0.0861987,-0.0885003,-0.0587485,6.45511,0.289786
"21",3.30647,0.593013,-0.0448909,-0.0545412,-0.150284,6.98475,0.26922
"22",3.30764,0.594674,-0.05853,-0.0291483,0.0753282,6.79759,0.273056
"23",3.41375,0.54345,-0.0800895,-0.126348,-0.108805,6.79805,0.289592
"24",3.33573,0.592095,-0.0138002,-0.0615063,-0.210481,6.94851,0.282402
"25",3.3488,0.566685,-0.0164335,-0.0355254,0.104231,6.56287,0.298082
"26",3.3819,0.477224,-0.0258191,-0.10575,-0.00741399,6.88531,0.279399
"27",3.41891,0.42912,-0.095927,-0.0761051,-0.187744,6.42008,0.288945
"28",3.38009,0.55846,-0.051375,-0.0617026,-0.162378,7.14409,0.290447
"29",3.46916,0.454038,-0.0778479,-0.0736658,-0.182192,6.78816,0.281147
"30",3.34001,0.508266,-0.0487291,-0.0420931,-0.198106,6.56641,0.29679
"31",3.31799,0.636057,-0.101708,-0.0144273,0.0178135,6.59033,0.269171
"32",3.33947,0.5616,-0.0890253,-0.0903348,-0.00907181,6.59951,0.274793
"33",3.37268,0.593487,-0.03428,-0.0374355,-0.0702467,6.61676,0.30315
"34",3.37004,0.570211,-0.0962335,-0.0255001,-0.248218,6.63964,0.285103
"35",3.36104,0.685301,-0.0326088,-0.0676521,0.000919953,6.40331,0.283021
"36",3.33967,0.561852,-0.0543085,-0.00995177,-0.0996242,6.5381,0.286425
"37",3.32545,0.558784,-0.0368286,-0.0939566,-0.0911029,6.93687,0.285612
"38",3.32811,0.581247,-0.0701427,-0.0565619,-0.229508,6.75441,0.274037
"39",3.44023,0.526791,-0.0764871,-0.0965937,-0.00466214,6.88444,0.274617
"40",3.35085,0.588368,-0.0601781,-0.0917303,-0.206312,6.85742,0.291025
"41",3.32895,0.675873,0.00911802,-0.0766241,-0.0720887,6.7443,0.287559
"42",3.309,0.567393,-0.060951,-0.0616252,0.173811,6.53174,0.29074
"43",3.4719,0.499704,-0.0257831,-0.0769618,-0.0655681,6.83776,0.271258
"44",3.35486,0.560601,-0.0969597,-0.0456615,-0.105386,6.60346,0.276686
"45",3.32681,0.531195,-0.0662942,-0.0693919,-0.179436,6.8047,0.289282
"46",3.33993,0.478238,-0.0278979,-0.0732613,-0.125379,6.40278,0.290867
"47",3.42219,0.507915,-0.0574211,-0.0559669,-0.252857,6.6873,0.252821
"48",3.36636,0.561782,-0.106899,-0.0583749,-0.117931,6.55114,0.271881
"49",3.37048,0.50755,-0.0123841,-0.0569435,-0.0720905,6.87271,0.271793
"50",3.27258,0.732213,-0.11045,-0.0583929,0.259767,6.56858,0.268684
"51",3.43665,0.537468,-0.0881308,-0.0682191,-0.243531,6.85989,0.295757
"52",3.42631,0.39612,-0.073022,-0.0687365,-0.0330126,6.29561,0.270149
"53",3.31797,0.579827,-0.0868573,-0.0329558,-0.0621209,6.28078,0.282181
"54",3.28992,0.675773,-0.0240697,-0.0830708,0.00174338,6.57579,0.282514
"55",3.32348,0.652514,-0.0489552,-0.0626843,-0.229368,6.63348,0.28667
"56",3.405,0.476966,-0.033716,-0.0982033,-0.219498,6.97228,0.284886
"57",3.33048,0.537736,-0.0630279,-0.072253,-0.181197,6.73717,0.272052
"58",3.36688,0.558915,-0.0833069,-0.0407434,0.0153629,6.7177,0.277853
"59",3.37436,0.548115,-0.00772478,-0.155579,-0.371613,6.66676,0.267787
"60",3.30592,0.610706,-0.101247,-0.0533938,-0.0158775,6.86014,0.279841
"61",3.25872,0.615441,-0.0318514,-0.0670905,0.118101,6.57455,0.287202
"62",3.35889,0.461585,-0.00886255,-0.0469628,-0.0557959,6.81126,0.271964
"63",3.34561,0.585519,-0.0596869,-0.0366051,-0.0856867,6.92019,0.276449
"64",3.52064,0.401799,-0.098088,-0.0708051,-0.078383,6.22135,0.267188
"65",3.36475,0.525114,-0.107935,-0.0669246,-0.0852122,6.87064,0.256855
