"","b[1]","b[2]","b[3]","b[4]","b[5]","sigma","phi"
"1",3.41185,-0.0743784,0.165369,0.0465785,0.144543,7.80477,0.184235
"2",3.46338,-0.165546,0.147698,0.0287936,0.161356,7.59269,0.192784
"3",3.38991,-0.0535143,0.142787,0.0483987,0.15982,7.74426,0.187941
"4",3.33847,-0.0606604,0.190219,0.0441702,0.243734,7.78602,0.182808
"5",3.29788,-0.0367132,0.139839,0.0457324,0.2325,7.83652,0.191042
"6",3.45243,-0.126584,0.123424,0.0449892,0.153,7.85811,0.196165
"7",3.45592,-0.128841,0.130014,-0.00189994,0.156915,8.01594,0.190717
"8",3.37703,-0.0302415,0.170776,0.0876995,0.145729,7.82508,0.182197
"9",3.38509,-0.0320747,0.138362,0.0713025,0.12585,7.77707,0.184137
"10",3.32587,-0.0728244,0.171556,0.0599512,0.247658,7.91999,0.195559
"11",3.27666,0.0239762,0.153005,0.0924531,0.235886,7.75071,0.199865
"12",3.40049,-0.123866,0.141162,0.0618864,0.207068,7.8111,0.191526
"13",3.3304,-0.00918627,0.128171,0.0658535,0.193017,7.71212,0.179762
"14",3.3728,-0.0865005,0.163234,0.0115644,0.233293,7.62862,0.190637
"15",3.39716,-0.0296153,0.115805,0.0776098,0.171354,7.87187,0.189357
"16",3.42906,-0.121974,0.157675,-0.00131302,0.191682,7.83303,0.192245
"17",3.32556,-0.0199081,0.156497,0.0863302,0.179128,7.78141,0.189673
"18",3.46051,-0.111161,0.159374,0.0589227,0.12427,7.90418,0.193499
"19",3.36991,-0.127877,0.143595,-0.00069904,0.212045,7.70526,0.196009
"20",3.42689,-0.128385,0.12925,-0.0125862,0.15491,7.55565,0.191244
"21",3.35916,-0.11285,0.185718,0.0220295,0.267934,7.85959,0.195163
"22",3.21699,-0.0572099,0.181405,0.0797075,0.3566,7.80768,0.186212
"23",3.30857,-0.127349,0.180839,0.0172824,0.316346,7.97649,0.187357
"24",3.36471,-0.0926205,0.156952,0.0604382,0.231913,8.10669,0.19337
"25",3.291,-0.00284139,0.186671,0.0495275,0.219062,7.78345,0.189647
"26",3.29689,-0.0207285,0.180895,0.0360822,0.284566,7.8732,0.19937
"27",3.35221,-0.0830103,0.160804,0.0470559,0.256509,7.46898,0.187897
"28",3.34444,-0.0586243,0.163899,0.0447565,0.220185,7.83141,0.190614
"29",3.27967,-0.102412,0.157023,-0.00393555,0.271019,7.57267,0.186175
"30",3.25475,-0.104845,0.174453,0.0555568,0.313672,7.58478,0.191416
"31",3.35664,-0.0816138,0.159104,0.0528376,0.191124,7.77715,0.19004
"32",3.44092,-0.16136,0.154782,0.0138992,0.192345,7.88419,0.193968
"33",3.30553,-0.0710974,0.145756,0.0427843,0.263014,7.61906,0.197611
"34",3.4204,-0.11859,0.17072,0.0294797,0.17098,7.60204,0.190567
"35",3.37857,-0.031666,0.143568,0.0334586,0.143285,7.44497,0.192803
"36",3.3803,-0.108687,0.161941,0.0300337,0.21268,7.49411,0.194526
"37",3.47744,-0.1248,0.129229,0.0403122,0.129878,7.97648,0.196795
"38",3.3469,0.00302132,0.169169,0.00224441,0.136969,7.97691,0.194327
"39",3.3752,-0.076143,0.174139,0.0488639,0.20452,7.97789,0.191141
"40",3.41102,-0.146241,0.174732,0.00664,0.193182,8.16875,0.18944
"41",3.4751,-0.121997,0.135168,0.0479755,0.105881,7.82094,0.192779
"42",3.3793,-0.0808392,0.154159,0.0329122,0.161484,7.83123,0.190163
"43",3.46418,-0.170592,0.172231,0.00965357,0.177362,7.828,0.193829
