"","b[1]","b[2]","b[3]","b[4]","b[5]","b[6]","sigma"
"1",3.19063,-0.0625507,0.0180459,0.365089,0.101337,0.401511,0.129449
"2",3.30685,-0.00259269,-0.000336108,0.313807,0.0554603,0.233262,0.13003
"3",3.34132,-0.063065,0.0265847,0.276799,0.0863285,0.222001,0.133659
"4",3.28539,0.0153671,-0.00583028,0.285151,0.0776881,0.195441,0.133295
"5",3.30226,-0.0208767,0.00131423,0.319461,0.0381632,0.235756,0.129699
"6",3.29656,-0.0224982,0.001311,0.353877,0.0831618,0.238975,0.132236
"7",3.30781,-0.0352073,0.00758324,0.294075,0.064006,0.220654,0.130665
"8",3.33573,-0.0280153,0.00178956,0.315025,0.0424044,0.16581,0.130823
"9",3.29847,0.0454598,0.0327814,0.278514,0.0368304,0.189519,0.132725
"10",3.30742,-0.0249631,0.0170259,0.383347,0.0856822,0.239061,0.128539
"11",3.27971,-0.0519334,0.0275872,0.315275,0.0334006,0.262647,0.126603
"12",3.29642,-0.0228607,0.0308344,0.331283,0.023228,0.233247,0.127736
"13",3.1886,0.00206149,0.0456589,0.326272,0.0365102,0.353391,0.134538
"14",3.3127,-0.0819502,-0.0225329,0.334156,0.0831024,0.254818,0.128773
"15",3.33367,-0.0038489,-0.0119466,0.335558,0.0373934,0.154249,0.126752
"16",3.33278,-0.0204173,0.00010009,0.323847,0.0959191,0.209958,0.129362
"17",3.30773,-0.109091,0.0209947,0.263204,0.0582263,0.247218,0.131599
"18",3.2603,-0.0534065,-0.0169174,0.382636,0.0455412,0.3026,0.133365
"19",3.31904,0.00412823,0.0270087,0.270044,0.048453,0.161535,0.131675
"20",3.21898,-0.0387653,0.0630212,0.2929,0.0481783,0.34961,0.128387
"21",3.3329,0.0373306,0.0297036,0.29782,0.102947,0.164897,0.127235
"22",3.23368,0.0202713,0.0219426,0.330881,0.0542942,0.256436,0.12783
"23",3.28639,0.0407109,0.0358671,0.215513,0.062812,0.236029,0.13013
"24",3.23114,-0.0872844,0.0509762,0.360638,0.0455416,0.30549,0.126624
"25",3.3519,-0.113545,0.0354748,0.286129,0.0633405,0.202403,0.124492
"26",3.36017,-0.103005,0.0139169,0.317514,0.0505624,0.152788,0.127393
"27",3.29062,-0.0556846,-0.0282077,0.349196,0.105694,0.250228,0.136782
"28",3.24008,-0.0240898,0.0410129,0.342516,0.10303,0.312908,0.134199
"29",3.32217,-0.108429,0.0397934,0.331219,0.0661602,0.254413,0.127503
"30",3.25982,0.00608819,-0.0273063,0.390614,0.0641137,0.229159,0.131231
"31",3.29834,-0.0131702,-0.0159764,0.363468,0.0590536,0.222306,0.127605
"32",3.29943,-0.0686116,0.0107359,0.336174,0.0749486,0.255449,0.126043
"33",3.30374,0.00269082,0.0137074,0.254638,0.0703071,0.300216,0.131363
"34",3.26738,-0.00143561,-0.000450795,0.358599,0.0996975,0.233094,0.132821
"35",3.30492,0.00395995,0.0590516,0.264602,0.0471668,0.269756,0.132398
"36",3.29504,-0.0135197,0.0164754,0.329138,0.0369788,0.146359,0.134
"37",3.3349,-0.0449064,-0.0046258,0.371326,0.0791963,0.277693,0.129063
"38",3.22743,-0.0305186,0.060205,0.2526,0.0804718,0.322823,0.128828
"39",3.19749,0.0891545,0.0260071,0.308799,0.100994,0.263882,0.128044
"40",3.28502,-0.045949,-0.0047873,0.292895,0.0699901,0.252417,0.130984
"41",3.37791,0.013587,-0.00875926,0.311153,0.107051,0.102985,0.128464
"42",3.39288,-0.000669353,-0.0513105,0.360063,0.0824338,0.0798941,0.128895
"43",3.25956,-0.0198728,0.00661721,0.345694,0.08181,0.284718,0.129307
"44",3.29714,-0.015045,0.00152697,0.308458,0.0776306,0.230263,0.130209
"45",3.19964,0.0556725,0.0275769,0.265946,0.0756975,0.261037,0.129758
"46",3.23285,0.00966905,0.0654037,0.245112,0.0729602,0.267918,0.130759
"47",3.29212,-0.0192072,0.0662774,0.306881,0.120061,0.224973,0.132484
"48",3.41199,-0.0195061,-0.00927028,0.318802,0.0811492,0.1693,0.131112
"49",3.2924,-0.0806532,-0.0118927,0.381279,0.0816398,0.25792,0.134816
"50",3.36771,-0.0297111,0.00601314,0.357582,0.113938,0.161064,0.130125
"51",3.1862,0.0174524,0.0546473,0.298912,0.0537778,0.349845,0.131739
"52",3.31296,-0.0173958,0.0237887,0.283299,0.0621807,0.177936,0.127457
"53",3.2532,0.0288544,0.0156443,0.32027,0.0885773,0.254183,0.130705
"54",3.18762,0.0664507,0.0253586,0.307765,0.0990363,0.32638,0.129046
"55",3.31739,0.0034142,-0.000639918,0.254883,0.0680194,0.181623,0.127792
"56",3.31494,0.00689556,0.0450088,0.316356,0.0757825,0.214995,0.130725
"57",3.40813,-0.0643777,-0.0196347,0.273458,0.0381601,0.147711,0.138199
"58",3.15116,0.0780033,0.038388,0.276932,0.0523035,0.295326,0.128306
"59",3.2897,0.0268685,0.0445184,0.338226,0.109484,0.237816,0.127172
"60",3.24759,0.00885191,0.071157,0.246803,0.0704066,0.286542,0.133946
"61",3.37842,-0.085647,0.00814531,0.370341,0.0372489,0.200454,0.129431
"62",3.32311,-0.0102839,0.052611,0.244456,0.106192,0.271317,0.131376
"63",3.33844,-0.012364,0.0105916,0.286936,0.0682564,0.183917,0.131955
"64",3.34255,-0.0695124,0.0277446,0.319506,0.0650463,0.17901,0.133025
"65",3.26173,0.0283795,0.0149983,0.30879,0.0540654,0.240188,0.128257
"66",3.28523,-0.0280672,0.000739471,0.357831,0.0809558,0.255508,0.130874
"67",3.26956,0.0207431,0.0172131,0.337584,0.101431,0.281963,0.131136
"68",3.26955,-0.0427793,-0.00162162,0.325887,0.11418,0.274818,0.128772
"69",3.32865,-0.00241462,0.0118897,0.347941,0.060039,0.151696,0.131897
"70",3.3345,0.0239196,0.00242444,0.235761,0.0670827,0.180664,0.12645
"71",3.27824,0.0139823,-0.0242918,0.325786,0.0693426,0.225304,0.135736
"72",3.375,-0.020035,0.018993,0.268266,0.0443356,0.110936,0.128708
"73",3.2326,-0.0173941,-0.00865709,0.304453,0.0562009,0.250215,0.133512
"74",3.29617,-0.00285329,0.018615,0.318735,0.0815272,0.201484,0.131225
"75",3.29436,0.0011264,0.0276239,0.290947,0.0648922,0.225102,0.133747
"76",3.22668,0.0407355,0.0351577,0.313324,0.0705129,0.287681,0.129893
"77",3.2092,-0.0808333,0.021969,0.348906,0.0827933,0.339162,0.128438
"78",3.23273,0.0599656,0.019467,0.334654,0.0496426,0.260408,0.129539
"79",3.26286,0.135077,0.0144509,0.279297,0.0755773,0.237099,0.127217
"80",3.32253,-0.0551758,0.031039,0.302231,0.069532,0.201484,0.125275
"81",3.27066,0.0142222,0.037895,0.272071,0.0826915,0.232001,0.134751
"82",3.2381,0.0308239,0.0328807,0.285499,0.0721573,0.255175,0.132151
"83",3.28534,-0.00246108,0.00849906,0.25146,0.0959905,0.269918,0.127801
"84",3.2905,-0.00322287,0.051866,0.264563,0.0813849,0.23498,0.126817
"85",3.33363,-0.0647584,0.0364936,0.320172,0.0678912,0.185643,0.127018
"86",3.3221,0.0141611,0.021304,0.311775,0.0377461,0.157343,0.130184
"87",3.30991,-0.0593482,0.000109882,0.345887,0.0918215,0.220092,0.128689
"88",3.27992,-0.00651242,-0.0488331,0.358596,0.0904927,0.248882,0.127099
"89",3.22054,-0.0178515,0.0309833,0.284329,0.0727137,0.297709,0.125882
"90",3.27481,-0.00300151,0.0190962,0.306983,0.0828283,0.281857,0.133388
"91",3.25777,0.00543665,0.0543646,0.248441,0.0499427,0.266726,0.128846
"92",3.2778,-0.0358272,0.0417597,0.235908,0.0636219,0.263385,0.126308
"93",3.26433,0.0430811,0.0275322,0.275541,0.0519604,0.22168,0.127935
"94",3.3257,0.0315491,-0.0147359,0.28875,0.0591287,0.199301,0.13047
"95",3.28486,0.0248714,0.00610379,0.297114,0.104661,0.206454,0.129089
"96",3.34435,0.036711,0.0149252,0.2624,0.0867346,0.167112,0.130857
"97",3.35694,-0.063994,0.0162149,0.296337,0.0887564,0.217133,0.128897
"98",3.30068,-0.00965089,-0.013363,0.331991,0.0610905,0.213536,0.130095
"99",3.35068,-0.00342248,-0.00514371,0.261533,0.0385264,0.19337,0.127496
"100",3.30069,-0.0363155,0.0698397,0.24044,0.0401429,0.270957,0.129787
"101",3.25902,0.0141003,-0.044528,0.361981,0.0895304,0.245618,0.1268
"102",3.32891,0.0223274,0.0357152,0.245551,0.0572036,0.188377,0.13033
"103",3.29363,-0.00769841,-0.0129335,0.3601,0.0761917,0.211217,0.12663
"104",3.25502,-0.0247211,0.0358264,0.279297,0.0849849,0.277851,0.130606
"105",3.29802,0.0108934,0.0128087,0.329004,0.0647449,0.18797,0.130166
"106",3.32333,0.0242148,0.0481828,0.219179,0.0353712,0.197249,0.132473
"107",3.16525,0.0341257,0.085877,0.239117,0.055379,0.341811,0.131142
"108",3.19638,0.0235233,0.048119,0.335682,0.0960984,0.367357,0.131933
"109",3.34256,0.034344,0.0199931,0.273726,0.0797196,0.113468,0.12819
"110",3.32561,-0.0197042,0.0163356,0.2896,0.0623672,0.187344,0.136037
"111",3.26109,0.0395651,0.00191953,0.341177,0.04559,0.174764,0.125599
"112",3.2519,-0.00607736,0.072567,0.280637,0.0204314,0.25964,0.128008
"113",3.34804,-0.0612151,0.03333,0.232675,0.0620996,0.239541,0.127023
"114",3.27804,-0.00281761,0.00281514,0.307171,0.0895174,0.236191,0.134428
"115",3.32999,0.0344279,-0.0113574,0.266207,0.0871949,0.206279,0.131739
"116",3.32701,-0.0524132,-0.0126894,0.253479,0.0658438,0.206667,0.128963
