"","b[1]","b[2]","b[3]","b[4]","b[5]","b[6]","sigma","phi","bpvalue"
"1",3.4194,0.0324125,-0.00176411,0.284657,0.0331505,0.0782815,0.134137,0.188393,0
"2",3.39549,0.0131973,-0.00849659,0.294494,0.04134,0.136833,0.128334,0.188988,1
"3",3.20952,0.0396263,0.0318087,0.343822,0.0594626,0.277645,0.135373,0.191966,0
"4",3.23447,-0.025714,0.0176702,0.351795,0.130046,0.301307,0.131254,0.192396,0
"5",3.35772,0.00993538,-0.0191739,0.303289,0.102851,0.168384,0.134511,0.190009,0
"6",3.33602,0.106629,0.0657551,0.178282,0.0660083,0.113422,0.123003,0.195347,0
"7",3.34172,0.00316821,0.00163382,0.301087,0.0561727,0.103301,0.128973,0.191805,0
"8",3.25517,-0.00854958,-0.011233,0.361023,0.0678328,0.194356,0.132895,0.187391,1
"9",3.3477,0.00176684,0.00681658,0.338116,0.0768246,0.198982,0.131562,0.192016,0
"10",3.35148,0.00857852,0.0281956,0.264183,0.074159,0.17167,0.132045,0.192166,1
"11",3.21786,0.0839153,0.0207728,0.329097,0.0647991,0.246417,0.131084,0.195963,0
"12",3.29403,-0.0235787,0.0170202,0.336444,0.0640632,0.192902,0.125225,0.19879,0
"13",3.36429,0.014437,0.018739,0.318229,0.0734851,0.175956,0.134055,0.190666,0
"14",3.23063,0.0914866,0.0277746,0.353025,0.05646,0.244034,0.129042,0.189768,0
"15",3.31852,-0.0720424,0.0361102,0.305033,0.0605616,0.253654,0.129248,0.192495,0
"16",3.34114,0.0436146,-0.0146354,0.285995,0.0920362,0.15383,0.128781,0.195023,1
"17",3.40738,-0.0907339,-0.0229855,0.304151,0.0227377,0.117381,0.134361,0.192476,0
"18",3.31755,-0.0753554,0.0109315,0.254948,0.128304,0.230317,0.135596,0.18812,0
"19",3.31793,0.00827512,0.0365646,0.303915,0.0659005,0.215575,0.132053,0.193758,1
"20",3.23424,0.117212,0.00461963,0.327951,0.0823901,0.247526,0.130878,0.192244,0
