"","b[1]","b[2]","b[3]","b[4]","b[5]","sigma","phi"
"1",3.17854,0.636588,-0.0650034,0.109128,0.0136864,6.6548,0.302334
"2",3.36777,0.422162,-0.0710158,0.0112635,-0.108298,6.49318,0.277871
"3",3.2183,0.512437,-0.0265304,0.0269227,0.114659,6.56951,0.284288
"4",3.25101,0.567497,-0.0929854,0.118631,-0.215293,6.64359,0.279011
"5",3.27495,0.518929,-0.128072,0.050071,-0.111734,6.6754,0.293761
"6",3.35871,0.43566,-0.0746055,0.0633827,-0.0313552,6.41826,0.266004
"7",3.35228,0.448207,-0.137772,-0.00697314,-0.298731,7.37371,0.288971
"8",3.26462,0.4793,-0.0113095,0.0388535,-0.140947,6.58269,0.288951
"9",3.24937,0.483185,-0.149376,0.0571574,0.0130854,6.31525,0.275275
"10",3.25256,0.513213,-0.139246,0.109287,-0.185486,6.53248,0.261658
"11",3.3214,0.523547,-0.110476,0.0812752,-0.0763886,6.59561,0.27181
"12",3.24553,0.602094,-0.0746453,0.0372263,-0.365465,6.619,0.282252
"13",3.29405,0.50311,-0.123055,0.0114173,-0.111264,6.98305,0.275337
"14",3.25971,0.590834,-0.0768964,0.0981679,-0.0979985,6.52134,0.29832
"15",3.14925,0.67237,-0.0700613,0.158037,-0.100023,6.6757,0.276756
"16",3.2807,0.452488,-0.0744828,0.0621485,-0.231402,6.63158,0.2693
"17",3.21048,0.539277,-0.0701901,0.10087,-0.266813,7.15113,0.273286
"18",3.29881,0.498113,-0.0947267,0.0815914,-0.22825,6.54393,0.277785
"19",3.20311,0.572612,-0.121116,0.10144,-0.0477803,6.22687,0.286934
"20",3.2229,0.58524,-0.086008,0.0799748,0.1604,6.77309,0.276037
"21",3.18778,0.550668,-0.137749,0.113367,-0.0612146,6.66644,0.264495
"22",3.24829,0.55637,-0.00525412,0.116566,-0.0669263,7.06033,0.286191
"23",3.24831,0.590764,-0.0794536,0.027492,-0.2687,6.74731,0.28124
"24",3.37584,0.445328,-0.152053,0.0579757,-0.10451,6.3843,0.29151
"25",3.27527,0.4776,-0.114,0.0510687,0.0253727,6.82397,0.27994
"26",3.18134,0.498218,-0.100355,0.0594548,-0.130019,6.27263,0.272545
"27",3.24266,0.518834,-0.10658,0.113607,-0.0380944,6.2946,0.277796
"28",3.26109,0.579807,-0.0522487,0.0522522,-0.313687,6.94936,0.271906
"29",3.18941,0.637989,-0.0975313,0.108698,-0.218086,6.80189,0.281084
"30",3.17351,0.650839,-0.0865499,0.0362912,-0.164899,6.50276,0.288973
"31",3.39642,0.38813,-0.0445078,-0.0460195,-0.420932,6.65058,0.295703
"32",3.23151,0.585494,-0.0915965,0.0728162,-0.0416448,6.69482,0.282915
"33",3.20092,0.597318,-0.0633339,0.0946575,-0.11723,6.17685,0.308324
"34",3.34294,0.423083,-0.144322,0.0417595,-0.041797,6.90687,0.285845
"35",3.25057,0.523916,-0.115641,0.0342877,-0.271622,6.77218,0.271425
"36",3.31176,0.465136,-0.138798,0.0189508,-0.083714,6.92758,0.253611
"37",3.24952,0.593765,-0.0555548,0.0571229,0.130683,7.12183,0.269579
"38",3.21174,0.633573,-0.11216,0.105119,-0.215129,7.04273,0.301851
"39",3.31975,0.558772,-0.104075,0.064338,-0.351106,6.57528,0.282129
"40",3.35181,0.424861,-0.109594,0.0483728,-0.269531,6.60807,0.294087
"41",3.33477,0.418497,-0.0694529,0.0253404,-0.0855065,6.63369,0.27875
"42",3.25513,0.469783,-0.00871287,0.0842347,0.047911,6.85543,0.287597
