"","b[1]","b[2]","b[3]","b[4]","b[5]","b[6]","sigma"
"1",3.3679,0.63539,-0.0715927,-0.139527,-0.0878639,-0.113821,0.11195
"2",3.40806,0.385489,-0.0365992,-0.192591,-0.016093,0.0900959,0.111364
"3",3.4493,0.455226,-0.070677,-0.0436207,-0.0280431,-0.0733652,0.109414
"4",3.45723,0.512585,-0.0323653,-0.100497,-0.15457,-0.262383,0.116623
"5",3.30792,0.541661,-0.0663964,-0.125441,-0.0770529,0.00900666,0.10422
"6",3.32768,0.54177,0.0167415,-0.18652,-0.0495276,-0.187962,0.112249
"7",3.35574,0.548699,-0.0468159,-0.047711,-0.0203641,0.0477889,0.108988
"8",3.41344,0.418439,-0.112159,-0.0284205,-0.0615435,0.0344647,0.109954
"9",3.36081,0.555814,-0.0728234,-0.163053,-0.0805429,-0.0445347,0.108815
"10",3.35097,0.61228,-0.00914636,-0.0729776,-0.0131391,0.0147328,0.10595
"11",3.33619,0.494609,0.0304349,-0.122009,-0.0320005,0.0441937,0.110284
"12",3.36281,0.442129,-0.0589008,-0.102526,-0.0441491,-0.119897,0.104872
"13",3.28704,0.541841,-0.062093,-0.017396,-0.0709739,-0.229135,0.112342
"14",3.29088,0.737201,-0.0202827,-0.187966,-0.0604734,-0.181956,0.109101
"15",3.36601,0.763591,-0.00553733,-0.159342,-0.0478771,-0.147626,0.109646
"16",3.3858,0.558937,-0.0106171,-0.123302,-0.181318,-0.203049,0.109301
"17",3.29931,0.609925,-0.0367777,-0.087696,-0.0470578,0.235183,0.109919
"18",3.31742,0.483639,0.00722106,-0.147821,-0.0670929,0.185056,0.114658
"19",3.3833,0.554016,-0.0135178,-0.148558,-0.0812145,0.0550031,0.109798
"20",3.36848,0.507557,0.000205764,-0.136995,0.00670073,-0.00591013,0.109364
"21",3.41596,0.553233,-0.0555896,-0.12551,-0.0455053,-0.123003,0.113238
"22",3.30728,0.646017,-0.00584306,-0.0761549,-0.011203,-0.0424834,0.109397
"23",3.36094,0.481597,-0.0220539,-0.0588034,-0.0605189,-0.0190312,0.109083
"24",3.32018,0.601537,-0.0383691,-0.115981,-0.0492063,-0.0312678,0.112247
"25",3.39379,0.464806,-0.0385256,-0.0931873,-0.0865031,-0.21183,0.110113
"26",3.39395,0.483296,0.0344309,-0.123181,-0.104908,-0.240377,0.109641
"27",3.39717,0.470119,0.00180099,-0.16311,-0.0884964,-0.14189,0.109818
"28",3.32036,0.55061,-0.00517508,-0.154066,-0.0153058,-0.111951,0.108622
"29",3.38087,0.531186,-0.0881359,-0.176237,-0.0625049,-0.0815483,0.105491
"30",3.37034,0.459177,0.0321489,-0.0241655,0.0251771,0.11701,0.112556
"31",3.42619,0.524732,-0.0515745,-0.0956852,-0.0886693,-0.104083,0.10853
"32",3.32441,0.567921,-0.0322113,-0.0155109,-0.0538677,-0.101813,0.106377
"33",3.38605,0.501698,-0.0459402,-0.152299,-0.0284554,-0.107778,0.108039
"34",3.40974,0.566964,-0.070496,0.0486613,-0.061256,-0.0635186,0.111266
"35",3.37779,0.48752,-0.0120713,-0.137106,-0.110105,-0.200626,0.115152
"36",3.37711,0.565633,-0.0313692,-0.052482,-0.0297986,-0.0974152,0.110009
"37",3.3437,0.6081,-0.0637973,-0.0992519,-0.108436,-0.101906,0.110705
"38",3.33841,0.599086,0.0188396,-0.14525,-0.138438,-0.260484,0.117405
"39",3.35453,0.657105,-0.0115751,-0.09675,-0.0803283,-0.201031,0.10482
"40",3.25756,0.625978,-0.035298,-0.165505,-0.0241638,-0.0350602,0.113693
"41",3.37167,0.555442,-0.0441945,-0.148747,-0.120921,-0.203542,0.108236
"42",3.38875,0.498759,-0.0637851,-0.0269717,-0.130081,-0.202665,0.110494
"43",3.43412,0.588553,-0.00521728,-0.185693,-0.0282967,-0.276396,0.112582
"44",3.3198,0.591046,-0.0610347,0.0254245,-0.0565386,-0.160138,0.110784
"45",3.35948,0.705027,0.00366282,-0.120466,-0.0650923,-0.166341,0.117461
"46",3.31012,0.676188,-0.0567118,-0.107704,-0.0700175,0.030997,0.114261
"47",3.34223,0.423158,0.02633,-0.179569,-0.0482075,-0.208893,0.117093
"48",3.34155,0.615849,-0.0699115,-0.152316,-0.0571859,-0.209503,0.108215
"49",3.29215,0.578323,-0.0115692,-0.160124,-0.0305723,0.03761,0.110827
"50",3.40549,0.603699,-0.0211913,-0.15082,-0.0529261,-0.0964289,0.111419
"51",3.27589,0.665326,-0.0316339,-0.156518,0.00787946,-0.109962,0.114637
"52",3.35659,0.653344,-0.135472,-0.00832964,-0.0479425,0.0756395,0.113904
"53",3.41355,0.404323,-0.0531444,-0.122887,0.00722576,-0.124988,0.112645
"54",3.32367,0.720851,-0.0535963,-0.0119631,-0.087556,0.0828254,0.110236
"55",3.3277,0.70218,-0.122882,-0.0383883,-0.0693916,0.0919076,0.108545
"56",3.39597,0.546438,0.0431233,-0.206214,-0.0957471,-0.228991,0.118862
"57",3.35972,0.592611,0.00268627,-0.153428,-0.0522058,0.224105,0.110968
"58",3.38367,0.461503,-0.0173966,-0.149222,-0.0234614,0.189896,0.109744
"59",3.38354,0.625713,-0.0285498,-0.205058,-0.0437142,-0.181276,0.108263
"60",3.34729,0.488533,-0.0607064,-0.0865276,-0.0535335,0.0950997,0.106832
"61",3.34951,0.570142,0.0784399,-0.286695,-0.026299,-0.112458,0.112804
"62",3.31286,0.553965,0.0362598,-0.15131,-0.105672,-0.137605,0.107977
"63",3.34413,0.546975,0.0176874,-0.198891,-0.0480911,-0.208362,0.108708
"64",3.33895,0.57173,-0.00207604,-0.0858084,-0.0907061,-0.129229,0.104754
"65",3.42055,0.590416,0.00599048,-0.106033,-0.114622,-0.227201,0.113746
"66",3.40316,0.46424,-0.0626939,-0.0246205,0.00652446,0.107852,0.113716
"67",3.31839,0.52298,-0.0123586,-0.0204194,-0.0455887,-0.282504,0.101619
"68",3.43384,0.476793,-0.0811408,-0.113573,-0.0923482,-0.145035,0.111582
"69",3.35323,0.684908,-0.0561814,-0.0122589,-0.114434,-0.119924,0.109161
"70",3.33521,0.578225,-0.0290428,-0.0643297,-0.0248714,0.261189,0.117011
