"","b[1]","b[2]","b[3]","b[4]","b[5]","b[6]","sigma","phi","bpvalue"
"1",3.35632,0.532692,-0.0751021,0.00993586,-0.0981629,0.0264823,0.10886,0.295455,1
"2",3.3525,0.527589,-0.138735,-0.0441597,-0.0858012,0.0970906,0.109326,0.267345,1
"3",3.4458,0.495918,-0.0397481,-0.0390672,-0.10301,-0.267797,0.110143,0.268602,0
"4",3.41547,0.558031,-0.0320284,-0.120463,-0.0535456,-0.0219602,0.108304,0.274704,0
"5",3.37831,0.53253,0.0105218,-0.172745,-0.032887,-0.237613,0.116352,0.273088,0
"6",3.37839,0.388051,-0.0680885,-0.0769979,0.0242605,-0.200144,0.109733,0.292081,1
"7",3.48474,0.411917,-0.0981048,0.014869,-0.0717993,-0.336144,0.106524,0.283355,0
"8",3.42103,0.457949,0.0131258,-0.207048,-0.0571726,0.0236492,0.109996,0.272068,0
"9",3.2441,0.708341,-0.0373066,-0.17835,-0.0456917,-0.0697199,0.114883,0.282347,0
"10",3.37298,0.529014,0.00295686,-0.0479507,-0.0685715,-0.028524,0.113771,0.280143,1
"11",3.36692,0.471588,-0.013136,-0.113105,-0.0604622,0.0107391,0.105945,0.279323,0
"12",3.31369,0.579677,-0.0448505,-0.0957972,-0.0762059,-0.125544,0.11321,0.279414,1
"13",3.32287,0.565157,-0.036931,-0.182534,-0.0226881,-0.0889975,0.108909,0.277605,1
"14",3.41137,0.564082,-0.0658744,-0.0839194,-0.0515179,-0.105227,0.114332,0.292931,1
"15",3.38558,0.515818,-0.0343786,-0.0430207,-0.0945346,-0.135393,0.111975,0.260194,0
"16",3.3695,0.524025,-0.0171825,-0.218834,-0.134605,-0.195474,0.111857,0.288062,1
"17",3.38918,0.456185,-0.0814912,-0.0457819,-0.0555845,-0.0499938,0.112359,0.276673,0
"18",3.30127,0.680691,-0.105202,0.000790048,-0.0510268,0.018283,0.108837,0.285412,1
"19",3.28973,0.690646,-0.0196219,-0.103896,-0.0270777,-0.198926,0.105476,0.287647,0
"20",3.34888,0.508254,-0.0793129,-0.0476105,-0.0885456,0.025341,0.110396,0.296031,0
"21",3.30879,0.53112,-0.0984165,-0.104239,-0.0118346,-0.0026191,0.111898,0.282739,0
"22",3.33444,0.572643,-0.0667083,-0.0324505,-0.0603351,-0.321744,0.109634,0.272649,0
"23",3.36217,0.612453,-0.0117632,-0.259886,-0.0162605,-0.0380247,0.110595,0.274544,1
"24",3.38127,0.578249,0.0121434,-0.168693,-0.106861,-0.319963,0.105649,0.306161,1
"25",3.27883,0.661631,-0.00903752,-0.153761,-0.0741904,-0.0848373,0.105267,0.275095,0
"26",3.33106,0.576072,-0.0483254,-0.0221188,-0.0642822,-0.0821982,0.111171,0.278188,1
"27",3.3901,0.581826,-0.00983394,-0.25333,-0.0598676,-0.192409,0.109548,0.277263,0
"28",3.39145,0.531893,0.0165936,-0.150187,-0.052274,-0.122071,0.109145,0.277719,1
"29",3.3663,0.597409,-0.0259604,-0.0219973,-0.050896,0.0322943,0.107429,0.279079,0
"30",3.3705,0.61918,0.0927784,-0.158666,0.0155908,-0.0896237,0.113897,0.271242,0
"31",3.33397,0.60309,0.0659619,-0.166841,-0.00622653,-0.264924,0.108244,0.294503,1
"32",3.40646,0.438075,-0.0673628,-0.12317,-0.0336,-0.0259735,0.111717,0.278863,1
"33",3.43504,0.490573,-0.015328,-0.130964,-0.072492,-0.166552,0.10957,0.274499,1
"34",3.27357,0.783303,-0.0307264,-0.0262534,-0.0325352,-0.260835,0.112337,0.274434,1
"35",3.40904,0.606132,-0.0288055,-0.20925,-0.106672,-0.390812,0.113149,0.284223,1
"36",3.37597,0.514059,0.00179704,-0.138294,-0.115629,-0.112491,0.103763,0.290141,1
"37",3.40118,0.464115,-0.0586286,-0.0121246,-0.0947532,-0.281078,0.106419,0.282244,0
"38",3.39841,0.484353,-0.0471861,-0.0402421,-0.00944355,-0.195551,0.107309,0.284183,0
"39",3.41492,0.66889,-0.0514184,-0.059996,-0.0790542,-0.255099,0.106884,0.280931,0
"40",3.30151,0.646671,-0.042432,-0.140602,-0.0751177,-0.131541,0.109284,0.291342,1
"41",3.32067,0.598729,-0.0188526,-0.0841017,-0.0372672,0.0650897,0.114941,0.274962,1
"42",3.38418,0.530213,-0.025223,-0.0607739,-0.107853,-0.0435285,0.101539,0.286289,1
"43",3.31976,0.637195,0.000799225,-0.00370032,-0.070578,-0.128442,0.108048,0.267836,1
