"","b[1]","b[2]","b[3]","b[4]","b[5]","b[6]","sigma"
"1",3.81652,0.31125,0.401297,-0.192242,0.22259,-0.596315,0.122196
"2",3.85813,0.308819,0.402169,-0.160037,0.193518,-0.652924,0.127535
"3",3.81534,0.377613,0.326502,0.0721914,0.227277,-0.609791,0.122763
"4",3.81804,0.378278,0.28745,-0.0541471,0.226389,-0.602554,0.124338
"5",3.75001,0.342831,0.345315,-0.0304715,0.259306,-0.613135,0.125305
"6",3.89311,0.321955,0.352997,-0.0233973,0.204841,-0.69962,0.127093
"7",3.9833,0.133944,0.373386,-0.0839158,0.258086,-0.764591,0.127331
"8",3.83656,0.389468,0.333159,-0.0857897,0.271261,-0.64432,0.117119
"9",3.76552,0.34334,0.388079,-0.153664,0.141781,-0.571242,0.121423
"10",3.82349,0.356913,0.406798,-0.0788463,0.254096,-0.682424,0.121272
"11",3.84627,0.364455,0.445584,-0.0991481,0.167875,-0.678398,0.125144
"12",3.88753,0.2125,0.312482,-0.0685853,0.191005,-0.659388,0.134733
"13",3.88596,0.384176,0.341052,-0.0540721,0.232782,-0.663395,0.130138
"14",3.97113,0.349544,0.327854,0.0720895,0.312562,-0.784319,0.123792
"15",3.97215,0.223941,0.382004,-0.117953,0.162693,-0.81576,0.122648
"16",3.90034,0.281363,0.380601,-0.13194,0.26418,-0.729727,0.123179
"17",3.73826,0.377798,0.400148,-0.150364,0.25089,-0.598962,0.124729
"18",3.8074,0.395526,0.374369,-0.134695,0.232611,-0.558713,0.123687
"19",3.86585,0.245238,0.379628,-0.0661597,0.220313,-0.676783,0.128629
"20",3.79151,0.433002,0.344465,-0.119139,0.236821,-0.628564,0.122256
"21",3.76405,0.431857,0.411301,-0.228312,0.195259,-0.709765,0.118133
"22",3.7857,0.290662,0.387224,-0.139542,0.243641,-0.559528,0.128479
"23",3.8101,0.337488,0.321434,-0.0851027,0.186837,-0.670915,0.124935
"24",4.03982,0.221087,0.396544,-0.124611,0.249722,-0.827809,0.123379
"25",3.83179,0.341394,0.381624,-0.0611063,0.209369,-0.597581,0.138669
"26",3.92666,0.342228,0.296911,-0.0301506,0.263763,-0.723137,0.120776
"27",3.77356,0.450815,0.313076,-0.0589709,0.278548,-0.569528,0.125076
"28",3.93557,0.300733,0.337589,0.0735456,0.27541,-0.710835,0.117402
"29",3.85621,0.459855,0.364741,-0.0373213,0.210419,-0.768958,0.121662
"30",3.86218,0.289546,0.300081,0.0356595,0.276517,-0.563847,0.13427
"31",3.84689,0.344198,0.334709,-0.0924677,0.223495,-0.633716,0.134231
"32",3.82373,0.325022,0.381014,-0.048709,0.246424,-0.70135,0.125656
"33",3.74319,0.352371,0.389243,-0.145499,0.221837,-0.59688,0.122132
"34",3.7427,0.457429,0.375241,-0.0264997,0.205077,-0.54997,0.124895
"35",3.85204,0.460394,0.40774,-0.0441582,0.199477,-0.699965,0.130177
"36",3.81033,0.264167,0.304865,0.0722519,0.207364,-0.567771,0.134366
"37",3.86474,0.213008,0.312895,0.0480252,0.240801,-0.620277,0.12442
"38",3.83062,0.43837,0.36373,-0.124439,0.220031,-0.587323,0.130622
"39",3.8025,0.272321,0.372771,-0.0788642,0.235214,-0.521537,0.12665
"40",3.79089,0.364131,0.275745,0.0333164,0.213388,-0.620817,0.121478
"41",3.96507,0.303409,0.398789,0.0309547,0.256982,-0.790922,0.124199
"42",3.81974,0.296313,0.497708,-0.149968,0.1437,-0.672753,0.121452
"43",4.0133,0.207591,0.41073,-0.177774,0.192428,-0.713672,0.12909
"44",3.88878,0.130745,0.401533,-0.0305239,0.205754,-0.646001,0.133983
"45",3.93769,0.343873,0.369554,-0.0817151,0.185247,-0.728394,0.129018
"46",3.83865,0.326788,0.361171,-0.165088,0.196849,-0.694265,0.130449
"47",3.86858,0.24003,0.34852,-0.0200987,0.269021,-0.572943,0.129355
"48",3.75375,0.380225,0.315533,-0.00673032,0.250883,-0.538625,0.124823
"49",3.75077,0.378705,0.315557,-0.1001,0.189545,-0.467016,0.127994
"50",3.85616,0.276446,0.382886,-0.14815,0.261353,-0.615345,0.121746
"51",3.94766,0.36286,0.359017,-0.156654,0.263127,-0.719624,0.126377
"52",4.02952,0.250073,0.422777,-0.0391017,0.260625,-0.87611,0.118009
"53",3.93223,0.238486,0.42132,-0.0870855,0.204181,-0.787354,0.129845
"54",3.97064,0.246404,0.413648,-0.0765995,0.273074,-0.799872,0.128647
"55",3.98208,0.319728,0.351686,0.030858,0.225437,-0.752894,0.123129
"56",3.91605,0.255156,0.425878,-0.0598678,0.227136,-0.724305,0.123181
"57",3.92688,0.247337,0.393602,-0.119497,0.178259,-0.658773,0.124293
"58",3.71761,0.361856,0.34169,-0.151265,0.187643,-0.494946,0.119816
"59",3.8406,0.317658,0.437583,-0.225394,0.245993,-0.620995,0.131275
"60",3.91051,0.311384,0.43731,-0.070266,0.225234,-0.683262,0.126852
"61",3.74922,0.396858,0.268018,0.00706515,0.227106,-0.474434,0.124314
"62",4.00802,0.230207,0.33759,-0.0659453,0.234501,-0.747108,0.128645
"63",3.84326,0.228515,0.401014,-0.0820334,0.192482,-0.532155,0.128131
"64",3.96401,0.142259,0.358741,-0.16274,0.24061,-0.700554,0.121623
