"","b[1]","b[2]","b[3]","b[4]","b[5]","sigma","phi"
"1",3.30896,0.00458117,0.183505,0.0524336,0.223021,7.77041,0.188048
"2",3.29153,0.0963824,0.180427,0.0576265,0.17737,7.66654,0.190661
"3",3.29113,0.026146,0.144654,0.0807096,0.220984,7.55555,0.191053
"4",3.24786,0.105074,0.188979,0.0683804,0.223921,7.87108,0.190233
"5",3.3442,0.0313197,0.126902,0.0547705,0.1979,7.94244,0.198083
"6",3.23546,0.0555571,0.178781,0.0694455,0.294881,7.66764,0.195159
"7",3.35083,0.00793153,0.148132,0.0802931,0.204392,7.75813,0.196614
"8",3.37586,0.0330912,0.157735,0.0596567,0.184373,7.64019,0.19348
"9",3.36511,0.0175019,0.147724,0.0672511,0.150604,7.81143,0.193869
"10",3.25916,0.00462652,0.176994,0.0599096,0.256724,7.5908,0.1923
"11",3.21591,0.0962651,0.194897,0.0524899,0.351392,7.64494,0.196316
"12",3.19081,0.119281,0.200651,0.0516444,0.30109,7.63361,0.181426
"13",3.33561,0.0613751,0.138718,0.0590296,0.155451,7.85408,0.190431
"14",3.24412,0.19187,0.12246,0.0829535,0.194697,7.86915,0.193451
"15",3.3036,0.10858,0.152933,0.0406866,0.205644,7.93157,0.198056
"16",3.24338,0.143236,0.148925,0.0344405,0.184611,7.45073,0.189466
"17",3.31712,0.0449458,0.137012,0.0396547,0.194803,7.813,0.195418
"18",3.36024,0.115346,0.139683,0.0573763,0.122618,7.73546,0.190257
"19",3.32229,0.0824449,0.148318,0.0609756,0.165722,7.69155,0.184046
"20",3.32136,0.0074865,0.159541,0.0438768,0.205256,7.62386,0.188315
"21",3.30431,0.0300574,0.15233,0.0584873,0.208908,7.93846,0.192593
"22",3.34428,0.0586234,0.147665,0.0224709,0.134509,7.76519,0.191434
"23",3.24798,0.103576,0.144373,0.0843465,0.221989,7.86437,0.196369
"24",3.22991,0.062835,0.182693,0.0558235,0.257482,8.0969,0.192669
"25",3.26019,0.0383235,0.183735,0.0814573,0.243955,7.70375,0.192549
"26",3.33681,0.0685402,0.136881,0.0496066,0.139532,7.69981,0.193615
"27",3.23504,0.0973514,0.183638,0.05035,0.278604,7.7217,0.191233
"28",3.26129,0.107926,0.152903,0.0575536,0.2507,7.5826,0.197939
"29",3.33334,-0.00342621,0.154455,0.0730375,0.178985,7.81059,0.190429
"30",3.25398,0.0476667,0.198087,0.0437259,0.268696,7.76089,0.193753
"31",3.23145,0.0430089,0.180593,0.0980708,0.311965,7.77074,0.194637
"32",3.2338,0.103786,0.166381,0.0410444,0.270522,7.65322,0.189621
"33",3.29294,0.0866362,0.113024,0.0197794,0.165075,7.70782,0.19117
"34",3.41233,0.0247516,0.154806,0.0255583,0.0980196,7.74602,0.191199
"35",3.30061,0.109233,0.116539,0.0203071,0.180714,7.79106,0.18821
"36",3.30005,0.0718384,0.13112,0.0323229,0.191,7.78511,0.199738
"37",3.36483,0.0727806,0.1419,0.0687614,0.122278,7.59566,0.194717
"38",3.29789,0.0209263,0.170178,0.0650586,0.170998,7.72335,0.196093
"39",3.31492,0.126709,0.179011,0.0272456,0.139777,7.83729,0.192828
"40",3.29038,0.117466,0.181477,0.092986,0.230551,7.92354,0.192671
"41",3.30609,0.0420638,0.138347,0.0734164,0.188214,7.61543,0.19008
"42",3.25637,0.0822965,0.105729,0.0830622,0.254669,7.91962,0.19811
"43",3.30143,0.0799366,0.104663,0.0341532,0.185115,7.89918,0.188351
"44",3.3106,0.0672734,0.172787,0.0673325,0.194413,7.75751,0.1967
"45",3.29271,0.0606691,0.135536,0.061537,0.218198,7.80606,0.196095
"46",3.27711,0.135436,0.125862,0.0596902,0.143854,7.78109,0.189972
"47",3.30798,0.0344117,0.155497,0.0641998,0.194191,7.68643,0.190626
"48",3.31474,0.0339462,0.13405,0.0645217,0.218898,7.89586,0.188219
"49",3.26062,0.0325932,0.149052,0.0418645,0.243741,7.43425,0.191804
"50",3.23689,0.0432438,0.197285,0.0332916,0.288203,7.8184,0.188896
"51",3.37368,0.0376882,0.148046,0.0801161,0.124406,7.58917,0.197316
"52",3.34243,-0.0338612,0.171203,0.0323894,0.216216,7.69946,0.197686
"53",3.30585,0.102179,0.167139,0.0348443,0.175637,7.78014,0.187401
"54",3.30933,0.0853374,0.134287,0.052088,0.194184,8.22884,0.188701
"55",3.29528,0.066896,0.137367,0.0634859,0.203777,7.55099,0.19676
"56",3.37306,0.0716175,0.131697,0.0364636,0.115028,7.67314,0.187488
"57",3.33373,0.039431,0.147461,0.0622806,0.198674,7.36777,0.18451
"58",3.35936,0.00842309,0.147709,-0.00344078,0.13209,7.68992,0.184586
"59",3.24387,0.10541,0.173927,0.0797743,0.274753,7.49784,0.197472
"60",3.31842,0.0897028,0.16631,0.0572341,0.141011,7.5157,0.203407
"61",3.33999,0.0494844,0.150512,0.0631029,0.138356,7.67867,0.193028
"62",3.33501,-0.02945,0.15375,0.0923501,0.208916,7.93477,0.200293
"63",3.30471,0.0643618,0.170025,0.057707,0.156302,7.77531,0.183828
"64",3.18362,0.191315,0.150026,0.101824,0.353983,7.72884,0.198868
"65",3.22295,0.133372,0.128494,0.0537921,0.236927,7.78211,0.196103
"66",3.23063,0.0775291,0.155082,0.0930731,0.294562,7.98574,0.191866
"67",3.30656,0.103836,0.155414,0.0797373,0.239103,7.7426,0.19411
"68",3.28568,0.103749,0.149396,0.0516724,0.183902,7.77429,0.195246
"69",3.35515,0.0730688,0.106035,0.111539,0.142348,7.66091,0.196411
"70",3.34679,0.0451617,0.145055,0.0684466,0.199823,8.06267,0.185569
"71",3.29818,0.11775,0.141813,0.0896496,0.189386,7.62141,0.192461
"72",3.24315,0.119349,0.17216,0.0946572,0.265378,7.86901,0.196105
"73",3.32161,0.031746,0.112954,0.0692432,0.16665,7.80908,0.200155
"74",3.20247,0.100064,0.185711,0.0425766,0.275674,7.86225,0.189342
"75",3.2644,0.0831947,0.142449,0.041658,0.225213,7.8158,0.188527
"76",3.34173,-0.0207414,0.140293,0.0736148,0.198716,7.82103,0.183276
"77",3.27332,0.0778647,0.148761,0.0669584,0.221973,7.73363,0.188401
"78",3.22564,0.0853369,0.179435,0.084842,0.265207,7.94433,0.18457
"79",3.34409,0.02769,0.171105,0.0477747,0.159973,7.69145,0.195551
"80",3.30958,0.0145312,0.162354,0.0203744,0.177563,7.60007,0.18823
"81",3.28392,0.127108,0.17259,0.0501028,0.20195,7.93592,0.196122
"82",3.24044,0.0356014,0.146214,0.0916075,0.299886,7.6062,0.190266
"83",3.39225,0.0620284,0.111634,0.0469993,0.132127,7.59906,0.187859
"84",3.2721,0.0289404,0.168782,0.103918,0.274239,7.71313,0.198552
"85",3.30031,0.15469,0.119471,0.0293836,0.148559,7.88394,0.197472
"86",3.35089,0.0760406,0.131539,0.0528821,0.157777,7.96774,0.185054
"87",3.22359,0.0944474,0.154224,0.109418,0.26622,7.90098,0.1869
"88",3.32216,0.116405,0.119834,0.083482,0.172015,7.68024,0.199256
"89",3.29971,0.0969916,0.124978,0.0558265,0.145836,7.69762,0.1951
"90",3.24265,0.15396,0.158377,0.0700423,0.251573,7.94448,0.187498
"91",3.31221,0.0397068,0.147293,0.0571704,0.190782,7.75359,0.191166
"92",3.26294,0.0382192,0.168962,0.0373131,0.224455,7.69773,0.193746
"93",3.26197,0.152128,0.119044,0.110403,0.240341,7.70402,0.197212
"94",3.31203,0.118737,0.169695,0.0338236,0.176702,7.70151,0.185718
"95",3.28166,0.0434445,0.156718,0.051794,0.222,7.71844,0.182366
"96",3.31353,0.119981,0.125758,0.0276917,0.126311,8.10092,0.19172
"97",3.283,0.0107088,0.165989,0.0531289,0.258262,7.52554,0.185659
"98",3.30527,0.018895,0.190549,0.0494507,0.25108,7.66582,0.188454
"99",3.31191,0.132564,0.103897,0.0565104,0.165546,7.55715,0.207881
"100",3.38797,0.0906284,0.126419,0.0591001,0.0738816,7.63265,0.192487
"101",3.2499,0.0715598,0.155434,0.0618771,0.264395,8.00405,0.192547
"102",3.33628,0.0330535,0.156956,0.0225299,0.134973,7.76138,0.195109
"103",3.26598,0.0506172,0.123528,0.0701892,0.301515,7.78247,0.19367
"104",3.18576,0.108889,0.161761,0.0159447,0.264097,7.72046,0.190403
"105",3.34256,-0.0285178,0.149634,0.10163,0.204612,7.81189,0.190152
"106",3.33996,0.0377477,0.124296,0.0180985,0.1757,7.70409,0.189507
"107",3.32386,0.00382734,0.129213,0.066187,0.19568,7.82984,0.188394
"108",3.28859,0.104832,0.112022,0.0797734,0.199575,7.77654,0.200649
"109",3.32433,0.119309,0.153461,0.0630508,0.144804,7.46145,0.184518
"110",3.32565,0.134989,0.159,0.0839358,0.172101,7.56302,0.192371
"111",3.34484,0.00192522,0.168281,0.0669401,0.170111,7.69929,0.197664
"112",3.25835,0.0485258,0.166663,0.0639358,0.271834,7.9467,0.191446
"113",3.30735,0.0462127,0.141963,0.0309346,0.227422,7.80932,0.189377
"114",3.26936,0.0643971,0.142281,0.0487711,0.192906,7.74162,0.193225
"115",3.31966,0.0977395,0.143992,0.077257,0.135694,7.78802,0.18284
"116",3.24128,0.191044,0.138592,0.0382613,0.215662,7.9932,0.196559
"117",3.29928,0.153671,0.130793,0.0693173,0.156489,7.56426,0.194985
"118",3.23249,0.131322,0.14989,0.0719187,0.236534,7.54323,0.183875
"119",3.30333,0.111099,0.152441,0.0464927,0.173184,7.98487,0.190752
"120",3.26532,0.132126,0.136184,0.0774955,0.196962,7.93041,0.196943
"121",3.2691,0.135847,0.144223,0.0823356,0.231797,7.68505,0.193586
"122",3.34498,0.0971686,0.12376,0.0638775,0.123823,7.83559,0.201208
"123",3.27793,0.0705974,0.15213,0.0656723,0.201613,7.71018,0.188709
"124",3.32423,0.0254665,0.170941,0.0492321,0.174748,8.13904,0.200369
"125",3.25369,0.0997773,0.188682,0.0688262,0.211941,7.63772,0.186856
"126",3.2384,0.14438,0.121818,0.0876199,0.236779,7.73616,0.192843
"127",3.26983,0.0990821,0.170556,0.0380474,0.21342,7.55187,0.187449
"128",3.31629,0.0675035,0.153351,0.0709207,0.179219,7.64133,0.183856
"129",3.31441,0.000859281,0.175022,0.0572055,0.204987,7.56245,0.193736
"130",3.29136,0.0639244,0.140572,0.0240538,0.216152,7.78108,0.187962
"131",3.30871,0.0547898,0.151787,0.0685229,0.147041,7.61127,0.194699
"132",3.30748,0.0294981,0.187917,0.0392037,0.170471,7.39357,0.196774
"133",3.3217,0.0156483,0.142345,0.0990005,0.22885,7.95595,0.191669
"134",3.23377,0.13616,0.141276,0.0487897,0.251137,7.83787,0.198342
"135",3.37964,0.0571727,0.118951,0.0647654,0.078082,8.27238,0.187643
"136",3.30172,0.112406,0.187086,0.0477332,0.129896,7.68271,0.200832
"137",3.29295,0.175521,0.112066,0.0437116,0.123849,7.79175,0.181594
"138",3.38494,0.0746646,0.130056,0.0629543,0.065407,7.81744,0.179152
"139",3.29211,0.0743384,0.151549,0.0763453,0.199025,7.63233,0.193469
"140",3.25509,0.0252881,0.154964,0.072487,0.245309,7.62394,0.196474
"141",3.28488,0.0730962,0.117249,0.101355,0.287261,7.73519,0.199637
"142",3.30112,0.0137367,0.152332,0.0510589,0.218392,7.71941,0.196016
"143",3.31269,-0.00219584,0.14891,0.0389689,0.236345,8.02058,0.197356
"144",3.32773,0.0870417,0.14328,0.0683514,0.132461,7.66818,0.180709
"145",3.40894,0.0305122,0.151122,0.0652621,0.122475,7.71809,0.192045
"146",3.30012,0.0260004,0.165193,0.0571748,0.249325,8.02065,0.189043
"147",3.25362,-0.00268564,0.173221,0.0778852,0.250416,7.42262,0.195225
"148",3.39017,0.0583074,0.115322,0.0652711,0.1195,7.80473,0.192042
"149",3.31584,0.0308244,0.131995,0.0424571,0.233684,7.68583,0.197563
"150",3.36031,0.0631349,0.143653,0.0767583,0.174941,7.85718,0.193583
"151",3.32724,0.0213506,0.158811,0.0393712,0.204196,7.97058,0.202678
"152",3.30741,0.0914745,0.113638,0.0675254,0.154426,7.56889,0.201792
"153",3.20134,0.132097,0.188394,0.105914,0.267075,7.75678,0.189731
"154",3.3843,-0.0141086,0.157393,0.0792065,0.122418,7.62034,0.201631
"155",3.24774,0.131394,0.177787,0.070283,0.269337,7.83851,0.194842
"156",3.29801,0.00374467,0.181757,0.0536015,0.24172,7.81418,0.18413
"157",3.30512,0.0469369,0.155784,0.013731,0.24079,7.69807,0.183777
"158",3.3049,0.0733375,0.124455,0.0669508,0.168151,7.98797,0.186144
"159",3.26755,0.0749697,0.158773,0.0763381,0.216581,7.92585,0.196126
"160",3.27151,0.0288357,0.154509,0.0524201,0.233946,7.75986,0.180639
"161",3.28254,0.0392862,0.173216,0.0843336,0.240139,7.73483,0.192659
"162",3.24123,0.0297755,0.155887,0.0546953,0.263335,7.74284,0.190694
"163",3.2562,0.0978403,0.15726,0.0591586,0.292532,7.77773,0.19463
"164",3.35399,0.124569,0.122064,0.041542,0.111901,7.83327,0.188396
"165",3.38252,0.0382826,0.121507,0.0455861,0.103794,7.70793,0.20399
"166",3.3702,0.0400342,0.170527,0.0387354,0.140547,7.73193,0.189512
"167",3.35334,0.056669,0.141734,0.0608034,0.196954,7.68613,0.189734
"168",3.27936,0.0897694,0.160002,0.057552,0.218148,7.96881,0.186077
