"","b[1]","b[2]","b[3]","b[4]","b[5]","sigma","phi"
"1",3.74371,0.431073,0.33277,0.24644,-0.582732,7.45201,0.262755
"2",3.8562,0.41852,0.336388,0.212389,-0.659738,7.85369,0.29031
"3",3.86085,0.33207,0.368076,0.197462,-0.669856,7.63544,0.274227
"4",3.7841,0.526948,0.397807,0.263242,-0.627292,7.49436,0.268413
"5",3.78216,0.3626,0.29588,0.232433,-0.594552,7.53723,0.265708
"6",3.85216,0.377406,0.39135,0.246559,-0.689588,7.4116,0.284183
"7",3.83341,0.324426,0.37579,0.206346,-0.704489,7.61305,0.26241
"8",3.82782,0.395787,0.403346,0.275365,-0.667792,7.91382,0.270138
"9",3.94266,0.329483,0.305068,0.26598,-0.836988,7.40643,0.263594
"10",3.77903,0.310393,0.30334,0.293541,-0.625758,7.72248,0.270925
"11",3.8589,0.336809,0.345623,0.293,-0.717293,7.55857,0.26613
"12",3.82934,0.19069,0.334971,0.229036,-0.646172,7.48042,0.258943
"13",3.81524,0.309353,0.296429,0.205584,-0.588544,7.92201,0.279372
"14",3.76896,0.259561,0.318126,0.235465,-0.552849,7.86347,0.270157
"15",3.82076,0.320849,0.270831,0.234368,-0.633582,7.58836,0.276753
"16",3.96112,0.256159,0.313831,0.245897,-0.76043,7.53319,0.256963
"17",3.95548,0.331623,0.369779,0.235886,-0.8149,7.05908,0.253336
"18",3.91902,0.253908,0.363008,0.290271,-0.733111,7.39779,0.256775
"19",3.93122,0.238517,0.37809,0.161946,-0.710701,7.40737,0.264642
"20",3.76383,0.389715,0.40787,0.225742,-0.622571,7.19632,0.262068
"21",3.78505,0.273948,0.367378,0.173799,-0.516059,7.69657,0.276298
"22",3.75357,0.286822,0.363371,0.328511,-0.610623,7.36546,0.293409
"23",3.95509,0.34249,0.335966,0.253325,-0.810736,7.32335,0.292664
"24",3.88211,0.343297,0.375688,0.132329,-0.694194,7.85616,0.274642
"25",3.83709,0.350819,0.31217,0.257834,-0.679232,7.71191,0.272426
"26",3.87373,0.362022,0.32537,0.187836,-0.702597,7.80466,0.277651
"27",3.67656,0.448197,0.391206,0.226689,-0.525107,7.48872,0.279525
"28",3.89731,0.422959,0.325814,0.254275,-0.767892,7.6579,0.282948
"29",3.90471,0.26227,0.347634,0.19208,-0.654039,7.8977,0.248172
"30",3.75118,0.247201,0.355782,0.208769,-0.514052,7.83117,0.261948
"31",3.87839,0.295491,0.321705,0.230293,-0.587897,7.00161,0.272835
"32",3.8006,0.478936,0.289479,0.230072,-0.602896,7.30843,0.293328
"33",3.83915,0.405458,0.347398,0.27137,-0.656801,8.10763,0.267414
"34",3.82871,0.483286,0.349128,0.229342,-0.63023,7.75524,0.268471
"35",3.87022,0.323365,0.397743,0.1485,-0.668853,7.17386,0.251161
"36",3.94383,0.257894,0.382789,0.223101,-0.724207,7.46343,0.259838
"37",3.78879,0.250164,0.353036,0.248304,-0.527624,7.41706,0.259021
"38",3.82034,0.351186,0.372739,0.265338,-0.6121,7.24712,0.265663
"39",3.86377,0.269219,0.383251,0.177283,-0.606058,7.47036,0.270876
"40",3.85364,0.413645,0.340695,0.238233,-0.719381,7.82833,0.281376
"41",3.89454,0.267383,0.362421,0.228347,-0.701258,7.348,0.264921
"42",3.69091,0.357272,0.339196,0.264767,-0.44981,7.56594,0.265565
"43",3.83863,0.310912,0.344159,0.198798,-0.631534,7.55316,0.284252
"44",3.80621,0.350483,0.310092,0.27393,-0.588351,7.52895,0.293815
"45",3.97902,0.359863,0.370766,0.235363,-0.721639,7.74702,0.268673
"46",4.04393,0.158831,0.3066,0.18621,-0.809722,7.65578,0.268577
"47",3.76327,0.464644,0.341115,0.284067,-0.569625,8.09695,0.264831
"48",3.99958,0.312628,0.313513,0.257514,-0.794484,7.36375,0.278179
"49",3.75998,0.484472,0.335821,0.20516,-0.564853,7.49796,0.257837
"50",3.94835,0.284984,0.317148,0.218803,-0.714329,7.61847,0.263313
