"","b[1]","b[2]","b[3]","b[4]","b[5]","sigma","phi"
"1",4.00468,0.149352,0.347423,0.274402,-0.876839,7.2734,0.264423
"2",4.08475,0.0336643,0.379698,0.244695,-0.84839,7.28907,0.268175
"3",3.94468,0.136656,0.374577,0.273796,-0.74504,7.79858,0.258246
"4",3.95906,0.101344,0.32197,0.207666,-0.772269,7.54478,0.274915
"5",3.93836,0.137203,0.35651,0.241199,-0.809442,7.64565,0.262302
"6",4.01589,0.0855979,0.349316,0.190529,-0.830507,7.9963,0.269368
"7",3.95153,0.180529,0.440414,0.20298,-0.80583,7.58074,0.272919
"8",3.92324,0.159113,0.351895,0.256827,-0.689267,7.01812,0.259839
"9",3.90952,0.164727,0.359183,0.224407,-0.68045,7.20669,0.262766
"10",3.86057,0.209736,0.348241,0.28548,-0.699197,7.28796,0.276369
"11",3.94231,0.153675,0.385636,0.245547,-0.795952,6.97683,0.280007
"12",3.90553,0.140939,0.281678,0.283834,-0.757709,7.30349,0.257636
"13",3.89526,0.237589,0.337936,0.222336,-0.760638,7.71403,0.274573
"14",4.0357,0.101179,0.248062,0.343789,-0.825502,7.54593,0.2899
"15",3.89738,0.0748644,0.246983,0.277684,-0.666341,7.49031,0.270383
"16",4.10926,0.0390467,0.316466,0.21874,-0.911252,7.77233,0.264684
"17",4.01288,-0.0492643,0.275501,0.23197,-0.707497,7.60878,0.272565
"18",3.9666,0.0547058,0.32982,0.252347,-0.736668,7.88062,0.25663
"19",4.04257,0.0466398,0.366858,0.220746,-0.796719,7.66447,0.271
"20",3.77647,0.200991,0.273742,0.227285,-0.627311,7.31599,0.274448
"21",3.86239,0.156033,0.346442,0.243141,-0.600278,7.28304,0.276645
"22",3.99447,0.0713936,0.374571,0.218966,-0.802664,7.74605,0.262956
"23",3.97846,0.0648894,0.297029,0.270535,-0.748789,7.41323,0.27194
"24",4.09142,0.102362,0.344534,0.258522,-0.798963,7.71579,0.259501
