"","b[1]","b[2]","b[3]","b[4]","b[5]","sigma[1]","sigma[2]","phi"
"1",-4.73206,0.326559,0.387659,0.427765,-1.07786,7.40324,94.2304,0.268283
"2",-4.99172,0.300304,0.458969,0.396851,-0.70976,7.64689,431.659,0.267993
"3",-4.62027,0.00669069,0.316672,0.534208,-0.994301,7.08441,182.924,0.264484
"4",-4.93232,0.38775,0.276684,0.385147,-0.776452,7.17026,164.708,0.260288
"5",-4.94674,0.242775,0.287939,0.456596,-0.740065,7.29373,244.833,0.279199
"6",-5.05297,0.283627,0.227733,0.429017,-0.663179,7.4215,250.884,0.254433
"7",-5.21501,0.276453,0.30803,0.421124,-0.595896,7.71346,75.6431,0.265077
"8",-4.93684,0.0628488,0.294547,0.464976,-0.864993,7.52815,204.487,0.2516
"9",-5.14048,0.247101,0.375857,0.400723,-0.648182,7.2079,252.971,0.272669
"10",-4.83671,0.248745,0.407817,0.327477,-1.09642,7.3552,395.925,0.263622
"11",-4.9151,0.175027,0.311213,0.402392,-0.859157,7.86804,184.547,0.268449
"12",-4.61804,0.215179,0.460709,0.394751,-1.1548,7.52133,1399.14,0.248282
"13",-4.704,0.285012,0.37584,0.481691,-0.998169,7.3681,173.476,0.267113
"14",-4.85357,0.230856,0.395199,0.338865,-0.83603,7.23667,491.045,0.282889
"15",-4.92421,0.294247,0.327889,0.397682,-0.918024,7.28692,213.792,0.269555
"16",-4.94213,0.188602,0.344401,0.462382,-0.806059,7.93368,179.188,0.25644
"17",-4.78533,0.200505,0.209207,0.310974,-1.02911,7.48435,143.797,0.277474
"18",-5.01118,0.225043,0.421979,0.370444,-0.832304,7.62493,293.872,0.253838
"19",-4.79407,0.305743,0.282414,0.342308,-0.854329,7.48429,4112.62,0.274893
"20",-5.18218,0.262954,0.246389,0.383754,-0.537302,7.6268,240.096,0.26143
"21",-5.04124,0.392475,0.216191,0.486991,-0.749822,7.43934,48.724,0.262225
"22",-4.71954,0.125524,0.311167,0.384522,-1.07718,7.47261,84.9656,0.260329
"23",-4.77697,0.221103,0.372688,0.383233,-0.974248,7.59265,251.288,0.266722
"24",-4.68855,0.193933,0.350484,0.373564,-1.18138,7.17388,80.7857,0.279247
"25",-5.04076,0.223789,0.420288,0.530175,-0.757463,7.54502,164.043,0.268837
"26",-5.00913,0.295048,0.376149,0.431191,-0.687808,7.8848,845.43,0.241625
"27",-5.02024,0.153336,0.267581,0.516445,-0.69044,7.46101,676.625,0.258974
"28",-4.8362,0.297961,0.253908,0.390857,-1.03538,7.45292,549.662,0.272978
"29",-4.82307,0.364889,0.300323,0.422442,-1.1729,7.25788,136.732,0.252369
"30",-4.84116,0.348951,0.408089,0.367413,-1.17034,7.56427,231.114,0.273636
"31",-4.9619,0.214236,0.408856,0.4007,-0.859642,7.69562,465.108,0.268332
"32",-4.73461,-0.0149538,0.386809,0.458108,-1.14482,7.52782,153.795,0.244307
"33",-5.04413,0.39234,0.347632,0.463077,-0.748279,7.62647,293.146,0.284372
"34",-5.00661,0.099947,0.254001,0.403306,-0.84131,7.97756,86.1582,0.265237
"35",-4.94437,0.25994,0.328868,0.441697,-0.934658,7.65498,145.589,0.267647
"36",-4.76457,0.284206,0.228502,0.44423,-1.04007,7.37961,821.592,0.267981
"37",-4.58024,0.275735,0.375983,0.300273,-1.35765,7.93006,77.3628,0.291935
"38",-4.9109,0.152212,0.337816,0.522907,-0.850956,8.06472,159.804,0.253294
"39",-4.82421,0.272337,0.355817,0.338707,-1.17242,7.34644,145.441,0.26742
"40",-4.84583,0.227788,0.273548,0.500937,-0.739528,7.86813,148.297,0.278464
"41",-4.87779,0.0860475,0.341918,0.446213,-0.913678,7.33343,148.026,0.266572
"42",-4.70891,0.14369,0.286408,0.472408,-1.08442,7.4063,497.127,0.264296
"43",-4.69275,0.119524,0.290287,0.42482,-0.951744,7.1159,2867.65,0.266455
"44",-4.91018,0.143329,0.276765,0.375812,-0.768894,7.62719,216.135,0.268504
"45",-5.05998,0.17865,0.356894,0.377709,-0.9315,7.50185,879.92,0.282655
"46",-5.0723,0.308289,0.326911,0.315058,-0.807018,7.09592,190.171,0.254592
"47",-4.87597,0.233134,0.282384,0.468856,-0.952349,7.09575,124.371,0.257626
"48",-4.88979,0.252591,0.215738,0.315509,-1.00141,7.84373,1328.28,0.260757
"49",-4.52858,0.233773,0.332115,0.273686,-1.34106,7.46662,73.0028,0.243825
"50",-4.89973,0.223285,0.347288,0.422897,-0.873827,7.78577,122.339,0.27759
"51",-4.88124,0.0957703,0.35788,0.412821,-0.799141,7.18871,78.6215,0.2562
"52",-4.91768,0.0371325,0.379918,0.330984,-0.822706,7.19267,90.6388,0.259634
"53",-4.80883,0.247136,0.37804,0.435382,-0.923859,7.35582,149.386,0.256872
"54",-4.49497,0.169806,0.2898,0.48579,-1.31244,7.94511,201.214,0.269881
"55",-4.87489,0.240445,0.522139,0.374412,-1.02835,7.16912,192.576,0.263432
