"","b[1]","b[2]","b[3]","b[4]","b[5]","b[6]","sigma","phi","bpvalue"
"1",3.84845,0.313562,0.323234,-0.0734693,0.231681,-0.63439,0.120512,0.287227,1
"2",3.7716,0.342328,0.375057,-0.0936739,0.271309,-0.526939,0.130279,0.260902,1
"3",3.85041,0.240865,0.3688,-0.0201781,0.211257,-0.638167,0.131692,0.281767,0
"4",3.84041,0.31401,0.424144,-0.160284,0.200034,-0.584233,0.123385,0.246486,1
"5",3.89338,0.2901,0.347514,-0.0363521,0.278728,-0.730816,0.130886,0.260161,0
"6",3.8432,0.338759,0.355651,-0.114293,0.251235,-0.638042,0.128553,0.263253,1
"7",3.86395,0.255734,0.467041,-0.176642,0.155643,-0.660079,0.131421,0.292764,0
"8",3.87795,0.22515,0.401281,-0.0165191,0.2209,-0.660751,0.125054,0.260596,0
"9",3.89931,0.379552,0.382399,0.0824447,0.233554,-0.735763,0.129981,0.271235,1
"10",3.95394,0.265504,0.273649,0.0456462,0.254594,-0.671565,0.137104,0.257208,1
"11",3.88654,0.346087,0.381852,-0.116652,0.209492,-0.675324,0.117091,0.27593,0
"12",3.97714,0.135809,0.435777,-0.0129547,0.189866,-0.761158,0.126397,0.262554,0
"13",3.72232,0.431596,0.398505,-0.280999,0.16519,-0.516203,0.129488,0.268795,0
"14",3.89468,0.375463,0.390478,-0.0283177,0.243022,-0.693884,0.126683,0.275071,1
"15",3.92543,0.344226,0.485536,-0.112003,0.218118,-0.760196,0.118584,0.265028,0
"16",3.78897,0.305263,0.387141,-0.0706248,0.185002,-0.699278,0.122308,0.265501,1
"17",3.95492,0.273886,0.426304,-0.08975,0.214142,-0.819239,0.126082,0.258863,1
"18",3.76053,0.489792,0.353509,-0.0286434,0.249583,-0.528581,0.129602,0.274499,1
"19",3.86088,0.371429,0.343512,-0.0787599,0.283355,-0.607494,0.126147,0.267667,1
"20",3.8504,0.308586,0.403639,-0.0786899,0.239902,-0.659504,0.127982,0.267186,0
"21",3.87713,0.234772,0.374884,-0.0366887,0.220043,-0.638723,0.125441,0.248068,0
"22",3.87133,0.310222,0.384146,-0.0668691,0.237347,-0.690179,0.126341,0.264205,0
"23",3.85228,0.279867,0.362641,-0.0777232,0.258526,-0.722473,0.12229,0.262254,1
"24",3.83208,0.274344,0.345081,0.00571373,0.229887,-0.601531,0.125683,0.248084,1
"25",3.82312,0.307079,0.342433,0.0737307,0.215728,-0.609563,0.12803,0.275957,1
"26",3.74865,0.386927,0.305902,-0.0732386,0.232722,-0.469085,0.125545,0.260049,1
"27",3.75602,0.448258,0.39017,-0.128183,0.267009,-0.55351,0.13691,0.27354,1
"28",3.79809,0.335079,0.346369,-0.0460174,0.279659,-0.599503,0.125326,0.265888,0
"29",3.81098,0.465645,0.384378,-0.0025202,0.240654,-0.676623,0.124544,0.270568,0
"30",3.8761,0.259043,0.344726,-0.00774326,0.179732,-0.625283,0.127815,0.285385,1
"31",3.70647,0.479464,0.406231,-0.13753,0.170847,-0.584909,0.13005,0.253746,1
"32",3.8872,0.390269,0.363901,-0.0924732,0.222148,-0.719756,0.133543,0.279197,0
"33",3.86291,0.388807,0.375521,-0.150585,0.196583,-0.646971,0.129165,0.255925,1
"34",3.8523,0.25791,0.28921,-0.02459,0.284028,-0.652448,0.128887,0.292863,1
"35",3.79199,0.348827,0.433088,-0.0662323,0.19134,-0.604995,0.132632,0.258505,1
"36",3.87843,0.265175,0.447369,-0.153187,0.170422,-0.661047,0.116543,0.275407,1
"37",3.85114,0.382567,0.422494,-0.0298238,0.221303,-0.574257,0.129823,0.279474,0
"38",3.88277,0.405224,0.31511,0.095699,0.281465,-0.671355,0.126828,0.273453,0
"39",3.8608,0.348766,0.345189,-0.101033,0.224451,-0.731465,0.12964,0.270728,0
"40",3.94233,0.35763,0.343111,-0.120631,0.232929,-0.778111,0.12782,0.252232,1
"41",3.89237,0.184465,0.347897,-0.0318374,0.186866,-0.631869,0.125116,0.270659,0
"42",3.95,0.348896,0.39195,0.0234058,0.299057,-0.748523,0.126422,0.264553,1
"43",3.86944,0.335892,0.391558,-0.111416,0.247991,-0.66225,0.129101,0.290323,1
"44",3.85432,0.400502,0.273241,0.0257991,0.216804,-0.638669,0.123346,0.283124,1
"45",3.80627,0.287693,0.366983,-0.052066,0.209893,-0.59005,0.13237,0.26518,0
"46",3.90991,0.383799,0.441198,-0.231874,0.281002,-0.74564,0.133573,0.272728,1
"47",3.77897,0.283629,0.328486,0.0662304,0.230568,-0.586225,0.125327,0.275954,1
"48",3.84014,0.284422,0.328053,-0.119137,0.205456,-0.633454,0.119353,0.253521,1
"49",3.91619,0.288543,0.367988,-0.0434603,0.220157,-0.630231,0.130026,0.273153,1
"50",3.90417,0.192888,0.288276,-0.037026,0.184496,-0.729494,0.123291,0.259563,0
"51",3.88326,0.294662,0.336659,0.0390816,0.240475,-0.739181,0.12152,0.267304,1
"52",3.91432,0.327365,0.35071,-0.0713932,0.291546,-0.71692,0.120054,0.267555,1
"53",3.78215,0.316334,0.435585,-0.102091,0.220254,-0.552468,0.127717,0.274894,1
"54",3.89955,0.225934,0.365363,-0.0291143,0.300189,-0.725083,0.127603,0.279204,0
"55",3.79803,0.30805,0.392724,0.0289068,0.225791,-0.54521,0.130476,0.259731,0
"56",3.85455,0.320405,0.330816,-0.0594898,0.259667,-0.696184,0.125547,0.280011,1
"57",3.85894,0.442402,0.303319,0.151438,0.265193,-0.597819,0.127631,0.25963,1
"58",3.63251,0.521695,0.390844,-0.0854141,0.169559,-0.475201,0.126963,0.258612,1
"59",3.90217,0.291634,0.379701,-0.219766,0.164745,-0.707561,0.117087,0.24312,0
"60",3.91746,0.298983,0.344035,-0.114071,0.260692,-0.63375,0.135799,0.276321,1
"61",3.78491,0.331903,0.355529,-0.0656889,0.188881,-0.563874,0.121121,0.269926,1
"62",3.92148,0.191148,0.403957,-0.143679,0.150344,-0.668526,0.133728,0.267156,1
"63",3.78713,0.373596,0.39587,-0.137948,0.218258,-0.604184,0.1306,0.259913,1
"64",3.90372,0.291746,0.344746,-0.029649,0.25841,-0.668396,0.128963,0.279831,1
"65",3.91604,0.243603,0.327629,0.0520238,0.250136,-0.624305,0.129191,0.244526,1
"66",3.75358,0.364298,0.37299,-0.0651489,0.185093,-0.568285,0.134554,0.264416,0
"67",3.8262,0.252396,0.420944,-0.151895,0.212952,-0.609922,0.128214,0.262464,0
"68",3.88578,0.386792,0.333286,-0.0357189,0.215629,-0.608142,0.126151,0.276841,1
"69",3.8272,0.252858,0.398263,-0.141089,0.188709,-0.600813,0.123853,0.283428,1
"70",3.84907,0.396031,0.392578,-0.0396345,0.265903,-0.723392,0.122726,0.285817,1
"71",3.75211,0.287434,0.43473,-0.179958,0.194585,-0.566575,0.129154,0.272837,1
"72",3.74916,0.23997,0.289257,0.110426,0.219349,-0.51861,0.132946,0.260796,1
"73",3.76046,0.468391,0.31453,-0.00899492,0.259144,-0.580085,0.138691,0.262075,1
"74",3.8536,0.319444,0.356151,0.0206999,0.253682,-0.642166,0.120545,0.252074,1
"75",3.68131,0.399659,0.393404,-0.151182,0.202539,-0.546373,0.125727,0.260431,1
"76",3.95302,0.335925,0.335969,-0.108148,0.276088,-0.808025,0.125966,0.272381,0
"77",3.84673,0.285284,0.388831,-0.162326,0.212089,-0.666643,0.126289,0.283281,0
