"","b[1]","b[2]","b[3]","b[4]","b[5]","sigma","m.phi","var.phi"
"1",3.84389,0.299003,0.345809,0.283294,-0.693291,7.60905,0.267833,0.0150575
"2",3.90854,0.328354,0.389411,0.225206,-0.777319,7.82099,0.272187,0.0212368
"3",3.917,0.491698,0.434093,0.175202,-0.72955,7.46376,0.265821,0.0176186
"4",3.78511,0.321604,0.429322,0.201631,-0.649049,7.13128,0.260319,0.0174537
"5",3.70992,0.386105,0.358845,0.267107,-0.529448,7.69959,0.279801,0.0186639
"6",3.93415,0.278978,0.281756,0.253579,-0.713999,7.51072,0.269083,0.0252268
"7",3.66968,0.485642,0.36288,0.252105,-0.536985,7.56615,0.263296,0.0960065
"8",3.82034,0.314133,0.308735,0.257139,-0.622277,7.31802,0.272327,0.0172489
"9",3.7494,0.575586,0.376062,0.222145,-0.660617,7.59274,0.248222,0.0504064
"10",3.67819,0.587172,0.387529,0.261769,-0.532064,7.88622,0.264972,0.0922901
"11",3.82472,0.322971,0.379067,0.245842,-0.652467,7.60301,0.268882,0.0194665
"12",3.93697,0.221312,0.363607,0.218467,-0.739858,7.72314,0.252264,0.0272048
"13",3.92248,0.299474,0.368996,0.234271,-0.672188,7.52883,0.262879,0.0172707
"14",3.92943,0.382313,0.310121,0.242579,-0.669918,7.51719,0.268508,0.0188255
"15",3.87789,0.243771,0.35855,0.264976,-0.621365,7.24403,0.271131,0.0206942
"16",3.83227,0.373151,0.305924,0.201457,-0.636573,7.69199,0.265228,0.0248308
"17",3.89135,0.303973,0.278409,0.224807,-0.669428,7.49838,0.264499,0.0266027
"18",3.85153,0.334012,0.330292,0.232941,-0.66405,7.44809,0.262569,0.0192022
"19",3.90639,0.323129,0.373635,0.240774,-0.758486,7.65813,0.269746,0.0190159
"20",3.9588,0.279967,0.361013,0.196328,-0.776463,7.92499,0.277151,0.0573613
"21",3.84544,0.377516,0.362627,0.248644,-0.611543,7.37271,0.278546,0.0180668
"22",3.77449,0.361656,0.34688,0.193401,-0.613909,7.74796,0.257109,0.0146727
"23",3.89365,0.317724,0.336988,0.25502,-0.729457,7.6077,0.245215,0.0143449
"24",3.87587,0.322378,0.395302,0.234994,-0.722219,7.93331,0.27279,0.0194042
"25",3.8078,0.377039,0.327671,0.271479,-0.5853,7.45805,0.244159,0.0248394
"26",3.82915,0.374048,0.298776,0.206253,-0.634088,7.38153,0.269193,0.0916601
"27",3.86173,0.215165,0.320344,0.208628,-0.688963,7.59356,0.267755,0.0181663
"28",3.82096,0.287571,0.363004,0.231553,-0.654558,7.5479,0.249457,0.0348054
"29",3.73156,0.323836,0.380674,0.234678,-0.530935,7.75045,0.267138,0.0159285
"30",3.73597,0.327952,0.293266,0.295095,-0.555064,7.93485,0.267783,0.0271181
"31",3.89164,0.272981,0.347969,0.285777,-0.680173,7.64734,0.261297,0.0354908
"32",3.79556,0.393344,0.375353,0.170196,-0.592962,7.31225,0.26944,0.01435
"33",4.0108,0.173143,0.320659,0.267585,-0.819718,7.26659,0.27007,0.0148582
"34",3.91749,0.37417,0.317988,0.269608,-0.731915,7.93857,0.276093,0.0207727
"35",3.91081,0.300319,0.353357,0.203522,-0.706559,7.58508,0.291658,0.0227301
"36",3.83746,0.412954,0.384386,0.312555,-0.62852,7.47816,0.257502,0.0284745
"37",3.79912,0.324649,0.352277,0.214279,-0.65272,7.64588,0.270051,0.0195724
"38",3.85875,0.356038,0.371632,0.183857,-0.768221,7.43879,0.269635,0.0296337
"39",3.78978,0.330736,0.309232,0.232671,-0.538252,7.61786,0.279144,0.0300453
"40",3.77726,0.228983,0.334431,0.248128,-0.543237,7.29236,0.26137,0.0156032
"41",3.7782,0.330694,0.293015,0.21954,-0.50697,7.82404,0.274327,0.0328038
"42",3.7897,0.362418,0.27925,0.261059,-0.561217,7.25491,0.27051,0.0225852
"43",3.90716,0.273256,0.280979,0.175377,-0.699276,8.04572,0.258804,0.0185301
"44",3.88656,0.299628,0.369873,0.185252,-0.764265,8.0041,0.256028,0.0151751
"45",3.71615,0.47001,0.334597,0.253781,-0.552384,7.59554,0.281914,0.0209713
"46",3.83672,0.311295,0.35652,0.195293,-0.684118,7.75935,0.254414,0.0260501
"47",3.86003,0.27498,0.292025,0.212575,-0.637975,7.73822,0.257499,0.015797
"48",3.85014,0.308583,0.335733,0.234625,-0.696552,7.18521,0.261743,0.0188141
"49",3.92081,0.368737,0.347757,0.207005,-0.708582,7.25879,0.299587,0.0392268
"50",3.73404,0.336977,0.286484,0.268909,-0.531233,7.26179,0.260121,0.0229437
"51",3.8472,0.434021,0.365412,0.266413,-0.660769,7.09379,0.286039,0.0226952
"52",3.84541,0.324119,0.312516,0.245798,-0.585351,7.13655,0.260838,0.0266636
"53",3.83236,0.330288,0.348276,0.2195,-0.612076,7.6426,0.258481,0.0369025
"54",3.82441,0.394292,0.340923,0.212111,-0.644297,7.51948,0.269509,0.020262
"55",3.97853,0.321777,0.347861,0.230019,-0.829849,7.55601,0.278034,0.0189187
"56",3.82898,0.37937,0.378769,0.274067,-0.666783,7.41117,0.263781,0.016425
"57",3.75647,0.402163,0.221957,0.253397,-0.469994,7.1799,0.273206,0.0293755
"58",3.94823,0.134537,0.354204,0.247739,-0.678128,7.53093,0.260138,0.0144739
"59",3.92913,0.182996,0.350146,0.228388,-0.809687,7.88449,0.267697,0.0181626
"60",3.91416,0.284169,0.337113,0.220264,-0.744453,7.67174,0.264199,0.035416
"61",3.89882,0.301692,0.266379,0.210501,-0.642211,7.4707,0.265112,0.0177495
