"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"b[1]",3.26157947333333,0.0562074368177827,3.15201665740016,3.22371,3.26209999446675,3.29915499171424,3.3708212476881,1.00295474010297,680
"b[2]",0.532579748666667,0.0755921927485583,0.389324403105527,0.480273748311596,0.533949483310921,0.58223623617916,0.679105315032125,1.00057839249496,1500
"b[3]",-0.0815754316293333,0.0359877953028326,-0.152305675,-0.10629,-0.0805581,-0.058367675,-0.00958448550000001,1.00509917372863,390
"b[4]",0.0635214054749333,0.0415004760991469,-0.01802088,0.0350934,0.06378575,0.091941925,0.141559925,1.00014808836755,1500
"b[5]",-0.114044044428667,0.132886172403794,-0.371370525,-0.199396,-0.1167565,-0.02513995,0.14855345,1.0011663854535,1500
"sigma",6.69433022,0.214475172900763,6.28953948667001,6.54932249501699,6.69028998920824,6.83740499078086,7.11900740734608,1.0003040227276,1500
"phi",0.279806040666667,0.010742930784361,0.258820239160761,0.272442249958362,0.279945499924539,0.286967999916369,0.300311199973428,1.00135932212802,1500
"test",0.0546666666666667,0.227404259752959,0,0,0,0,1,1.01506708175799,590
"logLik[1]",-5.37359646,1.10090890071255,-8.30483525,-5.8136675,-5.032145,-4.5985925,-4.18634525,1.0010250395438,1500
"logLik[2]",-5.11232809333333,1.02509688990158,-7.75051375,-5.535975,-4.843565,-4.40907,-3.92895975,1.00072779199159,1500
"logLik[3]",-5.31746852666667,0.937158412550855,-7.868593,-5.73121,-5.05214,-4.66222,-4.2627885,1.00944073035761,650
"logLik[4]",-5.32208972,1.10403558237877,-8.251382,-5.762955,-4.986655,-4.5666725,-4.12825575,1.00032630593796,1500
"logLik[5]",-5.36665656,1.04887543134004,-8.050382,-5.7330025,-5.078735,-4.6538525,-4.243181,1.00105076954405,1500
"logLik[6]",-5.24860021333333,1.07848282269844,-7.9790755,-5.6635925,-4.936865,-4.529425,-4.11012325,1.00541102997751,1000
"logLik[7]",-5.27289757333333,1.02414004495806,-7.89369575,-5.6769975,-4.98508,-4.577185,-4.17842025,1.00067686834508,1500
"logLik[8]",-5.32151710666667,0.998852185083555,-7.94308675,-5.6909225,-5.05011,-4.626465,-4.200634,1.00107296953999,1500
"logLik[9]",-5.37742516,0.989127131999292,-7.96439875,-5.7732,-5.0893,-4.703455,-4.278396,1.00063393820374,1500
"logLik[10]",-5.44883088666667,1.05354734505466,-8.26289825,-5.819295,-5.13256,-4.7240275,-4.352977,1.00423372261679,1500
"logLik[11]",-5.34587886666667,0.974908126425817,-7.91206975,-5.7716,-5.05576,-4.6597025,-4.2767225,1.00024342559335,1500
"logLik[12]",-5.35404017333333,1.02506366691811,-8.064722,-5.747395,-5.03439,-4.6621275,-4.24330825,1.00687070228912,810
"logLik[13]",-5.26415846,1.01936142051986,-7.97849275,-5.6475825,-4.95808,-4.5717025,-4.190923,1.00005481119211,1500
"logLik[14]",-5.23131584666667,1.04369935424958,-8.1838875,-5.6378725,-4.934295,-4.49986,-4.07219025,1.00003614834944,1500
"logLik[15]",-5.36878862666667,0.979651766573654,-7.8255435,-5.747625,-5.090955,-4.6914825,-4.30457175,1.00088120795361,1500
"logLik[16]",-5.24538298666667,1.0400446110854,-8.01218325,-5.6114575,-4.95747,-4.5329,-4.12244675,1.00065386453075,1500
"logLik[17]",-5.2365117,1.00116792471761,-7.864757,-5.648585,-4.946305,-4.5301125,-4.12549825,1.00173712941499,1500
"logLik[18]",-5.3917508,1.07034342474283,-8.313397,-5.7689525,-5.08005,-4.666385,-4.29396825,1.00053454491527,1500
"logLik[19]",-5.23427512,0.97866373101813,-7.725282,-5.6099925,-4.95878,-4.5660675,-4.1542575,1.0002482107657,1500
"logLik[20]",-5.36241448666667,1.00575470365234,-8.047854,-5.794895,-5.07855,-4.6459225,-4.248981,1.00647880366663,800
"logLik[21]",-5.29177943333333,1.05173638889237,-8.227953,-5.72184,-4.95255,-4.5698725,-4.17972425,1.00012634991087,1500
"logLik[22]",-5.14038988666667,1.01423048945435,-7.85711425,-5.52124,-4.846925,-4.4502175,-4.0493,1.00033849497384,1500
"logLik[23]",-5.39592690666667,1.16351378227505,-8.44952775,-5.7631725,-5.05916,-4.6382075,-4.27682525,1.00332864999481,1500
"logLik[24]",-4.40472748666667,0.1248760873106,-4.65029225,-4.486135,-4.4034,-4.323485,-4.169926,1.00199374874075,1000
"logLik[25]",-5.38438947333333,1.00802372289022,-7.94891225,-5.7962425,-5.109735,-4.6788925,-4.273504,1.00565994569126,1500
"logLik[26]",-5.43658700666667,1.05683165123619,-8.20070075,-5.8089625,-5.15066,-4.7261825,-4.299054,1.01028951702219,1100
"logLik[27]",-4.44751076666667,0.130228664493585,-4.70355225,-4.53174,-4.447575,-4.36212,-4.1995455,1.00173964739196,1100
"logLik[28]",-5.37494481333333,0.986964722783703,-8.06153025,-5.767885,-5.107535,-4.686305,-4.23803975,1.0012352797708,1500
"logLik[29]",-5.43095462666667,0.995432896686494,-8.1312035,-5.851655,-5.129885,-4.7363125,-4.32202875,1.00063433820088,1500
"logLik[30]",-5.35566680666667,0.996927659080585,-7.9950855,-5.77468,-5.05232,-4.6562125,-4.243577,1.00061878535134,1500
"logLik[31]",-5.35367617333333,0.978559379987608,-8.04083725,-5.72788,-5.103695,-4.6776725,-4.27630575,1.00025043696705,1500
"logLik[32]",-5.39444160666667,1.05621723711593,-8.4246145,-5.826295,-5.08997,-4.6519075,-4.2634675,1.00468979314126,1500
"logLik[33]",-5.45188338,0.978548156230316,-7.98798275,-5.8512725,-5.160495,-4.745225,-4.359777,1.00350766725311,850
"logLik[34]",-4.39156342,0.123762640493641,-4.634709,-4.47326,-4.3904,-4.3099925,-4.15345975,1.00210939350125,950
"logLik[35]",-5.31765188,1.02287266823925,-8.18179425,-5.7637775,-5.039085,-4.6052575,-4.20939825,1.00068043530014,1500
"logLik[36]",-5.24786526666667,1.04403165175438,-8.03397775,-5.653675,-4.937275,-4.5376125,-4.12767275,1.00113442994409,1500
"logLik[37]",-5.3767578,1.04287679031575,-8.10942625,-5.795905,-5.06044,-4.6421475,-4.2552925,1.00394258555196,550
"logLik[38]",-5.29445072,0.988080479702874,-8.0951845,-5.6644975,-5.004,-4.6076575,-4.2019445,1.00117258687336,1500
"logLik[39]",-5.34566870666667,1.07117046283585,-8.413324,-5.719575,-5.028735,-4.61521,-4.21947325,1.00223651533439,1300
"logLik[40]",-5.39463529333333,0.995940909286544,-7.88484525,-5.8221975,-5.11036,-4.6972625,-4.3176285,1.00122645923237,1500
"logLik[41]",-5.28602306666667,1.03211713798548,-7.84016925,-5.66817,-4.97871,-4.6017075,-4.20824225,1.00059443288075,1500
"logLik[42]",-5.44612852666667,0.984714160323148,-8.03377525,-5.82524,-5.16982,-4.7569,-4.32374375,1.00117542593837,1500
"logLik[43]",-5.36427208,1.01874300574432,-8.1843445,-5.7518575,-5.047555,-4.67816,-4.29473775,1.00699620705763,830
"logLik[44]",-5.31098878666667,1.028890035067,-8.18988,-5.7475975,-5.007295,-4.5977175,-4.1900875,1.00465143971582,590
"logLik[45]",-5.38152530666667,1.04743188298118,-8.30154275,-5.8080625,-5.056795,-4.6511075,-4.256399,1.00028424609046,1500
"logLik[46]",-5.44024565333333,0.95982873831469,-7.907413,-5.8728325,-5.155415,-4.7454875,-4.3474445,1.003007461261,1000
"logLik[47]",-5.25034047333333,1.03066999454019,-7.89539425,-5.659055,-4.97822,-4.5422025,-4.132497,1.00616587015212,950
"logLik[48]",-5.36781786666667,1.02726378669266,-8.2364225,-5.75114,-5.02142,-4.6684575,-4.267513,1.00762776271444,760
"logLik[49]",-5.41898729333333,1.01251885770963,-8.324281,-5.787385,-5.111605,-4.7275725,-4.324297,1.00231743020668,940
"logLik[50]",-5.51016240666667,1.00073139954604,-8.25435925,-5.9179425,-5.225845,-4.801405,-4.40833875,1.00592881731102,510
"logLik[51]",-5.41825775333333,0.964017414145929,-8.07102075,-5.8019925,-5.150205,-4.75307,-4.3271045,1.00070000349717,1500
"logLik[52]",-5.40330923333333,1.00013688122277,-8.01456525,-5.8015475,-5.11161,-4.697385,-4.28740375,1.00095118764225,1500
"logLik[53]",-5.35709527333333,1.02883354501861,-8.0725485,-5.787065,-5.06629,-4.6271025,-4.2376735,1.00085895365613,1500
"logLik[54]",-5.48907214666667,1.0746036631173,-8.43840125,-5.877325,-5.18614,-4.771685,-4.35035125,1.00569864577111,1400
"logLik[55]",-5.50217227333333,1.00216121301183,-8.157469,-5.86096,-5.232475,-4.822695,-4.37508475,1.0015586548667,1300
"logLik[56]",-5.47730033333333,1.00666650631623,-8.16945825,-5.866655,-5.20634,-4.7776725,-4.3713965,1.00288049075566,920
"logLik[57]",-5.43758051333333,0.978780546192901,-8.035582,-5.84905,-5.127075,-4.743715,-4.328006,1.00102879281338,1500
"logLik[58]",-4.50390628666667,0.13325382560626,-4.769414,-4.5915625,-4.50181,-4.4136375,-4.24689525,1.00169273091051,1200
"logLik[59]",-5.48039788,1.03573390785347,-8.1956215,-5.885305,-5.20933,-4.737075,-4.31774875,1.00572135517871,1400
"logLik[60]",-5.39072128666667,1.10537993332664,-8.21355875,-5.79401,-5.04931,-4.636205,-4.2688225,1.00047292921423,1500
"logLik[61]",-5.26833746666667,0.995039654387293,-7.81982875,-5.6681425,-4.99187,-4.589675,-4.16406,1.00028213811793,1500
"logLik[62]",-5.36733844666667,0.951578361920922,-7.83018825,-5.7716275,-5.086005,-4.6922625,-4.29117575,1.00357960744937,1500
"logLik[63]",-5.35010425333333,1.01371148373217,-7.9640795,-5.7093625,-5.04077,-4.6600325,-4.28834675,1.00423475690625,1500
"logLik[64]",-5.2069491,1.02690167070088,-8.31528375,-5.5466075,-4.935215,-4.5098275,-4.09651425,1.00103356933054,1500
"logLik[65]",-5.36434327333333,0.971574124212616,-7.98676625,-5.76798,-5.07595,-4.6720175,-4.28992475,1.00386797030802,820
"logLik[66]",-5.46111086,1.0359646789392,-8.03330275,-5.873615,-5.14858,-4.7295325,-4.3394935,1.00271601934391,740
"logLik[67]",-5.3818546,1.00758474350061,-7.98802375,-5.761865,-5.09035,-4.67634,-4.2720915,1.00078607881541,1500
"logLik[68]",-5.42342743333333,1.03334424426996,-8.23146575,-5.809415,-5.128725,-4.7184275,-4.33010125,1.00134360349822,1500
"logLik[69]",-5.41288382666667,1.05414208526174,-8.101637,-5.85026,-5.09648,-4.6860275,-4.269415,1.00484302281876,1500
"logLik[70]",-5.48937160666667,1.04634248430212,-8.318205,-5.9050575,-5.20386,-4.7728525,-4.3453075,1.00131388523426,1500
"logLik[71]",-5.43074913333333,1.03925319656346,-8.22953825,-5.87016,-5.10356,-4.717595,-4.3175735,1.00078727272867,1500
"logLik[72]",-5.46885191333333,1.01239504805299,-8.22106125,-5.857285,-5.165345,-4.7617375,-4.35358775,1.00201506939042,1500
"logLik[73]",-5.38765074666667,1.02605716245415,-8.114506,-5.7704125,-5.10217,-4.67975,-4.285191,1.00517483549354,1500
"logLik[74]",-5.53189216,1.03696568339502,-8.35212175,-5.915075,-5.2609,-4.8099725,-4.36603575,1.00604969125008,1400
"logLik[75]",-5.48212255333333,0.987902603723925,-8.201427,-5.8989375,-5.16585,-4.78256,-4.4132535,1.00921442138456,640
"logLik[76]",-5.487536,0.931892660717352,-7.988581,-5.91331,-5.253885,-4.8140375,-4.392677,1.01090025171345,360
"logLik[77]",-5.42518911333333,1.03915247803478,-8.2214235,-5.8896125,-5.110785,-4.68963,-4.3095635,1.00153285590037,1500
"logLik[78]",-5.41874347333333,1.01064238796901,-8.08800925,-5.7792175,-5.140925,-4.7510525,-4.3164505,1.01196823156715,660
"logLik[79]",-5.41949744,1.03493876847791,-8.26315025,-5.8101625,-5.119575,-4.71596,-4.293046,1.00226116058853,1500
"logLik[80]",-5.35625866,1.04074042365822,-8.3269155,-5.7007025,-5.08823,-4.6685425,-4.2452115,1.00773974840743,1500
"logLik[81]",-5.27167995333333,1.02470420417776,-7.81635825,-5.66799,-4.98978,-4.56666,-4.15345275,1.00537684209106,1100
"logLik[82]",-5.41924598,1.02687139660551,-8.09411125,-5.8150775,-5.10615,-4.71516,-4.2920815,1.00313668399631,1300
"logLik[83]",-5.50660825333333,1.02056756488225,-8.23977525,-5.9081,-5.213585,-4.8024525,-4.40060425,1.00214523139259,1500
"logLik[84]",-5.4972151,1.09644443736632,-8.410062,-5.8533775,-5.190925,-4.7868275,-4.38665775,1.01122271362339,670
"logLik[85]",-5.49842611333333,1.09064155276359,-8.5554705,-5.9157925,-5.15976,-4.7462025,-4.36416625,1.00151256601978,1300
"logLik[86]",-5.43164902666667,1.02729552060246,-8.133787,-5.80868,-5.13389,-4.7183625,-4.3016155,1.00203816765098,1500
"logLik[87]",-5.52002884666667,0.985270674090299,-8.094797,-5.9295575,-5.242615,-4.81463,-4.36733225,1.00167642108431,1200
"logLik[88]",-4.98001686666667,1.00096941632476,-7.61016,-5.4165225,-4.674465,-4.2669125,-3.83661775,1.00505495767653,530
"logLik[89]",-5.0174412,1.0495639263881,-7.88169525,-5.416985,-4.731225,-4.2955825,-3.865982,1.00011621363291,1500
"logLik[90]",-4.9669709,1.04657869022816,-7.79107675,-5.3490275,-4.6867,-4.25245,-3.81210975,1.0035226724198,1500
"logLik[91]",-4.79096384666667,0.930651065224451,-7.2572945,-5.230595,-4.52041,-4.1207325,-3.6718225,1.0002154456243,1500
"logLik[92]",-4.99859967333333,0.95857345404218,-7.47560125,-5.418255,-4.73689,-4.3070275,-3.930326,1.00057097835576,1500
"logLik[93]",-4.84448006666667,1.06403181518089,-7.6772815,-5.2669725,-4.53359,-4.1200575,-3.6783235,1.00086839054161,1500
"logLik[94]",-4.92425486666667,0.958880699008869,-7.466445,-5.3130075,-4.654795,-4.2596,-3.85866475,1.00326192826057,1500
"logLik[95]",-4.86306364666667,1.02456529020277,-7.5839415,-5.23588,-4.581025,-4.168765,-3.6999305,1.00096865304691,1500
"logLik[96]",-4.75667126,1.02673755881082,-7.547352,-5.187555,-4.48249,-4.035315,-3.59623,1.01207963870807,780
"logLik[97]",-4.99514045333333,0.93048610217507,-7.408406,-5.414465,-4.728595,-4.344205,-3.8905095,1.00050752562647,1500
"logLik[98]",-4.70054115333333,0.0161974141913912,-4.74736825,-4.70418,-4.69411,-4.6900475,-4.68889475,1.00183159445469,1500
"logLik[99]",-4.97084602666667,0.989448772829523,-7.657961,-5.3778575,-4.682215,-4.27687,-3.8167805,1.00025878874975,1500
"logLik[100]",-4.99481074,1.0395673392512,-7.74033475,-5.4401125,-4.699155,-4.2591,-3.826797,1.00001057448459,1500
"logLik[101]",-4.94004852666667,1.03699097127106,-7.69294225,-5.33685,-4.656435,-4.207335,-3.80220425,1.00264419408105,1300
"logLik[102]",-4.97252312,0.93832878900688,-7.40620575,-5.3645475,-4.718655,-4.3155725,-3.87298975,1.00240171317238,1500
"logLik[103]",-3.77133539333333,0.155348281133542,-4.074648,-3.87662,-3.767785,-3.66848,-3.46161325,1.00148734447872,1300
"logLik[104]",-5.03042434666667,1.0415116466555,-7.927223,-5.445855,-4.73431,-4.3048625,-3.849815,1.00071285863791,1500
"logLik[105]",-4.98720334666667,1.08682532248888,-7.862473,-5.4013675,-4.66941,-4.257135,-3.82951775,1.00089176710363,1500
"logLik[106]",-4.9510253,1.01833064416656,-7.7576815,-5.37497,-4.62961,-4.243385,-3.81439,1.00144100515426,1500
"logLik[107]",-4.9163305,0.998054418798564,-7.54172575,-5.31339,-4.650695,-4.2192,-3.81332775,1.00743794106585,1300
"logLik[108]",-4.97107046666667,0.972709706905056,-7.4940135,-5.406015,-4.69085,-4.27918,-3.8615685,1.00274002479015,990
