"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"b[1]",4.72778114,0.122831022954167,4.50213974877864,4.64368499010704,4.72200499999735,4.81061749857934,4.97131399213445,1.00771729528757,1500
"b[2]",0.498019848,0.0752238689519732,0.356990639210202,0.447756499958962,0.494197485309264,0.550297218067285,0.647956057332732,1.00678304944106,1500
"b[3]",0.246452079333333,0.0391107121335417,0.169224299422338,0.221774749421256,0.245916,0.272158727607956,0.324192897778481,1.00000734139735,1500
"b[4]",0.306046464666667,0.0359025908772317,0.234808317180787,0.281587249959715,0.307021,0.330020499944322,0.376450398961292,1.00013231055312,1500
"b[5]",-1.6651719,0.151057290902977,-1.9692785,-1.7642425,-1.660735,-1.5636525,-1.38065425,1.00690850414806,1500
"sigma",7.5354615,0.238603154901822,7.09107789185438,7.37427499958809,7.5271399970706,7.68971496956695,8.02495063601793,1.00120411884244,1500
"phi",0.268226662,0.0106564141361553,0.247496595357087,0.261069749999641,0.267921499995801,0.275395999863836,0.289505524276005,1.00038055810512,1500
"test",0.216666666666667,0.412110963033976,0,0,0,0,1,1.00170057663462,1200
"logLik[1]",-5.84585215333333,1.02159691542145,-8.61142225,-6.184815,-5.56455,-5.1610175,-4.69626125,1.00458287031196,1000
"logLik[2]",-5.77569042666667,1.06360472100208,-8.54775425,-6.16126,-5.493265,-5.0563425,-4.60340275,1.00025713929204,1500
"logLik[3]",-5.65115554,0.990740210356775,-8.141703,-6.019885,-5.376775,-4.976805,-4.53466675,1.00948206648647,520
"logLik[4]",-5.76266947333333,0.973531084542332,-8.339289,-6.20672,-5.49657,-5.0761725,-4.61152375,1.00171599312856,1500
"logLik[5]",-5.84464873333333,0.993009174303388,-8.491911,-6.2171025,-5.56243,-5.1813175,-4.7676535,1.00052329724819,1500
"logLik[6]",-5.28208429333333,0.11247611553486,-5.51367975,-5.3549275,-5.27341,-5.2025025,-5.08264475,1.00143103900235,1500
"logLik[7]",-8.31279239333333,0.358000861721776,-9.051653,-8.53165,-8.28614,-8.0578125,-7.71934,1.00486009661214,1400
"logLik[8]",-5.73860146666667,1.02700508555675,-8.6010465,-6.1460025,-5.45758,-5.0240825,-4.5717445,1.00193416869703,1000
"logLik[9]",-6.20599352,1.0131868031102,-8.91098225,-6.6562475,-5.92334,-5.5047275,-5.0717585,1.00344493830008,1500
"logLik[10]",-6.21693027333333,1.04675339545654,-8.8937015,-6.6187725,-5.915065,-5.4905825,-5.04142975,1.00642003241172,1000
"logLik[11]",-6.08734982,0.979480306758088,-8.573401,-6.4590875,-5.82364,-5.42996,-4.995484,1.00325227417319,1500
"logLik[12]",-5.93025882,1.01086736369456,-8.74980475,-6.298825,-5.6392,-5.2261975,-4.81638075,1.00285108364621,1500
"logLik[13]",-4.91400792666667,0.154013115663241,-5.21548875,-5.0154275,-4.908285,-4.80876,-4.635344,1.00256830538863,1500
"logLik[14]",-5.41006997333333,1.03407479919263,-8.14112425,-5.804025,-5.139505,-4.6984275,-4.22511725,1.01568959543372,530
"logLik[15]",-5.87289782,0.947500491190014,-8.452929,-6.2340475,-5.63905,-5.2155025,-4.786298,1.00255333533935,1500
