,mean,50%,2.50%,97.50%,Rhat,n.eff,PN,PP
b[1],3.20887842,3.211335,3.008815191,3.399960177,1.02192578,110,0,1
b[2],-0.037964961,-0.0311876,-0.371721225,0.291302175,1.057096226,47,0.582,0.418
b[3],0.379312857,0.378755996,0.24589751,0.519958389,1.018928419,280,0,1
b[4],-0.264991514,-0.265215,-0.509261175,-0.005950128,1.040368279,67,0.976666667,0.023333333
b[5],0.106358595,0.1040875,-0.030765953,0.2486356,1.032629923,140,0.063333333,0.936666667
b[6],0.324333949,0.3157905,0.039582143,0.642780525,1.030318764,71,0.011333333,0.988666667
sigma,0.130115772,0.12998,0.124895245,0.1358901,1.001269128,1500,0,1
mu.phi,0.175092735,0.173018984,0.111050804,0.255388009,1.001600182,1500,0,1
sigma.phi,0.889044335,0.852091999,0.577917586,1.372805509,1.002786265,740,0,1
mu,4.084232573,4.084165,4.0771895,4.09190525,1.000524921,1500,0,1
loglik[1],-3.582588827,-3.586925,-3.81169575,-3.34030975,1.014763415,350,1,0
loglik[4],-4.297095127,-4.295905,-4.46868425,-4.1261425,1.021514629,130,1,0
loglik[5],-4.356637147,-4.354145,-4.53767475,-4.175406,1.020813166,120,1,0
loglik[13],-3.773123727,-3.777685,-3.95354225,-3.579287,1.005864093,440,1,0
loglik[14],-4.96040724,-4.956795,-5.089622,-4.83938325,1.018039746,110,1,0
loglik[15],-8.81905012,-8.79606,-9.4511565,-8.30101425,1.019243446,190,1,0
loglik[20],-3.74684908,-3.75122,-3.9521605,-3.53236575,1.010058123,400,1,0
loglik[21],-3.713581667,-3.718545,-3.909227,-3.50480125,1.008337125,420,1,0
loglik[24],-3.642130947,-3.64733,-3.855573,-3.41749125,1.011839194,380,1,0
loglik[27],-5.563174447,-5.55393,-5.718485,-5.459202,1.003751045,530,1,0
loglik[40],-9.747835427,-9.71538,-10.861245,-8.90720625,1.021750557,100,1,0
loglik[41],-3.689764793,-3.694005,-3.8928005,-3.4768385,1.009473729,410,1,0
loglik[44],-4.51144682,-4.510025,-4.72572825,-4.28482425,1.019099948,110,1,0
