"","mean","50%","2.5%","97.5%","Rhat","n.eff","PP","PN"
"b[1]",3.25170739333333,3.25297499996542,3.1051302485504,3.40377274647964,1.03638923922164,67,1,0
"b[2]",0.00452640501813333,0.0020919,-0.115299825,0.127409425,1.01733829096507,120,0.515333333333333,0.484666666666667
"b[3]",0.0595088984851333,0.059955,-0.110236,0.2230094,1.00263497785727,1100,0.761333333333333,0.238666666666667
"b[4]",0.627165085333333,0.623719494001911,0.384669507551653,0.878968507379723,1.00942799144898,1100,1,0
"b[5]",0.120485480975333,0.12267,-0.00516388475,0.24025675,1.07042261723893,34,0.966666666666667,0.0333333333333333
"b[6]",0.256086877733333,0.2553695,0.08124346,0.43257215,1.07732690092597,35,0.999333333333333,0.000666666666666704
"sigma",0.130083033333333,0.129992999996154,0.124969374975056,0.135520824844509,1.00127554746607,1500,1,0
"mu.phi",0.173178057133333,0.170691498645949,0.112050691025471,0.251684682489739,1.00059795735336,1500,1,0
"sigma.phi",0.888806254,0.851650999321318,0.573768886016822,1.41100392102418,1.00414196317336,1500,1,0
"mu",4.08431608,4.08416499999694,4.07680699955958,4.09183099995124,1.00234483044761,850,1,0
"loglik[1]",-3.49354872666667,-3.495055,-3.69848775,-3.263851,1.01690739268584,120,0,1
"loglik[4]",-4.67356812,-4.66626,-4.9420535,-4.4386865,1.00688948074549,510,0,1
"loglik[5]",-4.77190291333333,-4.76521,-5.063068,-4.513879,1.00604590668495,650,0,1
"loglik[13]",-3.80822059333333,-3.810195,-3.97778725,-3.6158025,1.01994325117342,110,0,1
"loglik[14]",-5.30800977333333,-5.298845,-5.582355,-5.0816835,1.00451974586294,990,0,1
"loglik[15]",-8.06323585333333,-8.04721,-8.60562025,-7.580957,1.01579745988891,200,0,1
"loglik[20]",-3.71987742,-3.722605,-3.905388,-3.511428,1.01870324815437,110,0,1
"loglik[21]",-3.70988565333333,-3.71182,-3.8875705,-3.50838175,1.01930354937498,110,0,1
"loglik[24]",-3.59188365333333,-3.593765,-3.7832605,-3.3775725,1.01801215087155,110,0,1
"loglik[27]",-5.50992134,-5.50125,-5.6371345,-5.42613675,1.02206540013707,100,0,1
"loglik[40]",-8.16153893333333,-8.13012,-8.9437385,-7.57457625,1.00586816552718,1500,0,1
"loglik[41]",-3.67055175333333,-3.67336,-3.85467375,-3.4632755,1.01891631755001,110,0,1
"loglik[44]",-5.02757392,-5.02105,-5.377126,-4.7124715,1.0047176181006,1100,0,1
"loglik[47]",-5.49854828,-5.489185,-5.64687925,-5.4051645,1.00489754190575,590,0,1
"loglik[54]",-5.17523475333333,-5.167885,-5.5469785,-4.84255575,1.00447479398373,1300,0,1
"loglik[55]",-4.59490018,-4.589775,-4.84755,-4.37416275,1.00775573755553,420,0,1
"loglik[56]",-4.73256925333333,-4.725245,-5.014409,-4.48433725,1.00635495252608,590,0,1
"loglik[59]",-7.32342554,-7.30182,-7.8493415,-6.9343565,1.02072532469115,100,0,1
"loglik[60]",-5.63768094,-5.627235,-5.836524,-5.5060975,1.02058484552962,100,0,1
"loglik[62]",-3.69021866666667,-3.692345,-3.87133375,-3.4849605,1.01911727421512,110,0,1
"loglik[64]",-3.69021866666667,-3.692345,-3.87133375,-3.4849605,1.01911727421512,110,0,1
"loglik[66]",-3.81118692,-3.81487,-3.98294225,-3.62140825,1.02002086703989,110,0,1
"loglik[67]",-3.85052088666667,-3.85436,-4.02022775,-3.665843,1.01997232791969,110,0,1
"loglik[74]",-5.01378424,-5.0077,-5.17724975,-4.88582325,1.00667269611067,430,0,1
"loglik[109]",-5.80822817333333,-5.805065,-5.847684,-5.788468,1.06016044067727,52,0,1
"loglik[144]",-4.74735695333333,-4.746415,-4.786826,-4.71552125,1.03183612393797,67,0,1
"loglik[178]",-3.94898388666667,-3.948305,-4.080903,-3.81949025,1.02530445992018,88,0,1
"loglik[181]",-5.16736010666667,-5.165075,-5.31479525,-5.03137975,1.02836479552156,77,0,1
"loglik[209]",-4.18498762666667,-4.185925,-4.29132575,-4.07335525,1.0511954975976,45,0,1
"loglik[214]",-4.83399842666667,-4.833575,-5.03626675,-4.63258025,1.0299134371864,74,0,1
"loglik[224]",-7.63749438666667,-7.63024,-7.91958075,-7.40389125,1.05520838061,43,0,1
"loglik[277]",-4.77499747333333,-4.77352,-4.9625565,-4.58455525,1.03247291082723,68,0,1
"loglik[312]",-5.16833716666667,-5.164975,-5.45750475,-4.89088275,1.02045654992996,110,0,1
"loglik[397]",-5.43160924,-5.42889,-5.47954175,-5.397524,1.04280733952981,61,0,1
"loglik[493]",-4.04731884666667,-4.0484,-4.16668075,-3.92893675,1.03594826116546,63,0,1
"loglik[549]",-3.83098188,-3.83028,-3.98374025,-3.6790365,1.01597911200145,140,0,1
"loglik[553]",-3.92931692666667,-3.92814,-4.0625835,-3.79664175,1.02347152427478,95,0,1
"loglik[559]",-4.06698595333333,-4.067655,-4.18208775,-3.949589,1.03827386616953,59,0,1
"loglik[588]",-6.19266493333333,-6.188235,-6.348587,-6.05892275,1.03557309362361,68,0,1
"loglik[595]",-3.75231396666667,-3.7516,-3.9238745,-3.580274,1.01176609118131,200,0,1
"loglik[675]",-3.90964983333333,-3.90799,-4.046545,-3.773859,1.02175212880917,100,0,1
"loglik[739]",-4.01722534,-4.017325,-4.216069,-3.8248595,1.02832372636206,86,0,1
"loglik[742]",-19.6544412,-19.6345,-23.0398825,-16.486055,1.0055126450616,390,0,1
"loglik[750]",-3.98675525333333,-3.98677,-4.15957525,-3.82068425,1.03416314545977,71,0,1
"loglik[751]",-4.05078857333333,-4.05148,-4.21710825,-3.88833525,1.03535978945286,69,0,1
"loglik[760]",-4.03885795333333,-4.039985,-4.22613825,-3.8592915,1.03092031648129,79,0,1
"loglik[773]",-4.76372709333333,-4.76222,-4.8138235,-4.72417775,1.03514885079071,66,0,1
"loglik[779]",-4.79470002,-4.78627,-4.92707225,-4.70975925,1.00541350379667,520,0,1
