"","mean","50%","2.5%","97.5%","Rhat","n.eff","PP","PN"
"b[1]",3.54583703333333,3.54697999987313,3.18400754464307,3.93575909395552,1.05559336820937,48,1,0
"b[2]",-0.123242266850667,-0.112481,-0.948141625,0.726510924999999,1.05043571156137,57,0.380666666666667,0.619333333333333
"b[3]",-0.142131681770333,-0.1404855,-0.6476153,0.355023049999999,1.05976138150644,52,0.285333333333333,0.714666666666667
"b[4]",0.078635382068,0.08444205,-0.942684325,1.00215775,1.04981812486579,56,0.559333333333333,0.440666666666667
"b[5]",-0.154085253163333,-0.1498575,-0.4314665,0.109531575,1.01848324268375,180,0.124666666666667,0.875333333333333
"b[6]",0.0389399179296667,0.05273025,-0.7226337,0.739663375,1.06294758934342,39,0.553333333333333,0.446666666666667
"sigma",0.110819537533333,0.110774999837508,0.103943899980807,0.118509199932663,1.00063249410932,1500,1,0
"mu.phi",0.264826969333333,0.264875999983011,0.212408996243144,0.321848051597943,1.00022566261854,1500,1,0
"sigma.phi",0.464426580666667,0.439722999545168,0.270288474999539,0.779534460065874,1.00196898591297,1400,1,0
"mu",4.10306013333333,4.10302499999695,4.09320274975326,4.11355724975448,1.00080876882078,1500,1,0
"loglik[9]",-4.86637072666667,-4.86112,-5.0129115,-4.7436065,1.03763407427889,61,0,1
"loglik[14]",-6.11252841333333,-6.052355,-6.732716,-5.799517,1.02610709514972,87,0,1
"loglik[17]",-4.32536259333333,-4.328835,-4.59749875,-4.034956,1.04098343385866,57,0,1
"loglik[19]",-4.79929064,-4.78696,-5.01087475,-4.691955,1.12189209476134,31,0,1
"loglik[21]",-4.29760614,-4.29595,-4.57253075,-4.0294095,1.04628003188212,49,0,1
"loglik[23]",-4.31725432,-4.315365,-4.60929025,-4.0329965,1.05698054793115,41,0,1
"loglik[25]",-4.3006904,-4.299885,-4.57326475,-4.03254475,1.04571193521676,50,0,1
"loglik[26]",-4.26984988666667,-4.26417,-4.54688075,-3.99792825,1.05175040875141,44,0,1
"loglik[27]",-4.28526989333333,-4.279805,-4.55749775,-4.0155785,1.0485862451081,47,0,1
"loglik[28]",-11.3222347466667,-11.27495,-13.216475,-9.7919955,1.05709768606204,41,0,1
"loglik[38]",-4.30377422,-4.304875,-4.5755115,-4.03467275,1.04514090543993,51,0,1
"loglik[43]",-4.30685818666667,-4.30826,-4.577052,-4.035881,1.0445665910824,52,0,1
"loglik[47]",-4.78801101333333,-4.761615,-5.05921675,-4.68908475,1.16307675447552,26,0,1
"loglik[49]",-4.27910191333333,-4.27328,-4.5521815,-4.0105385,1.04979983942464,45,0,1
"loglik[51]",-4.30685818666667,-4.30826,-4.577052,-4.035881,1.0445665910824,52,0,1
"loglik[58]",-4.06694356,-4.06836,-4.63991625,-3.53877375,1.07588631276525,42,0,1
"loglik[82]",-4.25267054,-4.23763,-5.02209825,-3.407539,1.00619111914616,1500,0,1
"loglik[85]",-4.26466512,-4.275975,-5.3081945,-3.159952,1.00849844361962,330,0,1
"loglik[92]",-4.24897995333333,-4.243925,-4.97030875,-3.4458,1.00733612480863,950,0,1
"loglik[103]",-4.9311039,-4.929505,-5.05797625,-4.8162575,1.03404584347816,68,0,1
